Date,Open,High,Low,Close,Volume,Change
2023-04-04,48235,49288,47948,49193,240671,0.0218524750212916
2023-04-05,49384,49863,49001,49289,147111,0.0019514971642307
2023-04-06,49768,51586,49672,51108,616606,0.0369047860577411
2023-04-07,51107,51585,50532,51490,289578,0.0074743680050088
2023-04-10,51681,53404,51394,53309,511964,0.0353272480093223
2023-04-11,53595,54552,52638,54170,483577,0.0161511189480201
2023-04-12,54744,55893,54266,55702,621939,0.0282813365331364
2023-04-13,55797,56946,55223,56659,561839,0.017180711644106
2023-04-14,56467,56850,55797,55989,390669,-0.011825129282197
2023-04-17,55510,55893,54553,55606,297521,-0.0068406294093482
2023-04-18,55222,55797,53978,54553,351385,-0.0189368053807142
2023-04-19,54361,54457,53021,53979,293734,-0.0105218778069033
2023-04-20,53787,54361,53117,53596,198538,-0.0070953518961077
2023-04-21,53117,54840,53021,53883,237821,0.0053548772296438
2023-04-24,54170,54648,53500,54266,126989,0.0071079932446225
2023-04-25,54362,54649,53596,54075,116887,-0.0035196992592047
2023-04-26,53691,54840,53404,54266,164093,0.0035321312991216
2023-04-27,54266,55319,54075,54745,198095,0.0088268897652306
2023-04-28,54552,55414,54361,55127,158377,0.0069778061923462
2023-05-02,54840,55319,54457,55032,127562,-0.0017232934859505
2023-05-03,54553,55127,54553,55032,84519,0.0
2023-05-04,54553,56276,54457,55989,227576,0.0173898822503271
2023-05-08,56084,56466,54744,55127,164016,-0.0153958813338334
2023-05-09,54744,55988,54744,55223,119393,0.0017414334173817
2023-05-10,56180,56180,54553,55032,126926,-0.0034587038009524
2023-05-11,55127,55223,54745,54745,121657,-0.0052151475505161
2023-05-12,54648,54648,53595,54457,144233,-0.0052607544067951
2023-05-15,54074,55509,53882,55127,127352,0.0123032851607689
2023-05-16,54840,55414,54648,54936,80684,-0.0034647269033323
2023-05-17,54457,55988,54457,55510,110508,0.0104485219164118
2023-05-18,55127,55606,54840,55032,84211,-0.0086110610700774
2023-05-19,54840,55510,54648,55223,128610,0.003470707951737
2023-05-22,55318,56467,55318,56276,182144,0.0190681418973979
2023-05-23,56658,57998,56371,57424,393008,0.0203994598052454
2023-05-24,57137,57424,56275,57137,191198,-0.0049979102814153
2023-05-25,56658,57136,56466,56754,147060,-0.0067031870766753
2023-05-26,56467,57233,56180,56946,165347,0.0033830214610424
2023-05-30,57616,57998,56659,57329,253897,0.006725669932919
2023-05-31,57136,57519,56179,56754,374790,-0.0100298278358248
2023-06-01,57424,58860,56658,58573,416690,0.032050604362688
2023-06-02,59242,59242,57998,58477,253678,-0.0016389804175985
2023-06-05,58955,58955,57711,58286,198593,-0.0032662414282538
2023-06-07,58668,58763,58094,58094,151364,-0.0032941014995024
2023-06-08,58189,58668,57519,58477,222665,0.0065927634523359
2023-06-09,58476,58572,57424,57807,172521,-0.0114574961095815
2023-06-12,58094,58669,57616,57712,112495,-0.0016433995882851
2023-06-13,58094,59721,57998,58286,238432,0.009945938453008
2023-06-14,58189,58189,55988,56754,266328,-0.0262841848814466
2023-06-15,56754,56945,56179,56467,165393,-0.0050569122881206
2023-06-16,56849,57423,55892,56084,195618,-0.0067827226521685
2023-06-19,56084,56467,55222,56180,94600,0.00171171813708
2023-06-20,56275,56658,55892,56180,88131,0.0
2023-06-21,55988,56849,55797,55797,120074,-0.006817372730509
2023-06-22,56180,56754,55797,56563,126856,0.0137283366489238
2023-06-23,56180,56659,55319,55415,165653,-0.0202959531849442
2023-06-26,55701,56179,55127,55797,63473,0.0068934404042226
2023-06-27,55605,56466,55222,55797,135052,0.0
2023-06-28,55892,56084,55318,55510,149093,-0.0051436457157194
2023-06-29,55223,55989,54840,55032,160298,-0.0086110610700774
2023-06-30,55031,57807,54552,57807,432741,0.0504252071522024
2023-07-03,58860,58956,57424,57712,299169,-0.0016433995882851
2023-07-04,57519,57519,56467,56850,155229,-0.0149362350984197
2023-07-05,56467,57041,56180,56180,135679,-0.0117854001759014
2023-07-06,56371,56371,55222,55510,173612,-0.0119259522961908
2023-07-07,55127,55318,54074,54266,210172,-0.0224103765087371
2023-07-10,54552,54552,53595,54170,126078,-0.0017690635020086
2023-07-11,54839,55796,54744,55127,131066,0.0176666051319918
2023-07-12,55796,56945,55222,56754,244518,0.0295136684383332
2023-07-13,56945,57806,56658,56754,219487,0.0
2023-07-14,57137,57328,56658,56946,141148,0.0033830214610424
2023-07-17,56945,57041,55605,55797,149268,-0.0201770097987566
2023-07-18,55893,56084,54936,55319,159521,-0.0085667688226965
2023-07-19,55318,58285,55318,57424,340551,0.0380520255246841
2023-07-20,57711,57902,56850,57520,207112,0.0016717748676511
2023-07-21,57520,66133,57520,64124,3131810,0.1148122392211403
2023-07-24,64793,65367,62592,63071,795502,-0.0164213087143658
2023-07-25,63453,63549,60104,60774,682611,-0.0364192735171473
2023-07-26,60773,63166,60008,62018,847861,0.0204692796261558
2023-07-27,62018,66995,61252,65751,1573913,0.0601922022638587
2023-07-28,66133,67664,64506,66325,828325,0.0087299052485894
2023-07-31,67760,70344,67281,69866,1255539,0.0533886166603845
2023-08-01,70823,72737,69388,71685,1270127,0.0260355537743681
2023-08-02,71684,72546,69005,69675,692129,-0.028039338773802
2023-08-03,69675,75513,68717,70345,1419539,0.0096160746322209
2023-08-04,71589,72259,69387,70345,428428,0.0
2023-08-07,70344,72832,69674,69866,514398,-0.0068092970360367
2023-08-08,70057,71972,69483,71015,541973,0.0164457676122864
2023-08-09,71876,75035,71781,74748,1100677,0.052566359219883
2023-08-10,74748,75130,72163,73121,670497,-0.0217664686680579
2023-08-11,73312,74365,71781,72451,463080,-0.0091628943805472
2023-08-14,72163,73024,71302,71972,364722,-0.0066113649224993
2023-08-16,71780,72450,70536,71015,388246,-0.0132968376590896
2023-08-17,72068,72738,68526,70154,488514,-0.0121241991128634
2023-08-18,69388,71589,69292,70154,348306,0.0
2023-08-21,70249,72642,70249,70728,364900,0.008181999600878
2023-08-22,70727,71397,69675,70345,225284,-0.005415111412736
2023-08-23,70632,75417,70536,71781,684277,0.0204136754566777
2023-08-24,71876,73216,71206,72355,290791,0.0079965450467394
2023-08-25,71685,72450,71302,72355,210785,0.0
2023-08-28,72545,72832,66037,68909,803130,-0.0476262870568723
2023-08-29,69291,69866,68334,69579,294863,0.0097229679722532
2023-08-30,70345,70441,69005,69484,272269,-0.0013653544891418
2023-08-31,71589,73981,69483,69675,956326,0.0027488342640031
2023-09-01,69388,70153,67474,67474,411169,-0.0315895227843558
2023-09-04,67474,68239,66612,67474,298189,0.0
2023-09-05,66803,67377,66325,66995,218441,-0.0070990307377656
2023-09-06,66708,68239,66421,67857,231821,0.0128666318381969
2023-09-07,68430,69770,66803,68335,1365270,0.0070442253562639
2023-09-08,69004,71014,68621,69866,392941,0.0224043316016682
2023-09-11,70727,76470,68813,76470,1590018,0.094523802708041
2023-09-12,77523,80011,74556,74939,1484965,-0.020020923237871
2023-09-13,74556,74747,70440,70728,702855,-0.0561923697940992
2023-09-14,71493,72833,70727,72642,432352,0.0270614183915847
2023-09-15,72259,73311,71780,72259,447132,-0.0052724319264337
2023-09-18,72738,74939,72451,73121,424533,0.0119293098437565
2023-09-19,74939,76566,73982,74748,662454,0.0222507897867918
2023-09-20,74938,75034,69483,71589,760160,-0.0422620003210788
2023-09-21,70727,71110,69579,70058,318866,-0.0213859671178533
2023-09-22,68430,70727,68239,70345,288470,0.0040966056695881
2023-09-25,70153,71876,70153,70919,212895,0.0081597839220981
2023-09-26,71493,71493,70153,71111,232940,0.0027073139779185
2023-09-27,70440,73503,70440,72546,416100,0.020179719030811
2023-10-04,78958,84605,73981,75609,3459019,0.0422214870564883
2023-10-05,75895,78096,71206,71206,1550618,-0.058233808144533
2023-10-06,71971,76756,71971,73790,1459402,0.036289076763194
2023-10-10,75034,76183,72450,73025,790374,-0.0103672584361024
2023-10-11,74364,77426,72928,76087,1111805,0.0419308456008216
2023-10-12,77044,77139,74077,76087,1124937,0.0
2023-10-13,78479,79436,71684,72833,2096849,-0.042766832704667
2023-10-16,72163,73024,70440,72259,736405,-0.0078810429338349
2023-10-17,72737,72833,71110,71302,679431,-0.0132440249657481
2023-10-18,65559,66038,58477,58860,4989986,-0.1744972090544444
2023-10-19,58189,60773,58094,58764,1957954,-0.0016309887869521
2023-10-20,58190,61731,58190,60009,1512543,0.021186440677966
2023-10-23,59817,60678,58669,59339,694364,-0.011164991917879
2023-10-24,57806,58094,52543,55510,3085842,-0.0645275451220951
