Date,Open,High,Low,Close,Volume,Change
2013-09-16,7750,7790,7730,7780,72,
2013-09-17,7790,7980,7790,7940,126,0.0205655526992287
2013-09-23,7969,8169,7940,8040,67,0.0125944584382871
2013-09-24,8120,8120,8000,8090,142,0.0062189054726369
2013-09-25,8140,8140,8010,8050,29,-0.0049443757725586
2013-09-26,8050,8130,8000,8070,54,0.0024844720496894
2013-09-27,8070,8139,8040,8060,110,-0.0012391573729864
2013-09-30,8060,8110,8020,8090,54,0.0037220843672456
2013-10-01,8080,8090,7950,8000,57,-0.011124845488257
2013-10-02,8020,8020,7910,8000,42,0.0
2013-10-04,8020,8020,7880,7900,71,-0.0124999999999999
2013-10-07,7910,7950,7840,7950,28,0.0063291139240506
2013-10-08,7960,7960,7850,7930,23,-0.0025157232704402
2013-10-10,7940,7940,7710,7880,68,-0.0063051702395964
2013-10-11,7930,7930,7800,7890,25,0.0012690355329949
2013-10-14,7849,7950,7840,7880,46,-0.0012674271229404
2013-10-15,7930,7930,7859,7860,28,-0.0025380710659898
2013-10-16,7868,7940,7860,7890,36,0.0038167938931297
2013-10-17,7900,7929,7820,7880,53,-0.0012674271229404
2013-10-18,7880,7910,7810,7900,18,0.0025380710659899
2013-10-21,7880,7900,7790,7840,114,-0.0075949367088608
2013-10-22,7890,7890,7810,7840,77,0.0
2013-10-23,7870,7880,7830,7860,39,0.0025510204081633
2013-10-24,7900,7900,7800,7840,57,-0.0025445292620864
2013-10-25,7880,7880,7830,7840,53,0.0
2013-10-28,7849,7860,7810,7830,468,-0.0012755102040816
2013-10-29,7849,7880,7800,7880,74,0.0063856960408683
2013-10-30,7880,7890,7820,7840,39,-0.0050761421319797
2013-10-31,7840,7940,7830,7880,136,0.0051020408163264
2013-11-01,7880,7970,7850,7940,72,0.0076142131979695
2013-11-04,7970,8050,7920,8020,61,0.0100755667506298
2013-11-05,8070,8240,8070,8100,166,0.0099750623441396
2013-11-06,8090,8180,8068,8090,154,-0.0012345679012345
2013-11-07,8080,8190,8080,8090,82,0.0
2013-11-08,8070,8200,8070,8200,111,0.0135970333745365
2013-11-11,8200,8370,8020,8230,77,0.0036585365853658
2013-11-12,8270,8270,8050,8100,105,-0.0157958687727824
2013-11-13,8010,8120,7950,8020,122,-0.0098765432098765
2013-11-14,8019,8030,7890,8020,121,0.0
2013-11-15,7900,8020,7900,8010,108,-0.0012468827930174
2013-11-18,8010,8090,7960,7960,55,-0.0062421972534332
2013-11-19,7960,8030,7859,7940,122,-0.0025125628140703
2013-11-20,7880,8000,7880,7940,132,0.0
2013-11-21,7950,8050,7900,8000,179,0.0075566750629723
2013-11-22,8000,8160,7910,7940,97,-0.0074999999999999
2013-11-25,7940,7970,7900,7920,160,-0.0025188916876573
2013-11-26,8028,8028,7890,7970,52,0.0063131313131312
2013-11-27,7970,8000,7920,7960,44,-0.001254705144291
2013-11-28,7990,8049,7940,8040,167,0.0100502512562814
2013-11-29,8040,8140,7990,7990,78,-0.0062189054726368
2013-12-02,7950,8320,7930,8320,404,0.0413016270337922
2013-12-03,8320,8330,8118,8190,139,-0.015625
2013-12-04,8340,8340,8170,8190,53,0.0
2013-12-05,8189,8400,8119,8230,792,0.0048840048840048
2013-12-06,8280,8300,8200,8230,208,0.0
2013-12-09,8350,8350,8130,8220,64,-0.0012150668286755
2013-12-10,8220,8280,8120,8180,65,-0.0048661800486617
2013-12-11,8020,8340,8020,8130,63,-0.0061124694376527
2013-12-12,8130,8310,8130,8210,219,0.009840098400984
2013-12-13,8510,8510,8210,8210,117,0.0
2013-12-16,8260,8350,8220,8290,79,0.0097442143727162
2013-12-17,8470,8470,8220,8240,45,-0.0060313630880578
2013-12-18,8250,8250,8200,8240,63,0.0
2013-12-19,8470,8470,8240,8300,36,0.0072815533980583
2013-12-20,8310,8430,8240,8310,91,0.0012048192771083
2013-12-23,8260,8280,8220,8220,65,-0.0108303249097473
