Date,Open,High,Low,Close,Volume,Change
2023-04-04,58200,59200,58200,58900,3471,0.010291595197255532
2023-04-05,58800,59200,58500,59100,656,0.00339558573853993
2023-04-06,58600,59100,58500,59100,999,0.0
2023-04-07,59100,59200,58100,59100,1334,0.0
2023-04-10,59200,61400,57000,57000,19542,-0.035532994923857864
2023-04-11,57500,57900,56500,57800,2244,0.01403508771929829
2023-04-12,57400,58600,57000,58500,2222,0.01211072664359869
2023-04-13,58500,58900,57700,58600,1241,0.0017094017094017033
2023-04-14,58600,59200,58200,58800,1853,0.0034129692832765013
2023-04-17,58800,58800,58200,58700,1257,-0.00170068027210879
2023-04-18,58700,58700,58000,58600,762,-0.0017035775127768327
2023-04-19,58600,58700,58100,58700,1324,0.0017064846416381396
2023-04-20,58700,60200,58000,59500,8068,0.013628620102214661
2023-04-21,59100,60100,58100,58300,4140,-0.020168067226890796
2023-04-24,58300,58900,57700,58300,1732,0.0
2023-04-25,58300,58300,57200,58100,1612,-0.0034305317324184736
2023-04-26,57900,57900,57200,57600,828,-0.008605851979345935
2023-04-27,57600,58300,57100,58000,549,0.00694444444444442
2023-04-28,58200,58300,57600,58100,887,0.0017241379310344307
2023-05-02,58200,58600,58100,58600,1028,0.008605851979345935
2023-05-03,58600,59100,58200,59100,1285,0.008532423208191142
2023-05-04,58600,59100,58400,59100,715,0.0
2023-05-08,58900,59200,58400,59100,909,0.0
2023-05-09,58500,58800,58300,58600,899,-0.008460236886632777
2023-05-10,58600,58600,58000,58300,1050,-0.005119453924914641
2023-05-11,58300,58600,58000,58300,812,0.0
2023-05-12,58200,58300,57800,58300,1396,0.0
2023-05-15,58300,58300,57600,58000,652,-0.005145797598627766
2023-05-16,58000,60000,58000,59400,2727,0.024137931034482696
2023-05-17,59200,59600,58600,59000,963,-0.006734006734006703
2023-05-18,59400,59500,58900,59500,790,0.008474576271186418
2023-05-19,59500,59700,59300,59500,1062,0.0
2023-05-22,59500,59700,59300,59500,520,0.0
2023-05-23,59700,60000,59600,60000,1065,0.008403361344537785
2023-05-24,60000,60500,59800,60400,863,0.006666666666666599
2023-05-25,60300,61000,59900,60500,1227,0.0016556291390728006
2023-05-26,60500,60900,60000,60900,848,0.006611570247933907
2023-05-30,61000,61900,60900,61700,1921,0.013136288998357948
2023-05-31,61700,61900,61600,61700,1234,0.0
2023-06-01,61300,61500,60700,61400,778,-0.004862236628849326
2023-06-02,61400,61400,60700,61300,395,-0.0016286644951140072
2023-06-05,61300,61300,60800,61300,608,0.0
2023-06-07,61300,61800,61000,61600,352,0.004893964110929794
2023-06-08,61100,61300,61000,61300,308,-0.004870129870129913
2023-06-09,61300,61400,60400,60700,883,-0.009787928221859699
2023-06-12,60700,61700,60100,60500,937,-0.0032948929159802853
2023-06-13,60500,60800,60200,60800,773,0.0049586776859504855
2023-06-14,60800,60800,60000,60400,1264,-0.006578947368421018
