Date,Open,High,Low,Close,Volume,Change
2013-09-16,149500,152000,149000,149500,626,
2013-09-17,147000,148500,146500,147500,827,-0.0133779264214046
2013-09-23,147500,149500,147000,149000,1133,0.0101694915254237
2013-09-24,149000,149500,147500,148500,803,-0.0033557046979866
2013-09-25,148500,150000,147000,148500,742,0.0
2013-09-26,149500,149500,147000,149000,2041,0.0033670033670034
2013-09-27,149000,150500,148500,149500,4052,0.0033557046979866
2013-09-30,149500,152500,149500,152500,663,0.020066889632107
2013-10-01,150500,153000,147000,150000,2089,-0.0163934426229508
2013-10-02,150500,150500,149000,150000,784,0.0
2013-10-04,150000,150000,147500,149500,776,-0.0033333333333332
2013-10-07,149500,150000,147000,148500,1158,-0.0066889632107023
2013-10-08,148500,148500,145000,147500,1945,-0.0067340067340067
2013-10-10,148500,148500,145500,146000,488,-0.0101694915254236
2013-10-11,146000,148500,145000,145500,2213,-0.0034246575342465
2013-10-14,146500,146500,144000,145000,1661,-0.0034364261168384
2013-10-15,145000,148000,145000,145000,1762,0.0
2013-10-16,145000,145500,143500,145000,1463,0.0
2013-10-17,145000,145000,139000,139500,2197,-0.0379310344827585
2013-10-18,140500,142500,139500,141000,1105,0.010752688172043
2013-10-21,141000,143000,139000,141000,2510,0.0
2013-10-22,141000,143000,139000,143000,4824,0.0141843971631205
2013-10-23,143000,145000,142500,143000,1312,0.0
2013-10-24,144500,147000,143500,147000,1290,0.0279720279720279
2013-10-25,145500,146500,143000,143000,1226,-0.0272108843537415
2013-10-28,143500,146000,141500,141500,1159,-0.0104895104895105
2013-10-29,142500,145000,141500,145000,856,0.0247349823321554
2013-10-30,144000,145000,142500,143000,636,-0.0137931034482758
2013-10-31,142000,145500,142000,143000,824,0.0
2013-11-01,142500,145000,141000,141500,749,-0.0104895104895105
2013-11-04,143000,143000,137000,139000,4093,-0.0176678445229682
2013-11-05,141000,141500,138000,139000,698,0.0
2013-11-06,140000,141500,138000,139000,660,0.0
2013-11-07,139000,140000,132000,135000,1670,-0.0287769784172662
2013-11-08,137000,141500,134000,141500,2481,0.048148148148148
2013-11-11,140000,142000,138000,138000,1588,-0.0247349823321554
2013-11-12,138000,141500,137500,137500,922,-0.0036231884057971
2013-11-13,137500,140000,137000,138500,742,0.0072727272727273
2013-11-14,140000,141000,139000,139000,422,0.0036101083032491
2013-11-15,139500,144500,139500,144500,862,0.0395683453237409
2013-11-18,145000,152500,145000,147500,3875,0.0207612456747405
2013-11-19,147500,149500,144500,144500,2365,-0.0203389830508474
2013-11-20,144500,146500,142000,142000,2285,-0.0173010380622837
