Date,Open,High,Low,Close,Volume,Change
2013-09-16,150639,150639,145083,146479,441174,
2013-09-17,145776,145776,138556,139537,574277,-0.0473924589872951
2013-09-23,138834,145084,137168,141620,401459,0.0149279402595727
2013-09-24,140223,141613,131338,134678,538690,-0.0490185002118345
2013-09-25,134254,140919,133284,135927,327775,0.0092739719924561
2013-09-26,134670,138421,133145,137732,298756,0.013279186622231
2013-09-27,137175,138564,134674,134817,223838,-0.0211642900705718
2013-09-30,131478,132864,123840,126903,363497,-0.058701795767596
2013-10-01,125097,136065,124955,128569,324612,0.0131281372386784
2013-10-02,129535,130505,127034,127180,130844,-0.0108035374001509
2013-10-04,125646,126896,121063,122321,271739,-0.038205692718981
2013-10-07,121070,122040,112046,113712,372380,-0.0703803925736382
2013-10-08,112454,123564,109818,120516,623126,0.0598353735753482
2013-10-10,117735,119402,115238,116212,163955,-0.0357131003352252
2013-10-11,118569,122875,117042,119266,229868,0.0262795580490826
2013-10-14,119266,120513,115517,117461,125690,-0.0151342377542635
2013-10-15,116627,117319,115515,116073,112782,-0.0118166880922178
2013-10-16,115786,118426,110095,111630,221242,-0.0382776356258561
2013-10-17,111900,113427,103291,104688,332606,-0.0621875839828003
2013-10-18,104126,120370,104126,120377,1073695,0.1498643588567936
2013-10-21,120375,130511,113156,123154,1309812,0.0230691909584057
2013-10-22,122036,127450,118007,118572,446051,-0.0372054500868831
2013-10-23,119954,121478,110926,111769,314188,-0.0573744222919407
2013-10-24,113707,128423,113707,125236,1313271,0.1204895811897752
2013-10-25,121483,129122,118985,119405,591060,-0.0465600945415056
2013-10-28,117736,120791,113433,114546,268048,-0.0406934382982286
2013-10-29,117453,127035,117453,118850,622122,0.0375744242487734
2013-10-30,117175,118425,114539,114823,285117,-0.0338830458561211
2013-10-31,113987,114961,109685,110936,352823,-0.0338521028017034
2013-11-01,105099,110652,104960,107742,255782,-0.0287913752073267
2013-11-04,109545,112601,107740,108853,159449,0.0103116704720536
2013-11-05,113712,113851,108017,108714,214147,-0.0012769514850302
2013-11-06,107878,110380,105519,108575,163871,-0.0012785841749912
2013-11-07,107735,108012,105515,106215,175748,-0.0217361271010821
2013-11-08,104269,107602,104131,105382,130993,-0.0078425834392505
2013-11-11,121071,121071,117042,121071,1390608,0.1488774173957601
2013-11-12,138839,138839,133425,138843,1127924,0.1467899001412393
2013-11-13,152030,159666,149948,159670,2372670,0.1500039613088164
2013-11-14,144390,165213,136059,136066,3679797,-0.147829899167032
