Date,Open,High,Low,Close,Volume,Change
2013-09-16,10300,10300,10300,10300,0,
2013-09-17,10300,10300,10300,10300,0,0.0
2013-09-23,10100,10100,10100,10100,21,-0.0194174757281553
2013-09-24,10100,10100,10050,10100,170,0.0
2013-09-25,10100,10100,10100,10100,0,0.0
2013-09-26,10100,10250,10100,10250,30,0.0148514851485148
2013-09-27,10050,10200,10050,10200,590,-0.0048780487804878
2013-09-30,10050,10200,9990,10200,3240,0.0
2013-10-01,10000,10150,10000,10150,300,-0.0049019607843137
2013-10-02,10000,10050,10000,10050,20,-0.0098522167487684
2013-10-04,10050,10050,10050,10050,50,0.0
2013-10-07,10000,10150,10000,10000,250,-0.0049751243781094
2013-10-08,10150,10150,10150,10150,10,0.0149999999999999
2013-10-10,10000,10150,10000,10150,100,0.0
2013-10-11,10000,10150,10000,10150,20,0.0
2013-10-14,10000,10150,10000,10150,30,0.0
2013-10-15,10150,10150,10150,10150,0,0.0
2013-10-16,10000,10150,10000,10150,20,0.0
2013-10-17,10150,10150,10150,10150,0,0.0
2013-10-18,10000,10100,9990,10100,1010,-0.0049261083743842
2013-10-21,10050,10050,10000,10000,1080,-0.0099009900990099
2013-10-22,10000,10000,9990,9990,1500,-0.001
2013-10-23,9990,10000,9990,10000,20,0.001001001001001
2013-10-24,10000,10000,10000,10000,0,0.0
2013-10-25,10300,10300,9990,10000,70,0.0
2013-10-28,10000,10050,10000,10000,100,0.0
2013-10-29,10000,10000,10000,10000,61,0.0
2013-10-30,10250,10250,10250,10250,12,0.0249999999999999
2013-10-31,10050,10050,10050,10050,0,-0.0195121951219512
2013-11-01,9990,10000,9990,10000,160,-0.0049751243781094
2013-11-04,10000,10000,10000,10000,101,0.0
2013-11-05,9990,10050,9990,10050,1080,0.0049999999999998
2013-11-06,10050,10050,10050,10050,0,0.0
2013-11-07,10000,10000,9990,10000,1220,-0.0049751243781094
2013-11-08,10000,10000,10000,10000,340,0.0
2013-11-11,10000,10200,10000,10050,1030,0.0049999999999998
2013-11-12,10000,10000,10000,10000,1000,-0.0049751243781094
2013-11-13,10000,10000,10000,10000,300,0.0
2013-11-14,9990,10000,9990,10000,10120,0.0
2013-11-15,9990,9990,9990,9990,5100,-0.001
2013-11-18,9990,10050,9990,10050,290,0.006006006006006
2013-11-19,10050,10050,10050,10050,0,0.0
2013-11-20,9980,10050,9980,10050,1500,0.0
2013-11-21,9990,10000,9990,10000,40,-0.0049751243781094
2013-11-22,9990,9990,9990,9990,8500,-0.001
2013-11-25,9990,10250,9990,10250,60,0.0260260260260261
2013-11-26,10000,10000,10000,10000,0,-0.024390243902439
2013-11-27,10050,10050,10050,10050,10,0.0049999999999998
2013-11-28,10050,10050,10050,10050,60,0.0
2013-11-29,10000,10050,10000,10050,20,0.0
2013-12-02,10300,10300,10300,10300,12,0.0248756218905472
2013-12-03,10150,10150,10100,10100,210,-0.0194174757281553
2013-12-04,10050,10050,10050,10050,10,-0.0049504950495049
2013-12-05,10500,10500,10500,10500,10,0.0447761194029849
2013-12-06,10050,10050,10050,10050,0,-0.0428571428571428
2013-12-09,10000,10000,9990,9990,4030,-0.0059701492537312
2013-12-10,9990,9990,9990,9990,2530,0.0
2013-12-11,9990,10300,9990,10300,20,0.0310310310310311
2013-12-12,10100,10100,10100,10100,0,-0.0194174757281553
2013-12-13,9990,9990,9990,9990,30,-0.0108910891089109
2013-12-16,10000,10000,9990,10000,3110,0.001001001001001
2013-12-17,10000,10000,10000,10000,210,0.0
2013-12-18,9990,9990,9990,9990,1570,-0.001
2013-12-19,10000,10250,10000,10200,230,0.0210210210210211
2013-12-20,9990,10050,9990,10050,50,-0.0147058823529411
2013-12-23,9990,10050,9010,10050,16720,0.0
2013-12-24,10050,10050,9950,9990,1640,-0.0059701492537312
2013-12-26,9990,10200,9990,10100,630,0.011011011011011
2013-12-27,9750,10250,9610,10250,1570,0.0148514851485148
2013-12-30,10200,10200,10200,10200,0,-0.0048780487804878
2014-01-02,10100,10100,10100,10100,0,-0.0098039215686274
2014-01-03,10000,10200,10000,10200,340,0.0099009900990099
2014-01-06,10200,10200,10200,10200,100,0.0
2014-01-07,10150,10150,10150,10150,0,-0.0049019607843137
2014-01-08,9960,10050,9960,10050,151,-0.0098522167487684
2014-01-09,10200,10200,10200,10200,10,0.0149253731343284
2014-01-10,9750,10150,9750,10100,1373,-0.0098039215686274
2014-01-13,10100,10100,10100,10100,0,0.0
2014-01-14,10000,10100,10000,10100,160,0.0
2014-01-15,10100,10100,10100,10100,0,0.0
2014-01-16,9710,10200,9010,10100,2160,0.0
2014-01-17,9680,10000,9650,9980,2620,-0.0118811881188118
2014-01-20,9650,9970,9650,9650,1910,-0.033066132264529
2014-01-21,9650,9790,9650,9650,2511,0.0
2014-01-22,9650,9860,9650,9720,6853,0.0072538860103625
2014-01-23,9940,9940,9670,9870,320,0.0154320987654321
2014-01-24,9750,9890,9750,9840,480,-0.0030395136778115
2014-01-27,9750,9960,9500,9780,3330,-0.0060975609756097
2014-01-28,9620,9920,9620,9900,370,0.0122699386503066
2014-01-29,9670,9890,9670,9890,410,-0.001010101010101
2014-02-03,9670,9880,9670,9700,1540,-0.0192113245702729
2014-02-04,9670,9990,9670,9880,1420,0.0185567010309277
2014-02-05,9990,9990,9600,9670,1950,-0.0212550607287449
2014-02-06,9990,9990,9560,9900,1160,0.0237849017580145
2014-02-07,9990,9990,9610,9850,150,-0.005050505050505
2014-02-10,9620,9930,9620,9830,1250,-0.0020304568527919
2014-02-11,9980,9980,9980,9980,10,0.0152594099694811
2014-02-12,9960,9960,9660,9890,3470,-0.0090180360721442
2014-02-13,9970,9970,9670,9850,1270,-0.0040444893832153
2014-02-14,9810,9940,9700,9880,180,0.0030456852791878
2014-02-17,9990,9990,9670,9850,2140,-0.0030364372469635
2014-02-18,10000,10000,9710,9920,1920,0.0071065989847716
2014-02-19,9990,9990,9990,9990,10,0.0070564516129032
2014-02-20,9980,9980,9980,9980,30,-0.0010010010010009
2014-02-21,9970,9970,9700,9700,1830,-0.0280561122244489
2014-02-24,9990,10000,9720,9890,160,0.0195876288659793
2014-02-25,9720,9990,9720,9890,80,0.0
