Date,Open,High,Low,Close,Volume,Change
2023-04-04,22347,22769,21126,21221,737534,-0.0794291167794551
2023-04-05,21313,21783,21126,21549,301841,0.0154563875406437
2023-04-06,21454,22017,20938,21502,371635,-0.0021810756879669
2023-04-07,21830,23004,21408,22723,460412,0.0567854153102036
2023-04-10,22956,23848,22722,23239,630696,0.022708269154601
2023-04-11,23755,23755,22018,22676,429757,-0.0242265157709024
2023-04-12,22816,24553,22534,22723,857319,0.0020726759569589
2023-04-13,22487,22534,21314,21972,430619,-0.0330502134401267
2023-04-14,22628,23567,22252,23286,694238,0.0598033861277991
2023-04-17,23567,24460,23332,24460,754806,0.0504165593060208
2023-04-18,24788,24882,23661,23897,438322,-0.0230171708912509
2023-04-19,23708,24553,23332,24366,369632,0.0196258944637401
2023-04-20,24037,24224,22628,22911,315366,-0.0597143560699334
2023-04-21,22675,22816,21689,21925,334249,-0.0430360961983327
2023-04-24,21924,22112,21126,21315,257719,-0.0278221208665906
2023-04-25,21502,21595,19483,20235,441507,-0.0506685432793807
2023-04-26,20140,20374,19717,19812,198837,-0.0209043736100815
2023-04-27,19718,20281,19436,20188,137738,0.0189783969311527
2023-04-28,20422,20469,19248,19484,208458,-0.0348722013077075
2023-05-02,19482,20093,19388,19671,175894,0.0095976185588175
2023-05-03,19435,19622,19106,19154,82011,-0.026282344568146
2023-05-04,19106,19341,18871,19248,76526,0.0049075911036859
2023-05-08,19342,19529,18966,19014,98197,-0.0121571072319202
2023-05-09,19060,19107,18393,19014,179423,0.0
2023-05-10,19012,19576,18496,19154,156390,0.0073629956873881
2023-05-11,19623,19765,18872,18920,165018,-0.0122167693432181
2023-05-12,19059,19294,18824,19154,114643,0.0123678646934461
2023-05-15,19154,19154,18233,18732,167506,-0.0220319515505899
2023-05-16,18215,18515,17952,18469,162700,-0.0140401452060644
2023-05-17,18450,18873,18215,18873,69586,0.0218744923926579
2023-05-18,19060,19107,18778,18967,46570,0.0049806602024056
2023-05-19,19154,19201,18327,18873,124517,-0.0049559761691359
2023-05-22,18872,19107,18468,18967,83285,0.0049806602024056
2023-05-23,19200,19810,18965,19342,157341,0.0197711815258079
2023-05-24,19389,19718,19248,19531,76453,0.0097714817495604
2023-05-25,19529,19529,18825,19014,82363,-0.0264707388254569
2023-05-26,19013,19060,18590,18779,75990,-0.0123593141895445
2023-05-30,18871,19154,18627,19154,137360,0.0199691144363385
2023-05-31,18919,19717,18825,19624,392709,0.0245379555184295
2023-06-01,19716,19857,19106,19248,98503,-0.0191602119853241
2023-06-02,19342,20093,19248,19812,164949,0.0293017456359101
2023-06-05,20093,20280,19670,20093,97616,0.0141833232384414
2023-06-07,20092,20374,19763,20046,101008,-0.0023391230776887
2023-06-08,20046,20046,19623,19765,93460,-0.0140177591539458
2023-06-09,19905,20328,19811,20000,80109,0.0118897040222616
2023-06-12,20234,21267,20234,20986,442166,0.0492999999999999
2023-06-13,21454,22299,20750,21737,411000,0.0357857619365291
2023-06-14,21876,21876,20515,20563,267330,-0.0540092929107052
2023-06-15,20751,22018,20751,21268,315399,0.0342848806108058
2023-06-16,21453,21453,20655,20891,146505,-0.0177261613691931
2023-06-19,20891,21548,20891,21455,184664,0.0269972715523432
2023-06-20,21502,21783,21219,21502,175942,0.0021906315544162
2023-06-21,21500,21829,20749,20891,205750,-0.028415961305925
2023-06-22,20610,21032,20562,20610,104899,-0.0134507682734191
2023-06-23,20562,21079,20562,20798,87835,0.0091217855409995
2023-06-26,20797,20844,20421,20516,130295,-0.0135589960573132
2023-06-27,20421,20514,19716,20046,131313,-0.0229089491128875
2023-06-28,20234,20468,19670,19812,96561,-0.0116731517509727
2023-06-29,19811,20139,19529,19671,57056,-0.0071168988491823
2023-06-30,19670,19858,19389,19812,54182,0.0071679121549488
2023-07-03,20139,20186,19810,20093,72152,0.0141833232384414
2023-07-04,20187,20233,19623,19765,84018,-0.0163240929677002
2023-07-05,19811,19999,19624,19624,71226,-0.0071338224133569
2023-07-06,19623,19623,18778,18920,153396,-0.0358744394618834
2023-07-07,18919,19295,18825,19014,67257,0.0049682875264269
2023-07-10,19012,19388,18655,19201,107611,0.0098348585252971
2023-07-11,19341,19718,19201,19718,84388,0.0269256809541169
2023-07-12,19765,20657,19671,20376,152381,0.0333705243939548
2023-07-13,20563,20610,20093,20188,80383,-0.0092265410286611
2023-07-14,20468,24131,20468,22958,1593872,0.1372102238953834
2023-07-17,23473,23802,23004,23615,427629,0.0286174753898422
2023-07-18,23661,24365,22910,23380,485487,-0.0099513021384712
2023-07-19,23708,23801,22863,23333,245135,-0.0020102651839178
2023-07-20,23473,23473,22299,22676,217375,-0.0281575451077872
2023-07-21,22347,22910,22300,22817,129323,0.0062180278708767
2023-07-24,22769,23426,22441,22911,257972,0.0041197352850943
2023-07-25,23615,23756,23051,23475,409101,0.0246169962026974
2023-07-26,23426,23426,20233,21361,526060,-0.0900532481363152
