Date,Open,High,Low,Close,Volume,Change
2023-04-04,12420,12620,12400,12610,98,0.0039808917197452
2023-04-05,12610,12700,12420,12680,645,0.0055511498810467
2023-04-06,12500,12680,12430,12600,659,-0.0063091482649841
2023-04-07,12590,12640,12420,12550,904,-0.0039682539682539
2023-04-10,12680,12680,12500,12590,289,0.003187250996016
2023-04-11,12590,12670,12550,12660,50,0.005559968228753
2023-04-12,12690,12700,12460,12640,408,-0.0015797788309637
2023-04-13,12810,12810,12600,12650,391,0.0007911392405062
2023-04-14,12650,12800,12600,12800,513,0.0118577075098813
2023-04-17,12790,12870,12640,12860,151,0.0046874999999999
2023-04-18,12860,12950,12700,12830,688,-0.0023328149300155
2023-04-19,12710,12850,12630,12780,2182,-0.0038971161340607
2023-04-20,12640,12750,12560,12690,505,-0.0070422535211267
2023-04-21,12690,12690,12560,12680,58,-0.0007880220646178
2023-04-24,12850,12850,12530,12700,429,0.001577287066246
2023-04-25,12700,12700,12540,12690,6,-0.0007874015748031
2023-04-26,12690,12690,12520,12660,95,-0.0023640661938534
2023-04-27,12660,12680,12500,12680,180,0.0015797788309637
2023-04-28,12700,12700,12560,12670,38,-0.000788643533123
2023-05-02,12500,12580,12340,12340,1017,-0.0260457774269928
2023-05-03,12340,12400,12240,12370,1407,0.0024311183144245
2023-05-04,12300,12430,12300,12390,31,0.0016168148746968
2023-05-08,12460,12470,12430,12460,62,0.0056497175141243
2023-05-09,12400,12620,12200,12580,115,0.0096308186195825
2023-05-10,12580,12580,12250,12250,508,-0.0262321144674085
2023-05-11,12550,12550,12330,12360,1365,0.0089795918367348
2023-05-12,12500,12500,12240,12470,56,0.0088996763754045
2023-05-15,12690,12800,12260,12380,399,-0.0072173215717722
2023-05-16,12370,12550,12160,12480,342,0.0080775444264944
2023-05-17,12480,12480,12250,12250,774,-0.0184294871794872
2023-05-18,12420,12420,12100,12140,483,-0.0089795918367346
2023-05-19,12160,12250,12160,12170,213,0.0024711696869852
2023-05-22,12360,12380,12100,12380,124,0.0172555464256367
2023-05-23,12380,12420,12250,12380,11,0.0
2023-05-24,12220,12280,12050,12270,679,-0.0088852988691437
2023-05-25,12220,12300,12220,12300,642,0.0024449877750611
2023-05-26,12300,12430,12280,12340,388,0.0032520325203251
2023-05-30,12130,12520,12130,12490,528,0.0121555915721232
2023-05-31,12500,12540,12300,12530,405,0.0032025620496396
2023-06-01,12520,12540,12340,12540,245,0.0007980845969672
2023-06-02,12540,12540,12410,12540,124,0.0
2023-06-05,12550,12550,12410,12540,137,0.0
2023-06-07,12580,12580,12430,12550,93,0.0007974481658692
2023-06-08,12550,12550,12410,12530,463,-0.001593625498008
2023-06-09,12520,12600,12430,12600,238,0.0055865921787709
2023-06-12,12590,12590,12590,12590,0,-0.0007936507936507
2023-06-13,12420,12690,12420,12690,252,0.0079428117553614
2023-06-14,12690,12820,12510,12820,457,0.0102442868400314
2023-06-15,12820,12850,12800,12820,21,0.0
2023-06-16,12850,13000,12820,12970,546,0.0117004680187207
2023-06-19,12970,12970,12700,12950,488,-0.0015420200462605
2023-06-20,12770,12950,12770,12950,13,0.0
2023-06-21,12950,13060,12800,12950,246,0.0
2023-06-22,12750,13010,12650,12950,612,0.0
2023-06-23,13000,13000,12770,12940,27,-0.0007722007722007
2023-06-26,12600,12930,12600,12910,333,-0.0023183925811437
2023-06-27,12730,12900,12520,12890,111,-0.0015491866769945
2023-06-28,12890,12890,12510,12740,773,-0.0116369278510473
2023-06-29,12600,12690,12520,12650,104,-0.0070643642072213
2023-06-30,12500,12750,12500,12730,27,0.0063241106719367
2023-07-03,12730,12730,12500,12500,464,-0.0180675569520817
2023-07-04,12780,12780,12310,12500,107,0.0
2023-07-05,12500,12500,12380,12490,127,-0.0008
2023-07-06,12470,12470,12200,12430,517,-0.0048038430744595
2023-07-07,12230,12360,12070,12360,601,-0.0056315366049879
2023-07-10,12110,12180,12050,12170,1011,-0.0153721682847896
2023-07-11,12170,12320,11980,12000,624,-0.0139687756778964
2023-07-12,12050,12230,12050,12060,55,0.0049999999999998
2023-07-13,11810,12190,11810,12010,113,-0.0041459369817579
2023-07-14,12000,12040,12000,12030,81,0.0016652789342215
2023-07-17,12010,12030,11700,11800,1472,-0.0191188694929342
2023-07-18,11800,12000,11750,11830,555,0.0025423728813558
2023-07-19,11830,11900,11700,11740,668,-0.007607776838546
2023-07-20,11700,11890,11630,11890,400,0.0127768313458263
2023-07-21,11890,11890,11880,11890,30,0.0
2023-07-24,11890,11890,11500,11550,967,-0.0285954583683767
2023-07-25,11600,11810,11410,11650,41,0.0086580086580085
2023-07-26,11510,11540,11110,11450,908,-0.0171673819742489
2023-07-27,11230,11650,11220,11510,101,0.005240174672489
2023-07-28,11320,11650,11320,11650,292,0.0121633362293658
2023-07-31,11900,11950,11650,11790,165,0.0120171673819742
2023-08-01,11950,11950,11650,11840,68,0.0042408821034776
2023-08-02,11840,11970,11650,11840,520,0.0
2023-08-03,11960,11960,11830,11840,58,0.0
2023-08-04,11720,11870,11710,11850,217,0.0008445945945945
2023-08-07,11650,11900,11650,11850,13,0.0
2023-08-08,11850,11900,11840,11900,97,0.0042194092827003
2023-08-09,11700,11890,11620,11880,114,-0.0016806722689075
2023-08-10,11950,11950,11460,11780,129,-0.0084175084175084
2023-08-11,11870,12370,11840,11850,847,0.0059422750424447
2023-08-14,11990,11990,11770,11890,9,0.0033755274261604
2023-08-16,12100,12600,11420,11450,1299,-0.0370058873002523
2023-08-17,11260,11410,11040,11380,564,-0.0061135371179039
2023-08-18,11400,11950,11380,11500,367,0.0105448154657292
2023-08-21,11840,11840,11500,11630,317,0.011304347826087
2023-08-22,11800,11800,11700,11710,691,0.0068787618228718
2023-08-23,11640,11800,11610,11800,1967,0.0076857386848847
2023-08-24,11950,11950,11630,11800,75,0.0
2023-08-25,11800,11800,11580,11720,120,-0.0067796610169491
2023-08-28,11920,11920,11710,11790,87,0.0059726962457338
2023-08-29,11800,11800,11710,11790,218,0.0
2023-08-30,11900,11990,11770,11980,135,0.0161153519932146
2023-08-31,12000,12260,12000,12100,1065,0.0100166944908179
2023-09-01,12100,12250,12050,12240,41,0.0115702479338843
2023-09-04,12110,12390,12110,12310,54,0.0057189542483659
2023-09-05,12320,12320,11960,11960,1435,-0.0284321689683184
2023-09-06,12200,12200,11960,12200,42,0.020066889632107
2023-09-07,12200,12200,11810,11960,449,-0.0196721311475409
2023-09-08,11990,11990,11630,11960,167,0.0
2023-09-11,11810,12130,11760,11970,150,0.0008361204013378
2023-09-12,11900,11900,11810,11900,18,-0.0058479532163743
2023-09-13,12320,12550,11960,11960,240,0.0050420168067226
2023-09-14,12250,12250,11810,11910,282,-0.004180602006689
2023-09-15,12000,12180,12000,12180,129,0.0226700251889169
2023-09-18,12380,12380,12010,12310,132,0.0106732348111657
2023-09-19,12310,12360,12100,12340,72,0.0024370430544273
2023-09-20,12340,12360,12220,12300,26,-0.0032414910858995
2023-09-21,12260,12390,11720,12100,375,-0.0162601626016259
2023-09-22,11840,12100,11750,11860,314,-0.0198347107438016
2023-09-25,11750,11770,11750,11770,2,-0.0075885328836424
2023-09-26,11750,11770,11600,11760,31,-0.0008496176720476
2023-09-27,11620,11870,11620,11870,26,0.0093537414965987
2023-10-04,11870,11870,11670,11870,84,0.0
2023-10-05,11980,11980,11980,11980,2,0.0092670598146586
2023-10-06,11980,11980,11760,11980,7,0.0
2023-10-10,11790,12030,11790,11800,617,-0.015025041736227
2023-10-11,11800,12200,11800,11890,276,0.0076271186440677
2023-10-12,12070,12100,12000,12100,336,0.0176619007569385
2023-10-13,12150,12150,11620,12100,211,0.0
2023-10-16,11800,12800,11700,12070,1133,-0.0024793388429752
2023-10-17,12000,12300,11850,11850,385,-0.0182270091135046
2023-10-18,12130,12850,11850,12050,488,0.0168776371308017
2023-10-19,12050,12050,11820,12050,54,0.0
2023-10-20,11770,11770,11770,11770,0,-0.0232365145228216
2023-10-23,12310,12310,11800,11800,25,0.0025488530161428
2023-10-24,11800,11800,11700,11700,48,-0.0084745762711864
2023-10-25,12090,12090,12090,12090,1,0.0333333333333334
2023-10-26,11750,12090,11750,12070,30,-0.0016542597187758
2023-10-27,12060,12070,12060,12070,10,0.0
2023-10-30,12070,12070,12070,12070,1,0.0
2023-10-31,12200,12200,11510,12030,33,-0.0033140016570007
2023-11-01,12030,12190,11690,12090,519,0.0049875311720697
2023-11-02,12090,12090,11800,12070,166,-0.0016542597187758
2023-11-03,11890,12050,11610,11610,744,-0.0381110190555095
2023-11-06,11750,11750,11610,11630,426,0.0017226528854434
2023-11-07,11610,11670,11500,11650,680,0.0017196904557179
2023-11-08,11650,11650,11510,11630,335,-0.0017167381974249
2023-11-09,11510,11670,11500,11600,234,-0.0025795356835769
2023-11-10,11590,11600,11570,11580,141,-0.0017241379310344
2023-11-13,11590,11590,11500,11580,30,0.0
2023-11-14,11500,11650,11450,11590,45,0.0008635578583764
2023-11-15,11590,11600,11590,11590,640,0.0
2023-11-16,11600,11930,11230,11590,253,0.0
2023-11-17,11690,11690,11500,11650,539,0.0051768766177739
2023-11-20,11500,11700,11500,11700,322,0.0042918454935623
2023-11-21,11360,11650,11360,11500,986,-0.0170940170940171
2023-11-22,11500,11650,11450,11550,44,0.0043478260869564
2023-11-23,11580,11650,11550,11640,426,0.0077922077922076
