Date,Open,High,Low,Close,Volume,Change
2023-04-04,3655,3745,3650,3730,349669,0.0191256830601092
2023-04-05,3705,3735,3665,3720,162116,-0.002680965147453085
2023-04-06,3720,3725,3640,3650,161537,-0.018817204301075252
2023-04-07,3645,3725,3645,3685,143732,0.009589041095890316
2023-04-10,3680,3695,3535,3550,251820,-0.03663500678426057
2023-04-11,3580,3620,3465,3600,166156,0.014084507042253502
2023-04-12,3570,3670,3570,3650,158618,0.01388888888888884
2023-04-13,3655,3690,3610,3690,200521,0.010958904109588996
2023-04-14,3720,3740,3670,3690,250785,0.0
2023-04-17,3720,3780,3705,3775,358908,0.023035230352303593
2023-04-18,3845,3855,3740,3740,399463,-0.009271523178807972
2023-04-19,3755,3925,3740,3925,749502,0.04946524064171132
2023-04-20,3880,4235,3770,4100,9547201,0.04458598726114649
2023-04-21,3970,4700,3950,4115,14691873,0.003658536585365857
2023-04-24,4410,4410,3970,4040,3185931,-0.018226002430133614
2023-04-25,3980,4020,3775,3890,1888666,-0.03712871287128716
2023-04-26,3805,4385,3790,4205,12326790,0.08097686375321334
2023-04-27,4070,4415,3885,4050,4485356,-0.03686087990487519
2023-04-28,4180,4260,3930,4140,2178559,0.022222222222222143
2023-05-02,4030,4135,3985,4100,1177837,-0.009661835748792313
2023-05-03,4090,4530,4065,4345,8785868,0.05975609756097566
2023-05-04,4435,4460,4000,4045,2474528,-0.0690448791714614
2023-05-08,4180,4890,4140,4600,16507645,0.13720642768850433
2023-05-09,5280,5280,4340,4365,11076551,-0.05108695652173911
2023-05-10,4750,5050,4410,4475,7766255,0.025200458190148822
2023-05-11,4340,4400,4220,4220,1565354,-0.05698324022346368
2023-05-12,4225,4240,3980,4000,1418341,-0.05213270142180093
2023-05-15,3965,4120,3895,4060,1105911,0.014999999999999902
2023-05-16,4060,4390,4030,4345,3623569,0.07019704433497531
2023-05-17,4285,4330,4100,4190,1190380,-0.03567318757192173
2023-05-18,3900,4000,3780,3945,1560156,-0.05847255369928406
2023-05-19,3930,4035,3885,3985,779703,0.010139416983523386
2023-05-22,4005,4160,4000,4070,958866,0.02132998745294845
2023-05-23,4015,4070,3990,3990,365029,-0.019656019656019708
