Date,Open,High,Low,Close,Volume,Change
2013-09-16,4620,4720,4585,4720,37040,
2013-09-17,4695,4810,4680,4735,8190,0.0031779661016948
2013-09-23,4700,4800,4670,4790,21170,0.0116156282998944
2013-09-24,4850,4855,4745,4850,42441,0.0125260960334028
2013-09-25,4850,4855,4765,4790,20592,-0.0123711340206185
2013-09-26,4790,4850,4780,4850,15526,0.0125260960334028
2013-09-27,4850,4925,4820,4900,20082,0.0103092783505154
2013-09-30,4885,4885,4775,4830,28870,-0.0142857142857142
2013-10-01,4760,4850,4755,4800,11365,-0.0062111801242236
2013-10-02,4800,4875,4680,4810,19120,0.0020833333333334
2013-10-04,4865,4890,4820,4830,12161,0.004158004158004
2013-10-07,4910,4910,4810,4810,15330,-0.0041407867494823
2013-10-08,4820,4850,4780,4780,11800,-0.0062370062370061
2013-10-10,4760,4895,4760,4845,5560,0.0135983263598327
2013-10-11,4860,5200,4815,4960,46570,0.0237358101135189
2013-10-14,4960,5010,4880,4960,9030,0.0
2013-10-15,4805,4950,4775,4885,19667,-0.0151209677419354
2013-10-16,4855,4950,4855,4915,15779,0.0061412487205732
2013-10-17,4915,4985,4870,4910,25839,-0.0010172939979654
2013-10-18,4910,4970,4880,4935,7671,0.005091649694501
2013-10-21,4895,4935,4880,4905,9945,-0.006079027355623
2013-10-22,4835,4950,4805,4930,13090,0.0050968399592252
2013-10-23,4940,4960,4900,4945,12050,0.0030425963488844
2013-10-24,4990,5000,4915,4920,2840,-0.0050556117290192
2013-10-25,5010,5140,4920,5090,28980,0.0345528455284553
2013-10-28,5090,5200,4970,5180,40920,0.0176817288801571
2013-10-29,5180,5230,5080,5180,19961,0.0
2013-10-30,5230,5230,5110,5200,6830,0.0038610038610038
2013-10-31,5200,5200,5120,5200,11960,0.0
2013-11-01,5200,5200,5110,5180,4881,-0.0038461538461538
2013-11-04,5110,5180,5100,5160,5910,-0.0038610038610038
2013-11-05,5100,5200,5100,5170,13890,0.001937984496124
2013-11-06,5100,5190,5100,5150,10137,-0.0038684719535783
2013-11-07,5190,5190,5090,5150,8010,0.0
2013-11-08,5060,5180,5060,5150,21992,0.0
2013-11-11,5020,5170,5000,5070,15590,-0.0155339805825243
2013-11-12,5040,5080,5040,5080,13690,0.0019723865877712
2013-11-13,4990,5080,4990,5040,10241,-0.0078740157480314
2013-11-14,4955,5140,4955,5010,10580,-0.0059523809523809
2013-11-15,5010,5110,4975,5070,5820,0.0119760479041917
2013-11-18,5070,5070,5010,5070,8860,0.0
2013-11-19,5000,5070,5000,5030,8780,-0.0078895463510848
2013-11-20,5000,5070,4950,5050,11121,0.0039761431411531
2013-11-21,5040,5040,4970,5040,5960,-0.0019801980198019
2013-11-22,5000,5060,4990,5010,9230,-0.0059523809523809
2013-11-25,4965,5000,4950,5000,8162,-0.0019960079840319
2013-11-26,4955,5000,4940,5000,7651,0.0
2013-11-27,4810,4995,4810,4970,15690,-0.006
2013-11-28,4890,4970,4885,4890,17780,-0.0160965794768611
2013-11-29,4985,4985,4865,4910,10300,0.0040899795501021
2013-12-02,4815,4985,4815,4845,16120,-0.0132382892057026
2013-12-03,4845,4915,4845,4885,13830,0.0082559339525283
2013-12-04,4890,4970,4850,4875,18545,-0.0020470829068577
2013-12-05,4810,4890,4810,4890,8270,0.0030769230769229
2013-12-06,4810,4900,4810,4870,18560,-0.0040899795501022
2013-12-09,4870,4905,4870,4895,25291,0.0051334702258727
2013-12-10,4895,4900,4820,4860,11580,-0.0071501532175689
2013-12-11,4755,4910,4755,4795,34551,-0.0133744855967078
2013-12-12,4900,4900,4710,4805,13484,0.0020855057351407
2013-12-13,4805,4850,4805,4850,7594,0.0093652445369407
2013-12-16,4850,4890,4845,4855,15310,0.0010309278350515
2013-12-17,4845,4880,4845,4880,7095,0.0051493305870236
2013-12-18,4810,4870,4810,4870,3380,-0.0020491803278688
2013-12-19,4875,4875,4790,4855,10370,-0.0030800821355235
2013-12-20,4865,4875,4850,4860,8480,0.0010298661174046
2013-12-23,4880,5000,4800,4990,12381,0.0267489711934156
2013-12-24,4980,4980,4920,4970,7010,-0.0040080160320641
2013-12-26,4970,4970,4800,4900,9680,-0.0140845070422535
2013-12-27,4810,4900,4810,4900,9640,0.0
2013-12-30,4830,4910,4830,4900,12070,0.0
2014-01-02,4900,5370,4900,5370,28690,0.0959183673469388
2014-01-03,5370,5370,4970,5120,34010,-0.0465549348230912
2014-01-06,5120,5120,4945,4980,16936,-0.02734375
