Date,Open,High,Low,Close,Volume,Change
2023-04-04,2945,3020,2940,3010,153547,0.022071307300509435
2023-04-05,2985,3010,2955,2990,109826,-0.006644518272425293
2023-04-06,2960,2970,2865,2875,165384,-0.038461538461538436
2023-04-07,2885,2890,2815,2830,138159,-0.01565217391304352
2023-04-10,2830,2835,2700,2700,287716,-0.04593639575971731
2023-04-11,2700,2770,2670,2770,205663,0.025925925925925908
2023-04-12,2795,2860,2765,2825,115815,0.019855595667870096
2023-04-13,2790,2835,2745,2795,71993,-0.010619469026548645
2023-04-14,2785,2925,2785,2910,173170,0.041144901610017826
2023-04-17,2900,2950,2875,2950,173608,0.013745704467353903
2023-04-18,3015,3015,2870,2915,177560,-0.011864406779661052
2023-04-19,2890,2965,2890,2950,149031,0.012006861063464935
2023-04-20,2945,2945,2835,2850,145008,-0.03389830508474578
2023-04-21,2850,2885,2775,2850,116028,0.0
2023-04-24,2810,2840,2750,2750,138972,-0.03508771929824561
2023-04-25,2725,2760,2615,2660,198736,-0.032727272727272716
2023-04-26,2635,2740,2605,2710,121145,0.018796992481203034
2023-04-27,2665,2665,2610,2625,126567,-0.03136531365313655
2023-04-28,2655,2710,2625,2630,102413,0.0019047619047618536
2023-05-02,2630,3170,2630,2900,3254758,0.102661596958175
2023-05-03,2900,2925,2825,2920,396449,0.006896551724137945
2023-05-04,2890,2960,2870,2910,194675,-0.003424657534246589
2023-05-08,2925,2955,2890,2890,195815,-0.0068728522336769515
2023-05-09,2855,2970,2855,2915,226336,0.00865051903114189
2023-05-10,2895,2955,2855,2880,115016,-0.012006861063464824
2023-05-11,2905,3050,2885,3025,516882,0.05034722222222232
2023-05-12,3015,3415,3005,3165,3572991,0.046280991735537125
2023-05-15,3135,3300,3030,3225,654251,0.018957345971563955
2023-05-16,3180,3295,3150,3210,418441,-0.0046511627906976605
2023-05-17,3180,3245,3140,3195,191205,-0.004672897196261627
2023-05-18,3210,3260,3155,3195,239078,0.0
2023-05-19,3235,3375,3190,3255,706433,0.018779342723004744
