Date,Open,High,Low,Close,Volume,Change
2013-09-16,1392,1392,1365,1371,579719,
2013-09-17,1374,1374,1330,1340,1113817,-0.0226112326768781
2013-09-23,1309,1334,1307,1314,1031115,-0.0194029850746269
2013-09-24,1316,1333,1306,1324,683450,0.0076103500761035
2013-09-25,1323,1333,1313,1326,448394,0.0015105740181269
2013-09-26,1313,1331,1313,1326,413526,0.0
2013-09-27,1325,1345,1318,1345,555998,0.0143288084464554
2013-09-30,1353,1446,1353,1387,2172125,0.0312267657992564
2013-10-01,1371,1393,1342,1357,1063158,-0.0216294160057678
2013-10-02,1365,1382,1330,1333,764725,-0.0176860722181282
2013-10-04,1331,1343,1311,1319,638983,-0.0105026256564141
2013-10-07,1319,1331,1311,1322,451111,0.0022744503411675
2013-10-08,1329,1331,1312,1314,331356,-0.0060514372163388
2013-10-10,1302,1331,1297,1314,432302,0.0
2013-10-11,1313,1331,1313,1326,246556,0.0091324200913243
2013-10-14,1331,1340,1318,1326,317612,0.0
2013-10-15,1338,1338,1304,1322,644146,-0.0030165912518853
2013-10-16,1314,1351,1307,1314,662618,-0.0060514372163388
2013-10-17,1329,1339,1307,1307,956584,-0.0053272450532724
2013-10-18,1314,1324,1302,1310,292239,0.0022953328232593
2013-10-21,1312,1317,1294,1312,391591,0.0015267175572519
2013-10-22,1302,1314,1300,1305,439250,-0.0053353658536585
2013-10-23,1301,1310,1278,1284,979913,-0.0160919540229884
2013-10-24,1293,1293,1276,1291,281400,0.0054517133956386
2013-10-25,1293,1293,1278,1291,412282,0.0
2013-10-28,1291,1293,1271,1284,512946,-0.005422153369481
2013-10-29,1284,1289,1264,1267,524534,-0.013239875389408
2013-10-30,1267,1275,1248,1256,836883,-0.0086819258089976
2013-10-31,1259,1323,1254,1272,1444241,0.0127388535031847
2013-11-01,1262,1279,1260,1265,435662,-0.005503144654088
2013-11-04,1265,1265,1245,1260,305701,-0.0039525691699604
2013-11-05,1250,1265,1250,1265,217757,0.0039682539682539
2013-11-06,1263,1270,1248,1249,350354,-0.0126482213438735
2013-11-07,1247,1255,1196,1206,745415,-0.0344275420336268
2013-11-08,1196,1216,1181,1206,312695,0.0
2013-11-11,1210,1215,1151,1164,499078,-0.0348258706467661
2013-11-12,1172,1194,1160,1185,429076,0.0180412371134019
2013-11-13,1183,1185,1166,1173,200600,-0.010126582278481
2013-11-14,1171,1180,1158,1169,142431,-0.0034100596760443
2013-11-15,1161,1183,1161,1171,237034,0.001710863986313
2013-11-18,1170,1175,1156,1173,157342,0.0017079419299743
2013-11-19,1171,1230,1164,1213,703104,0.0341005967604433
2013-11-20,1208,1215,1198,1209,167754,-0.0032976092333057
2013-11-21,1202,1204,1173,1180,267285,-0.0239867659222497
2013-11-22,1191,1206,1162,1199,201680,0.0161016949152541
2013-11-25,1209,1209,1187,1197,172750,-0.0016680567139282
2013-11-26,1196,1211,1191,1209,135896,0.0100250626566416
2013-11-27,1208,1235,1201,1213,206962,0.0033085194375517
2013-11-28,1213,1223,1205,1216,140230,0.0024732069249793
2013-11-29,1222,1222,1213,1218,125766,0.0016447368421053
2013-12-02,1215,1228,1201,1209,239612,-0.0073891625615764
2013-12-03,1193,1210,1156,1166,254720,-0.0355665839536807
2013-12-04,1177,1195,1163,1183,175369,0.0145797598627788
2013-12-05,1177,1201,1177,1202,164888,0.0160608622147082
2013-12-06,1198,1221,1194,1206,195006,0.0033277870216306
2013-12-09,1216,1219,1189,1192,115257,-0.011608623548922
2013-12-10,1176,1190,1156,1169,180883,-0.0192953020134227
2013-12-11,1150,1162,1135,1145,368100,-0.020530367835757
2013-12-12,1128,1148,1128,1136,146875,-0.0078602620087335
2013-12-13,1142,1152,1135,1143,144080,0.0061619718309859
2013-12-16,1145,1153,1126,1129,219956,-0.0122484689413823
2013-12-17,1133,1138,1116,1131,151638,0.0017714791851195
