Date,Open,High,Low,Close,Volume,Change
2013-09-16,5195,5195,5120,5160,96636,
2013-09-17,5121,5158,5083,5123,140728,-0.0071705426356588
2013-09-23,5120,5139,5063,5084,161729,-0.0076127269178215
2013-09-24,5064,5252,5045,5141,461683,0.0112116443745082
2013-09-25,5196,5233,5158,5179,326241,0.0073915580626338
2013-09-26,5158,5196,5140,5179,105069,0.0
2013-09-27,5176,5196,5158,5198,96022,0.0036686619038424
2013-09-30,5158,5196,5121,5179,129659,-0.0036552520200077
2013-10-01,5139,5195,5139,5160,133130,-0.0036686619038424
2013-10-02,5195,5252,5176,5236,179339,0.0147286821705425
2013-10-04,5196,5215,5158,5179,110764,-0.0108861726508785
2013-10-07,5140,5215,5120,5141,115813,-0.0073373238076849
2013-10-08,5158,5158,5007,5066,188055,-0.0145886014394086
2013-10-10,5064,5102,5026,5048,100348,-0.0035530990919857
2013-10-11,5083,5102,5025,5084,231223,0.0071315372424722
2013-10-14,5083,5121,5064,5104,108554,0.0039339103068449
2013-10-15,5083,5121,5083,5104,76177,0.0
2013-10-16,5102,5195,5083,5141,220804,0.0072492163009403
2013-10-17,5176,5176,5083,5123,197682,-0.003501264345458
2013-10-18,5102,5158,5083,5160,130587,0.0072223306656256
2013-10-21,5176,5195,5102,5160,169836,0.0
2013-10-22,5177,5383,5158,5349,656245,0.0366279069767441
2013-10-23,5403,5459,5290,5349,359754,0.0
2013-10-24,5364,5421,5270,5423,191303,0.0138343615629088
2013-10-25,5477,5497,5290,5349,422193,-0.0136455836252996
2013-10-28,5308,5346,5271,5293,115794,-0.0104692465881472
2013-10-29,5270,5383,5233,5330,156052,0.0069903646325335
2013-10-30,5346,5459,5308,5462,342162,0.0247654784240149
2013-10-31,5496,5496,5383,5443,116199,-0.0034785792749908
2013-11-01,5402,5440,5346,5423,175919,-0.0036744442403086
2013-11-04,5403,5422,5308,5349,177509,-0.0136455836252996
2013-11-05,5308,5347,5196,5275,252026,-0.0138343615629089
2013-11-06,5215,5328,5215,5293,89230,0.0034123222748814
2013-11-07,5271,5308,5215,5275,116529,-0.0034007179293406
