Date,Open,High,Low,Close,Volume,Change
2013-09-16,18300,18500,18250,18400,4605,
2013-09-17,18400,18500,18100,18250,2169,-0.0081521739130434
2013-09-23,18250,18400,18200,18300,3045,0.0027397260273973
2013-09-24,18150,18350,18050,18300,7817,0.0
2013-09-25,18150,18450,18100,18200,3316,-0.0054644808743169
2013-09-26,18200,18250,18050,18100,6782,-0.0054945054945054
2013-09-27,18100,18300,18100,18300,6010,0.011049723756906
2013-09-30,18300,18300,18050,18250,4874,-0.0027322404371584
2013-10-01,18250,18300,18100,18250,8380,0.0
2013-10-02,18400,18400,17900,18200,12137,-0.0027397260273972
2013-10-04,18050,18200,17950,18100,7894,-0.0054945054945054
2013-10-07,18050,18150,17950,18100,6762,0.0
2013-10-08,17900,18100,17850,18000,5873,-0.005524861878453
2013-10-10,18100,18100,17900,18050,2365,0.0027777777777777
2013-10-11,18150,18150,17950,18000,4213,-0.002770083102493
2013-10-14,17700,18050,17700,17950,3936,-0.0027777777777777
2013-10-15,18050,18100,17800,18100,4323,0.0083565459610028
2013-10-16,18100,18150,17900,18000,8721,-0.005524861878453
2013-10-17,18000,18000,17800,17900,7062,-0.0055555555555555
2013-10-18,17900,17900,17700,17900,6001,0.0
2013-10-21,17950,17950,17650,17700,18906,-0.0111731843575418
2013-10-22,17750,17800,17550,17650,16056,-0.0028248587570621
2013-10-23,17700,17850,17600,17600,5108,-0.0028328611898017
2013-10-24,17700,18000,17700,17950,9706,0.0198863636363635
2013-10-25,17950,18150,17950,18050,3422,0.0055710306406684
2013-10-28,18000,18100,17800,18100,8237,0.002770083102493
2013-10-29,17950,18000,17800,17950,9740,-0.0082872928176795
2013-10-30,17950,18100,17900,18000,4231,0.0027855153203342
2013-10-31,18000,18100,17900,17900,2210,-0.0055555555555555
2013-11-01,17900,18100,17850,18000,5676,0.0055865921787709
2013-11-04,18100,18150,17850,18000,4550,0.0
2013-11-05,18100,18100,17900,18000,434,0.0
2013-11-06,17900,18050,17850,17900,4272,-0.0055555555555555
2013-11-07,17900,18050,17850,17950,4862,0.0027932960893854
2013-11-08,17900,17950,17800,17900,1909,-0.0027855153203342
2013-11-11,17700,17800,17450,17600,7765,-0.0167597765363128
2013-11-12,17600,17700,17600,17700,548,0.0056818181818181
2013-11-13,17700,17800,17600,17650,5451,-0.0028248587570621
2013-11-14,17700,17700,17550,17600,7249,-0.0028328611898017
2013-11-15,17600,17700,17350,17350,20812,-0.0142045454545454
2013-11-18,17250,17550,17250,17500,4032,0.0086455331412103
2013-11-19,17500,17550,17450,17550,7866,0.0028571428571428
2013-11-20,17550,17600,17300,17300,6315,-0.0142450142450142
2013-11-21,17250,17400,16950,16950,26911,-0.0202312138728323
2013-11-22,17000,17800,16700,17000,13033,0.0029498525073745
2013-11-25,17200,17200,16800,17050,8237,0.0029411764705882
2013-11-26,17000,17550,16950,17200,6346,0.0087976539589442
2013-11-27,17150,17500,17100,17200,3864,0.0
2013-11-28,17200,17950,17200,17350,7438,0.0087209302325581
2013-11-29,17500,17700,17300,17350,4351,0.0
2013-12-02,17600,17650,17300,17600,4000,0.0144092219020173
2013-12-03,17600,17700,17150,17550,5907,-0.002840909090909
2013-12-04,17600,17600,17350,17350,938,-0.0113960113960114
2013-12-05,17200,17550,17200,17550,1826,0.0115273775216138
2013-12-06,17450,18150,17300,17650,2872,0.0056980056980056
2013-12-09,17750,18000,17600,17600,3383,-0.0028328611898017
2013-12-10,17750,17750,17400,17500,2275,-0.0056818181818182
2013-12-11,17500,17500,17150,17200,10039,-0.0171428571428571
2013-12-12,17250,17250,16950,17250,3743,0.002906976744186
2013-12-13,17200,17200,16850,16900,4017,-0.0202898550724637
2013-12-16,17000,17100,16800,17000,6709,0.0059171597633136
2013-12-17,16850,16950,16800,16850,3660,-0.0088235294117646
2013-12-18,16850,17000,16800,16800,4889,-0.002967359050445
2013-12-19,16800,17050,16800,16900,3966,0.0059523809523809
2013-12-20,16900,16900,16800,16900,2134,0.0
2013-12-23,16850,17050,16850,16900,6360,0.0
2013-12-24,17500,17500,16950,17100,7298,0.0118343195266272
2013-12-26,17000,17550,17000,17400,14905,0.0175438596491228
2013-12-27,17350,17400,17150,17400,5878,0.0
2013-12-30,17400,17950,17300,17650,1116,0.014367816091954
2014-01-02,18000,18000,17650,17650,5403,0.0
2014-01-03,17850,17950,17500,17850,6486,0.0113314447592067
2014-01-06,17850,18050,17750,17750,1885,-0.0056022408963585
2014-01-07,17900,17900,17650,17700,1512,-0.0028169014084507
2014-01-08,17700,17850,17700,17700,1346,0.0
2014-01-09,17700,17850,17650,17800,4089,0.0056497175141243
2014-01-10,17800,17850,17700,17800,1217,0.0
2014-01-13,17900,17900,17750,17750,3442,-0.0028089887640448
2014-01-14,17900,18000,17750,17900,1183,0.0084507042253521
2014-01-15,17900,17950,17650,17650,4703,-0.0139664804469273
2014-01-16,17650,17950,17650,17800,1601,0.0084985835694051
2014-01-17,17950,18300,17650,18150,13582,0.0196629213483146
2014-01-20,18100,18250,17650,18100,3325,-0.0027548209366391
2014-01-21,18200,18200,17900,17950,862,-0.0082872928176795
2014-01-22,18050,18250,17800,17800,6990,-0.0083565459610027
2014-01-23,17700,17950,17700,17750,4285,-0.0028089887640448
2014-01-24,17700,17950,17700,17800,405,0.0028169014084507
2014-01-27,17650,17700,17400,17600,4027,-0.0112359550561798
2014-01-28,17500,17950,17500,17600,6502,0.0
2014-01-29,17600,17800,17550,17700,2048,0.0056818181818181
2014-02-03,17900,17900,17400,17550,3158,-0.0084745762711864
2014-02-04,17250,17500,17250,17350,7774,-0.0113960113960114
2014-02-05,17350,17550,17300,17300,6282,-0.0028818443804035
2014-02-06,17400,17550,17300,17350,3389,0.0028901734104045
2014-02-07,17350,17700,17250,17250,8019,-0.0057636887608069
2014-02-10,17500,17500,17200,17400,6238,0.0086956521739129
2014-02-11,17350,17500,17300,17400,5734,0.0
2014-02-12,17400,17550,17250,17250,9572,-0.0086206896551723
2014-02-13,17650,17650,17350,17450,3274,0.0115942028985507
2014-02-14,17600,17650,17300,17550,4630,0.0057306590257879
2014-02-17,17550,17850,17500,17600,4096,0.0028490028490029
2014-02-18,17500,17650,17250,17450,4120,-0.0085227272727272
2014-02-19,17450,17750,17400,17600,4345,0.0085959885386819
2014-02-20,17600,17700,17350,17400,9162,-0.0113636363636363
2014-02-21,17400,17600,17250,17350,11236,-0.0028735632183908
2014-02-24,17350,17550,17350,17500,787,0.0086455331412103
2014-02-25,17400,17650,17400,17650,8646,0.0085714285714286
2014-02-26,17650,17750,17500,17650,6698,0.0
2014-02-27,17600,18200,17500,18050,28111,0.0226628895184135
2014-02-28,18100,18650,18000,18000,29947,-0.002770083102493
2014-03-03,18250,18250,17800,18000,8202,0.0
2014-03-04,18000,18200,17800,18100,4034,0.0055555555555555
2014-03-05,18200,18300,17900,18250,13170,0.0082872928176795
2014-03-06,18250,18450,18050,18300,15714,0.0027397260273973
2014-03-07,18400,18650,18300,18600,14690,0.0163934426229508
2014-03-10,18600,18650,18350,18500,6508,-0.0053763440860215
2014-03-11,18500,18650,18350,18450,8799,-0.0027027027027026
2014-03-12,18450,18550,18050,18300,6847,-0.008130081300813
2014-03-13,18300,18400,18050,18400,9701,0.0054644808743169
2014-03-14,18200,18400,18100,18200,3883,-0.0108695652173913
2014-03-17,18200,18300,18050,18150,3800,-0.0027472527472527
2014-03-18,18150,18600,18050,18300,12981,0.0082644628099173
2014-03-19,18400,18700,18350,18350,18821,0.0027322404371583
2014-03-20,18350,18500,18150,18300,11049,-0.002724795640327
2014-03-21,18400,18650,18300,18500,27182,0.0109289617486338
2014-03-24,18500,19200,18500,19200,46936,0.0378378378378378
2014-03-25,19200,19200,18850,19050,6578,-0.0078125
2014-03-26,19100,19100,18700,18950,13380,-0.005249343832021
2014-03-27,18850,19050,18800,18900,8392,-0.0026385224274406
2014-03-28,18900,19150,18800,19000,12121,0.0052910052910053
2014-03-31,19000,19050,18550,18650,10133,-0.0184210526315788
2014-04-01,18850,18950,18650,18950,7915,0.0160857908847185
2014-04-02,19100,19100,18700,18900,3175,-0.0026385224274406
2014-04-03,18950,19000,18650,18950,4656,0.0026455026455025
