Date,Open,High,Low,Close,Volume,Change
2023-04-04,120300,123000,119000,122600,23104,0.0216666666666667
2023-04-05,122900,125600,122100,123800,33769,0.0097879282218598
2023-04-06,123800,126100,121700,124100,24224,0.0024232633279483
2023-04-07,126000,126000,120600,121200,35797,-0.023368251410153
2023-04-10,121200,122400,119000,121600,27839,0.0033003300330032
2023-04-11,122500,125500,120800,124800,41439,0.0263157894736842
2023-04-12,124800,125700,121100,121100,86564,-0.0296474358974359
2023-04-13,121200,122700,120100,121500,69326,0.0033030553261768
2023-04-14,121500,123600,120900,120900,79820,-0.0049382716049383
2023-04-17,120900,120900,117700,117800,63539,-0.0256410256410256
2023-04-18,117800,118500,116700,118100,31653,0.002546689303905
2023-04-19,118400,121000,117400,119400,67060,0.0110076206604572
2023-04-20,119800,120300,117500,118700,35509,-0.0058626465661641
2023-04-21,119000,119000,116300,117600,47789,-0.0092670598146588
2023-04-24,117600,119800,117200,119100,34350,0.0127551020408163
2023-04-25,118500,118700,117200,117600,37239,-0.0125944584382871
2023-04-26,116600,123900,116500,121500,74891,0.0331632653061224
2023-04-27,121500,123300,117000,117000,65570,-0.037037037037037
2023-04-28,117500,117900,115600,116400,42922,-0.0051282051282051
2023-05-02,116400,121700,116400,120400,49598,0.0343642611683849
2023-05-03,120200,127600,119400,124000,127618,0.0299003322259137
2023-05-04,123100,127800,120100,120500,90297,-0.0282258064516128
2023-05-08,120500,120900,117800,118500,46130,-0.016597510373444
2023-05-09,118500,119900,116800,117400,41001,-0.0092827004219409
2023-05-10,118000,118500,116100,116600,41344,-0.0068143100511073
2023-05-11,116700,117200,114600,114600,59159,-0.0171526586620925
2023-05-12,115000,115000,112700,113700,40320,-0.0078534031413612
2023-05-15,113600,114700,111900,114500,38431,0.0070360598065084
2023-05-16,113100,115200,110100,112500,124623,-0.0174672489082969
2023-05-17,112500,112600,109600,111600,76256,-0.008
2023-05-18,111600,112300,108300,108700,87665,-0.0259856630824373
2023-05-19,108700,109400,107600,108000,52311,-0.0064397424103035
2023-05-22,108900,109200,107600,108000,43395,0.0
2023-05-23,108700,108700,106500,108200,70190,0.0018518518518517
2023-05-24,108700,112200,107900,108800,97039,0.0055452865064695
2023-05-25,108800,108800,105700,106600,86290,-0.0202205882352941
2023-05-26,106600,107300,105500,106800,39066,0.0018761726078799
2023-05-30,106800,107500,104900,105200,51433,-0.0149812734082397
2023-05-31,106000,108800,105800,108100,75293,0.0275665399239544
2023-06-01,108600,117300,107400,115700,192457,0.0703052728954671
2023-06-02,115800,118000,114000,116000,90469,0.0025929127052721
2023-06-05,115800,119500,115000,118800,68723,0.0241379310344826
2023-06-07,119200,121400,118400,119000,73170,0.0016835016835017
2023-06-08,118300,123200,118300,121000,116614,0.0168067226890755
2023-06-09,122200,122300,119200,120100,41367,-0.0074380165289256
2023-06-12,120100,120900,118700,120200,36837,0.0008326394671107
2023-06-13,119300,120700,117700,118700,51331,-0.0124792013311147
2023-06-14,118000,118500,115600,117300,57108,-0.0117944397641112
2023-06-15,117300,117300,114100,115500,56964,-0.0153452685421995
2023-06-16,115500,116100,113600,114300,40954,-0.0103896103896103
2023-06-19,106900,111000,103400,105400,346955,-0.0778652668416447
2023-06-20,107000,109300,106200,107600,126151,0.0208728652751422
2023-06-21,108700,109500,106800,107200,62329,-0.0037174721189591
2023-06-22,107200,107800,105500,107400,41909,0.001865671641791
2023-06-23,108300,108300,105800,106500,46794,-0.0083798882681563
2023-06-26,106500,106800,104200,104900,56073,-0.0150234741784037
2023-06-27,105100,112000,103100,110000,134484,0.0486177311725453
2023-06-28,110000,110000,106500,106900,69834,-0.0281818181818181
2023-06-29,105600,106900,103800,103800,72432,-0.0289990645463049
2023-06-30,104700,108000,103400,107000,64707,0.0308285163776493
2023-07-03,118200,120700,115500,116000,309859,0.0841121495327101
2023-07-04,115400,115700,112700,114500,77161,-0.0129310344827586
2023-07-05,114300,126400,114200,123500,232760,0.0786026200873362
2023-07-06,123500,125100,120400,121200,86136,-0.0186234817813765
2023-07-07,120000,123700,119700,121700,59907,0.0041254125412542
2023-07-10,122600,123400,120000,120400,57348,-0.0106820049301561
2023-07-11,121000,123400,120700,121900,67437,0.0124584717607973
2023-07-12,122500,122800,120700,121800,31469,-0.0008203445447088
2023-07-13,121000,122300,118000,119200,69423,-0.0213464696223316
2023-07-14,119300,120800,118500,119400,51834,0.0016778523489933
2023-07-17,120100,121600,117500,118000,47933,-0.0117252931323282
2023-07-18,116800,119000,116000,116800,33816,-0.0101694915254236
2023-07-19,116800,119100,114800,118500,38401,0.0145547945205479
2023-07-20,118000,118800,114700,116300,71222,-0.0185654008438818
2023-07-21,116300,120600,115600,118700,55642,0.0206362854686157
2023-07-24,118700,118700,116300,116600,26038,-0.0176916596461668
2023-07-25,117000,119400,114100,118000,72304,0.0120068610634649
