Date,Open,High,Low,Close,Volume,Change
2013-09-16,610,617,603,609,100762,
2013-09-17,611,611,601,604,63680,-0.0082101806239737
2013-09-23,607,607,600,605,102125,0.0016556291390728
2013-09-24,608,608,601,607,56450,0.0033057851239668
2013-09-25,608,608,600,605,80101,-0.0032948929159802
2013-09-26,607,607,601,603,66171,-0.0033057851239669
2013-09-27,605,611,602,605,189431,0.0033167495854062
2013-09-30,607,607,599,603,97157,-0.0033057851239669
2013-10-01,605,605,590,603,215641,0.0
2013-10-02,598,603,592,603,256076,0.0
2013-10-04,603,604,595,602,97086,-0.0016583747927031
2013-10-07,603,603,597,600,91335,-0.0033222591362126
2013-10-08,600,606,594,604,107340,0.0066666666666665
2013-10-10,604,605,596,602,29019,-0.0033112582781457
2013-10-11,603,605,597,603,48969,0.0016611295681063
2013-10-14,604,604,598,598,59385,-0.0082918739635157
2013-10-15,598,600,595,598,61511,0.0
2013-10-16,600,600,592,594,69713,-0.0066889632107023
2013-10-17,590,599,588,590,165012,-0.0067340067340067
2013-10-18,581,607,581,592,83315,0.0033898305084745
2013-10-21,590,598,590,592,18667,0.0
2013-10-22,592,598,588,589,28692,-0.0050675675675675
2013-10-23,589,591,582,582,85718,-0.0118845500848896
2013-10-24,580,591,580,584,48333,0.0034364261168384
2013-10-25,587,587,571,583,88976,-0.0017123287671232
2013-10-28,584,586,571,574,81616,-0.0154373927958834
2013-10-29,578,581,572,576,61362,0.0034843205574912
2013-10-30,576,581,571,577,84585,0.0017361111111111
2013-10-31,576,582,570,577,96540,0.0
2013-11-01,579,580,571,577,37270,0.0
2013-11-04,577,581,571,577,59655,0.0
2013-11-05,578,578,569,572,61667,-0.0086655112651646
2013-11-06,573,574,566,573,60016,0.0017482517482516
2013-11-07,574,580,569,569,115070,-0.0069808027923211
2013-11-08,573,573,561,564,94153,-0.0087873462214411
2013-11-11,567,570,553,558,86208,-0.0106382978723403
2013-11-12,558,560,550,558,54547,0.0
2013-11-13,555,558,545,546,87076,-0.021505376344086
2013-11-14,546,546,531,536,107964,-0.0183150183150183
2013-11-15,537,543,533,535,34857,-0.001865671641791
2013-11-18,535,543,534,536,42157,0.0018691588785046
2013-11-19,536,538,509,516,184696,-0.0373134328358208
2013-11-20,507,519,502,519,97343,0.0058139534883721
