Date,Open,High,Low,Close,Volume,Change
2013-09-16,1494,1536,1490,1536,17045,
2013-09-17,1523,1536,1502,1524,22251,-0.0078125
2013-09-23,1515,1532,1507,1507,11567,-0.0111548556430446
2013-09-24,1511,1523,1486,1507,4048,0.0
2013-09-25,1511,1603,1502,1520,21271,0.008626410086264
2013-09-26,1532,1552,1523,1536,17631,0.0105263157894737
2013-09-27,1544,1561,1536,1545,11494,0.005859375
2013-09-30,1536,1561,1532,1553,16391,0.005177993527508
2013-10-01,1552,1552,1540,1549,18420,-0.0025756600128783
2013-10-02,1544,1548,1536,1536,8945,-0.0083925112976113
2013-10-04,1519,1527,1502,1520,8963,-0.0104166666666666
2013-10-07,1511,1511,1477,1503,16780,-0.0111842105263157
2013-10-08,1490,1498,1461,1499,3912,-0.0026613439787092
2013-10-10,1502,1515,1502,1515,1978,0.0106737825216811
2013-10-11,1515,1527,1507,1520,3192,0.0033003300330032
2013-10-14,1527,1527,1507,1515,4930,-0.0032894736842105
2013-10-15,1523,1540,1486,1511,25681,-0.0026402640264026
2013-10-16,1515,1523,1502,1511,3153,0.0
2013-10-17,1519,1523,1502,1511,13871,0.0
2013-10-18,1507,1515,1502,1515,1049,0.0026472534745201
2013-10-21,1507,1519,1502,1511,4560,-0.0026402640264026
2013-10-22,1502,1515,1498,1515,240,0.0026472534745201
2013-10-23,1519,1536,1511,1536,7702,0.0138613861386138
2013-10-24,1527,1540,1527,1528,3560,-0.0052083333333333
2013-10-25,1536,1536,1519,1520,25670,-0.0052356020942407
2013-10-28,1519,1536,1519,1524,1400,0.0026315789473683
2013-10-29,1527,1536,1519,1524,9840,0.0
2013-10-30,1527,1532,1519,1532,2450,0.0052493438320209
2013-10-31,1532,1532,1502,1515,11640,-0.0110966057441252
2013-11-01,1515,1523,1473,1503,11088,-0.0079207920792079
2013-11-04,1507,1511,1494,1503,1660,0.0
2013-11-05,1502,1515,1494,1511,11655,0.0053226879574184
2013-11-06,1502,1527,1502,1528,3130,0.0112508272667108
2013-11-07,1527,1532,1515,1515,22710,-0.0085078534031413
2013-11-08,1511,1511,1502,1511,12850,-0.0026402640264026
2013-11-11,1511,1511,1511,1511,520,0.0
2013-11-12,1511,1527,1511,1528,3530,0.0112508272667108
2013-11-13,1527,1527,1519,1520,3915,-0.0052356020942407
2013-11-14,1519,1519,1486,1503,15710,-0.0111842105263157
2013-11-15,1494,1515,1494,1515,1310,0.0079840319361277
2013-11-18,1515,1515,1511,1511,5862,-0.0026402640264026
2013-11-19,1511,1515,1502,1515,4630,0.0026472534745201
2013-11-20,1511,1511,1507,1511,8740,-0.0026402640264026
2013-11-21,1511,1511,1511,1511,710,0.0
2013-11-22,1515,1523,1507,1511,870,0.0
2013-11-25,1482,1519,1482,1507,430,-0.0026472534745202
2013-11-26,1515,1527,1507,1528,1132,0.0139349701393496
2013-11-27,1523,1527,1511,1520,9140,-0.0052356020942407
2013-11-28,1523,1552,1519,1553,5840,0.0217105263157895
