Date,Open,High,Low,Close,Volume,Change
2013-09-16,9050,9220,9050,9210,104085,
2013-09-17,9130,9280,9130,9280,64414,0.007600434310532
2013-09-23,9230,9390,9220,9390,113999,0.0118534482758621
2013-09-24,9360,9460,9350,9450,99542,0.0063897763578275
2013-09-25,9410,9470,9260,9380,87514,-0.0074074074074074
2013-09-26,9260,9370,9260,9350,34223,-0.0031982942430703
2013-09-27,9300,9430,9290,9430,43992,0.0085561497326203
2013-09-30,9330,9360,9220,9260,35901,-0.0180275715800636
2013-10-01,9230,9290,9170,9220,31511,-0.0043196544276458
2013-10-02,9220,9270,9010,9050,82603,-0.0184381778741865
2013-10-04,8950,9050,8940,8960,36025,-0.0099447513812154
2013-10-07,9040,9040,8820,8890,33407,-0.0078125
2013-10-08,8820,8830,8670,8710,83391,-0.0202474690663666
2013-10-10,8690,8760,8690,8710,16241,0.0
2013-10-11,8900,8960,8830,8960,69071,0.0287026406429391
2013-10-14,9050,9050,8950,8970,43448,0.0011160714285713
2013-10-15,8980,9080,8960,9000,68116,0.0033444816053511
2013-10-16,9010,9120,9000,9110,66678,0.0122222222222221
2013-10-17,9140,9220,9010,9050,67002,-0.0065861690450055
2013-10-18,9120,9140,8970,9140,59268,0.0099447513812154
2013-10-21,9100,9210,8900,8960,130416,-0.0196936542669584
2013-10-22,8960,9080,8930,9080,48874,0.0133928571428572
2013-10-23,9060,9210,9050,9080,70110,0.0
2013-10-24,9000,9150,9000,9140,34399,0.0066079295154184
2013-10-25,9110,9150,8860,8920,126905,-0.024070021881838
2013-10-28,8930,8930,8740,8900,58206,-0.0022421524663677
2013-10-29,8900,8900,8780,8870,27195,-0.0033707865168539
2013-10-30,8840,8930,8790,8880,114174,0.0011273957158963
2013-10-31,8840,8870,8790,8850,37143,-0.0033783783783783
2013-11-01,8800,8870,8750,8860,32729,0.0011299435028249
2013-11-04,8900,8900,8770,8890,35251,0.0033860045146727
2013-11-05,8890,8890,8780,8780,20473,-0.0123734533183351
2013-11-06,8780,8950,8730,8930,29238,0.0170842824601367
2013-11-07,8910,8910,8820,8900,56302,-0.0033594624860022
2013-11-08,8870,8900,8770,8800,31548,-0.0112359550561798
2013-11-11,8900,8900,8660,8680,27854,-0.0136363636363636
2013-11-12,8650,8790,8650,8740,25592,0.0069124423963133
2013-11-13,8670,8720,8600,8620,16960,-0.0137299771167047
2013-11-14,8660,8700,8450,8490,75431,-0.0150812064965196
2013-11-15,8520,8620,8500,8610,50955,0.0141342756183746
2013-11-18,8610,8640,8540,8600,53925,-0.0011614401858304
2013-11-19,8600,8670,8570,8620,25194,0.0023255813953488
2013-11-20,8640,8640,8550,8590,34031,-0.0034802784222738
2013-11-21,8590,8590,8500,8550,41217,-0.0046565774155995
2013-11-22,8550,8560,8480,8500,62982,-0.0058479532163743
2013-11-25,8550,8570,8500,8540,26125,0.0047058823529411
2013-11-26,8450,8590,8450,8590,46499,0.005854800936768
2013-11-27,8590,8590,8490,8540,21992,-0.0058207217694994
2013-11-28,8540,8700,8540,8620,44523,0.009367681498829
2013-11-29,8670,8710,8600,8710,27610,0.0104408352668212
2013-12-02,8730,8730,8680,8730,21604,0.002296211251435
2013-12-03,8710,8710,8650,8660,19430,-0.0080183276059564
2013-12-04,8660,8680,8570,8630,22569,-0.0034642032332563
2013-12-05,8680,8690,8580,8590,18610,-0.0046349942062572
2013-12-06,8550,8610,8510,8560,35183,-0.0034924330616996
2013-12-09,8520,8570,8520,8560,25501,0.0
2013-12-10,8570,8590,8470,8560,80607,0.0
2013-12-11,8550,8550,8470,8530,51950,-0.0035046728971962
2013-12-12,8520,8540,8450,8500,60140,-0.003516998827667
2013-12-13,8430,8500,8360,8420,40559,-0.0094117647058823
2013-12-16,8420,8450,8230,8240,107903,-0.021377672209026
2013-12-17,8240,8290,8240,8240,54154,0.0
2013-12-18,8250,8250,8070,8130,153160,-0.0133495145631068
2013-12-19,8200,8200,8000,8000,178141,-0.015990159901599
2013-12-20,8000,8040,7400,7400,810461,-0.0749999999999999
2013-12-23,7310,7500,6900,7500,1067170,0.0135135135135135
2013-12-24,7450,7740,7400,7740,201319,0.032
2013-12-26,7750,7750,7670,7700,111099,-0.0051679586563307
2013-12-27,7660,7760,7620,7750,106854,0.0064935064935065
2013-12-30,7780,7850,7700,7850,117013,0.0129032258064516
2014-01-02,7850,7850,7690,7800,67719,-0.0063694267515923
2014-01-03,7800,7810,7640,7750,59395,-0.0064102564102563
2014-01-06,7710,7760,7540,7640,73316,-0.0141935483870967
2014-01-07,7570,7670,7520,7640,71596,0.0
2014-01-08,7630,7660,7460,7560,111509,-0.0104712041884816
2014-01-09,7560,7660,7500,7650,83353,0.0119047619047618
2014-01-10,7610,7650,7470,7530,85018,-0.0156862745098039
2014-01-13,7520,7570,7480,7550,66860,0.0026560424966799
2014-01-14,7500,7580,7460,7570,114256,0.0026490066225166
2014-01-15,7600,7600,7540,7560,21948,-0.0013210039630119
2014-01-16,7550,7640,7540,7540,40769,-0.0026455026455026
2014-01-17,7560,7570,7450,7510,28123,-0.0039787798408488
2014-01-20,7520,7580,7470,7530,45800,0.0026631158455392
2014-01-21,7530,7590,7480,7590,37647,0.0079681274900398
2014-01-22,7540,7620,7450,7490,119707,-0.0131752305665349
2014-01-23,7470,7510,7450,7490,62048,0.0
2014-01-24,7450,7470,7340,7400,118666,-0.0120160213618157
2014-01-27,7300,7400,7210,7380,226669,-0.0027027027027026
2014-01-28,7310,7400,7250,7390,196159,0.0013550135501354
2014-01-29,7410,7670,7410,7600,161705,0.0284167794316643
2014-02-03,7590,7660,7510,7630,109095,0.0039473684210526
2014-02-04,7550,7610,7450,7570,191356,-0.0078636959370904
2014-02-05,7590,7660,7570,7570,91210,0.0
2014-02-06,7550,7690,7510,7600,195364,0.0039630118890356
2014-02-07,7650,7840,7630,7810,339798,0.0276315789473684
2014-02-10,7830,7840,7700,7810,88539,0.0
2014-02-11,7810,7810,7700,7770,92880,-0.0051216389244558
2014-02-12,7750,7810,7720,7730,131011,-0.0051480051480051
2014-02-13,7760,7800,7690,7780,118315,0.0064683053040104
2014-02-14,7780,7830,7730,7780,130187,0.0
2014-02-17,7850,8000,7790,8000,503528,0.0282776349614395
2014-02-18,8000,8080,7990,8080,291866,0.01
2014-02-19,8090,8110,8000,8100,237580,0.0024752475247524
2014-02-20,8000,8260,8000,8130,163047,0.0037037037037037
2014-02-21,8100,8120,8030,8110,150651,-0.0024600246002459
2014-02-24,8130,8170,8030,8100,172793,-0.001233045622688
2014-02-25,8110,8460,8110,8430,531330,0.0407407407407407
2014-02-26,8450,8540,8330,8500,290519,0.0083036773428233
2014-02-27,8500,8570,8440,8550,249992,0.0058823529411764
2014-02-28,8480,8730,8400,8510,512043,-0.0046783625730993
2014-03-03,8500,8650,8460,8640,161902,0.0152761457109282
2014-03-04,8640,8820,8600,8780,420754,0.0162037037037037
2014-03-05,8780,8940,8740,8920,346920,0.0159453302961276
2014-03-06,8990,8990,8840,8920,163893,0.0
2014-03-07,8910,8940,8790,8890,332959,-0.0033632286995515
2014-03-10,8830,8860,8760,8790,228058,-0.0112485939257592
2014-03-11,8840,8840,8580,8620,206295,-0.0193401592718999
2014-03-12,8620,8630,8400,8480,218584,-0.0162412993039443
2014-03-13,8490,8540,8350,8450,75376,-0.0035377358490565
2014-03-14,8400,8440,8260,8260,201460,-0.0224852071005917
2014-03-17,8230,8410,8180,8330,181754,0.0084745762711864
2014-03-18,8440,8440,8300,8370,119997,0.0048019207683074
2014-03-19,8370,8440,8290,8310,219332,-0.0071684587813619
2014-03-20,8310,8340,8210,8240,134515,-0.0084235860409145
2014-03-21,8260,8350,8130,8270,543254,0.0036407766990291
2014-03-24,8270,8570,8270,8500,159549,0.0278113663845223
2014-03-25,8600,8810,8540,8720,235227,0.0258823529411764
2014-03-26,8750,8830,8720,8720,109241,0.0
2014-03-27,8700,8970,8700,8880,167396,0.0183486238532109
2014-03-28,8870,8970,8780,8860,174006,-0.0022522522522522
2014-03-31,8860,8930,8690,8930,130800,0.0079006772009029
2014-04-01,8940,8960,8850,8910,122221,-0.0022396416573348
2014-04-02,8860,9090,8860,9080,151355,0.0190796857463524
2014-04-03,9080,9150,9050,9080,119967,0.0
2014-04-04,9050,9220,9050,9190,84214,0.0121145374449338
2014-04-07,9150,9300,9100,9260,106362,0.0076169749727965
2014-04-08,9180,9430,9160,9360,112270,0.0107991360691144
2014-04-09,9350,9590,9060,9060,426535,-0.032051282051282
2014-04-10,9160,9260,9100,9250,105082,0.020971302428256
2014-04-11,9190,9360,9120,9360,144853,0.0118918918918919
2014-04-14,9390,9440,9310,9360,90539,0.0
2014-04-15,9360,9570,9360,9510,227402,0.0160256410256409
2014-04-16,9510,9710,9510,9640,161859,0.013669821240799
2014-04-17,9660,9710,9590,9600,130045,-0.0041493775933609
2014-04-18,9600,9630,9370,9400,161557,-0.0208333333333333
2014-04-21,9400,9430,9200,9230,141412,-0.0180851063829787
2014-04-22,9250,9430,9250,9400,127174,0.018418201516793
2014-04-23,9400,9470,9240,9250,137098,-0.0159574468085106
2014-04-24,9260,9360,9150,9250,118312,0.0
2014-04-25,9250,9330,9250,9250,83922,0.0
2014-04-28,9240,9240,9100,9170,175449,-0.0086486486486486
2014-04-29,9100,9250,9100,9240,66771,0.0076335877862594
2014-04-30,9200,9390,9160,9330,124312,0.0097402597402598
2014-05-02,9300,9400,9270,9270,87170,-0.0064308681672026
2014-05-07,9270,9360,9180,9230,298151,-0.0043149946062567
2014-05-08,9210,9310,9120,9200,262015,-0.0032502708559046
2014-05-09,9160,9270,9160,9240,59448,0.0043478260869564
2014-05-12,9250,9250,9110,9110,74233,-0.0140692640692641
2014-05-13,9120,9270,9120,9250,101283,0.0153677277716794
