Date,Open,High,Low,Close,Volume,Change
2013-09-16,62900,62900,60600,61800,361,
2013-09-17,60900,62200,60900,62200,122,0.006472491909385
2013-09-23,62200,62200,60500,60800,942,-0.022508038585209
2013-09-24,60400,60800,60300,60600,633,-0.0032894736842105
2013-09-25,60500,62300,60400,60400,470,-0.0033003300330033
2013-09-26,61100,61200,60600,60600,34,0.0033112582781456
2013-09-27,60900,61400,60000,60500,822,-0.0016501650165016
2013-09-30,61700,61700,60500,61000,284,0.0082644628099173
2013-10-01,61300,61300,60600,61100,113,0.001639344262295
2013-10-02,61100,61100,60500,60600,208,-0.0081833060556464
2013-10-04,60100,61300,60100,61000,5,0.0066006600660066
2013-10-07,61000,61000,60100,60200,376,-0.0131147540983606
2013-10-08,60200,60200,60000,60000,1184,-0.0033222591362126
2013-10-10,60100,60800,60100,60800,488,0.0133333333333334
2013-10-11,60800,60800,60000,60800,361,0.0
2013-10-14,60900,60900,60100,60700,253,-0.0016447368421053
2013-10-15,60000,60800,60000,60800,132,0.00164744645799
2013-10-16,61100,61100,60300,61100,277,0.0049342105263157
2013-10-17,61100,61100,60000,60100,829,-0.0163666121112929
2013-10-18,60800,63000,60800,60900,322,0.0133111480865224
2013-10-21,62400,62400,60400,61400,58,0.0082101806239738
2013-10-22,61400,61400,60200,60900,1053,-0.00814332247557
2013-10-23,61100,61100,60000,60300,267,-0.0098522167487684
2013-10-24,59800,60700,59800,60400,274,0.0016583747927032
2013-10-25,60000,60400,60000,60400,873,0.0
2013-10-28,60400,60400,59900,59900,731,-0.0082781456953642
2013-10-29,59800,59900,59000,59700,1486,-0.0033388981636059
2013-10-30,59700,59700,59500,59700,278,0.0
2013-10-31,60100,60100,59700,59700,31,0.0
2013-11-01,60000,60200,59700,59700,477,0.0
2013-11-04,59700,60000,59100,59500,313,-0.0033500837520937
2013-11-05,59000,59800,59000,59400,476,-0.0016806722689075
2013-11-06,59100,59900,59100,59300,174,-0.0016835016835017
2013-11-07,59200,59700,58800,59600,98,0.0050590219224282
2013-11-08,59500,59500,59000,59400,39,-0.0033557046979866
2013-11-11,59300,59700,59000,59600,42,0.0033670033670034
2013-11-12,59700,59700,59500,59700,20,0.0016778523489933
2013-11-13,59200,59900,59200,59700,132,0.0
2013-11-14,59800,59800,59700,59700,6,0.0
2013-11-15,59700,60000,59100,60000,107,0.0050251256281406
2013-11-18,60500,60500,59200,59900,294,-0.0016666666666667
2013-11-19,60600,60600,58800,59900,210,0.0
2013-11-20,59800,59900,59800,59900,2,0.0
2013-11-21,59100,59700,58600,59700,150,-0.0033388981636059
2013-11-22,59200,59600,58900,59400,1597,-0.0050251256281407
2013-11-25,59100,60600,59100,60300,1266,0.0151515151515151
2013-11-26,60400,60400,59600,60000,157,-0.0049751243781094
2013-11-27,60200,60300,59700,60100,656,0.0016666666666667
2013-11-28,60400,60400,59700,60300,222,0.0033277870216306
2013-11-29,59900,60400,59700,60400,555,0.0016583747927032
2013-12-02,59700,60400,59700,59800,1404,-0.0099337748344371
2013-12-03,59600,59900,59100,59200,390,-0.0100334448160535
2013-12-04,59100,60900,59000,60000,3121,0.0135135135135135
2013-12-05,60100,60100,59000,60000,655,0.0
2013-12-06,58900,60300,58900,59800,655,-0.0033333333333332
2013-12-09,59800,60000,59200,59900,842,0.0016722408026756
2013-12-10,59500,60000,59100,60000,447,0.0016694490818029
2013-12-11,59200,60300,59100,60200,317,0.0033333333333334
2013-12-12,61000,61000,58800,60200,840,0.0
2013-12-13,60200,60400,59500,60200,1794,0.0
2013-12-16,59500,60500,59500,60100,126,-0.0016611295681062
2013-12-17,59600,60000,59100,59700,282,-0.0066555740432612
2013-12-18,59700,59800,59000,59800,272,0.0016750418760469
2013-12-19,59100,61000,59100,60600,1076,0.0133779264214046
