Date,Open,High,Low,Close,Volume,Change
2019-06-18,4205,4270,4150,4270,12560,0.015457788347205792
2019-06-19,4265,4450,4180,4275,94592,0.0011709601873535203
2019-06-20,4300,4300,4220,4280,18002,0.0011695906432749315
2019-06-21,4280,4325,4235,4270,9083,-0.002336448598130869
2019-06-24,4275,4340,4180,4225,15371,-0.010538641686182681
2019-06-25,4285,4285,4150,4210,13767,-0.0035502958579881616
2019-06-26,4245,4245,4100,4100,33752,-0.026128266033254133
2019-06-27,4100,4145,4060,4085,9059,-0.003658536585365857
2019-06-28,4085,4120,4035,4075,10948,-0.002447980416156681
2019-07-01,4075,4095,4050,4095,8951,0.004907975460122671
2019-07-02,4095,4140,4050,4055,14251,-0.009768009768009733
2019-07-03,4055,4235,4050,4080,45948,0.006165228113440113
2019-07-04,4080,4140,4040,4055,40875,-0.006127450980392135
2019-07-05,4055,4075,4015,4055,18588,0.0
2019-07-08,4055,4070,3950,3960,29030,-0.023427866831072786
2019-07-09,4000,4070,3905,3950,18883,-0.002525252525252486
2019-07-10,3950,3980,3930,3965,13789,0.0037974683544304
2019-07-11,3965,4000,3950,3965,12365,0.0
2019-07-12,4000,4000,3945,3985,12436,0.0050441361916770955
2019-07-15,3995,3995,3955,3970,2705,-0.0037641154328732496
2019-07-16,3950,4050,3920,3970,14178,0.0
2019-07-17,4000,4000,3915,3990,15535,0.005037783375314797
2019-07-18,4000,4000,3920,3935,18485,-0.013784461152882233
2019-07-19,3935,4070,3935,4010,12184,0.019059720457433205
2019-07-22,4050,4050,3960,3970,23191,-0.009975062344139696
2019-07-23,3955,3985,3940,3955,8605,-0.0037783375314861534
2019-07-24,3975,4220,3935,3975,67737,0.005056890012642201
2019-07-25,3975,4050,3910,3910,14472,-0.01635220125786163
2019-07-26,3885,3965,3835,3840,13984,-0.01790281329923271
2019-07-29,3925,3925,3580,3600,30693,-0.0625
2019-07-30,3365,3710,3365,3650,18701,0.01388888888888884
2019-07-31,3600,4695,3600,3750,3408738,0.027397260273972712
2019-08-01,3650,3730,3495,3590,381801,-0.04266666666666663
2019-08-02,3540,3670,3480,3590,163589,0.0
2019-08-05,3635,3665,3385,3385,200045,-0.057103064066852394
2019-08-06,3400,4060,3160,3650,921790,0.07828655834564247
2019-08-07,3635,3795,3535,3600,228052,-0.013698630136986356
2019-08-08,3700,3850,3570,3625,206981,0.00694444444444442
2019-08-09,3760,3850,3650,3710,225703,0.02344827586206888
2019-08-12,3710,3740,3650,3730,71680,0.005390835579514919
2019-08-13,3730,3890,3670,3720,169478,-0.002680965147453085
2019-08-14,3725,4050,3725,3830,218102,0.029569892473118253
2019-08-16,3810,3810,3635,3740,124586,-0.023498694516971286
2019-08-19,3700,3775,3700,3750,64824,0.002673796791443861
2019-08-20,3760,4010,3760,3830,242291,0.021333333333333426
2019-08-21,3790,3860,3750,3820,75530,-0.0026109660574412663
2019-08-22,3855,3900,3820,3900,72834,0.020942408376963373
2019-08-23,3895,3935,3800,3815,70460,-0.02179487179487183
2019-08-26,3750,3815,3725,3765,37417,-0.013106159895150737
2019-08-27,3715,3810,3715,3765,38925,0.0
2019-08-28,3775,3800,3690,3710,34042,-0.014608233731739695
2019-08-29,3710,3760,3665,3700,14154,-0.0026954177897574594
2019-08-30,3680,3780,3680,3740,37641,0.0108108108108107
2019-09-02,3770,3775,3630,3745,15838,0.0013368983957218195
2019-09-03,3705,3770,3695,3695,17288,-0.013351134846461998
2019-09-04,3695,3720,3665,3665,22089,-0.008119079837618393
2019-09-05,3700,3815,3680,3730,23428,0.017735334242837686
2019-09-06,3740,3785,3710,3735,13501,0.0013404825737264314
2019-09-09,3690,3750,3690,3705,19699,-0.008032128514056214
2019-09-10,3705,3735,3635,3690,28528,-0.004048582995951455
2019-09-11,3655,3725,3655,3705,8252,0.004065040650406582
2019-09-16,3680,3725,3680,3710,16518,0.0013495276653170407
2019-09-17,3735,3800,3725,3780,68037,0.018867924528301883
2019-09-18,3785,3845,3750,3790,32651,0.002645502645502562
2019-09-19,3815,3850,3750,3835,31455,0.01187335092348274
2019-09-20,3910,3910,3790,3835,20851,0.0
2019-09-23,3835,3840,3800,3800,7458,-0.009126466753585416
2019-09-24,3830,3830,3780,3820,10122,0.0052631578947368585
2019-09-25,3820,3820,3700,3750,12984,-0.01832460732984298
2019-09-26,3770,3810,3715,3755,33969,0.0013333333333334085
2019-09-27,3755,3860,3735,3830,35754,0.01997336884154466
2019-09-30,3840,3840,3725,3775,23435,-0.01436031331592691
2019-10-01,3735,3750,3530,3720,39546,-0.014569536423841067
2019-10-02,3715,3750,3640,3730,7520,0.0026881720430107503
2019-10-04,3650,3750,3645,3645,39382,-0.02278820375335122
2019-10-07,3680,3680,3545,3555,28056,-0.024691358024691357
2019-10-08,3555,3610,3515,3575,16970,0.005625879043600568
2019-10-10,3630,3630,3535,3560,15780,-0.004195804195804231
2019-10-11,3595,3595,3540,3555,16808,-0.001404494382022503
2019-10-14,3555,3680,3555,3625,31470,0.019690576652601877
2019-10-15,3605,3670,3605,3635,12128,0.0027586206896552667
2019-10-16,3670,3670,3610,3620,19917,-0.004126547455295726
2019-10-17,3620,3655,3620,3655,12164,0.00966850828729271
2019-10-18,3675,3675,3625,3640,11401,-0.004103967168262668
2019-10-21,3640,3665,3580,3600,24687,-0.01098901098901095
2019-10-22,3575,3620,3550,3550,32665,-0.01388888888888884
2019-10-23,3580,3635,3520,3535,14545,-0.004225352112676051
2019-10-24,3525,3585,3520,3520,16404,-0.004243281471004279
2019-10-25,3595,3595,3515,3525,11861,0.0014204545454545858
2019-10-28,3525,3560,3510,3535,6166,0.0028368794326241176
2019-10-29,3555,3555,3520,3540,9831,0.0014144271570013522
2019-10-30,3580,3580,3500,3510,9725,-0.008474576271186418
2019-10-31,3510,3555,3495,3525,6323,0.004273504273504258
2019-11-01,3515,3590,3505,3550,11598,0.007092198581560183
2019-11-04,3565,3600,3535,3585,9702,0.009859154929577452
2019-11-05,3585,3615,3550,3585,7801,0.0
2019-11-06,3620,3650,3560,3630,28570,0.012552301255230214
2019-11-07,3610,3680,3610,3635,12643,0.0013774104683195176
2019-11-08,3615,3670,3615,3645,9928,0.0027510316368637433
2019-11-11,3650,3650,3525,3595,26024,-0.013717421124828544
2019-11-12,3595,3625,3575,3615,10146,0.0055632823365785455
2019-11-13,3635,3650,3570,3610,10480,-0.0013831258644536604
2019-11-14,3590,3645,3570,3590,16664,-0.005540166204986097
2019-11-15,3600,3605,3555,3570,8741,-0.005571030640668551
