Date,Open,High,Low,Close,Volume,Change
2023-04-04,4430,4495,4300,4335,18960,-0.021444695259593693
2023-04-05,4360,4375,4300,4300,7072,-0.008073817762399127
2023-04-06,4235,4360,4125,4300,34959,0.0
2023-04-07,4265,4350,4250,4330,6145,0.006976744186046435
2023-04-10,4285,4325,4170,4180,10381,-0.034642032332563466
2023-04-11,4180,4345,4155,4345,14861,0.03947368421052633
2023-04-12,4355,4540,4310,4540,26030,0.04487917146145004
2023-04-13,4495,4645,4495,4640,9718,0.022026431718061623
2023-04-14,4640,4660,4580,4610,7656,-0.006465517241379337
2023-04-17,4570,4660,4570,4650,23360,0.008676789587852562
2023-04-18,4605,4660,4510,4655,13013,0.0010752688172042113
2023-04-19,4610,4675,4595,4660,10914,0.0010741138560688146
2023-04-20,4660,4675,4540,4540,32207,-0.025751072961373356
2023-04-21,4540,4540,4350,4410,8216,-0.028634361233480177
2023-04-24,4410,4410,4255,4315,9500,-0.02154195011337867
2023-04-25,4225,4330,4150,4165,16667,-0.03476245654692933
2023-04-26,4165,5300,4145,4620,2288353,0.10924369747899165
2023-04-27,4650,4705,4390,4490,230143,-0.02813852813852813
2023-04-28,4470,4495,4355,4405,112636,-0.018930957683741645
2023-05-02,4405,4490,4320,4420,57249,0.0034052213393871433
2023-05-03,4430,4490,4385,4425,42363,0.0011312217194570096
2023-05-04,4425,4520,4305,4475,32659,0.011299435028248483
2023-05-08,4600,4600,4475,4550,32289,0.016759776536312776
2023-05-09,4530,4575,4350,4505,26967,-0.009890109890109855
2023-05-10,4555,4640,4450,4585,43436,0.017758046614872347
2023-05-11,4585,4740,4580,4740,64636,0.03380588876772084
2023-05-12,4750,4930,4685,4720,99150,-0.00421940928270037
2023-05-15,4720,4855,4635,4855,45931,0.028601694915254328
2023-05-16,4830,5100,4830,5040,119489,0.03810504634397538
2023-05-17,5090,5140,4915,5060,58917,0.003968253968253954
2023-05-18,5030,5210,4940,5080,64135,0.0039525691699604515
2023-05-19,5210,5280,5000,5070,114525,-0.0019685039370078705
2023-05-22,5070,5200,5000,5070,45647,0.0
2023-05-23,5110,5140,5000,5060,16568,-0.0019723865877712132
2023-05-24,5060,5140,4960,5100,22317,0.007905138339920903
2023-05-25,5070,5170,5050,5080,23484,-0.0039215686274509665
2023-05-26,5180,5180,5050,5070,15349,-0.0019685039370078705
2023-05-30,5050,5060,4920,4925,24053,-0.02859960552268248
2023-05-31,4970,5040,4935,4970,8136,0.009137055837563413
2023-06-01,4980,5090,4970,4980,5711,0.002012072434607548
2023-06-02,4985,5100,4960,5030,23293,0.010040160642570184
2023-06-05,5100,5250,5060,5190,26741,0.031809145129224614
2023-06-07,5170,5280,5080,5100,8756,-0.017341040462427793
2023-06-08,5260,5260,5040,5120,36401,0.0039215686274509665
2023-06-09,5120,5190,4995,5130,39308,0.001953125
2023-06-12,5190,5190,5100,5180,8542,0.00974658869395717
2023-06-13,5180,5240,5160,5220,17287,0.007722007722007707
2023-06-14,5220,5390,5220,5370,68482,0.028735632183908066
2023-06-15,5310,5380,5210,5340,19996,-0.005586592178770999
2023-06-16,5340,5400,5250,5350,26630,0.001872659176029856
2023-06-19,5340,5450,5240,5380,38841,0.005607476635514086
2023-06-20,5380,5390,5030,5370,29992,-0.0018587360594795044
2023-06-21,5340,5400,5280,5290,8865,-0.014897579143389184
2023-06-22,5290,5340,5260,5330,9518,0.007561436672967936
2023-06-23,5330,5330,5100,5160,19800,-0.031894934333958735
2023-06-26,5180,5500,5130,5300,58052,0.027131782945736482
2023-06-27,5400,5400,5270,5300,19953,0.0
2023-06-28,5290,5770,5250,5740,250635,0.08301886792452828
2023-06-29,5720,5720,5480,5600,60973,-0.024390243902439046
2023-06-30,5630,5660,5350,5350,80476,-0.044642857142857095
2023-07-03,5450,5500,5310,5380,23199,0.005607476635514086
2023-07-04,5500,5680,5410,5620,49883,0.044609665427509215
2023-07-05,5620,5670,5470,5560,50615,-0.010676156583629859
2023-07-06,5500,5670,5450,5450,51049,-0.01978417266187049
2023-07-07,5390,5680,5310,5400,54535,-0.00917431192660545
