Date,Open,High,Low,Close,Volume,Change
2013-09-16,5740,5800,5610,5620,61060,
2013-09-17,5730,5730,5540,5630,43470,0.001779359430605
2013-09-23,5750,5750,5540,5560,53422,-0.0124333925399644
2013-09-24,5570,5700,5480,5600,43373,0.0071942446043165
2013-09-25,5570,5650,5390,5600,82050,0.0
2013-09-26,5600,5640,5500,5580,43217,-0.0035714285714285
2013-09-27,5650,5750,5530,5650,64220,0.0125448028673835
2013-09-30,5720,5720,5470,5570,39150,-0.0141592920353982
2013-10-01,5550,5650,5300,5380,53880,-0.0341113105924596
2013-10-02,5380,5430,5100,5300,93947,-0.0148698884758364
2013-10-04,5290,5300,5190,5280,21661,-0.0037735849056603
2013-10-07,5280,5330,5120,5210,22317,-0.0132575757575758
2013-10-08,5210,5260,5070,5160,32750,-0.0095969289827255
2013-10-10,5170,5170,5010,5150,41220,-0.001937984496124
2013-10-11,5160,5290,4735,5150,42960,0.0
2013-10-14,5150,5270,5000,5050,31202,-0.0194174757281553
2013-10-15,5100,5330,5030,5300,46365,0.0495049504950495
2013-10-16,5260,5300,5080,5110,48230,-0.0358490566037735
2013-10-17,5130,5400,5130,5280,69690,0.0332681017612523
2013-10-18,5240,5450,5190,5400,53090,0.0227272727272727
2013-10-21,5400,5520,5400,5450,47053,0.0092592592592593
2013-10-22,5470,5600,5420,5550,48591,0.0183486238532109
2013-10-23,5550,5700,5550,5590,84080,0.0072072072072071
2013-10-24,5590,5620,5450,5480,45877,-0.0196779964221824
2013-10-25,5450,5530,5310,5430,49890,-0.0091240875912408
2013-10-28,5430,5590,5320,5490,25280,0.011049723756906
2013-10-29,5490,5660,5490,5610,68064,0.0218579234972677
2013-10-30,5610,5740,5550,5570,81800,-0.0071301247771835
2013-10-31,5650,5700,5540,5600,86887,0.0053859964093356
2013-11-01,5580,5670,5570,5600,55053,0.0
2013-11-04,5600,5820,5550,5820,196751,0.0392857142857143
2013-11-05,5800,5860,5730,5780,65851,-0.0068728522336769
2013-11-06,5830,5930,5770,5830,103589,0.0086505190311418
2013-11-07,5850,6020,5800,6000,125321,0.0291595197255574
2013-11-08,5910,6000,5820,5850,116530,-0.025
2013-11-11,5850,5940,5660,5660,33733,-0.0324786324786324
2013-11-12,5600,5730,5550,5690,71582,0.0053003533568904
2013-11-13,5640,5720,5480,5550,54582,-0.0246045694200351
2013-11-14,5580,5780,5500,5610,46030,0.0108108108108107
2013-11-15,5770,5890,5590,5830,104410,0.0392156862745098
2013-11-18,5850,5850,5700,5750,43711,-0.0137221269296741
2013-11-19,5700,5780,5640,5640,42524,-0.0191304347826086
2013-11-20,5610,5810,5540,5770,99660,0.0230496453900708
2013-11-21,5770,5770,5670,5730,36344,-0.0069324090121317
2013-11-22,5710,5870,5670,5800,85652,0.012216404886562
2013-11-25,5820,5950,5820,5860,74470,0.0103448275862068
2013-11-26,5930,5930,5710,5850,50253,-0.0017064846416382
2013-11-27,5860,5880,5740,5870,76050,0.0034188034188034
2013-11-28,5870,5880,5800,5870,63133,0.0
2013-11-29,5880,5880,5640,5830,115360,-0.0068143100511073
2013-12-02,5830,5870,5750,5800,63781,-0.0051457975986277
2013-12-03,5850,5850,5680,5790,36150,-0.0017241379310344
2013-12-04,5790,5800,5690,5710,33231,-0.0138169257340241
2013-12-05,5700,5880,5610,5800,137260,0.0157618213660244
2013-12-06,5720,6240,5720,6120,247242,0.0551724137931035
2013-12-09,6200,6240,5810,6120,152850,0.0
2013-12-10,6200,6260,6110,6260,190015,0.0228758169934639
2013-12-11,6290,6300,6120,6200,94856,-0.0095846645367412
2013-12-12,6120,6200,5970,6100,192871,-0.0161290322580645
2013-12-13,6020,6080,6000,6000,59678,-0.0163934426229508
2013-12-16,5990,6000,5830,5870,58098,-0.0216666666666666
2013-12-17,5850,6010,5730,5900,76912,0.0051107325383303
2013-12-18,5900,5980,5720,5970,139673,0.0118644067796609
2013-12-19,5900,5960,5840,5900,67510,-0.0117252931323282
2013-12-20,5850,5900,5680,5680,110568,-0.0372881355932203
2013-12-23,5680,5730,5510,5580,207636,-0.0176056338028168
2013-12-24,5580,5770,5550,5750,141929,0.0304659498207884
2013-12-26,5760,6200,5700,6050,242318,0.0521739130434781
2013-12-27,6000,6480,6000,6450,252655,0.0661157024793388
2013-12-30,6390,6480,6280,6380,158283,-0.0108527131782946
2014-01-02,6400,6670,6370,6510,177615,0.0203761755485893
2014-01-03,6470,6740,6460,6700,161581,0.0291858678955452
2014-01-06,6700,6800,6500,6510,126625,-0.0283582089552238
2014-01-07,6510,6700,6360,6670,149230,0.0245775729646697
2014-01-08,6700,6910,6540,6700,214050,0.0044977511244377
