Date,Open,High,Low,Close,Volume,Change
2013-09-16,3895,3895,3822,3868,82190,
2013-09-17,3841,3868,3822,3859,29356,-0.0023267838676318
2013-09-23,3859,3859,3768,3768,131678,-0.0235812386628659
2013-09-24,3768,3822,3740,3786,66979,0.0047770700636942
2013-09-25,3786,3804,3740,3750,120521,-0.0095087163232963
2013-09-26,3786,3795,3677,3732,153810,-0.0048
2013-09-27,3740,3768,3713,3741,99752,0.0024115755627009
2013-09-30,3722,3740,3659,3732,104481,-0.0024057738572573
2013-10-01,3722,3740,3677,3705,62958,-0.0072347266881028
2013-10-02,3713,3713,3622,3641,145713,-0.0172739541160593
2013-10-04,3631,3631,3595,3623,51120,-0.0049436967865971
2013-10-07,3649,3677,3612,3614,80003,-0.002484129174717
2013-10-08,3613,3613,3522,3586,123658,-0.0077476480354178
2013-10-10,3586,3612,3549,3614,88062,0.0078081427774678
2013-10-11,3640,3704,3622,3695,127014,0.0224128389596014
2013-10-14,3695,3722,3649,3695,43397,0.0
2013-10-15,3667,3695,3613,3632,94275,-0.0170500676589986
2013-10-16,3622,3631,3549,3577,183792,-0.0151431718061674
2013-10-17,3604,3604,3422,3459,481009,-0.0329885378809058
2013-10-18,3440,3466,3404,3431,129684,-0.0080948250939577
2013-10-21,3449,3486,3431,3477,65144,0.0134071699213056
2013-10-22,3458,3513,3458,3513,61261,0.0103537532355479
2013-10-23,3531,3577,3467,3486,190785,-0.0076857386848847
2013-10-24,3486,3513,3467,3513,36871,0.0077452667814112
2013-10-25,3513,3558,3513,3532,83579,0.0054084827782521
2013-10-28,3531,3540,3458,3513,147658,-0.005379388448471
2013-10-29,3495,3504,3467,3477,54180,-0.0102476515798463
2013-10-30,3504,3504,3449,3477,62952,0.0
2013-10-31,3486,3586,3477,3532,91792,0.0158182341098647
2013-11-01,3549,3577,3531,3559,73395,0.0076443941109853
2013-11-04,3568,3568,3513,3550,61123,-0.0025288002247821
2013-11-05,3531,3558,3477,3495,58887,-0.0154929577464788
2013-11-06,3477,3522,3458,3477,61799,-0.0051502145922747
2013-11-07,3503,3503,3440,3468,51697,-0.0025884383088869
2013-11-08,3477,3485,3448,3486,65479,0.005190311418685
2013-11-11,3486,3504,3467,3477,25670,-0.0025817555938038
2013-11-12,3477,3504,3458,3495,36695,0.0051768766177739
2013-11-13,3495,3504,3448,3450,31701,-0.0128755364806867
2013-11-14,3486,3486,3440,3468,34333,0.0052173913043478
2013-11-15,3458,3495,3458,3495,20715,0.0077854671280277
2013-11-18,3513,3513,3458,3477,47467,-0.0051502145922747
2013-11-19,3495,3504,3458,3486,39678,0.0025884383088869
2013-11-20,3486,3486,3449,3459,63617,-0.0077452667814114
2013-11-21,3458,3485,3440,3486,68275,0.0078057241977449
2013-11-22,3466,3486,3449,3468,44221,-0.0051635111876076
2013-11-25,3467,3467,3440,3459,47813,-0.0025951557093425
2013-11-26,3458,3477,3449,3459,70363,0.0
2013-11-27,3485,3485,3448,3450,41694,-0.0026019080659149
2013-11-28,3458,3458,3431,3459,93363,0.0026086956521738
2013-11-29,3458,3477,3440,3477,51252,0.0052038161318299
2013-12-02,3467,3531,3458,3495,68270,0.0051768766177739
2013-12-03,3477,3495,3440,3450,109469,-0.0128755364806867
2013-12-04,3440,3467,3440,3450,47082,0.0
2013-12-05,3430,3458,3422,3431,48423,-0.0055072463768115
2013-12-06,3431,3440,3413,3441,43320,0.0029146021568056
2013-12-09,3431,3440,3404,3404,65930,-0.010752688172043
2013-12-10,3404,3404,3339,3377,91138,-0.0079318448883666
2013-12-11,3349,3376,3331,3359,60486,-0.0053301747112821
2013-12-12,3349,3385,3331,3386,41529,0.0080381065793391
2013-12-13,3340,3422,3340,3422,23137,0.010632014176019
2013-12-16,3404,3422,3375,3413,43616,-0.0026300409117475
2013-12-17,3385,3404,3376,3386,26812,-0.0079109288016407
2013-12-18,3385,3385,3349,3377,27939,-0.0026580035440046
2013-12-19,3375,3395,3358,3377,23522,0.0
2013-12-20,3357,3394,3357,3395,12195,0.0053301747112821
2013-12-23,3413,3422,3395,3422,34481,0.0079528718703976
2013-12-24,3440,3467,3431,3459,106376,0.0108123904149619
2013-12-26,3467,3504,3458,3495,102619,0.0104076322636599
2013-12-27,3422,3422,3349,3395,112205,-0.0286123032904148
2013-12-30,3395,3404,3339,3377,49126,-0.005301914580265
2014-01-02,3367,3376,3294,3295,81223,-0.0242819070180633
2014-01-03,3294,3322,3294,3313,31806,0.00546282245827
2014-01-06,3304,3331,3276,3286,57794,-0.00814971325083
2014-01-07,3285,3322,3285,3322,12387,0.0109555690809495
2014-01-08,3294,3322,3276,3286,49478,-0.0108368452739313
2014-01-09,3313,3331,3285,3322,31954,0.0109555690809495
2014-01-10,3294,3322,3276,3313,33948,-0.0027092113184828
2014-01-13,3313,3358,3304,3350,41260,0.0111681255659523
2014-01-14,3349,3349,3322,3340,18292,-0.0029850746268657
2014-01-15,3349,3358,3331,3331,57668,-0.0026946107784431
2014-01-16,3358,3358,3322,3350,20243,0.0057039927949564
2014-01-17,3358,3375,3313,3340,42353,-0.0029850746268657
2014-01-20,3340,3340,3304,3322,17589,-0.0053892215568862
2014-01-21,3339,3367,3313,3340,37244,0.0054184226369657
2014-01-22,3340,3367,3331,3350,15491,0.0029940119760478
2014-01-23,3331,3340,3294,3304,46401,-0.013731343283582
2014-01-24,3294,3322,3276,3295,20660,-0.0027239709443098
2014-01-27,3267,3267,3213,3222,62579,-0.0221547799696509
2014-01-28,3240,3258,3213,3259,28834,0.0114835505896957
