Date,Open,High,Low,Close,Volume,Change
2013-09-16,112000,115000,112000,115000,77192,
2013-09-17,115000,115000,112000,112000,90785,-0.026086956521739
2013-09-23,114000,116500,111500,115000,215162,0.0267857142857141
2013-09-24,115000,117500,115000,115500,95051,0.0043478260869564
2013-09-25,115500,117000,113500,117000,114231,0.0129870129870128
2013-09-26,116500,119500,116500,118000,176273,0.0085470085470085
2013-09-27,117500,120000,116500,116500,83671,-0.0127118644067796
2013-09-30,117000,117000,113000,113000,72461,-0.0300429184549356
2013-10-01,113500,115500,112500,115000,123530,0.0176991150442478
2013-10-02,115500,116000,112500,112500,42995,-0.0217391304347825
2013-10-04,112500,116500,112000,116500,48017,0.0355555555555555
2013-10-07,116500,117500,115000,115000,40502,-0.0128755364806867
2013-10-08,115500,118000,115500,118000,56509,0.0260869565217392
2013-10-10,116500,121000,115500,120000,116193,0.0169491525423728
2013-10-11,121000,121500,116500,118500,108756,-0.0124999999999999
2013-10-14,117000,117500,115500,116000,50686,-0.021097046413502
2013-10-15,116500,117500,115500,117500,36257,0.0129310344827586
2013-10-16,117000,118500,116000,116000,103121,-0.0127659574468085
2013-10-17,117000,118500,116000,117000,39682,0.0086206896551723
2013-10-18,116500,117500,113000,114500,69228,-0.0213675213675214
2013-10-21,114500,116000,113500,116000,55069,0.0131004366812226
2013-10-22,115500,118000,115000,118000,105218,0.0172413793103447
2013-10-23,118000,120000,118000,119000,66152,0.0084745762711864
2013-10-24,119000,119000,114000,114000,109241,-0.042016806722689
2013-10-25,114500,117500,114000,116500,78040,0.0219298245614034
2013-10-28,116500,121000,116500,121000,121604,0.0386266094420599
2013-10-29,120000,121500,118500,121500,92031,0.0041322314049587
2013-10-30,121000,121000,118000,120500,34784,-0.008230452674897
2013-10-31,119500,121500,118500,120000,83638,-0.0041493775933609
2013-11-01,119000,124000,119000,122500,73181,0.0208333333333332
2013-11-04,123000,123500,121000,121500,57935,-0.0081632653061224
2013-11-05,122000,124000,121500,123500,147180,0.0164609053497941
2013-11-06,123000,130000,122500,128500,121783,0.0404858299595141
2013-11-07,128500,129000,123000,123000,105548,-0.0428015564202334
2013-11-08,123500,126000,123000,124000,111114,0.0081300813008129
2013-11-11,125500,129000,124500,126000,162424,0.0161290322580645
2013-11-12,126000,128500,125000,128000,93791,0.0158730158730158
2013-11-13,127500,128000,126000,126500,90924,-0.01171875
