Date,Open,High,Low,Close,Volume,Change
2013-09-16,22550,23200,22400,23100,14262,
2013-09-17,23100,23250,23000,23000,2730,-0.0043290043290042
2013-09-23,23000,23200,22900,23100,1650,0.0043478260869564
2013-09-24,23150,23150,22600,22750,6570,-0.0151515151515151
2013-09-25,22750,23050,22550,22600,1780,-0.0065934065934065
2013-09-26,22600,23000,22600,22850,1194,0.0110619469026549
2013-09-27,23050,23050,22550,22750,1513,-0.0043763676148796
2013-09-30,23100,23100,22450,22500,2021,-0.0109890109890109
2013-10-01,22350,22700,22250,22450,1810,-0.0022222222222222
2013-10-02,22450,22450,22200,22400,830,-0.0022271714922048
2013-10-04,22200,22350,21800,22350,3260,-0.0022321428571429
2013-10-07,21800,22250,21700,21750,1619,-0.0268456375838925
2013-10-08,22250,22250,21400,21750,670,0.0
2013-10-10,21600,21700,21600,21650,750,-0.0045977011494252
2013-10-11,22250,22250,21700,21750,822,0.0046189376443417
2013-10-14,21600,21950,21450,21950,760,0.0091954022988505
2013-10-15,21950,22200,21950,22200,1591,0.0113895216400912
2013-10-16,22000,22500,21900,22200,2130,0.0
2013-10-17,22000,22550,22000,22250,1203,0.0022522522522523
2013-10-18,22050,22200,21800,22200,1427,-0.0022471910112359
2013-10-21,21950,22450,21950,22450,873,0.0112612612612612
2013-10-22,22100,22500,22100,22350,699,-0.0044543429844098
2013-10-23,22000,22500,22000,22050,762,-0.0134228187919462
2013-10-24,22350,22350,21900,22200,2210,0.0068027210884353
2013-10-25,21950,22100,21800,22000,1190,-0.009009009009009
2013-10-28,21850,21900,21650,21900,650,-0.0045454545454545
2013-10-29,21850,22000,21600,22000,1300,0.004566210045662
2013-10-30,21750,22100,21700,22100,1360,0.0045454545454546
2013-10-31,22100,22100,21600,21700,2840,-0.0180995475113122
2013-11-01,21700,21850,21450,21650,951,-0.0023041474654378
2013-11-04,21300,21700,21300,21700,530,0.0023094688221709
2013-11-05,21500,21650,21300,21600,700,-0.0046082949308755
2013-11-06,21600,21700,20850,20950,2469,-0.0300925925925925
2013-11-07,21100,21100,20800,20850,1405,-0.0047732696897374
2013-11-08,20600,20900,20100,20400,3135,-0.0215827338129496
2013-11-11,20300,20750,20100,20300,1331,-0.0049019607843137
2013-11-12,20700,20700,20000,20600,2350,0.0147783251231528
2013-11-13,20200,20700,20100,20500,1441,-0.0048543689320388
2013-11-14,20250,20500,20150,20450,710,-0.0024390243902439
2013-11-15,20700,20750,20300,20450,910,0.0
2013-11-18,20500,20550,20250,20550,790,0.0048899755501221
2013-11-19,20050,21100,20050,20500,2383,-0.0024330900243308
2013-11-20,20500,20700,20300,20500,1502,0.0
2013-11-21,20700,20700,20000,20500,1977,0.0
2013-11-22,20700,20700,20200,20400,1652,-0.0048780487804878
2013-11-25,20400,20500,20300,20500,5410,0.0049019607843137
2013-11-26,20500,20500,20150,20250,1560,-0.0121951219512195
2013-11-27,20200,20500,20100,20500,3800,0.0123456790123457
2013-11-28,20600,21050,20500,20900,2730,0.0195121951219512
2013-11-29,21200,21200,20900,21150,860,0.0119617224880381
2013-12-02,20850,21150,20850,21150,4030,0.0
2013-12-03,21150,21300,20950,21300,2410,0.0070921985815601
2013-12-04,21400,21450,21200,21450,3110,0.0070422535211267
2013-12-05,21450,21450,21150,21400,500,-0.0023310023310023
2013-12-06,21300,21400,21150,21400,620,0.0
2013-12-09,21400,21600,21050,21450,3050,0.0023364485981307
2013-12-10,21500,22350,21200,21650,3490,0.0093240093240092
2013-12-11,22450,22450,21400,21900,1380,0.0115473441108544
2013-12-12,21950,22050,21600,21900,1280,0.0
2013-12-13,21650,21900,21200,21900,3062,0.0
2013-12-16,21550,22200,21550,21900,510,0.0
2013-12-17,21650,22500,21650,22000,2460,0.004566210045662
2013-12-18,22000,22400,21950,22000,1020,0.0
2013-12-19,22250,22250,21900,21950,353,-0.0022727272727273
2013-12-20,22000,22250,21750,21950,460,0.0
2013-12-23,21900,22200,21900,22000,2173,0.0022779043280183
2013-12-24,22150,22300,21900,22300,1250,0.0136363636363636
2013-12-26,22300,22850,22050,22700,3461,0.0179372197309417
2013-12-27,22500,23100,22500,22600,2290,-0.0044052863436123
2013-12-30,22600,23050,22550,22750,1330,0.0066371681415928
2014-01-02,22500,22650,22250,22600,1510,-0.0065934065934065
2014-01-03,22450,22600,22200,22600,557,0.0
2014-01-06,22800,22800,22550,22550,461,-0.0022123893805309
2014-01-07,22550,24600,22550,24100,12611,0.0687361419068737
2014-01-08,24450,24450,23350,24050,3390,-0.0020746887966804
2014-01-09,23650,24000,23550,24000,2890,-0.002079002079002
2014-01-10,24200,24200,23700,24100,2044,0.0041666666666666
2014-01-13,24200,24250,23900,23900,1110,-0.0082987551867219
2014-01-14,23650,24750,23650,24500,8699,0.0251046025104602
