Date,Open,High,Low,Close,Volume,Change
2023-04-04,9160,9470,9150,9440,571431,0.0316939890710381
2023-04-05,9490,9730,9360,9610,612861,0.0180084745762711
2023-04-06,9740,9850,9430,9500,464435,-0.0114464099895941
2023-04-07,9510,9560,9270,9460,269716,-0.0042105263157894
2023-04-10,9660,9750,9230,9300,366057,-0.0169133192389006
2023-04-11,9250,9470,9150,9440,251017,0.0150537634408602
2023-04-12,9430,9680,9290,9580,491025,0.0148305084745763
2023-04-13,9670,9740,9400,9610,461734,0.0031315240083507
2023-04-14,9700,10000,9620,9860,737596,0.0260145681581684
2023-04-17,9900,9910,9530,9610,464381,-0.0253549695740364
2023-04-18,9680,9760,9430,9530,402389,-0.0083246618106139
2023-04-19,9480,9520,9370,9410,298646,-0.0125918153200419
2023-04-20,9420,9430,9130,9190,355815,-0.0233793836344314
2023-04-21,9190,9280,9090,9150,176338,-0.0043525571273123
2023-04-24,9090,9240,9080,9110,136253,-0.0043715846994535
2023-04-25,9120,9150,8900,8940,228199,-0.0186608122941822
2023-04-26,8940,9110,8810,9000,186779,0.0067114093959732
2023-04-27,9000,9070,8910,8990,120095,-0.001111111111111
2023-04-28,8990,9130,8890,9070,270072,0.0088987764182424
2023-05-02,9100,9600,8990,9130,651642,0.0066152149944873
2023-05-03,9130,9150,9050,9100,161105,-0.0032858707557502
2023-05-04,9100,9440,9050,9340,319440,0.0263736263736262
2023-05-08,9500,9660,9340,9400,457405,0.006423982869379
2023-05-09,9310,9500,9310,9360,171116,-0.0042553191489361
2023-05-10,9380,9520,9310,9420,163201,0.0064102564102563
2023-05-11,9410,9470,9320,9330,190720,-0.0095541401273885
2023-05-12,9270,9330,9090,9090,188118,-0.0257234726688102
2023-05-15,9090,9130,8920,9010,164405,-0.0088008800880088
2023-05-16,9010,9120,8960,9000,143709,-0.0011098779134295
2023-05-17,9000,9140,8950,9120,122231,0.0133333333333334
2023-05-18,9140,9170,8960,8980,219534,-0.0153508771929824
2023-05-19,9010,9100,8990,9050,131216,0.0077951002227172
2023-05-22,9050,9170,9020,9130,161879,0.0088397790055247
2023-05-23,9130,9280,9130,9270,156192,0.0153340635268346
2023-05-24,9420,9420,9090,9090,245476,-0.0194174757281553
2023-05-25,9090,9120,8970,9000,207629,-0.0099009900990099
2023-05-26,9000,9020,8940,8970,131066,-0.0033333333333332
2023-05-30,8980,9030,8950,8980,115326,0.0011148272017837
2023-05-31,8950,9000,8870,8870,180229,-0.0122494432071269
2023-06-01,8870,9040,8870,9030,157799,0.0180383314543404
2023-06-02,9060,9080,8920,9000,156709,-0.0033222591362126
2023-06-05,9040,9040,8920,8940,149363,-0.0066666666666667
2023-06-07,8930,8980,8860,8860,226376,-0.0089485458612975
2023-06-08,8860,8880,8780,8860,148916,0.0
2023-06-09,8880,8910,8800,8820,161294,-0.0045146726862302
2023-06-12,8850,8860,8700,8710,237806,-0.0124716553287982
2023-06-13,8710,8780,8660,8670,147649,-0.0045924225028702
2023-06-14,8660,8720,8470,8470,343740,-0.0230680507497116
2023-06-15,8450,8500,8190,8200,318526,-0.0318772136953955
2023-06-16,8210,8290,7820,7840,830850,-0.0439024390243902
2023-06-19,7840,8170,7780,8050,491370,0.0267857142857141
