Date,Open,High,Low,Close,Volume,Change
2023-04-04,47647,48647,46465,48557,35974,0.0328859203165217
2023-04-05,48647,48647,46283,46920,39961,-0.0337129559074901
2023-04-06,46920,47193,46102,46466,21799,-0.0096760443307757
2023-04-07,46102,46465,45465,46102,26188,-0.0078336848448328
2023-04-10,45193,47921,45193,46648,30865,0.0118433039781353
2023-04-11,46647,46920,45738,46557,18944,-0.0019507803121248
2023-04-12,45919,46192,45419,45556,37862,-0.0215005262366561
2023-04-13,45010,46011,44647,46011,36012,0.0099877074370005
2023-04-14,46101,47011,46011,46011,33364,0.0
2023-04-17,46010,47192,45465,46829,26615,0.0177783573493295
2023-04-18,46192,47192,45555,46829,28482,0.0
2023-04-19,46647,47647,46374,46829,23364,0.0
2023-04-20,46647,47193,45829,46466,16097,-0.0077516069102478
2023-04-21,45920,46829,45647,46193,24113,-0.0058752636336245
2023-04-24,46556,46556,45283,45556,28127,-0.0137899681769965
2023-04-25,45056,45420,43738,43920,26734,-0.0359118447624901
2023-04-26,43464,44146,43419,43874,23089,-0.0010473588342441
2023-04-27,43101,43874,42010,42192,33993,-0.038337056115239
2023-04-28,42146,43009,42100,42237,35021,0.0010665529010238
2023-05-02,42237,42692,41873,42101,50458,-0.0032199256575987
2023-05-03,42010,42510,40737,40919,36826,-0.0280753426284411
2023-05-04,40509,41282,40509,40737,30919,-0.0044478115300959
2023-05-08,40418,42646,40327,42283,47062,0.0379507572968063
2023-05-09,42419,43510,42283,42738,38077,0.0107608258638223
2023-05-10,42100,42373,40918,41237,87930,-0.0351209696289016
2023-05-11,41646,42646,41555,42510,25433,0.0308703348934209
2023-05-12,42555,45738,40736,45738,82061,0.0759350741002116
2023-05-15,45920,46375,42283,44011,192466,-0.0377585377585377
2023-05-16,44011,44147,42510,42738,37342,-0.0289245870350594
2023-05-17,42192,42692,41373,41965,44503,-0.0180869483831719
2023-05-18,42010,42192,41555,42056,38805,0.0021684737281066
2023-05-19,42100,43464,41691,42919,85316,0.020520258702682
2023-05-22,42919,43374,42510,42647,58792,-0.0063375195135021
2023-05-23,42692,42919,42237,42374,59632,-0.0064013881398456
2023-05-24,42373,42373,41646,41692,52913,-0.0160947750979374
2023-05-25,41464,41827,41236,41646,76634,-0.001103329175861
2023-05-26,41236,41645,41100,41464,30428,-0.0043701676031311
2023-05-30,41464,41601,40510,40510,48661,-0.0230079104765579
2023-05-31,40282,42055,40009,41646,328458,0.0280424586521845
2023-06-01,41964,42146,40828,40919,69576,-0.0174566585026173
2023-06-02,40964,41191,40191,40237,71766,-0.0166670739754148
2023-06-05,40464,40964,40055,40055,75204,-0.0045232000397643
2023-06-07,40373,41555,40145,40737,130675,0.0170265884408937
2023-06-08,40828,41601,40419,41283,587334,0.0134030488253922
2023-06-09,41282,41509,40236,40464,81697,-0.0198386745149334
2023-06-12,40509,40600,39964,40055,65832,-0.0101077500988533
2023-06-13,40055,40146,39328,39419,69946,-0.0158781675196604
2023-06-14,39827,40419,39555,40419,68312,0.0253684771303177
2023-06-15,40236,40418,39372,40282,40967,-0.0033894950394616
2023-06-16,40282,40691,39736,40282,432722,0.0
2023-06-19,40190,40281,39236,39509,50888,-0.0191897125266868
2023-06-20,39327,39509,38691,38873,47223,-0.016097598015642
2023-06-21,38645,38645,37554,37736,64458,-0.0292490932009363
2023-06-22,37554,38099,37554,38009,22558,0.0072344710621157
2023-06-23,38009,38327,36872,37191,46325,-0.0215212186587386
2023-06-26,36917,36917,35917,36281,53414,-0.0244682853378505
2023-06-27,35917,37008,35871,36463,35099,0.0050163997684737
2023-06-28,36553,36644,35598,36190,63421,-0.0074870416586676
2023-06-29,36190,36781,35826,35963,41903,-0.0062724509533019
2023-06-30,35827,36145,35281,35327,52160,-0.0176848427550537
2023-07-03,35554,35599,34281,34736,70205,-0.0167294137628443
