Date,Open,High,Low,Close,Volume,Change
2013-09-16,77000,77500,75600,76700,130708,
2013-09-17,76100,76700,75400,76000,117798,-0.0091264667535854
2013-09-23,76500,78500,76200,77600,186266,0.0210526315789474
2013-09-24,76900,77500,75600,76100,94568,-0.0193298969072165
2013-09-25,76100,77100,75700,76300,108140,0.002628120893561
2013-09-26,75600,77500,75600,77000,77352,0.0091743119266054
2013-09-27,76700,77600,76200,77600,93944,0.0077922077922076
2013-09-30,76800,77600,76500,77500,123550,-0.0012886597938144
2013-10-01,76800,78200,75900,76200,116350,-0.016774193548387
2013-10-02,76200,76300,75200,75200,79767,-0.0131233595800525
2013-10-04,74600,75900,74100,75300,78727,0.0013297872340425
2013-10-07,74800,76200,74100,74500,68775,-0.0106241699867197
2013-10-08,74300,75300,73700,75000,57075,0.0067114093959732
2013-10-10,75200,77000,74700,75600,97842,0.008
2013-10-11,76100,77700,75700,77600,141130,0.0264550264550265
2013-10-14,77600,79100,77200,77800,189245,0.0025773195876288
2013-10-15,78200,79100,76700,77800,165537,0.0
2013-10-16,77800,79500,77200,78900,168916,0.0141388174807197
2013-10-17,78200,78200,74200,75500,484592,-0.0430925221799746
2013-10-18,74000,77100,71800,77100,233836,0.0211920529801323
2013-10-21,75300,76000,72700,74700,241918,-0.0311284046692607
2013-10-22,75600,77400,74400,75800,174140,0.0147255689424363
2013-10-23,76500,77400,73200,73800,222905,-0.0263852242744063
2013-10-24,73400,74800,73100,74800,103762,0.0135501355013549
2013-10-25,74900,75000,73700,73900,92804,-0.0120320855614973
2013-10-28,74000,74600,73300,74100,62357,0.0027063599458727
2013-10-29,74200,78000,73900,77700,221970,0.048582995951417
2013-10-30,77700,79500,77200,79200,261056,0.0193050193050192
2013-10-31,79200,80000,78300,79300,151075,0.0012626262626262
2013-11-01,78400,78800,77700,78200,96070,-0.0138713745271121
2013-11-04,76900,78800,76300,77300,136241,-0.0115089514066496
2013-11-05,77100,77700,76300,77500,65079,0.0025873221216041
2013-11-06,78600,81000,78600,80300,387445,0.0361290322580645
2013-11-07,80400,81400,79300,80000,139748,-0.0037359900373599
2013-11-08,79800,80300,78700,79000,114476,-0.0124999999999999
2013-11-11,79000,79600,75500,76800,158958,-0.0278481012658228
2013-11-12,76800,76800,73000,74800,311091,-0.0260416666666666
2013-11-13,75100,75700,73900,75600,94217,0.0106951871657754
2013-11-14,75700,77400,75200,76800,127044,0.0158730158730158
2013-11-15,77300,78200,76600,77500,96900,0.0091145833333332
2013-11-18,78200,78300,75500,77500,139113,0.0
2013-11-19,77500,78300,77000,78100,91309,0.007741935483871
2013-11-20,77800,78700,77000,78000,78117,-0.0012804097311139
2013-11-21,77600,77600,75800,75900,102369,-0.0269230769230769
2013-11-22,76700,78100,76100,77400,87207,0.0197628458498024
2013-11-25,77700,78400,77600,78300,56552,0.0116279069767442
2013-11-26,78900,80000,77300,79800,179834,0.0191570881226053
2013-11-27,79800,80600,79200,80500,127112,0.0087719298245614
2013-11-28,80700,81200,79400,80300,92555,-0.0024844720496894
2013-11-29,79600,80200,78300,79000,78552,-0.0161892901618928
2013-12-02,79000,79600,76600,76800,138548,-0.0278481012658228
2013-12-03,76800,77500,75700,76300,143939,-0.0065104166666666
2013-12-04,76900,77000,76000,76300,80371,0.0
2013-12-05,76700,77500,75800,76100,113442,-0.0026212319790301
2013-12-06,76100,77300,75200,76200,96012,0.0013140604467805
2013-12-09,77100,77200,75200,75700,89602,-0.0065616797900261
2013-12-10,75900,76600,75700,76200,70016,0.0066050198150593
2013-12-11,76300,76500,74600,76200,79155,0.0
2013-12-12,75800,76500,75100,75200,64664,-0.0131233595800525
2013-12-13,75800,76500,75100,76500,90803,0.0172872340425531
2013-12-16,76400,77900,76100,77800,96042,0.0169934640522875
2013-12-17,78200,78800,77900,78800,99323,0.012853470437018
2013-12-18,78800,79300,78200,79200,89151,0.0050761421319796
2013-12-19,79500,79600,76500,77400,107511,-0.0227272727272727
2013-12-20,77400,78300,77000,78000,56139,0.0077519379844961
2013-12-23,78300,80200,77000,79700,136544,0.0217948717948717
2013-12-24,79200,80000,78800,79700,81507,0.0
2013-12-26,80000,80200,78000,78300,130753,-0.0175658720200753
2013-12-27,78300,80200,77900,79800,125429,0.0191570881226053
2013-12-30,80200,81800,79900,80900,133611,0.0137844611528821
2014-01-02,81500,82500,80300,80300,100157,-0.007416563658838
2014-01-03,80200,81700,78400,80100,86668,-0.0024906600249066
2014-01-06,79400,81600,79400,80700,89093,0.0074906367041198
2014-01-07,80000,81500,79700,80900,86398,0.0024783147459728
2014-01-08,80800,83100,80800,83100,185984,0.0271940667490728
2014-01-09,82400,84100,82300,83900,135503,0.0096269554753309
2014-01-10,84000,85500,83400,84300,217314,0.0047675804529201
2014-01-13,84300,84500,83100,84500,86691,0.0023724792408066
2014-01-14,84500,84600,82400,82800,114060,-0.0201183431952662
2014-01-15,83100,84500,81900,83900,76588,0.0132850241545894
2014-01-16,84000,85900,83100,85100,102332,0.0143027413587604
2014-01-17,84700,85100,83200,83900,67035,-0.0141010575793184
2014-01-20,83400,83800,82200,83000,77710,-0.0107270560190703
2014-01-21,83500,83600,82400,83200,37100,0.0024096385542169
2014-01-22,83200,83900,82800,82800,52354,-0.0048076923076922
2014-01-23,83600,83600,82100,83500,82327,0.0084541062801932
2014-01-24,82800,83900,81500,83600,89650,0.0011976047904191
2014-01-27,82900,82900,80600,80800,91898,-0.0334928229665071
2014-01-28,80900,82800,80700,82000,112272,0.0148514851485148
2014-01-29,82800,84700,82100,84100,185066,0.025609756097561
2014-02-03,84500,84500,81500,81800,100575,-0.0273483947681332
2014-02-04,80000,82100,80000,81700,108426,-0.0012224938875305
2014-02-05,81700,82400,80400,81000,69526,-0.0085679314565483
2014-02-06,81300,85000,80900,84500,136073,0.0432098765432098
2014-02-07,85000,86400,84200,85300,160174,0.0094674556213016
2014-02-10,85300,85700,83000,83600,123558,-0.0199296600234466
2014-02-11,83100,83600,81200,83000,173339,-0.0071770334928229
2014-02-12,83100,83900,82300,83800,71568,0.0096385542168675
2014-02-13,84100,84300,81300,81400,157686,-0.0286396181384248
2014-02-14,79000,79000,75500,75500,691307,-0.0724815724815725
2014-02-17,75900,76800,75400,76500,198804,0.0132450331125828
2014-02-18,76500,77200,76100,76700,98580,0.0026143790849673
2014-02-19,76400,76800,74300,74700,283214,-0.0260756192959582
