Date,Open,High,Low,Close,Volume,Change
2023-04-04,324794,330577,319012,319012,4408,-0.0178020529935898
2023-04-05,331058,340214,319011,332986,11685,0.04380399483405
2023-04-06,332986,332986,323830,325758,5033,-0.0217066182962647
2023-04-07,327685,328649,322384,325758,3124,0.0
2023-04-10,326239,338287,325758,330577,8508,0.0147931900367757
2023-04-11,344069,362381,335877,356117,42681,0.0772588534592546
2023-04-12,360936,364791,350334,352262,14902,-0.0108250940000056
2023-04-13,352261,355635,341660,351780,5228,-0.0013682997314499
2023-04-14,355153,356117,346961,349371,3886,-0.0068480300187617
2023-04-17,349371,353708,342142,349853,6464,0.0013796222353887
2023-04-18,352261,378283,346960,368646,23533,0.0537168467899373
2023-04-19,369610,378284,365755,372020,14085,0.009152411798853
2023-04-20,373947,376839,359009,359009,7866,-0.0349739261330036
2023-04-21,357562,362381,344069,346961,9606,-0.0335590472662244
2023-04-24,345997,351780,337323,339251,7449,-0.0222215176921901
2023-04-25,343106,344551,322866,325758,8775,-0.0397729115021031
2023-04-26,327686,332023,325758,328168,5096,0.0073981299001097
2023-04-27,328167,332986,323830,332986,4703,0.0146815045952073
2023-04-28,335396,336359,325758,326722,6146,-0.0188116016889599
2023-05-02,329131,331541,324312,327686,7101,0.002950520626098
2023-05-03,327204,327204,318530,319012,4911,-0.0264704625769791
2023-05-04,319011,322866,316119,319975,3517,0.0030186952214963
2023-05-08,325757,325757,316601,319975,3126,0.0
2023-05-09,320939,320939,312265,317566,3455,-0.0075287131807172
2023-05-10,317566,317566,308892,310338,6145,-0.022760622988607
2023-05-11,313229,313711,303591,305037,9254,-0.0170813757902673
2023-05-12,304554,306964,303109,304073,2967,-0.0031602723604021
2023-05-15,304072,307446,297808,307446,4010,0.0110927310218269
2023-05-16,307446,310819,307446,309856,2668,0.0078387749393389
2023-05-17,309855,318047,308891,317566,4682,0.0248825260766292
2023-05-18,318047,318529,314192,316602,2048,-0.0030355894522713
2023-05-19,317566,318048,312747,318048,3508,0.0045672484696874
2023-05-22,314192,319493,314192,318530,2997,0.0015154945165509
2023-05-23,319975,326239,319011,325276,2667,0.0211785389131322
2023-05-24,324793,324793,319974,323830,2265,-0.0044454555515931
2023-05-25,321902,321902,319011,319975,1804,-0.0119043942809499
2023-05-26,319493,320939,317084,317084,1470,-0.0090350808656926
2023-05-30,319011,326240,319011,322385,3801,0.0167179674786492
2023-05-31,322867,332986,322867,328168,6670,0.0179381795058704
2023-06-01,332504,332504,324794,327204,1948,-0.0029375198069281
2023-06-02,327203,332022,327203,331059,2343,0.011781640811237
2023-06-05,331059,333950,329613,332505,2344,0.0043678015097006
2023-06-07,332504,337323,332504,334432,4040,0.0057954015729086
2023-06-08,332986,333468,329131,329131,2179,-0.0158507559085254
2023-06-09,331540,337805,328649,330577,3919,0.004393387435398
2023-06-12,333950,333950,330577,331059,4181,0.0014580566706092
2023-06-13,331540,333468,329613,330095,2730,-0.0029118676731337
2023-06-14,331541,334914,322867,323349,7490,-0.0204365409957739
2023-06-15,323830,330577,323830,326722,4057,0.0104314533213338
2023-06-16,326722,331541,325276,327686,2827,0.002950520626098
2023-06-19,328167,328167,321421,322385,3063,-0.0161770719530282
2023-06-20,320938,320938,316601,319493,2079,-0.0089706406935806
2023-06-21,320939,322866,315638,317566,3157,-0.0060314310485676
2023-06-22,318047,319011,314674,316602,2620,-0.0030355894522713
2023-06-23,318530,318530,312265,314193,3853,-0.0076089222430686
2023-06-26,313711,314193,312265,314193,2101,0.0
2023-06-27,313710,314192,309373,311783,2865,-0.0076704445993386
2023-06-28,318048,318048,305037,305519,3129,-0.0200908965530512
2023-06-29,306000,312265,305519,310338,3332,0.0157731597707506
2023-06-30,306964,311783,303591,309374,3299,-0.0031062905606145
2023-07-03,313228,324793,313228,323830,5829,0.0467266156819901
2023-07-04,327686,327686,320939,323349,2640,-0.0014853472501004
2023-07-05,327203,327203,319975,322385,3353,-0.0029812988442827
