Date,Open,High,Low,Close,Volume,Change
2023-04-04,994,1005,986,1000,1018512,0.0101010101010101
2023-04-05,1002,1017,988,1013,996545,0.0129999999999999
2023-04-06,1010,1018,999,1006,614548,-0.0069101678183612
2023-04-07,1004,1013,999,1005,678238,-0.0009940357852882
2023-04-10,1005,1005,991,993,778247,-0.0119402985074626
2023-04-11,997,1002,985,993,538944,0.0
2023-04-12,993,1013,990,1010,680410,0.0171198388721047
2023-04-13,1001,1011,995,1010,398894,0.0
2023-04-14,1015,1022,1005,1021,865624,0.0108910891089109
2023-04-17,1026,1037,1016,1033,614071,0.0117531831537707
2023-04-18,1034,1036,1024,1034,514155,0.0009680542110357
2023-04-19,1034,1037,1028,1030,825315,-0.0038684719535783
2023-04-20,1036,1060,1020,1049,3727640,0.0184466019417475
2023-04-21,1053,1140,1026,1046,8805247,-0.0028598665395614
2023-04-24,1073,1080,1051,1067,2957225,0.020076481835564
2023-04-25,1057,1068,1031,1037,2067049,-0.028116213683224
2023-04-26,1037,1120,1032,1073,7250923,0.0347155255544839
2023-04-27,1098,1108,1041,1050,4774765,-0.02143522833178
2023-04-28,1049,1059,1031,1035,1451059,-0.0142857142857142
2023-05-02,1030,1067,1029,1057,1544924,0.021256038647343
2023-05-03,1045,1068,1045,1052,2028048,-0.0047303689687795
2023-05-04,1091,1100,1030,1035,3334399,-0.0161596958174905
2023-05-08,1050,1133,1043,1085,10669006,0.0483091787439613
2023-05-09,1102,1131,1060,1069,4098833,-0.0147465437788018
2023-05-10,1090,1101,1058,1064,3634690,-0.0046772684752104
2023-05-11,1064,1066,1047,1055,1133564,-0.0084586466165413
2023-05-12,1052,1054,1015,1022,1699057,-0.0312796208530805
2023-05-15,1018,1045,1013,1025,721161,0.0029354207436398
2023-05-16,1026,1057,1015,1040,1952271,0.0146341463414634
2023-05-17,1072,1123,1039,1044,7048997,0.0038461538461538
2023-05-18,1021,1022,998,1003,2873345,-0.0392720306513409
2023-05-19,1003,1013,1002,1006,1094423,0.0029910269192423
2023-05-22,1007,1035,1004,1029,1950222,0.0228628230616301
2023-05-23,1030,1030,1017,1021,702956,-0.0077745383867833
2023-05-24,1038,1249,1026,1181,53344894,0.1567091087169441
2023-05-25,1167,1238,1141,1160,25123008,-0.0177815410668924
2023-05-26,1169,1171,1136,1144,4764017,-0.0137931034482758
2023-05-30,1146,1146,1125,1132,1925297,-0.0104895104895105
2023-05-31,1131,1167,1119,1129,3484555,-0.0026501766784452
2023-06-01,1130,1131,1113,1126,1297649,-0.0026572187776793
2023-06-02,1126,1140,1119,1126,1133186,0.0
2023-06-05,1128,1145,1127,1138,1677196,0.0106571936056838
2023-06-07,1157,1160,1132,1140,2326005,0.0017574692442883
2023-06-08,1171,1180,1117,1126,3658362,-0.012280701754386
2023-06-09,1136,1165,1127,1134,2732254,0.0071047957371226
2023-06-12,1149,1151,1129,1130,1479257,-0.0035273368606701
2023-06-13,1134,1164,1118,1130,2447029,0.0
2023-06-14,1153,1166,1129,1160,4808336,0.0265486725663717
2023-06-15,1160,1232,1143,1176,12146020,0.0137931034482758
2023-06-16,1172,1188,1160,1187,3224417,0.0093537414965987
2023-06-19,1213,1222,1183,1189,4844517,0.0016849199663016
2023-06-20,1181,1210,1165,1170,2159668,-0.0159798149705634
2023-06-21,1169,1172,1156,1170,1837196,0.0
2023-06-22,1175,1200,1170,1175,4378301,0.0042735042735042
2023-06-23,1172,1174,1148,1151,1678210,-0.0204255319148936
2023-06-26,1151,1157,1111,1133,1370307,-0.0156385751520417
2023-06-27,1130,1133,1097,1106,1518318,-0.0238305383936452
2023-06-28,1100,1110,1092,1101,722537,-0.0045207956600361
2023-06-29,1100,1100,1050,1053,1368640,-0.0435967302452315
2023-06-30,1051,1080,1051,1065,760832,0.0113960113960114
2023-07-03,1065,1083,1064,1073,401303,0.0075117370892019
2023-07-04,1073,1077,1047,1056,422319,-0.015843429636533
2023-07-05,1064,1064,1045,1060,645346,0.0037878787878788
2023-07-06,1060,1060,1035,1036,539265,-0.0226415094339622
2023-07-07,1036,1039,1019,1022,462837,-0.0135135135135134
2023-07-10,1020,1035,1013,1026,287831,0.0039138943248533
2023-07-11,1028,1049,1028,1040,309394,0.0136452241715399
2023-07-12,1040,1042,1031,1034,264826,-0.0057692307692307
2023-07-13,1040,1044,1031,1039,323575,0.0048355899419729
2023-07-14,1039,1064,1038,1059,771583,0.0192492781520692
2023-07-17,1061,1067,1044,1066,506666,0.0066100094428707
2023-07-18,1125,1303,1121,1142,30445903,0.0712945590994371
2023-07-19,1148,1152,1118,1128,2693713,-0.0122591943957968
2023-07-20,1199,1278,1142,1152,14237684,0.0212765957446807
2023-07-21,1170,1195,1124,1135,3515480,-0.0147569444444444
2023-07-24,1130,1134,1072,1078,2699422,-0.0502202643171806
2023-07-25,1099,1170,1078,1078,7810666,0.0
2023-07-26,1081,1116,997,1007,4476634,-0.0658627087198515
