Date,Open,High,Low,Close,Volume,Change
2023-04-04,155000,155200,150700,151300,528311,-0.025756600128783
2023-04-05,151400,158000,150900,157800,819035,0.0429610046265698
2023-04-06,157000,157000,152100,152400,504034,-0.0342205323193915
2023-04-07,153700,155100,152800,153900,339439,0.0098425196850393
2023-04-10,153100,154400,152200,153400,316011,-0.0032488628979857
2023-04-11,154200,155400,153600,154500,368885,0.0071707953063884
2023-04-12,154100,154500,152000,152600,394346,-0.0122977346278316
2023-04-13,152000,153900,151900,153300,294709,0.0045871559633028
2023-04-14,154000,154700,153100,154300,374166,0.0065231572080888
2023-04-17,154400,154600,151700,151800,355705,-0.0162022034996759
2023-04-18,151800,151900,147000,147600,682259,-0.0276679841897232
2023-04-19,147800,149000,145200,146300,522804,-0.0088075880758807
2023-04-20,146000,146600,144800,145300,241244,-0.0068352699931647
2023-04-21,145200,145500,141000,141700,673726,-0.024776324845148
2023-04-24,141100,143400,140900,142200,340597,0.0035285815102328
2023-04-25,142200,142400,137600,139700,400538,-0.0175808720112518
2023-04-26,137900,141200,137900,139100,443602,-0.0042949176807444
2023-04-27,139800,141700,139000,141300,310308,0.0158159597411933
2023-04-28,142200,144700,141400,143900,488987,0.0184005661712667
2023-05-02,143900,144400,142200,142800,241408,-0.0076441973592772
2023-05-03,142000,144000,141000,143300,261010,0.003501400560224
2023-05-04,142200,142500,136900,137700,675898,-0.0390788555478017
2023-05-08,138300,141000,138300,140000,384126,0.0167029774872911
2023-05-09,139700,139900,138000,138800,239716,-0.0085714285714285
2023-05-10,138300,138600,135200,136000,518206,-0.0201729106628242
2023-05-11,137100,137700,135700,135900,284446,-0.000735294117647
2023-05-12,135900,137300,135400,135900,276843,0.0
2023-05-15,135500,136200,134400,135400,249948,-0.0036791758646063
2023-05-16,136400,137400,135200,136100,326479,0.0051698670605613
2023-05-17,136300,139000,135400,138100,313243,0.0146950771491549
2023-05-18,139100,141600,138400,141400,352167,0.0238957277335263
2023-05-19,141900,143400,140600,142600,388646,0.0084865629420085
2023-05-22,142000,143700,141400,143000,304080,0.0028050490883591
2023-05-23,143500,146000,142800,143900,360491,0.0062937062937062
2023-05-24,142900,144000,142200,143100,171063,-0.0055594162612925
2023-05-25,144200,145000,142800,143000,360122,-0.0006988120195667
2023-05-26,143300,145200,143200,144000,327172,0.006993006993007
2023-05-30,145300,149100,144600,148700,591821,0.0326388888888888
2023-05-31,148000,149000,147100,147500,585510,-0.0080699394754539
2023-06-01,146500,148500,146300,148500,348438,0.006779661016949
2023-06-02,150100,151700,148300,149300,363988,0.0053872053872054
2023-06-05,150000,150100,147600,148400,219991,-0.0060281312793034
2023-06-07,149400,150300,147600,147900,221777,-0.0033692722371967
2023-06-08,147200,147500,144100,145900,421546,-0.0135226504394861
2023-06-09,147100,148700,146600,147200,253340,0.0089102124742974
2023-06-12,149200,150200,146700,147400,310731,0.0013586956521738
2023-06-13,148600,149700,147800,148600,250512,0.0081411126187245
2023-06-14,148600,148800,146100,147300,218995,-0.0087483176312247
2023-06-15,147800,149100,146800,148000,264236,0.0047522063815341
2023-06-16,149000,149900,147300,149600,308485,0.0108108108108107
2023-06-19,149600,149700,147300,148000,188486,-0.0106951871657754
2023-06-20,147700,149600,146000,149500,254477,0.010135135135135
2023-06-21,149200,149300,143300,144000,397518,-0.0367892976588628
2023-06-22,143600,144000,141700,142600,330894,-0.0097222222222221
2023-06-23,142900,145000,142400,142400,233840,-0.0014025245441795
2023-06-26,142200,144900,141900,144400,191449,0.0140449438202248
2023-06-27,144000,145900,143800,145200,227610,0.005540166204986
2023-06-28,145700,145900,142500,142800,161640,-0.0165289256198346
2023-06-29,142800,145300,142500,143400,202741,0.0042016806722688
2023-06-30,143400,144800,142200,144500,176663,0.007670850767085
2023-07-03,145300,145900,144400,145200,201956,0.0048442906574395
2023-07-04,145900,145900,143800,144000,202886,-0.0082644628099173
2023-07-05,143900,144900,142500,143100,209126,-0.0062499999999999
2023-07-06,143000,144300,142000,142800,320480,-0.0020964360587002
2023-07-07,142200,142900,139500,140400,295183,-0.0168067226890756
2023-07-10,140500,141500,138500,138600,173952,-0.0128205128205127
2023-07-11,140200,145300,139900,145300,378816,0.0483405483405483
2023-07-12,145200,145800,144000,145700,183785,0.0027529249827942
2023-07-13,146900,148900,146200,148200,443521,0.0171585449553877
2023-07-14,149200,151500,148000,150300,535272,0.01417004048583
2023-07-17,152300,161000,152300,158000,1536870,0.051230871590153
2023-07-18,159600,159700,154500,156400,507711,-0.010126582278481
2023-07-19,156400,157200,151500,153200,465298,-0.020460358056266
2023-07-20,151500,153900,151500,152900,277783,-0.0019582245430809
2023-07-21,151600,151800,148600,149700,387519,-0.0209287115761935
2023-07-24,149300,151600,148000,150900,342418,0.0080160320641282
2023-07-25,151300,151700,148200,148900,317345,-0.0132538104705102
2023-07-26,148900,149000,143000,144100,532483,-0.0322364002686367
2023-07-27,145000,147200,143200,146800,525283,0.0187369882026371
