Date,Open,High,Low,Close,Volume,Change
2013-09-16,6064,6317,5979,6177,512012,
2013-09-17,6205,6233,5979,6092,298686,-0.0137607252711672
2013-09-23,5866,5951,5370,5500,1190357,-0.0971766250820748
2013-09-24,5325,5810,5246,5246,909831,-0.0461818181818182
2013-09-25,5167,5460,5161,5331,457046,0.0162028211971025
2013-09-26,5330,5629,5330,5494,291559,0.0305758769461639
2013-09-27,5516,5612,5415,5494,248316,0.0
2013-09-30,5500,5607,5342,5376,208832,-0.0214779759737896
2013-10-01,5358,5409,5161,5195,267212,-0.0336681547619047
2013-10-02,5195,5257,4879,4879,427258,-0.0608277189605389
2013-10-04,4885,5607,4885,5607,930888,0.1492109038737445
2013-10-07,5753,6430,5669,6431,1443137,0.1469591581951133
2013-10-08,6712,7051,6176,6403,3117745,-0.0043539107448297
2013-10-10,6402,7023,6148,6290,2144005,-0.0176479775105419
2013-10-11,6317,6684,6092,6600,1900971,0.0492845786963433
2013-10-14,6825,6938,6374,6374,836834,-0.0342424242424242
2013-10-15,6317,6712,6120,6205,936180,-0.0265139629745841
2013-10-16,6317,6430,6092,6177,397831,-0.0045124899274778
2013-10-17,6176,6261,5612,5641,756450,-0.0867735146511251
2013-10-18,5556,5697,5494,5669,297839,0.0049636589257224
2013-10-21,5573,6515,5573,6233,1310708,0.099488445934027
2013-10-22,6205,6346,5951,6149,462493,-0.0134766565056955
2013-10-23,6205,6205,5866,5867,405902,-0.0458611156285574
2013-10-24,5810,5866,5641,5754,335905,-0.0192602693028804
2013-10-25,5753,6571,5669,6149,1099778,0.0686478971150503
2013-10-28,6035,6176,5866,6036,438847,-0.0183769718653439
2013-10-29,6148,6571,6035,6092,712508,0.009277667329357
2013-10-30,6092,6402,5951,6064,437591,-0.0045961917268548
2013-10-31,6120,6402,6035,6318,427546,0.0418865435356201
2013-11-01,6317,6458,6176,6177,303157,-0.0223171889838555
2013-11-04,5979,6289,5782,6092,408172,-0.0137607252711672
2013-11-05,6092,6261,5979,6092,254470,0.0
2013-11-06,6092,6176,5810,5895,333472,-0.0323374917925147
2013-11-07,5923,5951,5612,5641,405490,-0.0430873621713316
2013-11-08,5641,5697,5556,5613,139407,-0.0049636589257223
2013-11-11,5641,5669,5217,5286,295282,-0.0582576162479957
2013-11-12,5387,5398,5234,5263,118331,-0.0043511161558834
2013-11-13,5240,5669,5212,5274,248940,0.0020900627018809
2013-11-14,5274,5381,5274,5376,105104,0.0193401592718998
2013-11-15,5404,5522,5246,5274,123005,-0.0189732142857143
2013-11-18,5280,5296,4969,5083,245869,-0.0362153962836556
2013-11-19,5082,5155,4947,5077,167064,-0.0011804052724768
2013-11-20,5054,5105,4992,5037,100441,-0.0078786685050226
2013-11-21,5037,5105,4964,5088,85804,0.0101250744490768
2013-11-22,5122,5144,4975,5066,61331,-0.0043238993710691
2013-11-25,5026,5150,5009,5043,179601,-0.0045400710619818
2013-11-26,5071,5071,4992,5009,89883,-0.0067420186396985
2013-11-27,5031,5285,4969,5077,184434,0.0135755639848273
2013-11-28,5105,5257,5060,5167,306460,0.0177270041363009
2013-11-29,5082,5229,4879,5077,209960,-0.0174182310818656
2013-12-02,5076,5161,4997,5133,86700,0.0110301359070317
2013-12-03,5138,5155,4964,4992,115591,-0.0274693161893629
2013-12-04,5071,5071,4879,4879,96375,-0.0226362179487179
2013-12-05,4879,4947,4789,4823,120651,-0.0114777618364418
2013-12-06,4862,4862,4682,4851,141704,0.0058055152394775
2013-12-09,4834,5494,4738,5291,624591,0.090702947845805
2013-12-10,5291,5347,5082,5111,177540,-0.034020034020034
2013-12-11,5110,5240,5020,5099,128234,-0.0023478771277636
2013-12-12,5054,5291,4930,5145,209851,0.0090213767405373
2013-12-13,5234,5234,5009,5088,96245,-0.0110787172011661
2013-12-16,5150,5150,5026,5083,65570,-0.0009827044025156
2013-12-17,5076,5122,5043,5066,42547,-0.0033444816053511
2013-12-18,5020,5105,4907,4947,131142,-0.023489932885906
2013-12-19,4851,4986,4744,4908,229390,-0.0078835657974529
2013-12-20,4947,5031,4851,4992,101721,0.0171149144254278
2013-12-23,5184,5725,5161,5726,969171,0.1470352564102564
2013-12-24,5979,6289,5725,6149,2171752,0.0738735592036325
2013-12-26,5979,6261,5725,6008,646809,-0.0229305578142787
2013-12-27,6092,6571,6007,6290,1467155,0.0469374167776297
2013-12-30,6317,6571,6092,6177,610876,-0.0179650238473767
2014-01-02,6120,7051,6064,6656,1656400,0.0775457341751659
2014-01-03,6656,6769,6430,6628,539747,-0.0042067307692307
2014-01-06,6853,6994,6515,6572,425308,-0.0084490042245021
2014-01-07,6515,6853,6430,6685,298943,0.0171941570298235
2014-01-08,6684,6712,6346,6487,327328,-0.0296185489902767
2014-01-09,6458,6712,6402,6515,201014,0.0043163249576074
2014-01-10,6458,6543,6092,6205,337540,-0.0475825019186493
2014-01-13,6205,6346,6035,6318,300876,0.0182111200644641
2014-01-14,6317,6543,6261,6374,238002,0.0088635644191199
2014-01-15,6346,6543,6176,6346,194121,-0.0043928459366174
2014-01-16,6402,6430,6120,6205,193452,-0.0222187204538292
2014-01-17,6233,6430,6148,6290,225975,0.0136986301369863
2014-01-20,6346,6402,5894,5923,320735,-0.0583465818759936
2014-01-21,5866,5866,5641,5754,414020,-0.0285328380888063
2014-01-22,5782,5810,5641,5782,166300,0.0048661800486617
2014-01-23,5838,5838,5641,5641,181041,-0.0243860255966793
2014-01-24,5641,5753,5601,5726,128463,0.0150682503102286
2014-01-27,5641,5641,5404,5466,164853,-0.0454069158225637
2014-01-28,5545,5782,5358,5528,271486,0.0113428466886205
