Date,Open,High,Low,Close,Volume,Change
2023-04-04,18880,20450,18690,20200,727756,0.069915254237288
2023-04-05,19990,21200,19950,20850,920261,0.0321782178217822
2023-04-06,20750,21250,20550,20700,504395,-0.0071942446043165
2023-04-07,20850,21200,20450,20800,279275,0.0048309178743961
2023-04-10,20950,21450,20500,21300,425609,0.0240384615384614
2023-04-11,21400,22600,21100,22150,795983,0.039906103286385
2023-04-12,22500,22550,21650,22250,434562,0.0045146726862301
2023-04-13,22250,23550,22000,23450,830252,0.0539325842696629
2023-04-14,23400,23800,22400,22550,808584,-0.0383795309168443
2023-04-17,23150,23300,22600,23000,470929,0.0199556541019956
2023-04-18,22700,22900,21950,22200,670880,-0.0347826086956521
2023-04-19,22050,22400,21250,21650,417157,-0.0247747747747747
2023-04-20,21650,21650,21000,21250,482787,-0.0184757505773671
2023-04-21,21300,21650,21000,21250,279459,0.0
2023-04-24,21450,21700,20850,21050,236686,-0.0094117647058823
2023-04-25,21250,21550,20600,20750,307696,-0.0142517814726841
2023-04-26,20750,21400,20600,20850,251815,0.0048192771084336
2023-04-27,20800,20800,19130,20450,622087,-0.0191846522781774
2023-04-28,20100,20700,20100,20500,266207,0.0024449877750611
2023-05-02,20500,20500,19570,20300,236216,-0.0097560975609756
2023-05-03,20100,20600,19930,20350,171745,0.0024630541871921
2023-05-04,20350,22750,19990,22550,811046,0.1081081081081081
2023-05-08,22300,22850,22100,22250,384612,-0.0133037694013303
2023-05-09,22400,23100,22000,22150,357988,-0.0044943820224718
2023-05-10,22000,22350,21600,22050,248675,-0.0045146726862302
2023-05-11,22200,22400,21200,21450,319748,-0.0272108843537415
2023-05-12,21250,21650,21000,21500,297810,0.0023310023310023
2023-05-15,21200,21950,20850,21500,255248,0.0
2023-05-16,21150,21650,20900,21300,149692,-0.0093023255813953
2023-05-17,21450,22800,21450,22600,501400,0.0610328638497652
2023-05-18,23000,23600,22450,22550,673372,-0.0022123893805309
2023-05-19,22200,23200,18400,21850,3797773,-0.0310421286031041
2023-05-22,21750,21900,20850,21650,576903,-0.0091533180778031
2023-05-23,22300,24500,22100,23300,1970785,0.0762124711316396
2023-05-24,22900,23000,21700,21950,629615,-0.05793991416309
2023-05-25,22250,22250,21650,21850,279347,-0.0045558086560364
2023-05-26,21600,22150,21500,21650,283873,-0.0091533180778031
2023-05-30,21800,22100,21150,21500,215975,-0.0069284064665127
2023-05-31,21250,22650,21250,22050,336964,0.0255813953488373
2023-06-01,22250,24100,22150,23950,994971,0.0861678004535146
2023-06-02,23750,24450,23600,23700,500694,-0.0104384133611691
2023-06-05,23950,23950,22550,22750,365132,-0.0400843881856539
2023-06-07,22750,22800,22250,22350,322031,-0.0175824175824176
2023-06-08,22300,22400,21700,22150,358781,-0.0089485458612975
2023-06-09,22100,22350,21650,21900,306793,-0.0112866817155756
2023-06-12,21950,21950,21350,21700,289042,-0.0091324200913242
2023-06-13,21700,22350,21600,21850,343571,0.0069124423963133
2023-06-14,21850,21850,21300,21550,221126,-0.0137299771167047
2023-06-15,21350,21800,21100,21350,260771,-0.0092807424593968
2023-06-16,21500,22400,21400,21750,436315,0.0187353629976581
2023-06-19,21800,22000,21350,21500,193287,-0.0114942528735632
2023-06-20,21450,21550,20900,21150,316985,-0.0162790697674418
2023-06-21,21050,21200,20800,20900,194181,-0.0118203309692671
2023-06-22,20750,21000,20500,20900,187252,0.0
