Date,Open,High,Low,Close,Volume,Change
2023-04-04,16160,16430,16160,16180,10100,-0.004920049200492049
2023-04-05,16780,16780,16210,16530,15078,0.02163164400494444
2023-04-06,16530,16910,16250,16460,17579,-0.00423472474289166
2023-04-07,16630,16820,16410,16600,7711,0.008505467800729027
2023-04-10,16600,16600,15970,16000,28486,-0.03614457831325302
2023-04-11,16030,16250,15670,15990,32046,-0.0006249999999999867
2023-04-12,15990,16480,15970,16420,18122,0.026891807379612276
2023-04-13,16420,16480,16070,16210,6551,-0.012789281364189997
2023-04-14,16490,16490,16170,16220,11195,0.0006169031462059937
2023-04-17,16470,16820,16100,16700,19215,0.0295930949445129
2023-04-18,16770,17200,16560,16700,37928,0.0
2023-04-19,16690,17330,16410,17150,34771,0.026946107784431073
2023-04-20,17140,17140,16560,16700,26509,-0.026239067055393583
2023-04-21,16500,16700,16120,16500,20983,-0.0119760479041916
2023-04-24,16270,16310,15820,15920,17808,-0.035151515151515156
2023-04-25,15920,19510,15530,17420,1224409,0.0942211055276383
2023-04-26,17490,18910,16890,16930,753833,-0.02812858783008032
2023-04-27,17300,19020,17000,18700,907940,0.10454813939751917
2023-04-28,18500,19400,17550,17580,410823,-0.059893048128342286
2023-05-02,17580,22850,17340,22850,1297197,0.2997724687144483
2023-05-03,28700,29700,28250,29700,1863069,0.29978118161925593
2023-05-04,30900,36500,25550,29300,16058290,-0.013468013468013518
2023-05-08,27050,27750,20700,21800,2444716,-0.2559726962457338
2023-05-09,23950,26150,21650,22300,4165828,0.022935779816513735
2023-05-10,21700,24150,20850,23150,2350337,0.03811659192825112
2023-05-11,22300,23550,21850,22600,1169127,-0.023758099352051865
2023-05-12,22100,22150,20550,20700,650657,-0.08407079646017701
2023-05-15,20850,21750,19600,19770,818892,-0.04492753623188406
2023-05-16,19830,20750,19500,20000,590542,0.01163378856853825
2023-05-17,19800,21850,19580,21200,850800,0.06000000000000005
2023-05-18,21300,27550,21250,27550,3353731,0.29952830188679247
2023-05-19,28650,31450,25900,26750,5466862,-0.029038112522686066
2023-05-22,26450,27250,25850,25850,791042,-0.03364485981308407
2023-05-23,25900,27450,25200,25800,1094483,-0.0019342359767892114
2023-05-24,25350,25750,24450,24450,352795,-0.05232558139534882
2023-05-25,24350,24850,23850,24100,349289,-0.014314928425357865
2023-05-26,24050,29000,23950,25700,8462869,0.06639004149377592
2023-05-30,25250,28600,24300,27250,2683053,0.060311284046692615
2023-05-31,26650,28800,26250,26600,1662309,-0.023853211009174258
2023-06-01,26600,29450,26500,27800,2961498,0.04511278195488733
2023-06-02,27450,27750,25600,25600,712159,-0.07913669064748197
2023-06-05,25600,26250,25050,25400,586244,-0.0078125
2023-06-07,25400,26750,25100,25300,495619,-0.003937007874015741
2023-06-08,25350,25700,24550,24550,310982,-0.029644268774703608
