Date,Open,High,Low,Close,Volume,Change
2013-09-16,8420,8591,8266,8382,950,
2013-09-17,8332,8481,7942,8404,5963,0.0026246719160105
2013-09-23,8282,8518,8260,8442,5948,0.004521656354117
2013-09-24,8591,8591,8398,8404,1566,-0.0045013030087657
2013-09-25,8398,8547,8283,8404,786,0.0
2013-09-26,8584,8584,8304,8486,2011,0.0097572584483578
2013-09-27,8612,8672,8376,8662,4834,0.0207400424228141
2013-09-30,8662,8854,8590,8750,1598,0.0101593165550681
2013-10-01,8931,8931,8519,8530,6929,-0.0251428571428571
2013-10-02,8826,8826,8436,8706,1257,0.0206330597889801
2013-10-04,8738,8953,8458,8662,1809,-0.0050539857569492
2013-10-07,8629,8629,8151,8162,2502,-0.0577233895174325
2013-10-08,8393,8514,7914,7964,7390,-0.0242587601078166
2013-10-10,7953,8277,7953,8162,597,0.0248618784530387
2013-10-11,7898,8151,7898,8030,2927,-0.0161725067385444
2013-10-14,8261,8261,7870,8030,1149,0.0
2013-10-15,8024,8107,7898,8030,1703,0.0
2013-10-16,8019,8173,7914,8118,1052,0.0109589041095889
2013-10-17,8150,8150,7809,7903,3643,-0.0264843557526484
2013-10-18,8024,8051,7897,8057,2965,0.0194862710363152
2013-10-21,8375,8375,7831,8057,1994,0.0
2013-10-22,8001,8155,7919,7947,267,-0.013652724339084
2013-10-23,7859,8243,7859,8101,2751,0.0193783817792878
2013-10-24,8221,8221,7859,8101,1070,0.0
2013-10-25,8090,8090,7854,7986,1371,-0.0141957782989754
2013-10-28,8019,8063,7870,8008,727,0.002754820936639
2013-10-29,8393,8393,7942,8140,2007,0.0164835164835164
2013-10-30,8019,8134,7870,8140,1308,0.0
2013-10-31,8134,8398,7942,8404,4311,0.0324324324324323
2013-11-01,8338,8398,8096,8272,1887,-0.0157068062827224
2013-11-04,8239,8431,8046,8184,3452,-0.0106382978723403
2013-11-05,8375,8375,7721,7925,8524,-0.0316471163245356
2013-11-06,7913,7913,7809,7903,747,-0.002776025236593
2013-11-07,7892,8019,7870,7964,725,0.007718587878021
2013-11-08,7957,8051,7903,7947,6458,-0.0021346057257659
2013-11-11,7941,7941,7743,7903,627,-0.0055366805083679
2013-11-12,8001,8001,7595,7925,415,0.0027837530051879
2013-11-13,7919,7919,7787,7925,1781,0.0
2013-11-14,7804,7913,7782,7881,1481,-0.005552050473186
2013-11-15,7875,8051,7787,7947,569,0.0083745717548533
2013-11-18,7941,7941,7787,7925,89,-0.0027683402541839
2013-11-19,7875,7875,7617,7837,2906,-0.0111041009463722
2013-11-20,7869,7869,7567,7727,743,-0.0140359831568201
2013-11-21,7737,7737,7501,7683,242,-0.0056943186230101
2013-11-22,7682,8095,7584,7584,2473,-0.0128855915657946
2013-11-25,7781,7781,7573,7661,593,0.0101529535864979
2013-11-26,7760,7913,7760,7859,62,0.0258451899229865
2013-11-27,7958,7958,7595,7821,655,-0.0048352207660007
2013-11-28,7853,7853,7463,7749,8569,-0.0092059838895282
2013-11-29,7589,7699,7331,7705,13172,-0.0056781520196154
2013-12-02,7513,7623,7381,7557,1855,-0.0192083062946138
2013-12-03,7529,7529,7353,7513,934,-0.0058224163027656
2013-12-04,7370,7502,6941,7491,1011,-0.0029282576866763
2013-12-05,7446,7584,7358,7584,950,0.0124148978774529
2013-12-06,7579,7579,7293,7557,842,-0.0035601265822784
2013-12-09,7546,7546,7260,7447,678,-0.014556040756914
2013-12-10,7612,7612,7331,7491,12160,0.0059084194977843
2013-12-11,7348,7458,7326,7403,2618,-0.0117474302496328
2013-12-12,7348,7392,7216,7403,3019,0.0
2013-12-13,7370,7480,7287,7491,2657,0.0118870728083209
2013-12-16,7221,7331,7183,7315,757,-0.0234948604992657
2013-12-17,7304,7419,7221,7425,82,0.0150375939849625
2013-12-18,7463,7463,7463,7469,6,0.0059259259259258
2013-12-19,7463,7463,7265,7469,57,0.0
2013-12-20,7502,7502,7194,7491,701,0.0029455081001472
2013-12-23,7425,7513,7315,7513,299,0.0029368575624082
2013-12-24,7551,7551,7309,7535,607,0.0029282576866764
2013-12-26,7502,7502,7331,7491,609,-0.0058394160583941
2013-12-27,7353,7579,7271,7513,41,0.0029368575624082
2013-12-30,7485,7623,7485,7623,57,0.0146412884333821
2014-01-02,7463,7590,7265,7425,2728,-0.0259740259740259
2014-01-03,7397,7529,7309,7535,85,0.0148148148148148
2014-01-06,7480,7524,6913,7227,8121,-0.040875912408759
2014-01-07,7160,7188,6918,7188,3549,-0.0053964300539642
2014-01-08,7056,7160,6874,7144,5914,-0.0061213132999443
2014-01-09,7182,7182,6704,7034,5210,-0.0153975363941769
2014-01-10,6836,7144,6819,7144,1940,0.0156383281205572
2014-01-13,7044,7066,6869,6924,2353,-0.0307950727883539
2014-01-14,7088,7088,6852,7012,1900,0.0127094165222414
2014-01-15,6902,7056,6875,7062,2272,0.0071306332002281
2014-01-16,6896,7000,6099,6946,5021,-0.0164259416595865
2014-01-17,6913,7001,6852,7012,2087,0.0095018715807659
2014-01-20,6967,7011,6825,6825,1481,-0.0266685681688534
2014-01-21,6830,6957,6698,6968,567,0.020952380952381
2014-01-22,6830,6957,6830,6968,2179,0.0
2014-01-23,7001,7001,6836,6842,1673,-0.0180826636050516
2014-01-24,6709,6923,6709,6869,5216,0.0039462145571469
2014-01-27,6830,6913,6830,6924,1286,0.0080069879167272
2014-01-28,6907,6907,6869,6869,71,-0.0079433853264009
2014-01-29,6709,6869,6709,6869,1764,0.0
2014-02-03,6820,6902,6820,6908,653,0.0056776823409521
2014-02-04,6748,6897,6748,6776,1812,-0.019108280254777
2014-02-05,6759,6890,6742,6880,323,0.0153482880755608
2014-02-06,6770,6858,6704,6776,475,-0.0151162790697674
2014-02-07,6622,6792,6622,6754,2744,-0.0032467532467532
2014-02-10,6748,6875,6748,6842,599,0.013029315960912
2014-02-11,6787,6831,6699,6732,5629,-0.0160771704180063
2014-02-12,6731,6879,6709,6825,7159,0.0138146167557933
2014-02-13,6814,6836,6814,6842,138,0.0024908424908425
2014-02-14,6836,6864,6770,6798,1347,-0.0064308681672026
2014-02-17,6858,6858,6748,6842,526,0.006472491909385
2014-02-18,6841,6923,6797,6869,421,0.0039462145571469
2014-02-19,6875,6875,6748,6842,385,-0.0039307031591206
2014-02-20,6814,7000,6764,6946,1989,0.0152002338497514
2014-02-21,7001,7913,6940,7727,37380,0.1124388137057299
2014-02-24,7441,7788,7337,7535,10179,-0.0248479358094991
2014-02-25,7518,7782,7348,7359,4779,-0.0233576642335766
2014-02-26,7463,7480,7287,7425,2409,0.0089686098654708
2014-02-27,7485,8002,7425,7623,12429,0.0266666666666666
2014-02-28,7876,8437,7639,8272,30255,0.0851370851370851
2014-03-03,8173,8261,7650,8008,19177,-0.0319148936170212
2014-03-04,7810,8277,7810,8008,3425,0.0
2014-03-05,8261,8409,7782,7964,7384,-0.0054945054945054
2014-03-06,7869,7996,7650,7683,7177,-0.0352837769964842
2014-03-07,7672,7891,7589,7771,3394,0.0114538591695951
2014-03-10,7759,7825,7347,7705,4780,-0.0084931154291596
2014-03-11,7595,7705,7469,7557,2836,-0.0192083062946138
2014-03-12,7524,7744,7353,7645,729,0.0116448326055313
2014-03-13,7672,7694,7326,7447,2800,-0.0258992805755395
2014-03-14,7380,7622,7298,7584,2715,0.0183966697999193
2014-03-17,7832,7832,7309,7623,440,0.0051424050632911
2014-03-18,7781,8045,7435,7661,2809,0.0049849140758231
2014-03-19,7825,7825,7435,7683,3161,0.0028716877692207
2014-03-20,7579,7749,7485,7557,396,-0.0163998438110113
2014-03-21,7556,7584,7402,7584,994,0.0035728463676061
2014-03-24,7579,7579,7381,7513,1887,-0.0093618143459915
2014-03-25,7419,7480,7221,7315,3426,-0.0263543191800877
2014-03-26,7260,7304,7111,7205,6497,-0.0150375939849624
2014-03-27,7160,7198,6962,7166,6073,-0.005412907702984
2014-03-28,6984,7160,6984,7166,2294,0.0
2014-03-31,7022,7132,6935,6968,3648,-0.027630477253698
2014-04-01,6957,6957,6869,6968,2828,0.0
2014-04-02,6957,7138,6896,7034,5743,0.0094718714121699
2014-04-03,7022,7050,6913,7012,2949,-0.0031276656241114
2014-04-04,7001,7072,6940,7078,3543,0.0094124358243012
2014-04-07,6957,7138,6957,7078,1645,0.0
2014-04-08,7051,7546,6957,7469,6661,0.0552415936705283
2014-04-09,7265,7623,7265,7623,2007,0.0206185567010308
2014-04-10,7524,7650,6913,7447,5167,-0.023088023088023
2014-04-11,7243,7513,7056,7513,1938,0.0088626292466764
2014-04-14,7513,7579,7513,7557,362,0.0058565153733527
2014-04-15,7480,7573,7348,7425,1253,-0.0174672489082969
2014-04-16,7502,7502,7304,7425,5848,0.0
2014-04-17,7348,7463,7348,7425,2197,0.0
2014-04-18,7348,7480,7348,7447,1890,0.002962962962963
2014-04-21,7463,7463,7331,7425,2100,-0.0029542097488921
2014-04-22,7265,7463,7265,7425,477,0.0
2014-04-23,7287,7392,7221,7271,1267,-0.0207407407407407
2014-04-24,7414,7414,7216,7359,1576,0.0121028744326776
