Date,Open,High,Low,Close,Volume,Change
2023-04-04,51800,52000,50100,50400,3003343,-0.0019801980198019
2023-04-05,50300,50800,48800,48950,2688586,-0.0287698412698412
2023-04-06,48700,51200,47450,49750,5151937,0.0163432073544433
2023-04-07,51000,51700,50100,50900,2976570,0.0231155778894471
2023-04-10,52000,53400,51300,52700,4486166,0.0353634577603143
2023-04-11,53500,53600,51500,52000,2453671,-0.0132827324478178
2023-04-12,51700,52400,50200,50800,1880851,-0.0230769230769231
2023-04-13,51200,52700,50900,52200,2450700,0.0275590551181101
2023-04-14,53300,53400,51600,51600,1673587,-0.0114942528735632
2023-04-17,51900,52500,51300,52300,1472537,0.0135658914728682
2023-04-18,53200,54900,52600,54700,5179091,0.0458891013384321
2023-04-19,54200,54800,53600,54200,1849742,-0.0091407678244972
2023-04-20,53900,54600,52700,53100,1763178,-0.0202952029520294
2023-04-21,53400,55800,51800,55100,3933278,0.0376647834274952
2023-04-24,55900,56400,54600,54600,2672482,-0.0090744101633394
2023-04-25,54400,55500,53600,55100,2691130,0.0091575091575091
2023-04-26,54300,54700,53100,53100,2009547,-0.0362976406533575
2023-04-27,51800,53100,50700,51200,3615181,-0.0357815442561205
2023-04-28,51700,51700,47500,47950,5114731,-0.0634765625
2023-05-02,47600,48200,46900,47100,2610562,-0.0177267987486965
2023-05-03,46500,47100,45200,45500,2827694,-0.0339702760084925
2023-05-04,45500,46000,45150,45750,1449014,0.0054945054945054
2023-05-08,46200,46550,45550,45750,1230239,0.0
2023-05-09,45700,45750,44500,44700,1256455,-0.0229508196721311
2023-05-10,45100,45900,44700,44900,1113386,0.0044742729306488
2023-05-11,45200,46600,45200,46150,1402471,0.0278396436525611
2023-05-12,46400,46500,44800,44850,1103610,-0.028169014084507
2023-05-15,46550,47900,46200,47000,3509433,0.0479375696767001
2023-05-16,46550,47000,46050,46850,910120,-0.0031914893617021
2023-05-17,46800,48600,46550,47950,1760038,0.023479188900747
2023-05-18,48350,48350,47350,47400,743097,-0.0114702815432742
2023-05-19,47300,47350,46200,46500,1439445,-0.0189873417721518
2023-05-22,46500,46950,45900,46550,861379,0.0010752688172042
2023-05-23,47000,47100,46250,46700,1014790,0.0032223415682062
2023-05-24,46400,47000,46350,46850,490817,0.0032119914346895
2023-05-25,46550,46700,45350,45350,1295549,-0.032017075773746
2023-05-26,45600,46400,44750,44900,1175864,-0.0099228224917309
2023-05-30,45600,45900,45150,45550,895902,0.0144766146993318
2023-05-31,45550,45800,44750,44750,1999825,-0.0175631174533479
2023-06-01,45050,45600,44600,44600,905906,-0.0033519553072626
2023-06-02,45150,47300,45000,47250,2313894,0.0594170403587444
2023-06-05,47250,47750,46750,47600,1099342,0.0074074074074073
2023-06-07,47650,48100,47300,47300,934013,-0.0063025210084033
2023-06-08,47850,48850,47550,48700,2080445,0.029598308668076
2023-06-09,48600,48850,47800,48300,1193858,-0.0082135523613963
2023-06-12,48500,49000,47700,47750,789011,-0.0113871635610766
2023-06-13,48250,48350,47100,47200,1026476,-0.0115183246073298
2023-06-14,47550,48550,47150,47450,1510626,0.0052966101694915
2023-06-15,47550,47600,45750,46300,1589275,-0.0242360379346681
2023-06-16,46600,47700,46500,46950,1257435,0.0140388768898487
2023-06-19,46900,47850,46550,47850,1050018,0.0191693290734824
2023-06-20,48050,48050,46200,46250,1429497,-0.0334378265412748
2023-06-21,46150,46150,44900,44900,1242730,-0.0291891891891892
2023-06-22,45000,45350,44500,45200,718933,0.0066815144766148
2023-06-23,45350,45650,43050,43250,1907819,-0.043141592920354
2023-06-26,43450,43500,42250,42950,930982,-0.006936416184971
2023-06-27,42650,43250,42500,42850,595894,-0.0023282887077997
2023-06-28,43150,43250,41900,42300,1011444,-0.0128354725787631
2023-06-29,42150,42800,41600,41750,891365,-0.0130023640661938
2023-06-30,41900,42600,41600,42300,673469,0.0131736526946106
2023-07-03,42850,43400,42500,42950,693545,0.0153664302600473
2023-07-04,42900,43150,42000,42100,703714,-0.0197904540162979
2023-07-05,42150,42450,41800,42100,700540,0.0
2023-07-06,42150,42150,40950,41150,1144375,-0.0225653206650831
2023-07-07,40800,41200,40450,41000,712161,-0.0036452004860266
2023-07-10,41500,42350,41300,41950,850411,0.023170731707317
