Date,Open,High,Low,Close,Volume,Change
2013-09-16,3580,3580,3465,3485,38842,
2013-09-17,3445,3480,3415,3420,41992,-0.0186513629842181
2013-09-23,3420,3475,3350,3350,50601,-0.0204678362573099
2013-09-24,3350,3405,3330,3350,64946,0.0
2013-09-25,3350,3410,3340,3350,49092,0.0
2013-09-26,3340,3350,3295,3305,127180,-0.0134328358208954
2013-09-27,3300,3430,3300,3370,83013,0.0196671709531013
2013-09-30,3395,3395,3325,3370,96025,0.0
2013-10-01,3395,3500,3370,3450,95171,0.0237388724035607
2013-10-02,3450,3450,3385,3400,27079,-0.0144927536231883
2013-10-04,3370,3390,3315,3340,38156,-0.0176470588235294
2013-10-07,3340,3365,3320,3360,38750,0.0059880239520957
2013-10-08,3330,3380,3320,3360,28958,0.0
2013-10-10,3360,3380,3340,3370,38600,0.0029761904761904
2013-10-11,3370,3460,3355,3395,44111,0.0074183976261128
2013-10-14,3420,3420,3350,3375,36650,-0.0058910162002945
2013-10-15,3370,3390,3340,3360,38282,-0.0044444444444444
2013-10-16,3365,3375,3305,3340,69952,-0.0059523809523809
2013-10-17,3350,3365,3310,3310,35210,-0.0089820359281437
2013-10-18,3325,3505,3310,3470,166780,0.0483383685800604
2013-10-21,3490,3555,3475,3500,48600,0.0086455331412103
2013-10-22,3500,3530,3455,3495,27782,-0.0014285714285714
2013-10-23,3495,3520,3465,3470,13406,-0.0071530758226037
2013-10-24,3470,3485,3425,3480,30043,0.0028818443804035
2013-10-25,3490,3490,3420,3480,21690,0.0
2013-10-28,3480,3480,3435,3470,12910,-0.0028735632183908
2013-10-29,3465,3480,3435,3475,22830,0.0014409221902016
2013-10-30,3475,3475,3425,3450,46625,-0.0071942446043165
2013-10-31,3445,3445,3330,3360,90731,-0.026086956521739
2013-11-01,3360,3465,3360,3465,48001,0.03125
2013-11-04,3465,3485,3400,3410,22737,-0.0158730158730159
2013-11-05,3410,3440,3355,3435,65260,0.0073313782991202
2013-11-06,3435,3450,3400,3430,9330,-0.0014556040756914
2013-11-07,3430,3550,3430,3495,101629,0.0189504373177842
2013-11-08,3460,3630,3460,3600,194582,0.0300429184549355
2013-11-11,3630,3700,3555,3600,185852,0.0
2013-11-12,3605,3650,3540,3620,96785,0.0055555555555555
2013-11-13,3650,3650,3535,3565,77506,-0.0151933701657458
2013-11-14,3565,3590,3540,3590,38622,0.0070126227208975
2013-11-15,3555,3555,3475,3505,115236,-0.0236768802228412
2013-11-18,3510,3520,3430,3495,80091,-0.0028530670470755
2013-11-19,3495,3505,3405,3415,38034,-0.0228898426323319
2013-11-20,3415,3440,3340,3400,95725,-0.0043923865300146
2013-11-21,3400,3405,3350,3405,43861,0.0014705882352941
2013-11-22,3405,3480,3390,3460,42996,0.0161527165932451
2013-11-25,3460,3485,3360,3400,97661,-0.0173410404624277
2013-11-26,3430,3445,3340,3365,83666,-0.0102941176470587
2013-11-27,3355,3380,3330,3360,119023,-0.0014858841010401
2013-11-28,3370,3390,3335,3350,72083,-0.0029761904761904
2013-11-29,3350,3380,3310,3345,59070,-0.0014925373134327
2013-12-02,3330,3370,3320,3345,51310,0.0
2013-12-03,3335,3405,3320,3385,83521,0.0119581464872944
2013-12-04,3385,3430,3375,3410,56110,0.0073855243722305
2013-12-05,3410,3410,3300,3350,77160,-0.0175953079178885
2013-12-06,3320,3355,3320,3340,48961,-0.0029850746268657
2013-12-09,3340,3395,3325,3345,22118,0.0014970059880239
2013-12-10,3345,3375,3270,3295,64720,-0.014947683109118
2013-12-11,3295,3305,3265,3285,42262,-0.0030349013657056
2013-12-12,3265,3285,3260,3285,20072,0.0
2013-12-13,3280,3325,3260,3305,23899,0.0060882800608828
2013-12-16,3305,3305,3250,3290,74110,-0.0045385779122542
2013-12-17,3290,3330,3235,3270,64550,-0.006079027355623
2013-12-18,3270,3330,3250,3315,24500,0.0137614678899082
2013-12-19,3330,3800,3320,3405,3341913,0.0271493212669682
2013-12-20,3405,3440,3330,3400,526347,-0.0014684287812041
2013-12-23,3425,3515,3390,3515,292521,0.0338235294117648
2013-12-24,3505,3570,3470,3505,175937,-0.0028449502133712
2013-12-26,3530,3550,3460,3530,61841,0.007132667617689
2013-12-27,3520,3560,3460,3495,71324,-0.0099150141643059
2013-12-30,3550,3600,3500,3585,184499,0.0257510729613734
2014-01-02,3500,3580,3430,3470,111251,-0.0320781032078103
2014-01-03,3470,3470,3290,3360,258610,-0.031700288184438
2014-01-06,3340,3385,3335,3380,50055,0.0059523809523809
2014-01-07,3360,3450,3355,3390,81560,0.0029585798816567
2014-01-08,3390,3440,3360,3365,34931,-0.0073746312684366
2014-01-09,3340,3370,3315,3330,88183,-0.0104011887072807
2014-01-10,3330,3400,3325,3385,58184,0.0165165165165164
2014-01-13,3380,3430,3350,3400,55110,0.0044313146233383
2014-01-14,3400,3500,3380,3430,58793,0.0088235294117646
2014-01-15,3430,3470,3385,3430,44921,0.0
2014-01-16,3430,3450,3400,3400,24099,-0.0087463556851311
2014-01-17,3400,3450,3380,3420,40731,0.0058823529411764
2014-01-20,3420,3470,3420,3465,68383,0.013157894736842
2014-01-21,3460,3535,3460,3530,77003,0.0187590187590187
2014-01-22,3615,3630,3465,3465,120542,-0.018413597733711
2014-01-23,3445,3500,3370,3410,89693,-0.0158730158730159
2014-01-24,3390,3410,3355,3395,48520,-0.0043988269794721
2014-01-27,3330,3390,3320,3365,41539,-0.0088365243004417
2014-01-28,3365,3375,3300,3350,69050,-0.0044576523031203
2014-01-29,3350,3380,3330,3370,24961,0.0059701492537314
2014-02-03,3375,3515,3340,3385,184210,0.0044510385756677
2014-02-04,3350,3405,3325,3400,54277,0.0044313146233383
2014-02-05,3400,3450,3365,3405,47343,0.0014705882352941
2014-02-06,3430,3480,3390,3415,24841,0.0029368575624082
2014-02-07,3385,3435,3340,3390,75400,-0.007320644216691
2014-02-10,3395,3600,3395,3555,398858,0.0486725663716813
2014-02-11,3580,3825,3485,3600,933408,0.0126582278481013
2014-02-12,3590,3680,3525,3530,349078,-0.0194444444444444
2014-02-13,3540,3705,3525,3590,305412,0.0169971671388102
2014-02-14,3655,3960,3655,3775,1156147,0.0515320334261839
2014-02-17,3800,3825,3675,3765,367712,-0.0026490066225165
2014-02-18,3765,3770,3620,3640,287967,-0.0332005312084993
2014-02-19,3675,3880,3615,3805,799433,0.0453296703296703
2014-02-20,3800,3800,3630,3630,342695,-0.0459921156373193
2014-02-21,3620,3700,3575,3650,274935,0.0055096418732782
2014-02-24,3850,4195,3780,4195,3612811,0.1493150684931508
2014-02-25,4330,4580,4070,4150,4523080,-0.0107270560190703
2014-02-26,4245,4550,4080,4115,6283169,-0.008433734939759
2014-02-27,4150,4270,3805,3940,2307225,-0.0425273390036452
2014-02-28,4050,4530,3960,4530,5529465,0.1497461928934009
2014-03-03,4515,4660,4240,4450,4680920,-0.0176600441501103
2014-03-04,4430,4520,4330,4360,1651677,-0.0202247191011235
2014-03-05,4490,4940,4480,4780,4949523,0.0963302752293577
2014-03-06,4700,4735,4565,4695,1487316,-0.0177824267782427
2014-03-07,4765,5190,4660,5000,4206806,0.0649627263045793
2014-03-10,4925,5160,4880,5030,1727840,0.006
2014-03-11,5030,5030,4730,4870,1064557,-0.0318091451292246
2014-03-12,4995,5090,4750,4990,1230057,0.0246406570841888
2014-03-13,4930,5040,4770,4970,657945,-0.0040080160320641
2014-03-14,4880,5110,4850,4895,1381380,-0.0150905432595573
2014-03-17,4825,5140,4625,4935,3777377,0.0081716036772216
2014-03-18,4900,4950,4715,4795,1020966,-0.0283687943262411
2014-03-19,4785,4885,4735,4780,652690,-0.0031282586027111
2014-03-20,4770,4795,4645,4730,393586,-0.0104602510460251
2014-03-21,4710,4765,4660,4690,453203,-0.0084566596194503
2014-03-24,4735,4775,4500,4500,472025,-0.0405117270788912
2014-03-25,4460,4680,4400,4400,478844,-0.0222222222222222
2014-03-26,4420,4560,4380,4560,566148,0.0363636363636363
2014-03-27,4530,4565,4445,4515,239728,-0.0098684210526315
2014-03-28,4630,4630,4445,4545,316750,0.0066445182724252
2014-03-31,4545,4545,4355,4450,396975,-0.0209020902090208
2014-04-01,4415,4530,4350,4520,423100,0.0157303370786516
2014-04-02,4565,4820,4500,4700,1714345,0.0398230088495574
2014-04-03,4650,4700,4510,4510,634499,-0.0404255319148936
2014-04-04,4510,4530,4400,4425,358849,-0.0188470066518846
2014-04-07,4410,4645,4410,4600,914071,0.03954802259887
2014-04-08,4640,4955,4560,4850,1850685,0.0543478260869565
2014-04-09,4900,4900,4725,4755,561999,-0.0195876288659794
2014-04-10,4755,4785,4645,4645,367256,-0.0231335436382754
2014-04-11,4580,4720,4555,4720,286565,0.016146393972013
2014-04-14,4720,4765,4620,4655,229338,-0.0137711864406779
2014-04-15,4705,4725,4630,4680,197782,0.0053705692803436
2014-04-16,4690,4715,4575,4595,185045,-0.0181623931623932
2014-04-17,4595,4610,4415,4490,289012,-0.0228509249183895
2014-04-18,4485,4565,4440,4515,212373,0.0055679287305121
2014-04-21,4495,4540,4065,4130,1199253,-0.0852713178294574
2014-04-22,4140,4340,4140,4210,388650,0.0193704600484261
2014-04-23,4215,4230,4120,4210,188138,0.0
2014-04-24,4200,4200,4025,4100,184579,-0.0261282660332541
2014-04-25,4080,4200,4005,4145,276433,0.0109756097560975
2014-04-28,4095,4145,4030,4130,103293,-0.0036188178528346
2014-04-29,4150,4185,4075,4135,114211,0.0012106537530265
2014-04-30,4130,4150,4060,4110,82169,-0.0060459492140265
2014-05-02,4100,4135,4000,4000,128937,-0.0267639902676398
2014-05-07,4000,4040,3850,3900,159334,-0.025
2014-05-08,3850,3900,3700,3840,180415,-0.0153846153846153
2014-05-09,3840,3935,3745,3870,144871,0.0078125
2014-05-12,3875,4065,3875,3970,474359,0.0258397932816536
2014-05-13,4000,4080,3840,3850,550997,-0.0302267002518891
2014-05-14,3875,3885,3775,3795,211548,-0.0142857142857142
2014-05-15,3805,3825,3700,3745,233977,-0.0131752305665349
2014-05-16,3750,3785,3685,3720,195786,-0.0066755674232309
2014-05-19,3710,3740,3500,3560,529547,-0.043010752688172
2014-05-20,3570,3665,3545,3570,279096,0.002808988764045
2014-05-21,3580,3665,3570,3650,167983,0.022408963585434
2014-05-22,3680,3735,3640,3695,191323,0.0123287671232876
2014-05-23,3715,3740,3650,3705,263158,0.0027063599458727
2014-05-26,3725,3735,3665,3695,114679,-0.0026990553306343
2014-05-27,3720,3725,3580,3600,131756,-0.0257104194857915
2014-05-28,3560,3755,3560,3720,204945,0.0333333333333334
2014-05-29,3720,3745,3670,3740,111011,0.0053763440860215
2014-05-30,3780,3780,3680,3680,114859,-0.016042780748663
2014-06-02,3680,3680,3500,3500,181286,-0.0489130434782608
2014-06-03,3460,3495,3385,3455,208444,-0.0128571428571429
2014-06-05,3460,3675,3460,3620,254947,0.0477568740955136
2014-06-09,3620,3685,3585,3610,115580,-0.0027624309392265
2014-06-10,3600,3670,3580,3615,114166,0.0013850415512466
2014-06-11,3615,3695,3600,3615,129042,0.0
2014-06-12,3670,3745,3620,3740,199661,0.0345781466113417
2014-06-13,3710,3775,3630,3640,171308,-0.0267379679144385
2014-06-16,3640,3670,3605,3605,91317,-0.0096153846153845
2014-06-17,3615,3690,3615,3675,83438,0.0194174757281553
2014-06-18,3700,3770,3655,3770,236714,0.0258503401360543
2014-06-19,3810,3830,3730,3740,140322,-0.0079575596816976
2014-06-20,3715,3770,3665,3720,89320,-0.0053475935828877
2014-06-23,3700,3760,3605,3635,129936,-0.0228494623655913
2014-06-24,3615,3695,3560,3560,142357,-0.0206327372764786
2014-06-25,3560,3615,3515,3545,70957,-0.0042134831460673
2014-06-26,3530,3610,3530,3590,58986,0.0126939351198871
2014-06-27,3590,3645,3590,3640,50054,0.0139275766016713
2014-06-30,3605,3690,3605,3650,44654,0.0027472527472527
2014-07-01,3630,3670,3625,3665,87264,0.0041095890410958
2014-07-02,3670,3725,3640,3660,105442,-0.0013642564802183
2014-07-03,3660,3770,3660,3740,186471,0.0218579234972677
2014-07-04,3740,3745,3680,3740,118107,0.0
2014-07-07,3755,3760,3710,3730,74844,-0.0026737967914438
2014-07-08,3700,3760,3700,3735,75291,0.0013404825737264
2014-07-09,3705,3735,3650,3685,85732,-0.0133868808567604
2014-07-10,3680,3720,3655,3690,95692,0.0013568521031208
2014-07-11,3690,3780,3665,3765,120104,0.0203252032520324
2014-07-14,3795,3940,3785,3845,411166,0.0212483399734395
2014-07-15,3880,3880,3795,3795,142803,-0.0130039011703511
2014-07-16,3800,3840,3710,3740,171438,-0.0144927536231883
2014-07-17,3720,3790,3720,3780,71301,0.0106951871657754
2014-07-18,3750,3780,3690,3725,119471,-0.0145502645502645
2014-07-21,3725,3725,3640,3655,177785,-0.0187919463087248
2014-07-22,3655,3755,3650,3750,109026,0.0259917920656633
2014-07-23,3740,3825,3740,3760,160457,0.0026666666666665
2014-07-24,3760,3790,3715,3735,93729,-0.0066489361702127
2014-07-25,3725,3825,3725,3785,132606,0.0133868808567603
2014-07-28,3790,3825,3735,3735,95656,-0.0132100396301189
2014-07-29,3715,3745,3680,3680,117594,-0.0147255689424363
2014-07-30,3680,3700,3645,3690,67058,0.0027173913043478
2014-07-31,3690,3730,3610,3620,104359,-0.018970189701897
2014-08-01,3600,3650,3535,3560,102494,-0.016574585635359
2014-08-04,3550,3645,3500,3645,85068,0.0238764044943819
2014-08-05,3675,3675,3580,3615,38960,-0.008230452674897
2014-08-06,3635,3635,3545,3565,52823,-0.0138312586445366
2014-08-07,3575,3575,3510,3535,68582,-0.0084151472650771
2014-08-08,3515,3560,3480,3530,47915,-0.0014144271570014
2014-08-11,3530,3570,3515,3550,25326,0.0056657223796034
2014-08-12,3585,3585,3505,3525,55561,-0.0070422535211267
2014-08-13,3525,3565,3505,3530,44117,0.0014184397163119
2014-08-14,3510,3570,3500,3525,88190,-0.0014164305949008
2014-08-18,3510,3525,3450,3505,125508,-0.0056737588652482
2014-08-19,3515,3515,3475,3495,81090,-0.0028530670470755
2014-08-20,3500,3515,3380,3385,213755,-0.0314735336194563
2014-08-21,3400,3415,3375,3380,54753,-0.001477104874446
2014-08-22,3380,3410,3370,3400,66759,0.0059171597633136
2014-08-25,3405,3480,3380,3420,52972,0.0058823529411764
2014-08-26,3405,3425,3370,3385,57397,-0.0102339181286549
2014-08-27,3385,3450,3380,3415,255624,0.0088626292466764
2014-08-28,3445,3510,3430,3510,114124,0.027818448023426
2014-08-29,3530,3545,3500,3500,54338,-0.0028490028490028
2014-09-01,3505,3530,3460,3495,31251,-0.0014285714285714
2014-09-02,3480,3500,3435,3470,77201,-0.0071530758226037
2014-09-03,3475,3475,3400,3415,131093,-0.0158501440922189
2014-09-04,3405,3425,3390,3415,44809,0.0
2014-09-05,3415,3425,3400,3415,29257,0.0
2014-09-11,3405,3470,3405,3425,59393,0.0029282576866764
2014-09-12,3455,3550,3435,3485,94741,0.0175182481751825
2014-09-15,3480,3500,3435,3445,82405,-0.0114777618364418
2014-09-16,3460,3470,3415,3435,41917,-0.0029027576197387
2014-09-17,3440,3460,3430,3450,33346,0.0043668122270741
2014-09-18,3470,3470,3415,3430,47203,-0.0057971014492753
2014-09-19,3450,3460,3420,3435,24064,0.0014577259475219
