Date,Open,High,Low,Close,Volume,Change
2013-09-16,2137,2157,2115,2140,8426,
2013-09-17,2125,2140,2117,2133,7957,-0.0032710280373832
2013-09-23,2120,2147,2107,2125,10189,-0.003750586029067
2013-09-24,2115,2142,2102,2120,6642,-0.0023529411764705
2013-09-25,2102,2197,2102,2120,23822,0.0
2013-09-26,2105,2135,2105,2135,7885,0.0070754716981131
2013-09-27,2120,2145,2110,2118,10694,-0.0079625292740046
2013-09-30,2120,2140,2107,2108,25328,-0.0047214353163361
2013-10-01,2100,2122,2082,2113,36339,0.0023719165085389
2013-10-02,2102,2125,2100,2125,6495,0.0056791292001892
2013-10-04,2147,2147,2112,2138,10752,0.0061176470588235
2013-10-07,2137,2157,2125,2143,14784,0.0023386342376052
2013-10-08,2155,2155,2117,2138,5728,-0.0023331777881474
2013-10-10,2137,2145,2115,2140,3718,0.0009354536950421
2013-10-11,2140,2157,2135,2145,13995,0.0023364485981307
2013-10-14,2150,2152,2115,2140,35367,-0.0023310023310023
2013-10-15,2160,2165,2135,2140,15012,0.0
2013-10-16,2155,2155,2125,2125,22539,-0.0070093457943924
2013-10-17,2145,2155,2110,2150,10255,0.0117647058823529
2013-10-18,2145,2150,2117,2145,19119,-0.0023255813953488
2013-10-21,2150,2150,2117,2148,19621,0.0013986013986013
2013-10-22,2127,2142,2125,2138,12195,-0.004655493482309
2013-10-23,2140,2145,2130,2143,12853,0.0023386342376052
2013-10-24,2125,2150,2120,2135,9956,-0.0037330844610359
2013-10-25,2130,2170,2130,2168,29569,0.0154566744730679
2013-10-28,2167,2172,2145,2150,7027,-0.0083025830258303
2013-10-29,2140,2167,2140,2150,20941,0.0
2013-10-30,2162,2165,2140,2145,16155,-0.0023255813953488
2013-10-31,2160,2160,2127,2143,17710,-0.0009324009324008
2013-11-01,2150,2150,2132,2145,4258,0.0009332711152589
2013-11-04,2145,2157,2137,2150,10593,0.0023310023310023
2013-11-05,2150,2150,2120,2125,14534,-0.0116279069767442
2013-11-06,2115,2140,2112,2128,25532,0.0014117647058824
2013-11-07,2137,2137,2102,2135,5702,0.0032894736842106
2013-11-08,2127,2127,2082,2083,27040,-0.0243559718969554
2013-11-11,2100,2100,2025,2025,5660,-0.027844455112818
2013-11-12,2025,2097,2025,2085,10122,0.0296296296296296
2013-11-13,2035,2070,2017,2063,5402,-0.0105515587529976
