Date,Open,High,Low,Close,Volume,Change
2018-09-14,15150,19650,14500,19650,11527865,
2018-09-17,23050,25000,19900,19900,8306848,0.0127226463104326
2018-09-18,20350,20700,16950,17300,3419737,-0.1306532663316583
2018-09-19,17550,17850,15550,16150,1510305,-0.0664739884393064
2018-09-20,16250,16350,14950,15000,1086411,-0.0712074303405573
2018-09-21,15250,17600,15250,15500,3377846,0.0333333333333334
2018-09-27,15700,16350,15600,16100,698071,0.0387096774193549
2018-09-28,16250,16450,15300,15400,658403,-0.0434782608695651
2018-10-01,15750,15950,14900,14900,612147,-0.0324675324675324
2018-10-02,15050,15100,13700,13900,676953,-0.0671140939597315
2018-10-04,13800,13850,12750,13050,411865,-0.0611510791366906
2018-10-05,12850,13550,12550,12850,398392,-0.0153256704980843
2018-10-08,12900,16250,12750,14550,4085908,0.1322957198443579
2018-10-10,14900,16600,14750,15250,2492759,0.0481099656357388
2018-10-11,14750,15650,12900,13000,1056647,-0.1475409836065574
2018-10-12,12900,14100,12900,13400,798289,0.0307692307692306
2018-10-15,13450,13700,12850,12950,381371,-0.0335820895522388
2018-10-16,13050,13550,12950,13300,361659,0.0270270270270269
2018-10-17,13550,13800,13000,13400,366954,0.0075187969924812
2018-10-18,13450,13600,13150,13150,230198,-0.0186567164179104
2018-10-19,13050,13300,12750,13200,203408,0.0038022813688212
2018-10-22,13000,13850,12900,13800,333606,0.0454545454545454
2018-10-23,13650,13750,12750,13050,228894,-0.0543478260869565
2018-10-24,13250,13350,12000,12050,307512,-0.0766283524904214
2018-10-25,11550,11700,11000,11300,235303,-0.0622406639004149
2018-10-26,11400,11550,10300,10450,264703,-0.0752212389380531
2018-10-29,10700,10750,9340,9340,280295,-0.1062200956937798
2018-10-30,8810,9800,8810,9500,208194,0.0171306209850106
2018-10-31,9750,10750,9700,10150,331259,0.0684210526315789
2018-11-01,10250,10600,10000,10000,184957,-0.0147783251231526
2018-11-02,10100,10550,10100,10450,170575,0.0449999999999999
2018-11-05,10450,10500,10050,10300,93803,-0.0143540669856458
2018-11-06,10400,11200,10200,10900,264440,0.0582524271844659
2018-11-07,10900,11150,10150,10500,170824,-0.036697247706422
2018-11-08,10800,11100,10700,10850,127939,0.0333333333333334
2018-11-09,10800,13050,10700,12050,1877653,0.1105990783410137
2018-11-12,12000,12700,11800,12600,376882,0.045643153526971
2018-11-13,12300,13450,12000,12600,654796,0.0
2018-11-14,12600,13250,12400,12400,334020,-0.0158730158730159
2018-11-15,12250,12750,12250,12450,147353,0.0040322580645162
2018-11-16,12550,12650,12000,12050,140536,-0.0321285140562248
2018-11-19,12550,12600,12100,12100,174098,0.0041493775933609
2018-11-20,11900,11950,11450,11500,149249,-0.049586776859504
2018-11-21,11350,11450,11200,11250,69550,-0.0217391304347825
2018-11-22,11350,12000,11350,11500,134207,0.0222222222222221
2018-11-23,11400,11550,11050,11100,89292,-0.0347826086956521
2018-11-26,11100,11250,10750,11150,66815,0.0045045045045044
2018-11-27,11300,12000,11150,11650,155216,0.0448430493273541
2018-11-28,11750,11950,10800,10950,232886,-0.0600858369098712
2018-11-29,11050,11150,10400,10450,195513,-0.045662100456621
2018-11-30,10350,10600,10000,10150,118573,-0.0287081339712919
2018-12-03,10100,10350,10050,10150,103099,0.0
2018-12-04,10050,10500,10000,10350,116532,0.0197044334975369
2018-12-05,10050,10400,10050,10300,119992,-0.0048309178743961
2018-12-06,10300,10500,10100,10100,70370,-0.0194174757281553
2018-12-07,10350,10350,9860,9980,84565,-0.0118811881188118
2018-12-10,9830,9880,9620,9670,70326,-0.0310621242484969
2018-12-11,9620,9690,9120,9200,107784,-0.0486039296794208
2018-12-12,9270,9450,9090,9320,68786,0.0130434782608694
2018-12-13,9380,9690,9200,9560,60692,0.0257510729613734
2018-12-14,9510,9560,9380,9410,24536,-0.0156903765690377
2018-12-17,9320,9590,9300,9370,48835,-0.004250797024442
2018-12-18,9110,9260,9060,9200,57104,-0.0181430096051227
2018-12-19,9200,10900,9200,10200,1097324,0.108695652173913
2018-12-20,10200,10250,9480,9880,189188,-0.0313725490196078
2018-12-21,9880,10600,9810,10250,301129,0.0374493927125505
2018-12-24,10250,10700,10050,10550,162472,0.0292682926829268
2018-12-26,10200,10850,10150,10450,215987,-0.0094786729857819
2018-12-27,10600,10750,10150,10250,147058,-0.0191387559808612
2018-12-28,10500,10500,9940,9950,182061,-0.0292682926829268
2019-01-02,10000,10150,9720,9880,82309,-0.0070351758793969
2019-01-03,9770,9950,9550,9550,87963,-0.0334008097165992
2019-01-04,9400,9490,9100,9390,76168,-0.0167539267015707
2019-01-07,9420,9630,9350,9400,71594,0.0010649627263046
2019-01-08,9360,9600,9210,9300,63509,-0.0106382978723403
2019-01-09,9270,9440,9220,9420,61955,0.0129032258064516
2019-01-10,9420,9640,9340,9600,90765,0.019108280254777
2019-01-11,9640,10250,9640,9910,352183,0.0322916666666666
2019-01-14,9900,10100,9760,9800,71546,-0.0110998990918264
2019-01-15,9700,9890,9690,9810,65295,0.0010204081632652
2019-01-16,9840,10000,9730,10000,86227,0.019367991845056
2019-01-17,10150,10500,9850,9870,139489,-0.013
2019-01-18,10150,10150,9920,9960,80699,0.0091185410334346
2019-01-21,10100,10100,9490,9680,92268,-0.0281124497991968
2019-01-22,9680,9770,9500,9650,73787,-0.003099173553719
2019-01-23,9570,9800,9530,9650,62284,0.0
2019-01-24,9650,9720,9600,9650,43177,0.0
2019-01-25,9670,9960,9650,9960,82734,0.0321243523316061
2019-01-28,10100,10150,9880,10050,115682,0.0090361445783131
2019-01-29,10000,10250,9900,10200,93314,0.0149253731343284
2019-01-30,10400,11050,10200,10600,476785,0.0392156862745098
