Date,Open,High,Low,Close,Volume,Change
2023-04-04,2875,2915,2865,2895,151269,0.0104712041884815
2023-04-05,2895,2925,2865,2910,112536,0.005181347150259
2023-04-06,2875,2900,2795,2800,145416,-0.0378006872852233
2023-04-07,2780,2820,2765,2795,101083,-0.0017857142857142
2023-04-10,2790,2810,2735,2750,137027,-0.0161001788908765
2023-04-11,2755,2810,2725,2790,139720,0.0145454545454546
2023-04-12,2795,2860,2790,2825,151722,0.0125448028673835
2023-04-13,2830,2845,2750,2825,104270,0.0
2023-04-14,2840,2860,2810,2840,155934,0.0053097345132744
2023-04-17,2850,2890,2835,2860,210737,0.0070422535211267
2023-04-18,2830,2885,2830,2840,145055,-0.0069930069930069
2023-04-19,2840,2875,2830,2860,129869,0.0070422535211267
2023-04-20,2860,2970,2845,2900,429946,0.0139860139860139
2023-04-21,2900,2905,2805,2840,174766,-0.0206896551724138
2023-04-24,2835,2905,2800,2885,304912,0.0158450704225352
2023-04-25,2910,2910,2795,2865,252642,-0.0069324090121317
2023-04-26,2825,2840,2760,2785,190949,-0.0279232111692844
2023-04-27,2765,2775,2680,2755,162980,-0.0107719928186714
2023-04-28,2770,2775,2660,2670,184495,-0.0308529945553539
2023-05-02,2670,2805,2660,2750,163001,0.0299625468164794
2023-05-03,2760,2770,2725,2750,70029,0.0
2023-05-04,2750,2765,2715,2745,50160,-0.0018181818181818
2023-05-08,2750,2840,2750,2790,116144,0.0163934426229508
2023-05-09,2790,2800,2705,2750,90226,-0.014336917562724
2023-05-10,2775,3575,2760,3575,21988995,0.3
2023-05-11,3790,4270,3660,3680,36990962,0.0293706293706292
2023-05-12,3765,4065,3615,3755,13646722,0.0203804347826086
2023-05-15,3800,3925,3615,3615,4252817,-0.0372836218375499
2023-05-16,3620,4380,3620,3880,35451805,0.0733056708160442
2023-05-17,3830,3995,3715,3930,3869611,0.0128865979381442
2023-05-18,3860,3910,3780,3780,1083355,-0.0381679389312976
2023-05-19,3820,3820,3735,3820,647495,0.0105820105820106
2023-05-22,3840,4020,3840,4020,1240956,0.0523560209424083
2023-05-23,4155,4800,3970,4245,23226042,0.0559701492537314
2023-05-24,4200,4325,4060,4210,3055769,-0.0082449941107184
2023-05-25,4125,4350,4005,4350,3115703,0.0332541567695963
2023-05-26,4255,4540,4170,4230,5074025,-0.0275862068965517
2023-05-30,4125,4140,3805,3890,2097840,-0.0803782505910165
2023-05-31,3910,4040,3830,3980,1455221,0.0231362467866322
2023-06-01,3900,3955,3830,3885,734880,-0.0238693467336683
2023-06-02,3880,3920,3795,3830,798742,-0.0141570141570142
2023-06-05,3865,4275,3865,4015,7455873,0.0483028720626632
2023-06-07,3995,4385,3955,4105,4523593,0.0224159402241594
2023-06-08,4120,4255,3960,4130,2076183,0.0060901339829475
2023-06-09,4180,4230,4010,4030,828057,-0.0242130750605327
2023-06-12,4445,4670,4240,4465,18767227,0.1079404466501241
2023-06-13,4390,5380,4310,5380,22972403,0.2049272116461367
2023-06-14,5090,5140,4620,4685,8081397,-0.129182156133829
2023-06-15,4745,5050,4620,4745,7455479,0.0128068303094983
