Date,Open,High,Low,Close,Volume,Change
2013-09-16,14400,14600,14100,14100,89897,
2013-09-17,14100,14250,13950,14150,61407,0.00354609929078
2013-09-23,14100,14350,14100,14100,79399,-0.0035335689045936
2013-09-24,14050,14200,13900,13900,54959,-0.0141843971631205
2013-09-25,13950,13950,13400,13500,189846,-0.0287769784172662
2013-09-26,13450,13850,13450,13550,116276,0.0037037037037037
2013-09-27,13700,14250,13600,14250,119670,0.051660516605166
2013-09-30,14250,14300,14050,14050,99591,-0.0140350877192982
2013-10-01,13950,14600,13850,14600,201575,0.0391459074733095
2013-10-02,14650,14650,13900,13900,204088,-0.047945205479452
2013-10-04,13650,14000,13550,13700,116732,-0.0143884892086331
2013-10-07,13650,13700,13200,13250,121353,-0.0328467153284671
2013-10-08,13100,13350,13100,13300,121120,0.0037735849056603
2013-10-10,13250,13650,13250,13300,121012,0.0
2013-10-11,13500,13600,13300,13450,134362,0.0112781954887217
2013-10-14,13350,13350,13050,13150,95388,-0.0223048327137546
2013-10-15,13200,13400,12750,12800,139531,-0.026615969581749
2013-10-16,12850,12950,12600,12600,103948,-0.015625
2013-10-17,12800,12900,12250,12400,128950,-0.0158730158730159
2013-10-18,12300,12500,12100,12300,110220,-0.0080645161290322
2013-10-21,12400,12800,12350,12650,141154,0.0284552845528456
2013-10-22,12750,12800,12400,12600,111233,-0.0039525691699604
2013-10-23,12650,12750,12150,12250,136341,-0.0277777777777777
2013-10-24,12250,12550,12250,12500,58215,0.0204081632653061
2013-10-25,12500,12600,12200,12250,57191,-0.02
2013-10-28,12300,12800,12300,12700,92044,0.036734693877551
2013-10-29,12750,12850,12550,12600,129613,-0.0078740157480314
2013-10-30,12750,13150,12600,13050,111476,0.0357142857142858
2013-10-31,13050,13050,12650,12800,175246,-0.0191570881226054
2013-11-01,12750,12900,12650,12850,83324,0.00390625
2013-11-04,12800,12850,12500,12500,82082,-0.0272373540856031
2013-11-05,12400,12700,12350,12550,110504,0.004
2013-11-06,12450,12900,12450,12850,84831,0.0239043824701195
2013-11-07,12900,12900,12400,12450,111757,-0.0311284046692607
2013-11-08,12400,12600,12350,12450,80608,0.0
2013-11-11,12500,12600,11850,11900,123752,-0.0441767068273092
2013-11-12,11900,12300,11900,12200,77853,0.0252100840336133
2013-11-13,12100,12300,12000,12000,75760,-0.0163934426229508
2013-11-14,12150,13000,12100,12600,158184,0.05
2013-11-15,12700,13450,12600,12850,382851,0.0198412698412697
2013-11-18,13050,13100,12650,12800,108120,-0.0038910505836575
2013-11-19,12850,13200,12750,12950,225793,0.01171875
2013-11-20,12950,13100,12850,12900,128622,-0.0038610038610038
2013-11-21,13000,13000,12700,12900,106815,0.0
2013-11-22,13000,13050,12800,12900,48465,0.0
2013-11-25,13100,13550,13000,13100,284699,0.0155038759689922
2013-11-26,13100,13200,12800,13200,86511,0.0076335877862594
2013-11-27,13250,13250,12850,13100,124642,-0.0075757575757575
2013-11-28,13100,13200,12950,13050,134971,-0.0038167938931297
2013-11-29,13100,13150,12850,13150,148636,0.0076628352490422
2013-12-02,13650,14100,13500,13650,782149,0.038022813688213
2013-12-03,13400,13500,12500,12800,454518,-0.0622710622710622
2013-12-04,12750,13100,12500,12700,172689,-0.0078125
2013-12-05,12750,12800,12350,12400,247236,-0.0236220472440944
2013-12-06,12350,12600,12350,12600,112541,0.0161290322580645
2013-12-09,12650,12750,12150,12150,185838,-0.0357142857142857
2013-12-10,12200,12200,11600,12150,185180,0.0
2013-12-11,11950,12100,11650,11700,206048,-0.037037037037037
2013-12-12,11450,11850,11450,11850,137531,0.0128205128205127
2013-12-13,12000,12000,11500,11500,75462,-0.0295358649789029
2013-12-16,11500,11550,10950,11050,323266,-0.0391304347826086
2013-12-17,11150,11300,10900,11050,138636,0.0
2013-12-18,10950,11250,10850,11250,103031,0.0180995475113121
2013-12-19,11350,11600,10850,10950,142900,-0.0266666666666666
2013-12-20,10900,11200,10850,11150,74988,0.0182648401826484
2013-12-23,11300,11300,10900,10950,168236,-0.0179372197309417
2013-12-24,10950,11250,10950,11050,108853,0.0091324200913243
2013-12-26,11250,11300,11150,11200,78567,0.0135746606334841
2013-12-27,11100,11550,11050,11450,110159,0.0223214285714286
2013-12-30,11450,11550,11300,11400,131659,-0.0043668122270742
2014-01-02,11350,11500,10700,10850,114160,-0.0482456140350877
2014-01-03,10800,10900,10300,10700,136433,-0.0138248847926267
2014-01-06,10700,10900,10600,10700,99654,0.0
2014-01-07,10700,10800,10600,10650,69007,-0.0046728971962616
2014-01-08,10700,10800,10650,10700,64120,0.0046948356807512
2014-01-09,10700,10800,10600,10600,69956,-0.0093457943925233
2014-01-10,10650,10800,10500,10500,101505,-0.0094339622641509
2014-01-13,10450,10750,10450,10650,68021,0.0142857142857142
2014-01-14,10650,11400,10550,11050,333926,0.0375586854460094
2014-01-15,11150,11150,10850,11050,70718,0.0
2014-01-16,10950,11050,10750,10950,96582,-0.009049773755656
2014-01-17,10850,10900,10650,10650,88292,-0.0273972602739726
2014-01-20,10650,10900,10500,10850,80071,0.0187793427230047
2014-01-21,10850,11200,10700,11100,114831,0.0230414746543778
2014-01-22,11050,11100,10900,11050,37044,-0.0045045045045044
2014-01-23,11000,11150,10800,10850,60421,-0.0180995475113122
2014-01-24,10750,11150,10700,11150,169492,0.0276497695852535
2014-01-27,10850,11150,10750,10850,156019,-0.0269058295964125
2014-01-28,10950,11400,10800,11250,203924,0.0368663594470046
2014-01-29,11350,11400,11050,11050,108561,-0.0177777777777777
2014-02-03,10950,11150,10950,11050,81263,0.0
2014-02-04,10900,11050,10800,10900,80868,-0.0135746606334841
2014-02-05,11000,11050,10650,10700,132185,-0.018348623853211
2014-02-06,10750,10950,10700,10950,84560,0.0233644859813084
2014-02-07,11000,11150,10950,11150,110072,0.0182648401826484
2014-02-10,11250,12050,11150,11900,353177,0.0672645739910313
2014-02-11,11950,12200,11750,12000,302315,0.0084033613445377
2014-02-12,12050,12150,11800,11900,73801,-0.0083333333333333
2014-02-13,11850,12000,11700,11800,72181,-0.0084033613445377
2014-02-14,11750,12050,11750,11900,36873,0.0084745762711864
2014-02-17,12050,12300,11950,11950,142102,0.0042016806722688
2014-02-18,12000,12050,11750,12000,82404,0.0041841004184099
2014-02-19,12150,12150,11650,11850,90172,-0.0124999999999999
2014-02-20,11750,12200,11550,12200,188509,0.029535864978903
2014-02-21,12150,12450,11950,12100,239092,-0.0081967213114754
2014-02-24,12250,12250,11350,11900,247412,-0.0165289256198346
2014-02-25,11850,12100,11700,12050,118575,0.0126050420168066
2014-02-26,11950,12900,11950,12650,417596,0.0497925311203319
2014-02-27,12650,13050,12500,12700,262766,0.0039525691699604
2014-02-28,12900,13050,12650,12700,162728,0.0
2014-03-03,12700,12950,12500,12600,105718,-0.0078740157480314
2014-03-04,12500,13050,12500,12950,251407,0.0277777777777776
2014-03-05,13050,13250,12850,13200,143534,0.0193050193050192
2014-03-06,13100,13250,12700,13150,112754,-0.0037878787878787
2014-03-07,13100,13150,12700,12750,87074,-0.0304182509505703
2014-03-10,12750,12900,12600,12750,70960,0.0
2014-03-11,12750,13150,12600,13000,135541,0.0196078431372548
2014-03-12,13100,13100,12400,12500,109900,-0.0384615384615384
2014-03-13,12550,12600,12000,12200,196550,-0.024
2014-03-14,12100,12350,12000,12200,111281,0.0
2014-03-17,12100,12400,12050,12350,99948,0.0122950819672131
2014-03-18,12350,12700,12250,12450,122312,0.0080971659919029
2014-03-19,12550,12550,12100,12200,74259,-0.0200803212851405
2014-03-20,12100,12200,11700,11700,156199,-0.040983606557377
2014-03-21,11850,12000,11800,11800,86740,0.0085470085470085
2014-03-24,11950,12200,11850,12100,47920,0.0254237288135592
2014-03-25,12100,12200,11900,12050,279042,-0.0041322314049586
2014-03-26,12050,12550,11950,12500,165955,0.037344398340249
2014-03-27,12500,12750,12400,12550,92637,0.004
2014-03-28,12700,12850,12500,12700,70430,0.0119521912350597
2014-03-31,12700,12800,12250,12300,126457,-0.031496062992126
2014-04-01,12300,12750,12100,12750,120619,0.0365853658536585
2014-04-02,12650,12800,12550,12750,98231,0.0
2014-04-03,12650,12750,12500,12550,64086,-0.0156862745098039
2014-04-04,12500,13250,12500,13200,232512,0.0517928286852589
2014-04-07,13100,13300,12950,13100,122701,-0.0075757575757575
2014-04-08,13050,13250,12950,13200,68611,0.0076335877862594
2014-04-09,13150,13300,12500,12500,158358,-0.0530303030303029
2014-04-10,12600,12750,12200,12750,154867,0.02
2014-04-11,12500,12900,12450,12500,121497,-0.0196078431372549
2014-04-14,12400,12700,12400,12600,89590,0.008
2014-04-15,12650,12750,12350,12450,89663,-0.0119047619047618
2014-04-16,12400,12700,12350,12600,132852,0.0120481927710842
2014-04-17,12700,12700,12200,12250,101904,-0.0277777777777777
2014-04-18,12300,12500,12250,12300,67608,0.0040816326530612
2014-04-21,12300,12400,12000,12100,79589,-0.0162601626016259
2014-04-22,12200,12250,11850,11900,136088,-0.0165289256198346
2014-04-23,11950,12100,11700,11850,206919,-0.0042016806722688
2014-04-24,11850,12100,11700,11850,182291,0.0
2014-04-25,11900,11950,11500,11550,101449,-0.0253164556962025
2014-04-28,11500,11700,11450,11450,43493,-0.0086580086580086
2014-04-29,11500,11850,11450,11700,97088,0.0218340611353711
2014-04-30,11650,12150,11450,12100,212742,0.0341880341880342
2014-05-02,11950,12100,11550,11550,200211,-0.0454545454545454
2014-05-07,11500,11600,11100,11250,171286,-0.0259740259740259
2014-05-08,11250,11400,10950,11400,151935,0.0133333333333334
2014-05-09,11250,11500,11100,11400,73741,0.0
2014-05-12,11400,11500,11050,11050,149953,-0.0307017543859648
2014-05-13,11100,11300,11050,11150,81839,0.009049773755656
2014-05-14,11200,11500,11150,11450,146290,0.0269058295964126
2014-05-15,11500,12000,11450,11850,181345,0.0349344978165939
2014-05-16,11850,11900,11400,11450,76466,-0.0337552742616034
2014-05-19,11500,11650,11200,11200,57447,-0.0218340611353712
2014-05-20,11200,11450,11150,11450,48609,0.0223214285714286
2014-05-21,11300,11450,11200,11250,56938,-0.0174672489082969
2014-05-22,11350,11650,11300,11600,73545,0.031111111111111
