Date,Open,High,Low,Close,Volume,Change
2019-06-18,38850,41359,38850,39885,23929,0.012566641279512458
2019-06-19,39884,40720,39835,40080,8192,0.0048890560361039
2019-06-20,40075,42295,39930,41655,22853,0.03929640718562877
2019-06-21,43269,43269,41305,41505,13626,-0.003601008282319018
2019-06-24,41794,42039,40810,40815,10059,-0.016624503071919094
2019-06-25,41794,41794,39730,40570,10134,-0.006002695087590326
2019-06-26,40024,40564,39140,39930,9600,-0.015775203352230704
2019-06-27,40570,40570,36785,38015,21858,-0.047958928124217426
2019-06-28,37425,38750,37030,37180,11912,-0.021965013810337997
2019-07-01,37909,38254,36925,37325,9701,0.0038999462076385605
2019-07-02,37375,37720,36145,37130,13158,-0.00522438044206297
2019-07-03,37124,37664,36385,36980,7255,-0.004039859951521674
2019-07-04,37080,37275,36440,37080,5935,0.0027041644131964304
2019-07-05,37080,37130,36540,36835,5178,-0.00660733549083059
2019-07-08,36484,36829,35355,35405,10213,-0.03882177277046284
2019-07-09,35800,36095,34225,35310,12269,-0.0026832368309560595
2019-07-10,35310,35950,34620,35360,8620,0.0014160294534126816
2019-07-11,35255,35794,34860,35405,3064,0.0012726244343892468
2019-07-12,35400,35894,35010,35405,6031,0.0
2019-07-15,35255,35894,35255,35405,5925,0.0
2019-07-16,35405,35800,34425,35360,5539,-0.0012710069199265428
2019-07-17,35360,35505,34915,35360,5746,0.0
2019-07-18,35400,36879,35355,36635,12597,0.03605769230769229
2019-07-19,36630,37074,36190,36635,5205,0.0
2019-07-22,36484,36974,36190,36390,3136,-0.0066875938310358984
2019-07-23,36195,37570,36195,36490,9822,0.002748007694421517
2019-07-24,36629,37269,35400,35405,5209,-0.029734173746231884
2019-07-25,35160,35900,34865,35015,6180,-0.011015393306030186
2019-07-26,34910,35694,34615,35505,5981,0.013994002570326902
2019-07-29,35794,35794,32945,33440,12220,-0.05816082241937759
2019-07-30,33095,34425,29800,29850,21318,-0.1073564593301436
2019-07-31,28565,33434,28565,33340,22030,0.11691792294807368
2019-08-01,33335,34859,33040,33440,9510,0.0029994001199760145
2019-08-02,33335,34419,31515,33930,10106,0.014653110047846862
2019-08-05,33000,34425,30885,31770,12113,-0.06366047745358094
2019-08-06,29505,32750,28274,30490,30299,-0.04028958136606864
2019-08-07,29203,30627,21335,21340,246344,-0.30009839291571005
2019-08-08,21465,24515,21440,23360,179988,0.09465791940018753
2019-08-09,23870,25614,23870,25325,43982,0.08411815068493156
2019-08-12,25319,25809,24310,24415,28294,-0.03593287265547873
2019-08-13,24310,25074,24140,24735,18296,0.013106696702846587
2019-08-14,24975,26499,24975,26455,27391,0.06953709318779056
2019-08-16,26405,26405,25080,25770,27667,-0.02589302589302589
2019-08-19,25670,26210,25030,25180,15261,-0.022894838960031083
2019-08-20,25080,25770,25030,25475,11384,0.011715647339157975
2019-08-21,25570,30295,25180,30000,74070,0.17762512266928354
2019-08-22,30095,31720,28770,29260,82194,-0.024666666666666615
2019-08-23,28670,30000,27785,28130,24032,-0.038619275461380775
2019-08-26,27925,28664,26695,28520,28063,0.013864201919658647
2019-08-27,29110,29110,27095,27590,19708,-0.03260869565217395
2019-08-28,27630,28469,26795,28225,20291,0.023015585357013313
2019-08-29,28859,29059,27780,28520,17386,0.010451727192205551
2019-08-30,28514,28809,28075,28325,12727,-0.006837307152875227
2019-09-02,28814,28814,27735,27885,10083,-0.01553398058252431
2019-09-03,27879,28174,27240,27685,8951,-0.007172314864622553
2019-09-04,29354,29354,27335,27685,11109,0.0
2019-09-05,28030,28130,27195,27590,7818,-0.0034314610800072476
2019-09-06,27979,27979,26900,27590,10735,0.0
2019-09-09,27685,28225,27195,27540,6130,-0.0018122508155128392
2019-09-10,27245,27685,27245,27245,5689,-0.010711692084241053
2019-09-11,27489,28180,26800,28180,8874,0.03431822352725278
2019-09-16,28125,29154,27240,28915,31889,0.02608232789212206
2019-09-17,28520,29455,28225,29260,14473,0.011931523430745328
2019-09-18,29499,29744,29060,29405,14747,0.00495557074504438
2019-09-19,29105,29944,29105,29505,9337,0.0034007821799013627
2019-09-20,29504,30390,29360,30195,52706,0.023385866802236865
2019-09-23,30095,30095,28770,29065,11192,-0.037423414472594785
2019-09-24,28515,29994,28470,29455,10501,0.013418200584895956
2019-09-25,29499,29894,28565,28915,12399,-0.01833305041588862
2019-09-26,29010,29844,29010,29455,11778,0.018675427978557924
2019-09-27,29310,30145,29065,29850,24211,0.013410286878288824
2019-09-30,29850,29950,29110,29360,9793,-0.01641541038525962
2019-10-01,29404,32260,28915,31080,30293,0.058583106267029894
2019-10-02,30679,30924,29745,29800,11805,-0.041184041184041176
2019-10-04,29800,30195,29505,29655,5354,-0.004865771812080588
2019-10-07,29650,30879,29550,30440,20968,0.026471084134210177
2019-10-08,31030,31080,29655,29950,14422,-0.016097240473061714
2019-10-10,29605,30045,29360,29555,7249,-0.013188647746243731
2019-10-11,29549,29944,29255,29405,5873,-0.005075283369988193
2019-10-14,29744,30189,28470,28865,15711,-0.018364223771467403
2019-10-15,28959,28959,27925,28520,15035,-0.01195219123505975
2019-10-16,28860,30289,28515,29405,26824,0.03103085553997187
2019-10-17,29750,30145,28720,29015,13512,-0.013263050501615359
2019-10-18,29009,29204,28125,28325,14707,-0.023780803032913966
2019-10-21,28269,28664,26795,27635,19541,-0.024360105913504015
2019-10-22,27635,28080,27045,27295,13444,-0.012303238646643733
2019-10-23,27290,27729,26945,27390,14875,0.0034804909324051003
2019-10-24,27385,27679,26795,27390,13542,0.0
2019-10-25,27239,27729,26255,27145,17066,-0.008944870390653503
2019-10-28,27140,27584,26600,27440,14663,0.010867563087124665
2019-10-29,27974,27974,27040,27095,7875,-0.012572886297376074
2019-10-30,26949,27490,26360,27245,11951,0.005536076766931242
2019-10-31,27440,28275,27045,27785,15675,0.019820150486327792
2019-11-01,27885,28670,27540,28375,17211,0.021234479035450837
2019-11-04,28665,29599,28420,29210,21945,0.029427312775330394
2019-11-05,29210,29750,28964,29015,16175,-0.006675795960287556
2019-11-06,29009,29399,28370,28570,13563,-0.015336894709632953
2019-11-07,28570,29604,28425,29015,14452,0.015575778788939454
2019-11-08,28965,30195,28965,29310,15286,0.01016715491986897
2019-11-11,29065,29700,28425,29015,10035,-0.010064824292050467
2019-11-12,29104,29254,28220,28620,8555,-0.013613648113044996
2019-11-13,28325,28770,27735,28080,8717,-0.018867924528301883
2019-11-14,28275,28915,27835,28080,9815,0.0
2019-11-15,28030,28475,27145,28375,12111,0.010505698005698116
2019-11-18,28965,28965,27635,27785,7917,-0.020792951541850235
2019-11-19,28269,28269,27040,27390,10499,-0.01421630376102212
2019-11-20,27295,27440,25815,26555,14064,-0.03048557867834978
2019-11-21,26694,26694,24975,25225,14447,-0.05008472980606293
2019-11-22,24680,25514,24510,25275,21318,0.001982160555004997
2019-11-25,25425,25720,24340,25080,11657,-0.00771513353115727
2019-11-26,25075,26745,24560,26750,28294,0.06658692185007964
2019-11-27,26800,27000,25965,26065,14421,-0.025607476635513993
2019-11-28,26015,26700,25570,26015,17110,-0.0019182812200269073
2019-11-29,26009,26649,25470,25865,13531,-0.005765904285988888
2019-12-02,25620,26160,24980,25375,9474,-0.018944519621109657
2019-12-03,25815,25815,24540,24835,10911,-0.021280788177339915
2019-12-04,24829,24924,23845,24315,12594,-0.020938192067646466
2019-12-05,24095,25720,23680,24490,25176,0.007197203372403926
2019-12-06,24540,24540,23555,23555,11381,-0.03817884850959574
2019-12-09,26260,26260,22865,23555,75758,0.0
2019-12-10,23600,23989,22270,23700,23097,0.006155805561451899
2019-12-11,23694,23844,23105,23505,11730,-0.008227848101265867
2019-12-12,23505,24295,23185,24170,13663,0.028291852797277084
2019-12-13,24340,24980,24020,24220,10808,0.0020686801820437584
2019-12-16,24170,24490,23580,23580,8867,-0.02642444260941368
2019-12-17,23869,23869,23035,23185,9798,-0.016751484308736186
2019-12-18,23110,23335,22695,22965,9360,-0.00948889368125938
2019-12-19,23104,23104,22125,22520,12015,-0.019377313302852195
2019-12-20,22125,22444,21730,22300,12236,-0.009769094138543544
2019-12-23,22545,22720,22080,22130,6231,-0.007623318385650224
2019-12-24,22030,22770,21785,22695,10194,0.025530953456845973
2019-12-26,22620,23110,22225,23040,20526,0.015201586252478583
2019-12-27,23040,23750,23040,23335,14837,0.01280381944444442
2019-12-30,23505,24070,23260,24000,18427,0.028497964431112077
2020-01-02,24459,24629,23995,24390,8231,0.016250000000000098
2020-01-03,24334,24434,24015,24315,6413,-0.0030750307503074614
2020-01-06,24590,24590,23480,23555,8695,-0.03125642607443968
2020-01-07,23599,24139,23400,23405,6445,-0.006368074718743344
2020-01-08,23310,23310,20950,21195,23298,-0.0944242683187353
2020-01-09,21950,22714,21880,22570,15793,0.0648737909884407
2020-01-10,22770,22990,22375,22990,7220,0.018608772707133348
2020-01-13,23015,24590,22595,24565,26086,0.06850804697694657
2020-01-14,24565,24685,23875,23950,11205,-0.025035619784245844
2020-01-15,24315,24315,23725,23925,5603,-0.0010438413361169019
2020-01-16,23925,24390,23285,23580,12008,-0.014420062695924774
2020-01-17,23380,25369,23380,24120,29302,0.022900763358778553
2020-01-20,24000,24245,23385,23680,11735,-0.018242122719734688
2020-01-21,23680,24735,23405,24590,16740,0.038429054054053946
2020-01-22,24735,25180,24295,24885,15235,0.01199674664497774
2020-01-23,24974,25809,23105,24145,19571,-0.02973678923046008
2020-01-28,23555,24120,22795,22795,16441,-0.055912197142265474
2020-01-29,23480,23480,22795,23040,5771,0.010747971046282112
2020-01-30,23059,23059,20795,21095,22739,-0.08441840277777779
2020-01-31,21659,21659,19670,20015,22156,-0.05119696610571223
2020-02-03,19765,20130,17770,20135,32791,0.0059955033724705675
2020-02-04,20355,21039,20155,20825,8404,0.034268686367022516
2020-02-05,21390,21390,20455,20580,5428,-0.0117647058823529
2020-02-06,20655,21295,20580,21220,6618,0.03109815354713308
2020-02-07,21015,21239,20255,21070,9099,-0.00706880301602264
2020-02-10,20994,20994,20280,20775,4809,-0.014000949216896097
2020-02-11,20825,21220,20630,20850,4910,0.0036101083032491488
2020-02-12,21045,21045,20405,20680,6976,-0.008153477218225458
2020-02-13,20680,20875,20040,20360,8307,-0.015473887814313358
2020-02-14,20450,20500,19640,20505,11122,0.007121807465618968
2020-02-17,20530,20605,19865,19990,8433,-0.02511582540843693
2020-02-18,19990,20385,19500,20360,11841,0.018509254627313565
2020-02-19,20135,20310,19225,19770,11937,-0.028978388998035398
2020-02-20,19640,20129,19175,20110,15254,0.017197774405665056
2020-02-21,19984,19984,18925,18930,10566,-0.05867727498756836
2020-02-24,18922,18922,13245,13250,130710,-0.3000528262017961
2020-02-25,9294,10865,9294,9295,1472593,-0.2984905660377358
2020-02-26,9390,11235,9044,9785,1796637,0.0527165142549757
2020-02-27,9948,9998,7960,8235,824573,-0.15840572304547773
2020-02-28,8280,8869,8155,8530,370547,0.03582270795385556
2020-03-02,8530,10030,8360,9590,415719,0.12426729191090269
2020-03-03,10200,12195,9905,10350,855782,0.07924921793534923
2020-03-04,10495,11104,10175,10940,281278,0.05700483091787434
2020-03-05,10865,11360,10200,10475,197149,-0.0425045703839122
2020-03-06,10319,10664,9950,10300,94744,-0.01670644391408116
2020-03-09,10099,10174,8945,9440,184577,-0.08349514563106797
2020-03-10,9090,10614,8575,10275,260294,0.08845338983050843
2020-03-11,10319,10539,9385,9710,108157,-0.05498783454987832
2020-03-12,9309,9584,8845,9070,119228,-0.06591143151390322
2020-03-13,8110,9414,7965,8975,130013,-0.01047409040793823
