Date,Open,High,Low,Close,Volume,Change
2023-04-04,72900,73600,72600,73000,6607,0.0013717421124828
2023-04-05,73000,73400,72200,72600,11995,-0.0054794520547944
2023-04-06,72800,72800,71700,72100,7972,-0.0068870523415978
2023-04-07,72000,72600,71700,72400,6420,0.0041608876560332
2023-04-10,72400,72400,71600,72000,9687,-0.005524861878453
2023-04-11,71900,72300,71400,72000,14472,0.0
2023-04-12,72000,72200,71200,71500,23977,-0.0069444444444444
2023-04-13,71500,71800,71100,71400,21762,-0.0013986013986013
2023-04-14,71800,72600,71200,72600,12325,0.0168067226890755
2023-04-17,72700,72900,71500,71800,16622,-0.0110192837465564
2023-04-18,71900,72000,71300,71800,8152,0.0
2023-04-19,71900,71900,71300,71400,13109,-0.0055710306406685
2023-04-20,71400,71700,71200,71200,10571,-0.0028011204481792
2023-04-21,71300,71900,70300,70900,23413,-0.0042134831460673
2023-04-24,70900,71400,70900,71200,5258,0.004231311706629
2023-04-25,71300,71600,70400,70600,13300,-0.0084269662921347
2023-04-26,70600,70600,69700,70000,22740,-0.0084985835694051
2023-04-27,69400,70400,69300,70200,8242,0.0028571428571428
2023-04-28,70200,70600,69500,69900,19242,-0.0042735042735042
2023-05-02,69600,71700,69600,71100,9990,0.0171673819742488
2023-05-03,71000,71300,69900,70500,10379,-0.0084388185654008
2023-05-04,70400,70800,69900,70400,4024,-0.001418439716312
2023-05-08,71000,71400,70500,71400,6301,0.0142045454545454
2023-05-09,71400,71500,70800,71200,7362,-0.0028011204481792
2023-05-10,71200,71200,70000,70400,7221,-0.0112359550561798
2023-05-11,70400,70900,70300,70500,3229,0.0014204545454545
2023-05-12,70000,70600,69700,70000,8034,-0.0070921985815602
2023-05-15,70000,70100,69600,69900,5073,-0.0014285714285714
2023-05-16,69900,69900,69600,69700,6042,-0.0028612303290415
2023-05-17,69900,69900,69300,69500,15010,-0.0028694404591105
2023-05-18,69500,69800,69200,69700,6231,0.0028776978417266
2023-05-19,70000,70000,69600,70000,8603,0.0043041606886657
2023-05-22,70000,70600,69300,69400,20271,-0.0085714285714285
2023-05-23,69500,70000,69300,69500,11948,0.0014409221902016
2023-05-24,69500,69600,69200,69500,10153,0.0
2023-05-25,69700,69700,69100,69400,8016,-0.0014388489208633
2023-05-26,69100,69500,68900,69000,8685,-0.0057636887608069
2023-05-30,69200,69300,67100,67200,28371,-0.026086956521739
2023-05-31,67400,67400,66000,66000,23517,-0.0178571428571429
2023-06-01,66000,66300,65400,65700,16107,-0.0045454545454545
2023-06-02,66000,66500,65800,66300,8375,0.0091324200913243
2023-06-05,66500,67900,66500,67600,12439,0.0196078431372548
2023-06-07,68000,68200,67400,67500,14449,-0.0014792899408283
2023-06-08,67500,68000,67100,67700,8093,0.002962962962963
2023-06-09,67800,67900,67100,67100,8604,-0.0088626292466764
2023-06-12,67100,67500,66700,66800,5310,-0.0044709388971684
2023-06-13,67300,67300,66100,66400,8401,-0.0059880239520958
2023-06-14,66800,67400,66400,66600,6904,0.0030120481927711
2023-06-15,66700,67000,64200,64700,28657,-0.0285285285285284
2023-06-16,65300,65300,64600,64800,10376,0.0015455950540959
2023-06-19,64800,65400,64700,65200,5791,0.0061728395061728
2023-06-20,65400,69500,65300,69400,42432,0.0644171779141105
2023-06-21,69000,69300,67600,68200,10697,-0.0172910662824207
2023-06-22,68500,69200,68000,68200,9000,0.0
2023-06-23,68300,68600,67100,67600,5527,-0.0087976539589442
2023-06-26,67600,67900,66500,67800,4301,0.0029585798816567
2023-06-27,67700,69500,67400,68800,9639,0.0147492625368732
2023-06-28,69200,69200,68500,68800,3049,0.0
2023-06-29,69000,69000,67100,67400,6538,-0.0203488372093023
2023-06-30,67900,67900,66400,67200,4737,-0.002967359050445
2023-07-03,66600,67300,66000,67300,5698,0.0014880952380953
2023-07-04,67400,67400,66200,66500,7503,-0.0118870728083209
2023-07-05,66800,66900,65600,65800,6200,-0.0105263157894737
2023-07-06,65800,65800,64400,65100,8653,-0.0106382978723403
2023-07-07,65100,65100,63000,63500,11405,-0.0245775729646697
2023-07-10,63500,64400,63000,63800,6018,0.0047244094488188
2023-07-11,63200,64100,63200,63900,3927,0.0015673981191222
2023-07-12,63400,64200,63400,63900,3115,0.0
2023-07-13,64400,64400,63900,64400,3269,0.0078247261345851
2023-07-14,64000,65300,63800,65300,7125,0.0139751552795031
2023-07-17,65300,65400,64700,65000,3574,-0.004594180704441
2023-07-18,65000,65400,64500,64700,3995,-0.0046153846153845
2023-07-19,64600,64600,64000,64200,7007,-0.007727975270479
2023-07-20,64400,64400,63600,64000,3747,-0.0031152647975077
2023-07-21,64000,64000,63300,63400,5418,-0.009375
2023-07-24,63200,63200,61400,61900,16094,-0.0236593059936908
2023-07-25,61400,61900,60600,61600,12330,-0.0048465266558965
2023-07-26,61600,61600,59000,59900,23447,-0.0275974025974026
2023-07-27,59000,61300,59000,61100,7102,0.0200333889816359
2023-07-28,60400,61300,59900,61300,4876,0.0032733224222585
2023-07-31,61000,63800,60600,63800,14189,0.0407830342577488
2023-08-01,63800,65100,63500,64400,9429,0.0094043887147334
2023-08-02,64400,64400,63300,63700,2798,-0.0108695652173913
2023-08-03,63200,64000,62700,63200,3716,-0.0078492935635793
2023-08-04,63300,63700,62700,62800,3003,-0.0063291139240506
2023-08-07,62800,65000,62500,63100,5946,0.0047770700636942
2023-08-08,63100,63500,62600,62800,3717,-0.0047543581616481
2023-08-09,62800,64100,62700,63300,5222,0.0079617834394905
2023-08-10,63900,63900,63100,63400,2371,0.0015797788309637
2023-08-11,63900,64300,63400,63700,2574,0.0047318611987381
2023-08-14,63700,64000,63400,63600,2794,-0.0015698587127158
2023-08-16,63600,63600,61100,61900,7993,-0.0267295597484277
2023-08-17,62000,62000,60500,61300,4109,-0.0096930533117932
2023-08-18,61300,61900,60500,61300,5713,0.0
2023-08-21,60700,62400,60700,61700,5367,0.0065252854812398
2023-08-22,61900,62000,60800,61100,2204,-0.0097244732576985
2023-08-23,61100,61400,60500,60700,2320,-0.0065466448445171
2023-08-24,60900,61100,60400,60900,4166,0.0032948929159801
2023-08-25,60700,62700,60700,62100,6813,0.0197044334975369
2023-08-28,62100,63000,61700,62200,6065,0.001610305958132
2023-08-29,61800,62800,61800,62200,3994,0.0
2023-08-30,62500,63200,62200,63100,5408,0.0144694533762057
2023-08-31,63100,63100,62500,62700,2650,-0.0063391442155309
2023-09-01,62700,63200,62400,62800,2342,0.0015948963317384
2023-09-04,62800,65400,62000,63700,16549,0.0143312101910828
2023-09-05,64300,64900,64000,64000,3786,0.0047095761381474
2023-09-06,64100,64700,63200,63200,4123,-0.0124999999999999
2023-09-07,63700,63700,62500,63400,4273,0.0031645569620253
2023-09-08,63400,63400,62500,62900,3382,-0.0078864353312302
2023-09-11,62900,64600,62400,63700,6700,0.012718600953895
2023-09-12,62900,64300,62900,63500,3710,-0.0031397174254317
2023-09-13,62800,64200,62800,63800,4189,0.0047244094488188
2023-09-14,64200,64200,63200,64000,2881,0.0031347962382444
2023-09-15,63900,64600,63900,64500,8442,0.0078125
2023-09-18,64500,64800,64100,64400,3402,-0.0015503875968991
2023-09-19,64400,65800,64400,65400,10171,0.0155279503105589
2023-09-20,65400,65900,64800,64800,3779,-0.0091743119266054
2023-09-21,64500,65100,63700,64000,4970,-0.0123456790123457
2023-09-22,63900,63900,62800,63400,3376,-0.009375
