Date,Open,High,Low,Close,Volume,Change
2019-06-18,1250,1325,1240,1300,2694648,0.048387096774193505
2019-06-19,1310,1335,1260,1290,1832489,-0.007692307692307665
2019-06-20,1270,1325,1270,1315,1743095,0.019379844961240345
2019-06-21,1325,1335,1295,1300,977357,-0.011406844106463865
2019-06-24,1295,1335,1285,1330,1396666,0.023076923076922995
2019-06-25,1330,1330,1290,1310,497127,-0.015037593984962405
2019-06-26,1305,1350,1295,1330,1166740,0.01526717557251911
2019-06-27,1340,1360,1280,1290,1147753,-0.03007518796992481
2019-06-28,1280,1310,1250,1265,1218836,-0.019379844961240345
2019-07-01,1290,1305,1260,1300,566324,0.027667984189723382
2019-07-02,1300,1315,1280,1310,383541,0.007692307692307665
2019-07-03,1310,1315,1255,1270,596773,-0.03053435114503822
2019-07-04,1275,1275,1230,1275,567588,0.003937007874015741
2019-07-05,1275,1275,1250,1260,279308,-0.0117647058823529
2019-07-08,1250,1250,1195,1220,613337,-0.031746031746031744
2019-07-09,1220,1230,1160,1180,666362,-0.032786885245901676
2019-07-10,1190,1205,1160,1185,507176,0.004237288135593209
2019-07-11,1180,1215,1180,1185,477604,0.0
2019-07-12,1195,1225,1185,1210,593467,0.021097046413502074
2019-07-15,1210,1215,1180,1190,356717,-0.016528925619834656
2019-07-16,1200,1205,1175,1195,325264,0.004201680672268893
2019-07-17,1195,1200,1160,1170,466322,-0.02092050209205021
2019-07-18,1180,1185,1160,1170,332215,0.0
2019-07-19,1225,1295,1155,1160,4834589,-0.008547008547008517
2019-07-22,1145,1145,1115,1125,977719,-0.030172413793103425
2019-07-23,1125,1135,1115,1130,463359,0.004444444444444473
2019-07-24,1130,1140,1100,1110,571672,-0.017699115044247815
2019-07-25,1095,1110,1075,1095,418355,-0.013513513513513487
2019-07-26,1090,1105,1050,1085,547189,-0.0091324200913242
2019-07-29,1070,1080,1025,1050,683545,-0.032258064516129004
2019-07-30,1040,1075,1040,1060,318798,0.00952380952380949
2019-07-31,1060,1065,1040,1055,411375,-0.004716981132075526
2019-08-01,1050,1070,1035,1055,441083,0.0
2019-08-02,1025,1060,1025,1050,429455,-0.004739336492891044
2019-08-05,1060,1060,984,991,980842,-0.056190476190476235
2019-08-06,1015,1015,965,973,1020209,-0.01816347124117057
2019-08-07,967,1020,967,1010,481819,0.03802672147995878
2019-08-08,1015,1060,1005,1055,581821,0.044554455445544594
2019-08-09,1065,1070,1045,1060,274456,0.004739336492890933
2019-08-12,1055,1065,1035,1055,211931,-0.004716981132075526
2019-08-13,1055,1085,1040,1085,314657,0.028436018957346043
2019-08-14,1085,1120,1075,1090,452455,0.004608294930875667
2019-08-16,1085,1085,1025,1040,927142,-0.04587155963302747
2019-08-19,1050,1065,1045,1055,284232,0.014423076923076872
2019-08-20,1060,1095,1045,1095,374909,0.03791469194312791
2019-08-21,1100,1115,1090,1115,330460,0.0182648401826484
2019-08-22,1115,1140,1105,1120,430528,0.004484304932735439
2019-08-23,1110,1135,1095,1110,513977,-0.008928571428571397
2019-08-26,1090,1090,1065,1080,368267,-0.027027027027026973
2019-08-27,1080,1095,1075,1080,163468,0.0
2019-08-28,1090,1090,1070,1085,161381,0.004629629629629539
2019-08-29,1100,1100,1070,1085,133862,0.0
2019-08-30,1090,1110,1085,1105,289188,0.018433179723502224
2019-09-02,1085,1125,1085,1120,436677,0.013574660633484115
2019-09-03,1125,1125,1100,1115,313203,-0.004464285714285698
2019-09-04,1110,1125,1085,1120,358713,0.004484304932735439
2019-09-05,1120,1175,1110,1155,1543140,0.03125
