Date,Open,High,Low,Close,Volume,Change
2023-04-04,54900,55800,54500,55600,78818,0.0220588235294116
2023-04-05,56100,56100,54800,54900,54120,-0.0125899280575539
2023-04-06,54900,55000,53700,54200,76366,-0.0127504553734062
2023-04-07,53600,54600,53000,53700,64741,-0.0092250922509224
2023-04-10,53200,54300,53200,53500,68998,-0.0037243947858472
2023-04-11,53500,55500,53500,55000,112419,0.0280373831775699
2023-04-12,54500,56200,54500,56200,121323,0.0218181818181817
2023-04-13,55500,56600,55400,56600,87268,0.0071174377224199
2023-04-14,56600,57000,56300,56600,64198,0.0
2023-04-17,56600,56900,55900,56500,62861,-0.0017667844522968
2023-04-18,56000,56800,55200,55600,64022,-0.0159292035398229
2023-04-19,55600,55900,55200,55500,35355,-0.0017985611510791
2023-04-20,55500,57000,55100,57000,94145,0.0270270270270269
2023-04-21,57000,57800,56400,57600,71994,0.0105263157894737
2023-04-24,57800,57800,56500,57000,42533,-0.0104166666666666
2023-04-25,57400,57800,56400,57200,76432,0.0035087719298245
2023-04-26,57000,58100,56500,58100,74604,0.0157342657342658
2023-04-27,57500,57500,56200,56600,72112,-0.0258175559380379
2023-04-28,56600,58500,56500,58400,93139,0.0318021201413427
2023-05-02,57600,58800,57600,58600,60166,0.0034246575342464
2023-05-03,58700,59100,58000,58500,80268,-0.0017064846416382
2023-05-04,57300,58500,57300,57900,42248,-0.0102564102564102
2023-05-08,57200,58500,57100,57900,49815,0.0
2023-05-09,58200,58800,57600,58500,43793,0.0103626943005181
2023-05-10,58600,58700,56500,56500,115416,-0.0341880341880341
2023-05-11,57200,58800,57200,58100,88595,0.0283185840707964
2023-05-12,57300,58100,55600,56700,123294,-0.0240963855421686
2023-05-15,55600,56600,55500,55900,79699,-0.0141093474426807
2023-05-16,55600,55900,54100,54500,114191,-0.0250447227191413
2023-05-17,54400,55000,53700,54400,141309,-0.001834862385321
2023-05-18,54400,55000,54400,55000,70626,0.0110294117647058
2023-05-19,55100,56800,55100,56500,89284,0.0272727272727273
2023-05-22,56600,56600,55100,55200,84565,-0.0230088495575221
2023-05-23,55500,56500,55500,56100,47964,0.0163043478260869
2023-05-24,56100,56100,55000,55100,84395,-0.017825311942959
2023-05-25,54800,55200,53900,54400,186201,-0.012704174228675
2023-05-26,54000,54500,53700,53800,105965,-0.0110294117647058
2023-05-30,53800,54400,52700,53000,210826,-0.0148698884758364
2023-05-31,53000,56000,53000,54300,2417223,0.0245283018867925
2023-06-01,54500,55700,53300,53600,157809,-0.012891344383057
2023-06-02,53700,53900,53300,53600,52820,0.0
2023-06-05,53700,54500,53700,54100,65668,0.0093283582089551
2023-06-07,54200,54900,53600,53900,211666,-0.0036968576709797
2023-06-08,54300,54600,53600,54100,116117,0.0037105751391466
2023-06-09,54700,54700,53900,54200,74890,0.0018484288354898
2023-06-12,54700,54700,54100,54200,53368,0.0
2023-06-13,54700,54800,53700,54000,110524,-0.0036900369003689
2023-06-14,54100,54500,53500,53800,140814,-0.0037037037037036
2023-06-15,54000,54500,53700,53900,85492,0.0018587360594795
2023-06-16,54700,55500,54400,55000,92890,0.0204081632653061
2023-06-19,55800,57100,54700,54900,105952,-0.0018181818181818
2023-06-20,54700,55500,54500,55100,68710,0.0036429872495447
2023-06-21,55600,55600,53700,54600,91042,-0.0090744101633394
2023-06-22,54700,54700,53600,53800,55429,-0.0146520146520146
2023-06-23,53800,54100,53400,53600,46570,-0.0037174721189591
2023-06-26,53600,54500,53500,54000,44499,0.007462686567164
2023-06-27,53900,54300,53400,53500,29610,-0.0092592592592593
2023-06-28,53700,54100,53400,53700,25790,0.0037383177570093
2023-06-29,53500,53900,52700,52800,47750,-0.0167597765363128
2023-06-30,52900,53800,52400,53300,71616,0.009469696969697
2023-07-03,53300,54200,53300,54200,82576,0.0168855534709193
2023-07-04,53700,54300,53500,53900,46764,-0.0055350553505535
2023-07-05,53500,54100,53200,53500,82598,-0.0074211502782931
2023-07-06,53500,53500,52400,53000,85548,-0.0093457943925233
2023-07-07,52500,53000,51800,52000,85666,-0.0188679245283018
2023-07-10,52200,52600,51700,52200,44094,0.0038461538461538
2023-07-11,52800,53000,52200,52500,43453,0.0057471264367816
2023-07-12,52600,53300,52300,53000,33335,0.0095238095238094
2023-07-13,53200,53700,52600,52700,86333,-0.0056603773584905
2023-07-14,53400,53800,52800,53500,41275,0.0151802656546489
2023-07-17,53200,53800,53100,53700,63454,0.0037383177570093
2023-07-18,54100,54100,52400,52700,58278,-0.0186219739292364
2023-07-19,53200,53400,52600,53100,70616,0.0075901328273244
2023-07-20,52700,53300,52400,53100,48989,0.0
2023-07-21,52700,53000,52300,52900,46793,-0.0037664783427495
2023-07-24,52900,52900,51600,51800,49297,-0.0207939508506616
2023-07-25,51600,52000,50100,50300,78999,-0.028957528957529
2023-07-26,50200,50700,48200,49700,117860,-0.0119284294234592
2023-07-27,49600,51000,49600,51000,52028,0.0261569416498994
2023-07-28,50500,51400,50200,51200,49227,0.0039215686274509
2023-07-31,51500,51800,50600,51200,72561,0.0
2023-08-01,50900,52900,50700,52400,93228,0.0234375
2023-08-02,52400,52400,51600,51600,73459,-0.0152671755725191
2023-08-03,52200,54600,51700,54100,137400,0.0484496124031008
2023-08-04,54600,58000,53500,57100,330428,0.055452865064695
2023-08-07,57000,57700,56100,56600,135760,-0.0087565674255691
2023-08-08,56800,57400,56200,56700,56173,0.0017667844522968
2023-08-09,56800,56800,55200,55400,48709,-0.0229276895943563
2023-08-10,55400,56200,54600,55300,83733,-0.0018050541516245
2023-08-11,54500,56100,54500,55300,41297,0.0
2023-08-14,55600,56400,55200,55600,47764,0.0054249547920433
2023-08-16,55200,55700,54500,55200,43560,-0.0071942446043165
2023-08-17,55700,55700,54400,55100,36774,-0.0018115942028985
2023-08-18,54300,55000,53800,54500,51147,-0.0108892921960072
2023-08-21,54900,55900,54800,55300,38417,0.0146788990825688
2023-08-22,55400,55500,54200,54700,38586,-0.0108499095840868
2023-08-23,54000,54500,53600,53800,58460,-0.016453382084095
2023-08-24,53800,54400,53800,54100,30523,0.0055762081784387
2023-08-25,53600,54400,53600,54100,25510,0.0
2023-08-28,55200,55600,54300,55300,40716,0.022181146025878
2023-08-29,55700,56000,54700,55300,83814,0.0
2023-08-30,55800,56200,55300,55500,27755,0.003616636528029
2023-08-31,55100,56000,55000,55800,52435,0.0054054054054053
2023-09-01,55200,56500,55200,55400,55645,-0.0071684587813619
2023-09-04,55100,56300,55000,56200,19173,0.0144404332129963
2023-09-05,55600,56400,54900,55400,35651,-0.0142348754448398
2023-09-06,54900,56000,54900,55800,33499,0.0072202166064982
2023-09-07,55100,55700,54800,55400,32034,-0.0071684587813619
2023-09-08,55700,56200,55300,56000,23705,0.0108303249097472
2023-09-11,56000,56300,55200,55600,23846,-0.0071428571428571
2023-09-12,55700,56100,55100,55300,21380,-0.0053956834532373
2023-09-13,55000,57400,55000,57200,76287,0.0343580470162747
2023-09-14,57600,58000,56900,58000,81221,0.0139860139860139
2023-09-15,58100,58200,57200,57600,68946,-0.0068965517241379
2023-09-18,57600,57800,56800,57100,40936,-0.0086805555555555
2023-09-19,56800,58200,56800,58200,34861,0.0192644483362522
2023-09-20,58300,58300,57000,57400,54971,-0.0137457044673539
2023-09-21,57800,59100,57400,58500,94521,0.019163763066202
2023-09-22,58600,59200,58000,58500,62328,0.0
2023-09-25,59000,59000,57700,58100,51335,-0.0068376068376068
2023-09-26,57500,58600,56900,57200,44033,-0.0154905335628227
2023-09-27,56700,57600,56400,56600,40202,-0.0104895104895105
2023-10-04,56700,57900,56200,57100,90312,0.0088339222614841
2023-10-05,57400,57600,56600,57400,45819,0.0052539404553415
2023-10-06,57900,58000,56900,57500,38788,0.0017421602787457
2023-10-10,58900,59000,57400,58000,44779,0.0086956521739129
2023-10-11,57600,58300,55900,56600,51409,-0.0241379310344828
2023-10-12,57000,57100,56200,56800,43673,0.0035335689045936
2023-10-13,55900,57400,55900,56600,26484,-0.0035211267605633
2023-10-16,56300,58000,56300,57500,51346,0.0159010600706712
2023-10-17,58500,58500,56700,57100,40112,-0.0069565217391304
2023-10-18,56600,57700,56600,57000,47940,-0.0017513134851138
2023-10-19,56600,57600,56000,57500,54423,0.0087719298245614
2023-10-20,57500,57800,56400,57100,40584,-0.0069565217391304
2023-10-23,57900,57900,56500,57200,28253,0.0017513134851139
2023-10-24,58000,58500,56700,57200,93373,0.0
2023-10-25,56700,57300,55600,56400,36612,-0.0139860139860139
2023-10-26,56500,56500,55500,56100,202660,-0.0053191489361702
2023-10-27,57200,57300,54600,55000,56271,-0.0196078431372549
2023-10-30,55000,55100,54200,54500,77352,-0.009090909090909
2023-10-31,55000,55900,54400,54600,128502,0.001834862385321
2023-11-01,55100,56800,54700,56500,67401,0.0347985347985349
2023-11-02,57000,57000,54700,54800,82915,-0.0300884955752211
2023-11-03,55000,55400,53900,53900,63223,-0.0164233576642335
2023-11-06,54400,55700,53500,55700,91419,0.033395176252319
2023-11-07,55700,55800,54500,55000,63662,-0.0125673249551166
2023-11-08,55800,56200,54900,55300,37513,0.0054545454545453
2023-11-09,55300,55700,55000,55100,45967,-0.0036166365280289
2023-11-10,54600,55500,54600,55500,33434,0.0072595281306715
2023-11-13,56000,56600,55300,56200,28611,0.0126126126126127
2023-11-14,56700,57000,56100,57000,38944,0.0142348754448398
2023-11-15,58000,58800,57200,58300,88553,0.0228070175438597
2023-11-16,58300,58600,57200,57400,77739,-0.0154373927958834
2023-11-17,57400,60300,57400,59800,65512,0.0418118466898955
2023-11-20,59800,60100,59200,59200,29003,-0.0100334448160535
2023-11-21,59900,59900,57800,58500,41157,-0.0118243243243243
2023-11-22,57800,61000,57800,59800,41541,0.0222222222222221
2023-11-23,59900,60200,58700,59600,44261,-0.0033444816053511
2023-11-24,60000,60300,59300,59900,18787,0.0050335570469799
2023-11-27,60300,60300,59300,59700,22090,-0.0033388981636059
2023-11-28,60300,61300,59700,60800,43626,0.0184254606365159
2023-11-29,60300,60300,58800,59600,83892,-0.0197368421052631
2023-11-30,59600,60200,58600,60200,51115,0.0100671140939596
2023-12-01,59600,59800,57900,58400,38032,-0.0299003322259135
2023-12-04,58800,59100,58100,58500,18711,0.0017123287671232
2023-12-05,58100,59400,58100,58200,31497,-0.0051282051282051
2023-12-06,58400,59300,58000,58300,24203,0.0017182130584192
2023-12-07,57900,59000,57800,58500,25961,0.0034305317324185
2023-12-08,59000,59600,58800,59200,32931,0.0119658119658119
2023-12-11,60000,61300,59700,60900,50823,0.0287162162162162
2023-12-12,61400,63400,61300,63000,81703,0.0344827586206897
2023-12-13,63400,63500,62100,62700,47997,-0.0047619047619047
2023-12-14,63500,63500,59900,61200,95761,-0.0239234449760765
2023-12-15,61200,61900,60700,61100,61262,-0.0016339869281045
2023-12-18,61000,62000,60900,61600,33705,0.0081833060556464
2023-12-19,61100,62000,60700,61000,30066,-0.0097402597402597
2023-12-20,61400,62500,61100,62300,45823,0.021311475409836
2023-12-21,62300,62400,61400,62000,30382,-0.0048154093097912
2023-12-22,62400,62400,61100,61700,23667,-0.0048387096774193
2023-12-26,61700,62500,61400,61900,48157,0.0032414910858995
2023-12-27,60300,60800,58700,59000,45554,-0.0468497576736671
2023-12-28,59600,60800,59100,60000,54115,0.0169491525423728
2024-01-02,60200,61100,59700,60000,39680,0.0
2024-01-03,59500,60000,57800,57900,58952,-0.035
2024-01-04,57500,57700,56600,56700,43567,-0.0207253886010362
2024-01-05,56700,56800,56000,56400,33927,-0.0052910052910053
2024-01-08,56600,57100,55600,56600,33440,0.00354609929078
2024-01-09,57400,57400,56000,57000,35108,0.0070671378091873
2024-01-10,57300,57400,55800,56200,27929,-0.0140350877192982
2024-01-11,56500,56500,55700,55700,36252,-0.0088967971530249
2024-01-12,55900,55900,54700,55100,29415,-0.0107719928186714
2024-01-15,55000,56200,55000,55800,43652,0.012704174228675
2024-01-16,55100,55500,54000,54300,71889,-0.0268817204301075
2024-01-17,54800,54800,53100,53100,29499,-0.0220994475138122
2024-01-18,53500,53700,53000,53100,33827,0.0
2024-01-19,53600,54400,53200,53600,28087,0.0094161958568739
2024-01-22,54200,54200,53000,53100,20719,-0.0093283582089552
2024-01-23,53600,54800,53400,54300,42293,0.0225988700564971
2024-01-24,54300,54500,53200,53600,64148,-0.012891344383057
2024-01-25,54000,54300,53300,54300,46765,0.0130597014925373
2024-01-26,53800,54900,53700,54400,37377,0.0018416206261511
2024-01-29,55200,56100,53800,55000,66928,0.0110294117647058
2024-01-30,55400,56600,55200,56000,33602,0.018181818181818
2024-01-31,55600,57400,55600,56900,55201,0.0160714285714285
2024-02-01,56300,57200,55700,56900,43579,0.0
2024-02-02,56400,58300,56000,58000,50363,0.0193321616871704
2024-02-05,57900,58200,56600,56800,53401,-0.0206896551724138
2024-02-06,56800,58200,56600,58200,36326,0.0246478873239437
2024-02-07,58800,59100,57800,58000,35648,-0.0034364261168384
2024-02-08,58900,58900,57700,58600,49207,0.0103448275862068
2024-02-13,59300,60200,58900,60100,45682,0.0255972696245734
2024-02-14,59400,60000,59000,59000,34972,-0.0183028286189683
2024-02-15,60200,60300,59000,59200,19988,0.0033898305084745
2024-02-16,60000,60300,59500,59700,19707,0.008445945945946
2024-02-19,60000,61900,59800,61200,27715,0.0251256281407035
2024-02-20,61300,61600,60000,60100,29889,-0.0179738562091503
2024-02-21,60800,61000,59400,59600,17596,-0.0083194675540765
2024-02-22,60500,60900,60000,60600,21289,0.0167785234899329
2024-02-23,60200,60800,59900,60400,22293,-0.0033003300330033
2024-02-26,60900,61100,59500,59500,23957,-0.0149006622516556
2024-02-27,60300,60300,58800,59100,21039,-0.0067226890756302
2024-02-28,58400,60000,58400,59000,18877,-0.0016920473773265
2024-02-29,58500,59400,58100,58100,45138,-0.0152542372881355
2024-03-04,58800,59500,57900,57900,27943,-0.0034423407917383
2024-03-05,57400,58100,57300,57700,32034,-0.003454231433506
2024-03-06,58000,58100,57000,57800,17807,0.0017331022530329
2024-03-07,57300,57800,56600,56600,22073,-0.0207612456747404
2024-03-08,57900,58900,57400,57800,65568,0.0212014134275617
2024-03-11,57800,58300,57100,57700,16229,-0.0017301038062284
2024-03-12,58200,58500,57100,57500,41362,-0.0034662045060658
2024-03-13,58000,58000,57300,57400,20626,-0.0017391304347825
2024-03-14,57800,59900,57500,59300,74783,0.0331010452961673
2024-03-15,59200,59400,58500,58900,43810,-0.0067453625632377
2024-03-18,59300,59400,58000,58300,28117,-0.0101867572156196
2024-03-19,57400,58900,56600,58300,43763,0.0
2024-03-20,58800,59500,58300,59300,28416,0.0171526586620927
2024-03-21,59900,61100,59800,61100,70052,0.0303541315345698
2024-03-22,59500,61500,59300,60100,42047,-0.0163666121112929
2024-03-25,59500,60100,58000,58600,91373,-0.0249584026622295
2024-03-26,59400,61000,59200,60400,60509,0.030716723549488
2024-03-27,59800,61300,59800,60700,32809,0.0049668874172186
2024-03-28,60700,61400,60200,61100,38754,0.0065897858319605
2024-03-29,61200,61400,60000,60100,24410,-0.0163666121112929
2024-04-01,60700,60800,59800,60300,21002,0.0033277870216306
2024-04-02,59600,61500,59600,60200,32440,-0.0016583747927031
2024-04-03,59800,60600,59700,60000,30876,-0.0033222591362126
2024-04-04,60500,60600,59000,59000,21328,-0.0166666666666667
2024-04-05,58500,59500,58300,58800,20767,-0.0033898305084745
2024-04-08,58700,59600,58600,59200,27378,0.0068027210884353
2024-04-09,59600,60400,58700,60200,25810,0.0168918918918918
2024-04-11,60000,61500,59400,60400,83883,0.0033222591362125
2024-04-12,59700,61200,59700,60700,66013,0.0049668874172186
2024-04-15,60600,60700,59600,60000,48643,-0.0115321252059308
2024-04-16,59900,60800,59800,60200,69583,0.0033333333333334
2024-04-17,61000,61000,59700,60800,130917,0.0099667774086378
2024-04-18,61000,61100,60100,60100,66136,-0.0115131578947368
2024-04-19,59600,60600,59300,60000,71590,-0.0016638935108153
2024-04-22,60600,61000,60200,61000,23058,0.0166666666666666
2024-04-23,60500,63300,60200,63200,57187,0.0360655737704918
2024-04-24,63700,63900,62600,62800,37552,-0.0063291139240506
2024-04-25,62100,63000,61500,62400,29049,-0.0063694267515923
2024-04-26,62600,63200,60800,61700,53913,-0.0112179487179486
