Date,Open,High,Low,Close,Volume,Change
2023-04-04,1731,1758,1700,1705,385089,-0.0150202195262854
2023-04-05,1705,1753,1705,1752,315446,0.0275659824046921
2023-04-06,1729,1779,1704,1730,487293,-0.0125570776255707
2023-04-07,1737,1753,1707,1720,427577,-0.0057803468208093
2023-04-10,1745,1745,1680,1727,436438,0.0040697674418603
2023-04-11,1695,1797,1686,1796,833670,0.0399536768963519
2023-04-12,1817,1843,1780,1820,1072625,0.0133630289532293
2023-04-13,1942,2120,1780,1781,5642938,-0.0214285714285714
2023-04-14,1785,1847,1771,1789,1064403,0.004491858506457
2023-04-17,1789,1911,1783,1860,1175479,0.0396869759642257
2023-04-18,2215,2415,2100,2415,18242873,0.2983870967741935
2023-04-19,2830,3100,2615,2770,40835073,0.1469979296066252
2023-04-20,2960,3080,2560,2580,12977750,-0.0685920577617328
2023-04-21,2520,2770,2420,2635,9469305,0.0213178294573643
2023-04-24,2565,2575,2325,2360,4219791,-0.1043643263757115
2023-04-25,2710,2965,2485,2615,34593966,0.1080508474576271
2023-04-26,2705,3090,2690,2765,29509381,0.05736137667304
2023-04-27,2680,2775,2595,2725,5408572,-0.0144665461121157
2023-04-28,2850,2910,2510,2515,6846129,-0.0770642201834862
2023-05-02,2480,2580,2475,2565,2142709,0.0198807157057654
2023-05-03,2540,2870,2480,2805,11052516,0.0935672514619883
2023-05-04,2720,2775,2565,2645,3977511,-0.0570409982174687
2023-05-08,2645,3045,2645,2825,21274982,0.0680529300567107
2023-05-09,2870,3360,2760,3200,73584369,0.1327433628318584
2023-05-10,3110,3280,3010,3055,14372866,-0.0453124999999999
2023-05-11,3065,3070,2845,2925,7906252,-0.0425531914893616
2023-05-12,2915,3030,2820,2860,8604676,-0.0222222222222222
2023-05-15,2900,3140,2660,2755,28896010,-0.0367132867132866
2023-05-16,2700,2790,2605,2720,7409216,-0.012704174228675
2023-05-17,2735,2950,2665,2950,12340370,0.0845588235294116
2023-05-18,3040,3195,2895,2940,24875255,-0.0033898305084745
2023-05-19,2980,3000,2785,2800,6198264,-0.0476190476190476
2023-05-22,2805,2810,2615,2670,4604906,-0.0464285714285713
2023-05-23,2650,2695,2620,2645,2644853,-0.0093632958801498
2023-05-24,2635,2670,2600,2635,1707916,-0.0037807183364839
2023-05-25,2605,2625,2525,2545,2769502,-0.0341555977229601
2023-05-26,2545,2575,2505,2505,2099568,-0.0157170923379175
2023-05-30,2510,2555,2460,2520,1700704,0.0059880239520957
2023-05-31,2520,2630,2520,2580,2724229,0.0238095238095237
2023-06-01,2685,2690,2555,2580,2485698,0.0
2023-06-02,2580,2585,2480,2480,2212473,-0.0387596899224805
2023-06-05,2485,2520,2440,2505,1299572,0.0100806451612902
2023-06-07,2505,2535,2430,2530,2000399,0.0099800399201597
2023-06-08,2480,2500,2445,2450,1186141,-0.0316205533596838
2023-06-09,2465,2470,2420,2430,913711,-0.0081632653061224
2023-06-12,2435,2450,2400,2430,1020296,0.0
2023-06-13,2430,2475,2430,2440,775370,0.0041152263374486
2023-06-14,2465,2465,2345,2395,1704771,-0.0184426229508196
2023-06-15,2410,2410,2345,2380,726343,-0.0062630480167014
2023-06-16,2400,2415,2360,2365,704533,-0.0063025210084033
2023-06-19,2365,2435,2340,2435,1167665,0.029598308668076
2023-06-20,2500,2555,2380,2380,3051419,-0.0225872689938397
2023-06-21,2390,2520,2380,2490,2560560,0.046218487394958
2023-06-22,2525,2525,2430,2430,1026794,-0.0240963855421686
2023-06-23,2455,2565,2435,2470,2853544,0.0164609053497941
2023-06-26,2500,2595,2470,2570,3998726,0.0404858299595141
2023-06-27,2555,2590,2480,2535,1722189,-0.0136186770428015
2023-06-28,2550,2560,2440,2500,1726199,-0.0138067061143983
2023-06-29,2475,2490,2405,2415,1411543,-0.034
2023-06-30,2400,2500,2400,2480,1276727,0.0269151138716357
2023-07-03,2520,2530,2470,2520,1184037,0.0161290322580645
2023-07-04,2535,2635,2495,2635,3097834,0.0456349206349206
2023-07-05,2690,2730,2550,2640,3944611,0.0018975332068311
2023-07-06,2635,2870,2620,2750,12551940,0.0416666666666667
2023-07-07,2760,2785,2655,2785,2538398,0.0127272727272726
2023-07-10,2860,2935,2725,2900,6751396,0.0412926391382406
2023-07-11,2860,2950,2825,2835,3702678,-0.0224137931034482
2023-07-12,2860,2985,2850,2885,4802503,0.017636684303351
2023-07-13,2905,2935,2745,2745,3148718,-0.048526863084922
2023-07-14,2765,2835,2695,2770,2917500,0.0091074681238616
2023-07-17,2770,2945,2770,2880,4780552,0.0397111913357399
2023-07-18,2840,2865,2750,2770,2426657,-0.0381944444444444
2023-07-19,2780,2830,2665,2750,1928859,-0.0072202166064981
2023-07-20,2725,2790,2640,2680,1659424,-0.0254545454545455
2023-07-21,2630,2650,2570,2590,1548223,-0.0335820895522388
2023-07-24,2590,2590,2460,2515,1945702,-0.028957528957529
2023-07-25,2480,2575,2465,2475,1679554,-0.0159045725646123
2023-07-26,2470,2470,2250,2360,2537418,-0.0464646464646464
2023-07-27,2340,2425,2340,2400,1315373,0.0169491525423728
2023-07-28,2360,2535,2360,2505,1142339,0.0437499999999999
2023-07-31,2530,2565,2450,2500,628912,-0.0019960079840319
2023-08-01,2480,2530,2470,2530,802642,0.012
2023-08-02,2535,2535,2395,2460,1085842,-0.0276679841897232
2023-08-03,2425,2455,2315,2370,1121754,-0.0365853658536585
2023-08-04,2370,2375,2320,2355,546154,-0.0063291139240506
2023-08-07,2330,2330,2260,2295,1176008,-0.0254777070063694
2023-08-08,2320,2345,2250,2265,803821,-0.0130718954248365
2023-08-09,2265,2445,2250,2425,2329755,0.0706401766004414
2023-08-10,2705,2735,2460,2480,5224647,0.0226804123711339
2023-08-11,2465,2575,2430,2540,1652673,0.0241935483870967
2023-08-14,2600,2670,2510,2560,2489793,0.0078740157480314
2023-08-16,2410,2440,2290,2315,2582589,-0.095703125
