Date,Open,High,Low,Close,Volume,Change
2023-04-04,6210,6290,6150,6250,189232,0.0080645161290322
2023-04-05,6240,6240,6120,6180,199009,-0.0111999999999999
2023-04-06,6160,6160,5960,5990,213050,-0.0307443365695793
2023-04-07,6010,6040,5910,5990,229073,0.0
2023-04-10,5950,5980,5800,5810,256321,-0.030050083472454
2023-04-11,5830,6030,5710,6020,316748,0.036144578313253
2023-04-12,6150,6410,6100,6270,664892,0.0415282392026579
2023-04-13,6210,6250,6110,6170,190351,-0.0159489633173843
2023-04-14,6210,6210,6080,6150,197770,-0.0032414910858995
2023-04-17,6140,6230,6120,6170,143022,0.0032520325203251
2023-04-18,6190,6190,6000,6020,236426,-0.0243111831442464
2023-04-19,6000,6220,5980,6170,249070,0.0249169435215947
2023-04-20,6150,6170,5870,5930,175577,-0.0388978930307941
2023-04-21,5970,5970,5790,5830,232214,-0.0168634064080944
2023-04-24,5840,5870,5630,5640,139545,-0.032590051457976
2023-04-25,5610,5650,5350,5530,185244,-0.0195035460992907
2023-04-26,5550,5570,5440,5470,95780,-0.0108499095840868
2023-04-27,5420,5610,5400,5580,97383,0.0201096892138938
2023-04-28,5580,5650,5450,5450,95713,-0.0232974910394265
2023-05-02,5450,5700,5420,5630,99326,0.0330275229357797
2023-05-03,5550,5680,5540,5650,63202,0.0035523978685612
2023-05-04,5650,5660,5550,5600,99286,-0.0088495575221239
2023-05-08,5620,5730,5620,5700,70207,0.0178571428571427
2023-05-09,5660,5730,5480,5590,61712,-0.019298245614035
2023-05-10,5560,5690,5500,5570,98760,-0.0035778175313059
2023-05-11,5600,5640,5520,5570,124174,0.0
2023-05-12,5580,5700,5550,5640,141591,0.0125673249551165
2023-05-15,5750,5750,5530,5600,136621,-0.0070921985815602
2023-05-16,5600,5670,5560,5590,175761,-0.0017857142857142
2023-05-17,5560,5720,5500,5690,125143,0.0178890876565294
2023-05-18,5760,5800,5720,5780,171234,0.015817223198594
2023-05-19,5820,5970,5780,5930,375823,0.0259515570934256
2023-05-22,6000,6240,5940,6120,609838,0.0320404721753795
2023-05-23,6140,6140,6000,6030,186890,-0.0147058823529411
2023-05-24,6080,6080,5990,6020,147992,-0.0016583747927031
2023-05-25,6030,6040,5860,5910,186907,-0.0182724252491693
2023-05-26,5970,5970,5820,5910,121195,0.0
2023-05-30,5910,5980,5860,5920,88636,0.0016920473773265
2023-05-31,5900,5940,5860,5880,81890,-0.0067567567567567
2023-06-01,5880,5890,5820,5840,54798,-0.0068027210884353
2023-06-02,5850,5940,5840,5930,63036,0.0154109589041095
2023-06-05,5940,6060,5930,5980,151908,0.0084317032040472
2023-06-07,5990,5990,5880,5940,121917,-0.0066889632107023
2023-06-08,5890,5930,5740,5850,121328,-0.0151515151515151
2023-06-09,5850,5880,5790,5790,100686,-0.0102564102564102
2023-06-12,5800,5950,5710,5940,238697,0.0259067357512954
2023-06-13,5920,5980,5860,5900,98729,-0.0067340067340067
2023-06-14,5970,5970,5790,5850,141954,-0.0084745762711864
2023-06-15,5820,5850,5680,5750,136651,-0.0170940170940171
2023-06-16,5810,6060,5790,6000,310815,0.0434782608695651
2023-06-19,6020,6050,5960,6010,131779,0.0016666666666667
2023-06-20,6010,6140,5990,6020,208141,0.0016638935108153
2023-06-21,6050,6080,5980,5990,136286,-0.0049833887043189
2023-06-22,5990,5990,5890,5930,84543,-0.0100166944908179
2023-06-23,5910,5990,5840,5890,111715,-0.0067453625632377
2023-06-26,5940,5950,5780,5890,64282,0.0
2023-06-27,5880,5890,5760,5780,88817,-0.0186757215619693
2023-06-28,5800,6060,5760,6010,213748,0.0397923875432526
2023-06-29,6040,6040,5780,5820,138767,-0.0316139767054908
2023-06-30,5870,6070,5770,5980,146010,0.0274914089347078
2023-07-03,6010,6140,5980,6110,226905,0.0217391304347827
2023-07-04,6120,6580,6070,6370,1124676,0.0425531914893617
2023-07-05,6410,6410,6170,6210,420080,-0.0251177394034537
2023-07-06,6270,6460,6150,6200,524053,-0.001610305958132
2023-07-07,6270,6270,6000,6100,278600,-0.0161290322580645
2023-07-10,6100,6430,6080,6330,440295,0.0377049180327868
2023-07-11,6450,6450,6200,6270,352641,-0.0094786729857819
2023-07-12,6280,6390,6270,6390,241236,0.0191387559808613
2023-07-13,6460,6610,6340,6360,539792,-0.0046948356807511
2023-07-14,6370,6420,6230,6390,254574,0.0047169811320755
2023-07-17,6420,6460,6360,6410,250735,0.0031298904538341
2023-07-18,6420,6480,6280,6280,221283,-0.0202808112324492
2023-07-19,6280,6350,6170,6200,162314,-0.0127388535031847
2023-07-20,6280,6280,6160,6220,95306,0.0032258064516128
2023-07-21,6200,6200,6040,6070,154728,-0.0241157556270096
2023-07-24,6070,6070,5910,5930,169092,-0.0230642504118616
2023-07-25,5890,6030,5850,5880,118220,-0.0084317032040471
2023-07-26,5860,5900,5400,5600,379215,-0.0476190476190476
2023-07-27,5490,5750,5490,5670,159437,0.0124999999999999
2023-07-28,5580,5910,5580,5880,115841,0.0370370370370369
2023-07-31,5980,6040,5870,5980,117596,0.0170068027210883
2023-08-01,6000,6090,5940,6020,95238,0.0066889632107023
2023-08-02,6050,6110,5850,5930,82252,-0.0149501661129568
2023-08-03,5860,5940,5740,5870,77465,-0.0101180438448567
2023-08-04,5820,5940,5800,5870,64677,0.0
2023-08-07,5830,5880,5670,5850,100878,-0.0034071550255536
2023-08-08,5900,5910,5690,5700,91352,-0.0256410256410256
2023-08-09,5650,5750,5650,5700,67970,0.0
2023-08-10,5680,5840,5650,5840,70754,0.024561403508772
2023-08-11,5800,6030,5760,6010,116926,0.0291095890410959
2023-08-14,6120,6290,6080,6080,312604,0.0116472545757071
2023-08-16,6080,6230,5990,6080,251900,0.0
2023-08-17,5980,6150,5810,6080,171375,0.0
2023-08-18,6060,6060,5880,5890,113277,-0.03125
2023-08-21,5990,6030,5850,5860,70297,-0.0050933786078098
2023-08-22,5890,5920,5800,5860,58125,0.0
2023-08-23,5820,5870,5760,5820,63548,-0.0068259385665528
2023-08-24,5840,5900,5750,5770,60244,-0.0085910652920961
2023-08-25,5740,5750,5680,5730,66408,-0.0069324090121317
2023-08-28,5790,5940,5740,5940,89426,0.0366492146596859
2023-08-29,5960,6020,5890,5970,72830,0.0050505050505049
2023-08-30,6100,7760,6060,7760,21492628,0.2998324958123952
2023-08-31,8400,8520,7680,7760,13215762,0.0
2023-09-01,8090,8220,7530,7540,5224398,-0.0283505154639175
2023-09-04,7410,7700,7260,7700,2870883,0.0212201591511935
2023-09-05,8070,8150,7480,7530,4009405,-0.022077922077922
2023-09-06,7440,8130,7400,7550,4613516,0.0026560424966799
2023-09-07,7480,7540,7120,7260,1189514,-0.0384105960264901
2023-09-08,7260,7340,7020,7340,862430,0.0110192837465563
2023-09-11,7350,7390,7050,7090,931335,-0.0340599455040872
2023-09-12,7620,7770,6880,6980,3304826,-0.0155148095909731
2023-09-13,6980,7250,6790,6790,906659,-0.0272206303724927
2023-09-14,6850,7050,6820,6970,653804,0.0265095729013253
2023-09-15,6980,7240,6890,7050,661982,0.0114777618364418
2023-09-18,6910,7210,6910,7170,488063,0.0170212765957447
2023-09-19,7140,7160,6710,6830,587734,-0.0474198047419804
2023-09-20,6850,6980,6740,6980,431219,0.0219619326500732
2023-09-21,6900,6930,6750,6750,412966,-0.0329512893982808
2023-09-22,6610,6880,6510,6710,288794,-0.0059259259259258
2023-09-25,6710,7010,6560,6600,740414,-0.0163934426229508
2023-09-26,6600,6850,6590,6590,395598,-0.0015151515151514
2023-09-27,6460,6720,6430,6650,259105,0.0091047040971168
2023-10-04,6650,6670,6280,6320,455216,-0.0496240601503759
2023-10-05,6350,6580,6200,6200,379680,-0.0189873417721518
2023-10-06,6190,6560,6190,6490,318900,0.0467741935483871
2023-10-10,6500,6590,6240,6370,279548,-0.0184899845916794
2023-10-11,6460,6630,6430,6630,215590,0.0408163265306122
2023-10-12,6700,6700,6590,6630,200564,0.0
2023-10-13,6560,6580,6350,6400,191490,-0.0346907993966817
2023-10-16,6300,6670,6270,6500,344181,0.015625
2023-10-17,6650,6780,6610,6720,388891,0.0338461538461538
2023-10-18,6670,6710,6490,6560,278347,-0.0238095238095238
2023-10-19,6450,6460,6100,6120,361406,-0.0670731707317072
2023-10-20,6020,6100,5810,5890,334404,-0.0375816993464052
2023-10-23,5830,5980,5530,5680,318213,-0.0356536502546689
2023-10-24,5690,5870,5450,5870,345213,0.033450704225352
2023-10-25,5870,6000,5780,5840,178790,-0.0051107325383304
2023-10-26,5660,5700,5510,5550,199709,-0.0496575342465753
2023-10-27,5550,5770,5530,5640,150227,0.0162162162162162
2023-10-30,5580,5730,5540,5710,87589,0.0124113475177305
2023-10-31,5730,5760,5410,5460,206293,-0.0437828371278459
2023-11-01,5560,5730,5490,5550,163487,0.0164835164835164
2023-11-02,5630,5790,5620,5760,116966,0.0378378378378378
2023-11-03,5780,5870,5670,5850,171317,0.015625
2023-11-06,5980,5980,5840,5930,252210,0.0136752136752136
2023-11-07,5880,5920,5700,5800,213420,-0.0219224283305227
2023-11-08,5830,5860,5750,5770,115020,-0.0051724137931034
2023-11-09,5770,5880,5770,5860,105003,0.0155979202772964
2023-11-10,5800,5900,5650,5880,101798,0.0034129692832765
2023-11-13,5880,5930,5640,5660,145618,-0.0374149659863946
2023-11-14,5680,5790,5680,5760,90729,0.0176678445229681
2023-11-15,5810,5960,5770,5880,276103,0.0208333333333332
2023-11-16,5930,6010,5850,5970,183471,0.0153061224489796
2023-11-17,6000,6020,5810,5820,219705,-0.0251256281407035
2023-11-20,5850,5970,5830,5910,132983,0.0154639175257731
2023-11-21,5990,6060,5930,5970,190282,0.0101522842639594
2023-11-22,5950,6060,5870,5950,137744,-0.0033500837520937
2023-11-23,5960,5970,5880,5920,130227,-0.0050420168067226
2023-11-24,5890,5960,5880,5920,72014,0.0
2023-11-27,5900,5940,5850,5890,137640,-0.0050675675675675
2023-11-28,5980,6050,5900,5930,237312,0.0067911714770798
2023-11-29,5940,5950,5780,5810,180970,-0.0202360876897133
