Date,Open,High,Low,Close,Volume,Change
2013-09-16,1160,1160,1120,1130,64348,
2013-09-17,1140,1140,1120,1130,29569,0.0
2013-09-23,1110,1130,1110,1120,46982,-0.0088495575221239
2013-09-24,1110,1130,1100,1120,39171,0.0
2013-09-25,1110,1130,1110,1120,29792,0.0
2013-09-26,1110,1140,1110,1120,25266,0.0
2013-09-27,1110,1160,1110,1150,78233,0.0267857142857141
2013-09-30,1140,1160,1130,1140,23292,-0.0086956521739129
2013-10-01,1130,1300,1120,1180,160826,0.0350877192982457
2013-10-02,1190,1240,1190,1220,57355,0.0338983050847456
2013-10-04,1210,1210,1160,1180,29720,-0.0327868852459016
2013-10-07,1170,1180,1150,1160,41914,-0.0169491525423728
2013-10-08,1150,1150,1120,1130,55972,-0.0258620689655172
2013-10-10,1130,1140,1070,1120,34634,-0.0088495575221239
2013-10-11,1130,1160,1120,1150,34080,0.0267857142857141
2013-10-14,1120,1140,1120,1120,62853,-0.026086956521739
2013-10-15,1140,1140,1110,1120,35080,0.0
2013-10-16,1120,1140,1100,1110,54216,-0.0089285714285713
2013-10-17,1150,1150,1100,1120,31603,0.0090090090090089
2013-10-18,1130,1130,1100,1110,35402,-0.0089285714285713
2013-10-21,1110,1140,1110,1110,21601,0.0
2013-10-22,1110,1150,1100,1130,62340,0.018018018018018
2013-10-23,1140,1140,1120,1120,15095,-0.0088495575221239
2013-10-24,1130,1150,1120,1130,68286,0.0089285714285713
2013-10-25,1130,1140,1110,1140,25720,0.0088495575221239
2013-10-28,1130,1140,1120,1130,21808,-0.0087719298245614
2013-10-29,1130,1130,1110,1140,34498,0.0088495575221239
2013-10-30,1130,1140,1120,1140,16948,0.0
2013-10-31,1120,1140,1120,1150,42626,0.0087719298245614
2013-11-01,1150,1160,1120,1150,30532,0.0
2013-11-04,1140,1150,1140,1150,28858,0.0
2013-11-05,1160,1160,1130,1160,33774,0.0086956521739129
2013-11-06,1150,1160,1140,1160,8669,0.0
2013-11-07,1160,1210,1130,1160,30351,0.0
2013-11-08,1180,1180,1110,1130,66173,-0.0258620689655172
2013-11-11,1130,1130,1080,1110,54606,-0.0176991150442478
2013-11-12,1110,1120,1100,1120,20291,0.0090090090090089
2013-11-13,1110,1130,1090,1090,41438,-0.0267857142857143
2013-11-14,1130,1130,1090,1110,5710,0.0183486238532109
2013-11-15,1090,1110,1090,1120,15210,0.0090090090090089
2013-11-18,1120,1120,1100,1120,29149,0.0
2013-11-19,1110,1120,1090,1120,41432,0.0
2013-11-20,1090,1110,1080,1100,41935,-0.0178571428571429
2013-11-21,1110,1110,1060,1090,47273,-0.009090909090909
2013-11-22,1080,1100,1060,1100,47969,0.0091743119266054
2013-11-25,1070,1100,1070,1100,17903,0.0
2013-11-26,1090,1100,1060,1070,44244,-0.0272727272727272
2013-11-27,1100,1100,1050,1070,28049,0.0
2013-11-28,1060,1070,1040,1060,65377,-0.0093457943925233
2013-11-29,1080,1080,1040,1060,38236,0.0
2013-12-02,1050,1050,980,1020,126895,-0.0377358490566037
2013-12-03,1030,1030,970,980,83485,-0.0392156862745097
2013-12-04,980,990,960,990,31790,0.0102040816326529
2013-12-05,980,1010,970,1010,25282,0.0202020202020201
2013-12-06,970,1000,970,1000,28576,-0.0099009900990099
2013-12-09,1000,1020,970,990,32134,-0.01
2013-12-10,970,990,970,990,12552,0.0
2013-12-11,970,980,920,950,68014,-0.0404040404040404
2013-12-12,930,950,910,930,58648,-0.0210526315789473
2013-12-13,920,930,900,920,11113,-0.010752688172043
2013-12-16,920,950,910,930,16396,0.0108695652173913
2013-12-17,930,930,920,930,10261,0.0
2013-12-18,910,950,900,940,79319,0.010752688172043
