Date,Open,High,Low,Close,Volume,Change
2013-09-16,2160,2175,2160,2170,455,
2013-09-17,2165,2170,2165,2165,1031,-0.0023041474654378
2013-09-23,2165,2175,2165,2170,680,0.0023094688221709
2013-09-24,2170,2180,2160,2170,2300,0.0
2013-09-25,2170,2170,2155,2170,1840,0.0
2013-09-26,2170,2180,2155,2170,2440,0.0
2013-09-27,2170,2180,2160,2170,4760,0.0
2013-09-30,2170,2195,2170,2180,1130,0.0046082949308756
2013-10-01,2180,2200,2175,2190,5250,0.0045871559633028
2013-10-02,2200,2200,2180,2190,520,0.0
2013-10-04,2190,2200,2180,2200,1350,0.004566210045662
2013-10-07,2200,2205,2180,2180,3130,-0.009090909090909
2013-10-08,2180,2185,2175,2175,2260,-0.0022935779816514
2013-10-10,2175,2175,2170,2175,970,0.0
2013-10-11,2185,2190,2170,2175,6330,0.0
2013-10-14,2170,2180,2170,2180,1200,0.0022988505747125
2013-10-15,2170,2180,2170,2170,2307,-0.0045871559633027
2013-10-16,2170,2170,2140,2165,4530,-0.0023041474654378
2013-10-17,2155,2165,2150,2150,2210,-0.0069284064665127
2013-10-18,2145,2165,2135,2165,2530,0.0069767441860464
2013-10-21,2165,2165,2140,2165,980,0.0
2013-10-22,2145,2160,2135,2160,2410,-0.0023094688221708
2013-10-23,2160,2160,2140,2145,390,-0.0069444444444444
2013-10-24,2145,2155,2145,2150,470,0.0023310023310023
2013-10-25,2150,2160,2150,2150,1044,0.0
2013-10-28,2150,2155,2145,2150,1500,0.0
2013-10-29,2150,2160,2135,2150,1320,0.0
2013-10-30,2150,2150,2130,2145,3323,-0.0023255813953488
2013-10-31,2145,2145,2135,2140,570,-0.0023310023310023
2013-11-01,2140,2145,2130,2140,1550,0.0
2013-11-04,2140,2170,2140,2170,2340,0.0140186915887849
2013-11-05,2140,2170,2140,2160,930,-0.0046082949308755
2013-11-06,2155,2155,2140,2140,190,-0.0092592592592593
2013-11-07,2140,2160,2135,2140,1490,0.0
2013-11-08,2135,2150,2120,2145,4730,0.0023364485981307
2013-11-11,2140,2175,2140,2145,2280,0.0
2013-11-12,2140,2155,2130,2140,1221,-0.0023310023310023
2013-11-13,2140,2160,2140,2160,851,0.0093457943925232
2013-11-14,2140,2155,2130,2150,1290,-0.0046296296296296
2013-11-15,2180,2200,2175,2190,8715,0.0186046511627906
2013-11-18,2190,2210,2190,2190,2880,0.0
2013-11-19,2190,2230,2180,2210,2372,0.0091324200913243
2013-11-20,2210,2245,2210,2245,5340,0.0158371040723981
2013-11-21,2240,2245,2215,2240,5726,-0.0022271714922048
2013-11-22,2220,2235,2210,2235,1410,-0.0022321428571429
2013-11-25,2235,2255,2220,2255,1743,0.0089485458612974
2013-11-26,2225,2255,2225,2250,1161,-0.0022172949002217
2013-11-27,2225,2250,2220,2230,1041,-0.0088888888888888
2013-11-28,2230,2240,2225,2235,1542,0.0022421524663676
2013-11-29,2235,2235,2230,2235,2240,0.0
2013-12-02,2250,2265,2235,2260,7460,0.0111856823266218
2013-12-03,2260,2260,2240,2255,3121,-0.0022123893805309
2013-12-04,2260,2270,2230,2265,5053,0.0044345898004434
2013-12-05,2265,2265,2240,2260,2423,-0.0022075055187638
2013-12-06,2260,2260,2230,2260,3512,0.0
2013-12-09,2260,2265,2245,2260,2890,0.0
2013-12-10,2250,2265,2250,2260,2430,0.0
2013-12-11,2240,2265,2240,2250,4550,-0.0044247787610619
2013-12-12,2240,2265,2240,2265,2850,0.0066666666666665
2013-12-13,2265,2265,2235,2260,1870,-0.0022075055187638
2013-12-16,2260,2260,2250,2255,1180,-0.0022123893805309
2013-12-17,2255,2260,2240,2245,1872,-0.0044345898004434
2013-12-18,2245,2255,2240,2240,1280,-0.0022271714922048
2013-12-19,2240,2245,2230,2240,4339,0.0
2013-12-20,2240,2255,2230,2245,2431,0.0022321428571427
2013-12-23,2245,2245,2235,2245,1290,0.0
2013-12-24,2245,2245,2230,2235,3141,-0.0044543429844098
2013-12-26,2235,2250,2235,2235,4275,0.0
2013-12-27,2160,2200,2160,2180,2590,-0.0246085011185682
2013-12-30,2180,2180,2140,2180,3780,0.0
2014-01-02,2150,2180,2135,2165,1054,-0.0068807339449541
2014-01-03,2180,2180,2145,2160,1284,-0.0023094688221708
2014-01-06,2145,2160,2140,2150,672,-0.0046296296296296
2014-01-07,2150,2170,2145,2170,3501,0.0093023255813953
2014-01-08,2170,2175,2155,2170,373,0.0
