Date,Open,High,Low,Close,Volume,Change
2023-04-04,12750,13050,12620,12820,597764,0.021513944223107595
2023-04-05,12820,12910,12100,12400,796081,-0.032761310452418146
2023-04-06,12400,12540,12210,12390,248034,-0.0008064516129032695
2023-04-07,12400,12440,12180,12190,302020,-0.01614205004035507
2023-04-10,12180,12200,11620,11720,458543,-0.03855619360131257
2023-04-11,11760,11950,11670,11910,214892,0.016211604095563104
2023-04-12,11910,12180,11850,12030,287255,0.010075566750629816
2023-04-13,12030,12190,11770,12190,177400,0.013300083125519446
2023-04-14,12220,12380,12100,12280,287189,0.007383100902379036
2023-04-17,12310,12530,12310,12440,284934,0.013029315960912058
2023-04-18,12570,12570,12130,12180,201654,-0.020900321543408373
2023-04-19,12270,12610,12110,12500,394750,0.026272577996715896
2023-04-20,12500,12700,12400,12470,413133,-0.0023999999999999577
2023-04-21,12450,12520,12120,12290,219066,-0.014434643143544479
2023-04-24,12310,12610,12130,12140,206122,-0.012205044751830707
2023-04-25,12160,12550,12040,12430,385482,0.023887973640856597
2023-04-26,12530,12740,12330,12470,362914,0.0032180209171359664
2023-04-27,12520,12550,12160,12250,165814,-0.017642341619887758
2023-04-28,12390,12530,12190,12230,219317,-0.0016326530612245094
2023-05-02,12260,12550,12170,12500,161631,0.022076860179885527
2023-05-03,12420,12750,12150,12190,323056,-0.024800000000000044
2023-05-04,12240,12480,12110,12160,242799,-0.0024610336341263084
2023-05-08,12230,13680,12110,13550,2329956,0.11430921052631571
2023-05-09,13800,14400,13610,13910,2211662,0.02656826568265691
2023-05-10,14160,14300,13660,13830,816744,-0.005751258087706712
2023-05-11,13830,13990,13700,13850,346532,0.001446131597975464
2023-05-12,13850,13860,13150,13250,681246,-0.04332129963898912
2023-05-15,13300,13830,13190,13590,478112,0.02566037735849047
2023-05-16,13680,13710,12970,13050,490188,-0.039735099337748325
2023-05-17,13050,13170,12860,13140,256169,0.006896551724137945
2023-05-18,13200,13350,13100,13350,209257,0.015981735159817267
2023-05-19,13370,13380,12940,13060,515143,-0.021722846441947552
2023-05-22,13110,13650,13010,13570,676805,0.03905053598774888
2023-05-23,13660,13740,13360,13490,396095,-0.005895357406042745
2023-05-24,13400,13970,13290,13720,792907,0.017049666419570064
2023-05-25,13890,13930,13400,13500,353306,-0.01603498542274051
2023-05-26,13510,13530,13250,13280,230414,-0.016296296296296253
2023-05-30,13280,13450,13090,13160,272360,-0.009036144578313254
2023-05-31,13160,13290,13020,13020,163501,-0.010638297872340385
2023-06-01,13020,13130,12900,13080,176130,0.004608294930875667
2023-06-02,13190,13320,13130,13290,205220,0.016055045871559592
2023-06-05,13360,14350,13360,14150,1466667,0.06471030850263348
2023-06-07,14140,14150,13800,14140,603768,-0.0007067137809186885
2023-06-08,14100,14360,13930,14160,477401,0.0014144271570013522
2023-06-09,14160,14350,14010,14170,369011,0.0007062146892655718
2023-06-12,14190,14290,13870,14160,317810,-0.0007057163020465218
2023-06-13,14140,14140,13790,13840,372135,-0.02259887005649719
2023-06-14,13900,14080,13660,13770,294246,-0.005057803468208055
2023-06-15,13770,13990,13620,13860,244866,0.006535947712418277
2023-06-16,14050,14800,14000,14800,1434325,0.06782106782106778
2023-06-19,14730,14890,14380,14570,517685,-0.015540540540540548
2023-06-20,14640,14930,14450,14620,529138,0.0034317089910775866
2023-06-21,14880,15140,14520,14520,747721,-0.0068399452804377425
2023-06-22,14470,14740,14300,14540,226438,0.0013774104683195176
2023-06-23,14540,14650,14250,14300,255024,-0.016506189821182904
2023-06-26,14500,14980,14360,14450,687986,0.010489510489510412
2023-06-27,14380,14780,14210,14610,326565,0.01107266435986154
2023-06-28,14700,15080,14530,14750,339143,0.00958247775496246
2023-06-29,14800,14980,14400,14630,289387,-0.008135593220338966
2023-06-30,14630,15110,14410,14990,386031,0.024606971975392966
2023-07-03,15000,15080,14580,14730,442680,-0.017344896597731863
2023-07-04,14780,15580,14730,15330,923677,0.04073319755600813
2023-07-05,15490,15860,15180,15650,736457,0.020874103065883887
2023-07-06,15660,16200,15460,15530,872427,-0.007667731629392938
2023-07-07,15610,16110,15430,16000,731518,0.030264005151320106
2023-07-10,16020,16400,15670,15810,446817,-0.011874999999999969
2023-07-11,15950,16200,15810,16170,367200,0.022770398481973375
2023-07-12,16170,17210,16030,16660,1049334,0.030303030303030276
2023-07-13,16710,16970,16450,16580,423466,-0.004801920768307322
2023-07-14,16550,16550,15980,16240,543879,-0.020506634499396825
2023-07-17,16230,16500,16020,16330,398002,0.005541871921182162
2023-07-18,16140,16480,16100,16200,317637,-0.007960808328230207
2023-07-19,16260,16870,16150,16640,481751,0.02716049382716057
2023-07-20,16680,16750,16250,16500,257931,-0.008413461538461564
2023-07-21,16300,16460,15660,15660,627253,-0.050909090909090904
2023-07-24,15500,15780,15130,15620,409542,-0.0025542784163473664
2023-07-25,15600,16220,15600,16000,505866,0.02432778489116516
2023-07-26,16160,16190,15400,15540,490484,-0.028750000000000053
2023-07-27,15560,15890,15330,15430,334555,-0.007078507078507101
2023-07-28,15350,16300,15350,16030,384981,0.03888528839922234
2023-07-31,16100,16250,15940,16040,154303,0.0006238303181533844
2023-08-01,16150,16150,15410,15610,535649,-0.02680798004987528
2023-08-02,15500,15710,14600,15070,463799,-0.034593209481101894
2023-08-03,15070,15180,14760,14930,255921,-0.00928998009289983
2023-08-04,14940,15500,14940,15210,177497,0.018754186202277312
2023-08-07,15360,15590,14960,15450,232997,0.015779092702169706
2023-08-08,15680,17180,15680,17100,2377820,0.10679611650485432
2023-08-09,17310,17450,16650,16900,987323,-0.011695906432748537
2023-08-10,16760,17210,16480,16540,488769,-0.02130177514792897
2023-08-11,16540,16620,15370,15590,1539154,-0.05743651753325274
2023-08-14,15590,15680,15240,15300,356056,-0.018601667735728022
2023-08-16,15170,15550,15060,15490,286411,0.012418300653594727
2023-08-17,15200,15320,14670,15100,349879,-0.02517753389283406
2023-08-18,14950,15010,14400,14460,362272,-0.04238410596026487
2023-08-21,14450,14690,14380,14410,149861,-0.003457814661134151
2023-08-22,14530,14530,14080,14310,356664,-0.006939625260235949
2023-08-23,14360,14450,14110,14180,156069,-0.009084556254367548
2023-08-24,14310,14440,14030,14360,231169,0.012693935119887145
2023-08-25,14360,14400,14000,14040,192551,-0.02228412256267409
2023-08-28,14110,14820,14090,14790,334970,0.05341880341880345
2023-08-29,14840,15070,14710,14950,190432,0.010818120351588911
2023-08-30,15000,15070,14800,14900,129926,-0.0033444816053511683
2023-08-31,14950,15340,14920,15270,267330,0.02483221476510078
