Date,Open,High,Low,Close,Volume,Change
2023-04-04,1120,1134,1080,1104,638493,-0.0142857142857142
2023-04-05,1124,1124,1081,1081,320652,-0.0208333333333333
2023-04-06,1072,1105,1050,1053,473700,-0.0259019426456984
2023-04-07,1090,1090,1024,1040,333658,-0.0123456790123457
2023-04-10,1040,1041,999,1028,391307,-0.0115384615384614
2023-04-11,1001,1035,998,1019,322285,-0.0087548638132295
2023-04-12,1019,1023,989,996,530665,-0.0225711481844945
2023-04-13,1003,1022,984,1020,376491,0.0240963855421687
2023-04-14,1026,1045,1004,1029,393710,0.0088235294117646
2023-04-17,1038,1038,1000,1021,299271,-0.0077745383867833
2023-04-18,1021,1031,1003,1022,250295,0.0009794319294809
2023-04-19,1010,1034,1007,1029,332565,0.0068493150684931
2023-04-20,1030,1034,980,988,605302,-0.0398445092322643
2023-04-21,1005,1018,982,994,540189,0.0060728744939271
2023-04-24,994,994,950,957,507047,-0.0372233400402414
2023-04-25,952,975,910,940,263337,-0.0177638453500522
2023-04-26,940,952,910,933,211416,-0.0074468085106382
2023-04-27,921,943,911,938,158778,0.0053590568060022
2023-04-28,938,945,893,910,231845,-0.0298507462686566
2023-05-02,901,957,901,954,394173,0.0483516483516484
2023-05-03,953,982,946,954,321793,0.0
2023-05-04,947,1039,918,1033,1482546,0.0828092243186582
2023-05-08,1054,1100,987,987,1987059,-0.0445304937076476
2023-05-09,978,987,947,967,374054,-0.0202634245187436
2023-05-10,955,960,901,939,293803,-0.0289555325749741
2023-05-11,959,963,941,947,181779,0.0085197018104365
2023-05-12,935,951,906,920,257377,-0.0285110876451953
2023-05-15,907,921,897,909,215394,-0.0119565217391304
2023-05-16,909,915,839,894,258411,-0.0165016501650164
2023-05-17,899,948,884,941,485451,0.0525727069351229
2023-05-18,950,951,932,933,224080,-0.0085015940488841
2023-05-19,1000,1212,977,1212,29433032,0.2990353697749195
2023-05-22,1212,1284,1164,1170,21933930,-0.0346534653465346
2023-05-23,1160,1193,1127,1167,4851612,-0.0025641025641025
2023-05-24,1154,1162,1110,1111,2445901,-0.0479862896315338
2023-05-25,1111,1164,1071,1105,2657830,-0.0054005400540053
2023-05-26,1131,1174,1051,1061,1669946,-0.0398190045248868
2023-05-30,1061,1077,1027,1055,917105,-0.0056550424128181
2023-05-31,1051,1064,1032,1044,432730,-0.0104265402843601
2023-06-01,1044,1053,1011,1031,407459,-0.0124521072796934
2023-06-02,1032,1083,1029,1072,842455,0.0397672162948594
2023-06-05,1077,1093,1046,1077,480812,0.0046641791044776
2023-06-07,1084,1089,1036,1039,425577,-0.0352831940575673
2023-06-08,1039,1045,1000,1018,534678,-0.0202117420596728
2023-06-09,1025,1029,1008,1014,190849,-0.0039292730844793
2023-06-12,1018,1038,1013,1020,637396,0.0059171597633136
2023-06-13,1124,1326,1100,1326,43663943,0.3
2023-06-14,1305,1306,1140,1158,12131094,-0.1266968325791855
2023-06-15,1176,1217,1145,1158,6155316,0.0
2023-06-16,1146,1430,1143,1301,29369231,0.1234887737478411
2023-06-19,1306,1394,1273,1344,12134104,0.0330514988470407
2023-06-20,1302,1304,1215,1250,3223541,-0.0699404761904761
2023-06-21,1249,1257,1197,1207,1351133,-0.0343999999999999
2023-06-22,1219,1236,1175,1195,1423828,-0.0099420049710025
2023-06-23,1194,1217,1164,1173,663810,-0.0184100418410041
2023-06-26,1154,1242,1153,1236,1794624,0.0537084398976981
2023-06-27,1250,1252,1169,1200,870169,-0.0291262135922329
2023-06-28,1212,1221,1150,1191,663164,-0.0074999999999999
2023-06-29,1181,1185,1120,1136,903486,-0.0461796809403862
2023-06-30,1147,1147,1109,1125,551429,-0.0096830985915492
2023-07-03,1126,1238,1125,1170,2190438,0.04
2023-07-04,1183,1183,1131,1143,635055,-0.0230769230769231
2023-07-05,1135,1179,1127,1127,431107,-0.0139982502187226
2023-07-06,1127,1128,1081,1100,675737,-0.0239574090505767
2023-07-07,1081,1117,1070,1114,410538,0.0127272727272726
2023-07-10,1115,1174,1090,1171,1161903,0.0511669658886893
2023-07-11,1170,1171,1102,1125,710339,-0.0392826643894107
2023-07-12,1125,1149,1113,1116,377771,-0.008
2023-07-13,1133,1156,1102,1144,624538,0.0250896057347669
2023-07-14,1144,1144,1085,1085,672114,-0.0515734265734265
2023-07-17,1099,1116,1069,1088,366701,0.0027649769585254
2023-07-18,1084,1110,1031,1032,763244,-0.0514705882352941
2023-07-19,1036,1048,1000,1019,581334,-0.0125968992248062
2023-07-20,1020,1020,1004,1013,302219,-0.0058881256133463
2023-07-21,1008,1045,1003,1014,321943,0.0009871668311944
2023-07-24,1015,1080,980,995,1254416,-0.0187376725838264
2023-07-25,1020,1021,920,984,544629,-0.0110552763819095
2023-07-26,973,984,891,925,982593,-0.0599593495934959
2023-07-27,901,959,901,937,494668,0.012972972972973
2023-07-28,1071,1174,1005,1005,12476860,0.0725720384204908
2023-07-31,1005,1030,976,1011,961546,0.0059701492537314
2023-08-01,1005,1029,991,1004,493741,-0.0069238377843718
2023-08-02,993,1014,985,1001,443316,-0.0029880478087649
2023-08-03,988,1006,960,990,446975,-0.0109890109890109
2023-08-04,985,990,960,960,461685,-0.0303030303030302
2023-08-07,954,960,928,954,315091,-0.0062499999999999
2023-08-08,953,953,929,932,221551,-0.0230607966457022
2023-08-09,932,957,918,952,275601,0.0214592274678111
2023-08-10,951,964,930,957,256636,0.0052521008403361
2023-08-11,955,1027,953,1011,644203,0.0564263322884013
2023-08-14,1028,1028,965,996,268209,-0.0148367952522254
2023-08-16,990,990,947,951,310099,-0.0451807228915662
2023-08-17,934,959,907,955,254430,0.0042060988433227
2023-08-18,948,953,930,941,155925,-0.0146596858638743
2023-08-21,941,942,924,937,138832,-0.004250797024442
2023-08-22,928,935,900,914,254382,-0.0245464247598719
2023-08-23,925,940,905,905,325119,-0.0098468271334791
2023-08-24,906,915,903,904,200946,-0.0011049723756906
2023-08-25,904,915,890,902,179559,-0.0022123893805309
2023-08-28,902,927,899,924,178358,0.024390243902439
2023-08-29,919,945,915,937,188679,0.0140692640692641
2023-08-30,930,970,929,941,328628,0.0042689434364995
2023-08-31,941,947,920,925,204674,-0.0170031880977683
2023-09-01,930,1149,920,1023,11920366,0.1059459459459459
2023-09-04,1023,1063,973,1049,2014320,0.0254154447702834
2023-09-05,1060,1182,1018,1018,3991209,-0.0295519542421354
2023-09-06,1018,1075,963,1033,1214003,0.0147347740667975
2023-09-07,1036,1036,990,996,626647,-0.0358180058083252
2023-09-08,997,1005,976,1005,339971,0.0090361445783131
2023-09-11,1000,1049,994,1008,1014204,0.0029850746268655
2023-09-12,998,1024,994,996,308811,-0.0119047619047618
2023-09-13,996,1040,970,981,692850,-0.0150602409638553
2023-09-14,991,1048,991,1004,742056,0.0234454638124363
2023-09-15,1004,1037,1004,1026,612305,0.0219123505976095
2023-09-18,1026,1086,1009,1016,399445,-0.0097465886939571
2023-09-19,1026,1026,990,998,288085,-0.0177165354330708
2023-09-20,998,1005,986,987,240468,-0.0110220440881763
2023-09-21,1002,1002,950,959,315610,-0.0283687943262411
2023-09-22,954,1000,948,957,146069,-0.0020855057351407
2023-09-25,978,979,930,932,213664,-0.0261233019853709
2023-09-26,932,945,905,915,227708,-0.0182403433476394
2023-09-27,925,941,908,936,117404,0.022950819672131
2023-10-04,950,950,911,912,221224,-0.0256410256410256
2023-10-05,915,932,910,920,174218,0.0087719298245614
2023-10-06,920,950,920,941,173180,0.0228260869565217
2023-10-10,930,939,861,869,325536,-0.0765143464399574
2023-10-11,873,907,873,893,170878,0.0276179516685846
2023-10-12,901,918,894,912,123610,0.0212765957446807
2023-10-13,912,919,880,902,183725,-0.0109649122807017
2023-10-16,885,900,876,879,110061,-0.0254988913525499
2023-10-17,880,904,879,896,77519,0.0193401592718998
2023-10-18,891,908,886,903,111040,0.0078125
2023-10-19,903,1000,876,1000,528373,0.1074197120708748
2023-10-20,958,1000,876,909,735046,-0.0909999999999999
2023-10-23,912,965,899,899,345385,-0.0110011001100109
2023-10-24,917,1056,856,930,2995352,0.0344827586206897
2023-10-25,950,950,911,912,380546,-0.0193548387096774
2023-10-26,902,910,870,880,344383,-0.0350877192982456
2023-10-27,881,891,872,880,113955,0.0
2023-10-30,882,900,880,890,118776,0.0113636363636364
2023-10-31,897,897,875,875,110057,-0.0168539325842697
2023-11-01,875,1007,873,896,1746347,0.024
2023-11-02,896,985,850,901,879001,0.0055803571428572
2023-11-03,901,918,898,905,190571,0.0044395116537181
2023-11-06,909,916,900,906,315298,0.0011049723756906
2023-11-07,906,910,890,904,139384,-0.0022075055187638
2023-11-08,894,906,894,895,83557,-0.0099557522123894
2023-11-09,899,904,882,893,114165,-0.0022346368715083
2023-11-10,899,899,874,882,102604,-0.0123180291153415
2023-11-13,889,890,872,877,122623,-0.0056689342403628
2023-11-14,877,893,877,890,101106,0.0148232611174459
2023-11-15,891,899,881,891,96013,0.0011235955056179
2023-11-16,883,896,873,891,77628,0.0
2023-11-17,886,891,881,885,76707,-0.0067340067340067
2023-11-20,880,897,875,891,88177,0.006779661016949
2023-11-21,886,895,880,892,105540,0.0011223344556678
2023-11-22,896,896,880,888,173339,-0.0044843049327354
