Date,Open,High,Low,Close,Volume,Change
2013-09-16,10654,10654,10246,10629,210,
2013-09-17,10627,10627,10522,10524,490,-0.0098786339260513
2013-09-23,10707,10707,10259,10497,373,-0.0025655644241733
2013-09-24,10128,10509,10128,10510,1062,0.0012384490806898
2013-09-25,10509,10509,10167,10313,1028,-0.0187440532825879
2013-09-26,10285,10785,10285,10445,527,0.0127993794240279
2013-09-27,10128,10733,10128,10682,1176,0.0226902824317856
2013-09-30,10890,11101,10259,10918,5308,0.0220932409661112
2013-10-01,10865,10918,10562,10826,379,-0.0084264517310862
2013-10-02,10918,10918,10364,10655,3273,-0.015795307592832
2013-10-04,10273,10654,10273,10629,1028,-0.0024401689347723
2013-10-07,10680,10865,10403,10760,39,0.0123247718505974
2013-10-08,11009,11009,10574,10878,297,0.0109665427509293
2013-10-10,10877,10877,10654,10865,513,-0.001195072623644
2013-10-11,10851,11023,10522,10892,711,0.0024850437183616
2013-10-14,10877,11048,10601,10800,1865,-0.0084465662871832
2013-10-15,10890,10890,10785,10787,1406,-0.0012037037037037
2013-10-16,10943,10943,10509,10787,1381,0.0
2013-10-17,10772,10918,10469,10918,3737,0.0121442477055715
2013-10-18,10918,10918,10772,10918,23,0.0
2013-10-21,10918,10918,10536,10629,1144,-0.0264700494596079
2013-10-22,10627,10956,10601,10958,2144,0.0309530529682942
2013-10-23,10641,11180,10641,11050,2315,0.0083956926446431
2013-10-24,10772,11009,10680,10971,1252,-0.0071493212669683
2013-10-25,10680,10930,10680,10878,1509,-0.0084768936286573
2013-10-28,10574,10865,10574,10865,1864,-0.001195072623644
2013-10-29,10549,10890,10549,10839,816,-0.0023930050621261
2013-10-30,10641,10943,10614,10760,3288,-0.0072884952486391
2013-10-31,10838,10838,10667,10734,441,-0.0024163568773234
2013-11-01,10641,10707,10614,10642,6588,-0.0085708962176261
2013-11-04,10522,10654,10522,10642,526,0.0
2013-11-05,10627,10627,10522,10603,86,-0.0036647246758128
2013-11-06,10601,10733,10390,10655,6337,0.0049042723757426
2013-11-07,10654,10654,10022,10655,4337,0.0
2013-11-08,10390,10785,10364,10524,297,-0.0122946973251993
2013-11-11,10785,10785,10338,10550,1235,0.0024705435195742
2013-11-12,10417,10601,10417,10524,3477,-0.0024644549763033
2013-11-13,10522,10522,10390,10524,257,0.0
2013-11-14,10390,10522,10180,10497,1328,-0.0025655644241733
2013-11-15,10522,10522,10326,10326,7803,-0.0162903686767648
2013-11-18,10273,10654,10193,10353,882,0.0026147588611271
2013-11-19,10351,10378,10088,10169,2216,-0.017772626291896
2013-11-20,10167,10509,9786,10129,549159,-0.0039335234536336
2013-11-21,10483,10522,10049,10261,5789,0.0130318886365881
2013-11-22,10259,10259,9996,10261,201,0.0
2013-11-25,9944,10390,9944,10287,1095,0.0025338660949225
2013-11-26,10259,10298,9996,10208,11851,-0.0076795956061047
2013-11-27,9996,10259,9996,10076,1334,-0.0129310344827586
2013-11-28,9996,10233,9996,10076,483,0.0
2013-11-29,10075,10233,9996,10129,3766,0.0052600238189757
2013-12-02,9996,10193,9982,10182,886,0.0052325007404481
2013-12-03,10180,10180,9996,10182,251,0.0
2013-12-04,9996,10233,9996,9998,5924,-0.0180711058731094
2013-12-05,10128,10128,9970,10103,2025,0.010502100420084
2013-12-06,10180,10273,9996,10169,3724,0.0065327130555281
2013-12-09,10154,10167,9944,10129,4188,-0.0039335234536336
2013-12-10,9944,10259,9864,10129,186,0.0
2013-12-11,10009,10259,9996,9998,6701,-0.0129331622075229
2013-12-12,10128,10128,9891,10129,243,0.0131026205241047
2013-12-13,10128,10128,10128,10129,15,0.0
2013-12-16,10128,10128,9930,9945,13039,-0.0181656629479711
2013-12-17,10075,10128,9825,9827,1651,-0.0118652589240824
