Date,Open,High,Low,Close,Volume,Change
2023-04-04,4460,5100,4460,4540,865115,0.0088888888888889
2023-04-05,4550,4605,4515,4590,50796,0.0110132158590308
2023-04-06,4590,4690,4530,4540,19644,-0.0108932461873638
2023-04-07,4540,4585,4525,4570,17536,0.0066079295154184
2023-04-10,4570,4620,4515,4545,36244,-0.0054704595185995
2023-04-11,4545,4625,4530,4610,35959,0.0143014301430142
2023-04-12,4600,4765,4600,4760,64708,0.0325379609544469
2023-04-13,4745,4820,4740,4790,25090,0.0063025210084033
2023-04-14,4770,4835,4735,4810,22167,0.0041753653444676
2023-04-17,4810,4840,4700,4735,23463,-0.0155925155925156
2023-04-18,4735,4735,4605,4640,43821,-0.0200633579725448
2023-04-19,4640,4805,4635,4745,37499,0.0226293103448276
2023-04-20,4750,4835,4700,4740,21787,-0.0010537407797681
2023-04-21,4740,4755,4635,4635,27088,-0.0221518987341772
2023-04-24,4650,4900,4605,4690,28211,0.011866235167206
2023-04-25,4670,4695,4610,4625,14379,-0.0138592750533048
2023-04-26,4625,4650,4560,4590,13510,-0.0075675675675676
2023-04-27,4590,4590,4510,4565,10444,-0.0054466230936819
2023-04-28,4545,4575,4525,4565,13100,0.0
2023-05-02,4565,4640,4500,4565,17007,0.0
2023-05-03,4575,4625,4575,4580,10316,0.0032858707557503
2023-05-04,4560,4645,4560,4635,8145,0.012008733624454
2023-05-08,4650,4660,4610,4640,9385,0.0010787486515642
2023-05-09,4600,4680,4600,4655,10258,0.0032327586206897
2023-05-10,4655,4705,4645,4675,7510,0.004296455424275
2023-05-11,4675,4780,4640,4745,16254,0.0149732620320854
2023-05-12,4750,4815,4650,4650,11090,-0.0200210748155953
2023-05-15,4600,4695,4600,4620,9802,-0.0064516129032258
2023-05-16,4770,4930,4600,4645,43967,0.0054112554112553
2023-05-17,4780,4930,4640,4730,58186,0.0182992465016147
2023-05-18,4735,4950,4700,4795,65583,0.0137420718816068
2023-05-19,4795,4840,4750,4750,9130,-0.0093847758081334
2023-05-22,4705,4990,4705,4780,61466,0.0063157894736842
2023-05-23,4840,4905,4795,4805,17187,0.0052301255230124
2023-05-24,4830,4865,4760,4760,8351,-0.0093652445369406
2023-05-25,4760,4860,4740,4785,12518,0.0052521008403361
2023-05-26,4785,4785,4720,4725,5553,-0.012539184952978
2023-05-30,4745,4780,4705,4730,12349,0.0010582010582009
2023-05-31,4705,5230,4700,4755,1026603,0.0052854122621563
2023-06-01,4750,4840,4710,4790,65961,0.0073606729758148
2023-06-02,4795,4930,4790,4850,35170,0.0125260960334028
