Date,Open,High,Low,Close,Volume,Change
2019-06-18,4080,4080,3910,3950,31791,-0.031862745098039214
2019-06-19,3930,3980,3900,3960,15853,0.0025316455696202667
2019-06-20,3960,4025,3870,3970,16151,0.002525252525252597
2019-06-21,3970,4025,3915,3960,14040,-0.0025188916876573986
2019-06-24,3980,4010,3940,3960,25486,0.0
2019-06-25,4060,4075,3940,4000,19382,0.010101010101010166
2019-06-26,3995,3995,3925,3925,15311,-0.018750000000000044
2019-06-27,3925,3980,3835,3860,31347,-0.016560509554140124
2019-06-28,3925,3925,3830,3840,14853,-0.005181347150259086
2019-07-01,3860,3915,3840,3860,37822,0.005208333333333259
2019-07-02,3860,3885,3810,3860,25276,0.0
2019-07-03,3970,3970,3845,3890,40398,0.007772020725388629
2019-07-04,3915,3915,3800,3870,27745,-0.005141388174807249
2019-07-05,3800,3905,3750,3905,57942,0.009043927648578753
2019-07-08,3905,3905,3680,3850,30376,-0.014084507042253502
2019-07-09,3825,3825,3680,3745,36626,-0.027272727272727226
2019-07-10,3740,3775,3720,3745,24395,0.0
2019-07-11,3790,3800,3680,3720,13498,-0.006675567423230944
2019-07-12,3690,3765,3685,3760,19861,0.010752688172043001
2019-07-15,3810,3810,3705,3785,20439,0.0066489361702126715
2019-07-16,3790,3810,3680,3740,16387,-0.011889035667106973
2019-07-17,3735,3740,3560,3620,36269,-0.03208556149732622
2019-07-18,3610,3615,3540,3580,20997,-0.011049723756906049
2019-07-19,3580,3580,3480,3575,52188,-0.0013966480446927498
2019-07-22,3575,3665,3545,3610,22250,0.009790209790209836
2019-07-23,3610,3625,3555,3605,12959,-0.0013850415512465242
2019-07-24,3610,3675,3545,3580,17745,-0.006934812760055475
2019-07-25,3575,3575,3385,3420,83628,-0.04469273743016755
2019-07-26,3420,3450,3290,3380,33504,-0.011695906432748537
2019-07-29,3350,3380,3095,3250,61270,-0.038461538461538436
2019-07-30,3165,3315,3165,3260,23013,0.003076923076922977
2019-07-31,3260,3315,3200,3235,12629,-0.0076687116564416735
2019-08-01,3220,3245,3150,3155,28796,-0.02472952086553326
2019-08-02,3095,3545,3035,3515,87358,0.11410459587955635
