Date,Open,High,Low,Close,Volume,Change
2023-04-04,48750,49300,48100,48250,11748,-0.0102564102564102
2023-04-05,48200,48650,47000,47750,10184,-0.0103626943005181
2023-04-06,47500,47500,47100,47300,7253,-0.0094240837696335
2023-04-07,47400,47650,47100,47600,7612,0.0063424947145878
2023-04-10,47650,48200,47500,47750,10428,0.0031512605042016
2023-04-11,47800,48000,47550,47700,6990,-0.0010471204188481
2023-04-12,48000,48700,47600,48400,13442,0.0146750524109013
2023-04-13,48200,48400,47650,48400,13069,0.0
2023-04-14,48400,48450,47500,47850,23557,-0.0113636363636363
2023-04-17,47500,48350,47400,48350,9691,0.0104493207941482
2023-04-18,48350,48750,47800,48150,15961,-0.0041365046535677
2023-04-19,48150,49200,48050,49200,16631,0.0218068535825544
2023-04-20,49200,49750,48700,49000,11904,-0.0040650406504064
2023-04-21,48850,49000,48150,48700,10942,-0.0061224489795917
2023-04-24,48600,49150,48000,48450,12450,-0.0051334702258727
2023-04-25,48200,48700,47600,47700,10923,-0.0154798761609906
2023-04-26,47500,47950,47250,47750,5725,0.00104821802935
2023-04-27,47500,47750,47200,47650,4888,-0.0020942408376963
2023-04-28,48100,48100,47400,47600,2988,-0.0010493179433368
2023-05-02,47600,48450,47600,48050,4135,0.009453781512605
2023-05-03,48050,48950,47850,48400,7654,0.0072840790842871
2023-05-04,48400,49000,48250,48800,6759,0.0082644628099173
2023-05-08,48800,49250,48600,48800,7052,0.0
2023-05-09,48800,49900,48750,49600,15188,0.0163934426229508
2023-05-10,49550,49750,49200,49500,10846,-0.0020161290322581
2023-05-11,49500,50100,49400,50000,12577,0.0101010101010101
2023-05-12,50000,50300,49000,49900,11543,-0.002
2023-05-15,50200,50500,49300,50500,11978,0.0120240480961923
2023-05-16,50900,50900,49800,50100,16825,-0.0079207920792079
2023-05-17,49800,50200,49800,49900,5261,-0.0039920159680638
2023-05-18,50300,51300,50100,50800,29591,0.0180360721442884
2023-05-19,51300,52700,50900,52300,38148,0.029527559055118
2023-05-22,52700,52800,51900,52300,22428,0.0
2023-05-23,52500,53000,52100,52800,16675,0.0095602294455066
2023-05-24,52800,53000,52000,52600,11486,-0.0037878787878787
2023-05-25,52800,52800,52100,52500,7569,-0.0019011406844106
2023-05-26,52500,52700,51100,51200,11113,-0.0247619047619047
2023-05-30,51500,51500,50000,50700,13258,-0.009765625
2023-05-31,50900,51000,50100,50600,10239,-0.0019723865877712
