Date,Open,High,Low,Close,Volume,Change
2023-04-04,3645,4270,3570,3700,67204644,0.0437235543018335
2023-04-05,3615,3640,3455,3470,12421131,-0.06216216216216219
2023-04-06,3450,3450,3295,3350,11139703,-0.03458213256484155
2023-04-07,3380,3415,3230,3275,7843987,-0.02238805970149249
2023-04-10,3280,3515,3210,3315,19764923,0.012213740458015376
2023-04-11,3315,3330,3050,3215,11176306,-0.0301659125188537
2023-04-12,3380,3640,3255,3275,40425518,0.018662519440124425
2023-04-13,3330,3365,3110,3140,8181137,-0.04122137404580151
2023-04-14,3180,3490,3170,3455,37572752,0.10031847133757954
2023-04-17,3480,3680,3385,3400,28866648,-0.01591895803183796
2023-04-18,3425,3985,3330,3945,86319248,0.16029411764705892
2023-04-19,4000,4185,3865,4050,41396279,0.026615969581748944
2023-04-20,3925,4035,3640,3650,15359422,-0.09876543209876543
2023-04-21,3620,3725,3450,3520,10161924,-0.03561643835616435
2023-04-24,3495,3560,3345,3360,7375726,-0.045454545454545414
2023-04-25,3335,3365,3135,3240,7601469,-0.0357142857142857
2023-04-26,3205,3260,3085,3100,5551950,-0.043209876543209846
2023-04-27,3075,3230,3010,3190,6314032,0.029032258064516148
2023-04-28,3250,3255,2980,3010,5564664,-0.056426332288401215
2023-05-02,3010,3155,3010,3115,3763540,0.03488372093023262
2023-05-03,3085,3160,3030,3070,2917395,-0.014446227929374
2023-05-04,3065,3160,2925,2935,5063669,-0.043973941368078195
2023-05-08,2975,3025,2865,2870,2818788,-0.022146507666098825
2023-05-09,2860,2875,2730,2810,4928840,-0.020905923344947785
2023-05-10,2785,2850,2730,2735,2869778,-0.026690391459074703
2023-05-11,2770,2900,2700,2735,6886825,0.0
2023-05-12,2750,2860,2730,2770,4947554,0.01279707495429605
2023-05-15,2775,2790,2635,2700,3182425,-0.02527075812274371
2023-05-16,2700,2720,2595,2645,3568444,-0.020370370370370372
2023-05-17,2635,2670,2615,2665,2463501,0.007561436672967936
2023-05-18,2685,2730,2680,2705,2024816,0.015009380863039379
2023-05-19,2725,2730,2585,2600,3187611,-0.038817005545286554
2023-05-22,2610,2685,2560,2670,2421353,0.026923076923076827
2023-05-23,2690,2820,2675,2770,4523329,0.03745318352059934
2023-05-24,2765,2800,2745,2770,2092160,0.0
2023-05-25,2870,2950,2705,2710,6753599,-0.02166064981949456
2023-05-26,2710,2735,2640,2655,1692319,-0.020295202952029467
2023-05-30,2670,2675,2585,2640,1882814,-0.005649717514124242
2023-05-31,2640,2760,2630,2760,2865704,0.045454545454545414
2023-06-01,2890,2900,2760,2760,5606578,0.0
2023-06-02,2760,2800,2710,2760,1725751,0.0
2023-06-05,2780,2845,2780,2815,2767625,0.019927536231884035
2023-06-07,2805,2835,2795,2815,1739715,0.0
2023-06-08,2800,2845,2745,2780,1860102,-0.01243339253996445
2023-06-09,2815,2820,2760,2780,1548028,0.0
2023-06-12,2770,3000,2765,2965,20406117,0.06654676258992809
2023-06-13,3085,3185,2980,3060,19999662,0.03204047217537953
