Date,Open,High,Low,Close,Volume,Change
2013-09-16,69237,69425,68672,69334,8531,
2013-09-17,69802,69802,68955,69523,10038,0.0027259353275448
2013-09-23,70083,71212,69425,71217,20588,0.0243660371387886
2013-09-24,71496,71496,70083,70652,9459,-0.0079334990241094
2013-09-25,70554,71212,70178,71027,5146,0.0053077053728132
2013-09-26,71119,71776,70742,71781,9485,0.0106156813606093
2013-09-27,72436,72529,71212,72250,13567,0.0065337624162382
2013-09-30,71496,71682,70648,71121,4991,-0.0156262975778547
2013-10-01,70648,70836,69613,69617,9799,-0.0211470592370748
2013-10-02,70366,70366,69143,69523,7305,-0.001350244911444
2013-10-04,69802,69896,68390,68770,4699,-0.0108309480315866
2013-10-07,68766,69237,68484,69147,1615,0.0054820415879017
2013-10-08,68577,68672,67920,68204,3862,-0.0136376126223841
2013-10-10,68204,68577,67638,68204,1877,0.0
2013-10-11,68204,69425,67542,69428,8540,0.0179461615154536
2013-10-14,69425,71496,68672,70840,9414,0.0203376159474564
2013-10-15,71026,71026,69707,70464,7536,-0.0053077357425183
2013-10-16,69989,70459,69613,70088,6743,-0.0053360581289736
2013-10-17,70083,72060,69802,71498,14867,0.0201175664878439
2013-10-18,71589,71682,71212,71404,8564,-0.0013147220901283
2013-10-21,71496,72436,70459,70933,7338,-0.006596269116576
2013-10-22,70459,71966,70366,71875,11010,0.0132801375946316
2013-10-23,71871,71966,70648,70652,8171,-0.0170156521739131
2013-10-24,71026,71682,69707,71687,12413,0.0146492668289643
2013-10-25,71682,71682,69989,70088,7782,-0.0223052994266742
2013-10-28,70648,70648,69707,69994,7044,-0.0013411710991896
2013-10-29,69989,70554,69237,69994,14160,0.0
2013-10-30,69989,69989,68955,69240,4155,-0.0107723519158785
2013-10-31,69896,70459,69142,70464,6159,0.0176776429809357
2013-11-01,69707,70178,69332,69805,4989,-0.0093522933696639
2013-11-04,69896,69989,68766,69710,6581,-0.0013609340305136
2013-11-05,69707,69802,68955,69617,4333,-0.0013340984076889
2013-11-06,68955,69613,68766,68770,8473,-0.0121665685105649
2013-11-07,68862,69708,68577,69523,4049,0.0109495419514322
2013-11-08,68766,70178,68672,70181,7724,0.0094644937646535
2013-11-11,70083,70648,69425,69899,4711,-0.0040181815591114
2013-11-12,69519,69707,68672,68863,11994,-0.0148213851414182
2013-11-13,68577,69425,68390,68677,3884,-0.0027010150588849
2013-11-14,68297,68766,68204,68677,9295,0.0
2013-11-15,68672,68862,67827,68298,10724,-0.005518587008751
2013-11-18,68297,69143,68204,69147,5333,0.0124308178863217
2013-11-19,69332,69332,68390,69052,7312,-0.0013738846226155
2013-11-20,69896,71026,69613,69899,15011,0.0122661182876673
2013-11-21,69425,69989,68577,68863,13852,-0.0148213851414182
2013-11-22,68955,69425,68390,69334,10367,0.006839667165241
2013-11-25,69425,69896,69048,69617,11303,0.0040816915221968
2013-11-26,69613,69613,68297,69523,11714,-0.001350244911444
2013-11-27,69613,69707,68577,68958,9818,-0.0081268069559714
2013-11-28,69425,69425,68297,68298,41796,-0.0095710432437136
2013-11-29,68672,68766,67355,67734,21440,-0.0082579284898532
2013-12-02,68204,69143,67355,67360,17158,-0.0055215991968583
2013-12-03,67449,68014,66792,67734,12656,0.0055522565320664
2013-12-04,67638,67827,66509,66982,12257,-0.0111022529305814
2013-12-05,66603,67638,66603,66982,10164,0.0
2013-12-06,67449,67827,66696,66982,9886,0.0
2013-12-09,67542,68014,66979,67734,7294,0.0112268967782389
2013-12-10,68014,68014,67073,67829,6524,0.0014025452505388
2013-12-11,67920,68577,67733,68393,10897,0.008315027495614
2013-12-12,68390,69613,67827,69428,15062,0.0151331276592634
2013-12-13,68672,69519,68014,69334,12433,-0.0013539206084001
2013-12-16,69332,70178,68484,69899,10584,0.0081489601061528
2013-12-17,70742,70742,69613,70369,10311,0.0067239874676319
2013-12-18,70648,71026,70178,70840,14646,0.0066932882377184
2013-12-19,71026,71026,69519,69899,16033,-0.0132834556747599
2013-12-20,69332,70272,69332,69710,5618,-0.0027039013433668
2013-12-23,70366,70366,69332,70275,9878,0.0081050064553149
2013-12-24,70178,70554,69896,70558,5975,0.0040270366417645
2013-12-26,70178,70742,70178,70558,9954,0.0
2013-12-27,69700,72359,69415,71887,20976,0.0188355679015845
2013-12-30,71788,71788,70270,71126,20478,-0.0105860586754211
2014-01-02,71031,71600,70459,71223,11076,0.0013637769591992
2014-01-03,71219,71600,70649,71126,10987,-0.001361919604622
2014-01-06,71505,71505,70649,71126,9678,0.0
2014-01-07,70934,71314,70459,71032,6729,-0.0013215982903579
2014-01-08,71505,71505,70459,71318,6828,0.00402635431918
2014-01-09,71031,71125,67517,69988,7033,-0.0186488684483581
2014-01-10,70175,71694,68181,71698,8784,0.0244327599016973
2014-01-13,71125,71219,70365,70367,5010,-0.0185639766799631
2014-01-14,70270,70459,69604,70272,6257,-0.0013500646609916
2014-01-15,70270,70554,68940,70463,8859,0.0027180100182149
2014-01-16,70459,70649,68940,69892,14609,-0.0081035437037878
2014-01-17,69890,70554,68751,69323,8281,-0.0081411320322783
2014-01-20,69320,69415,67706,67708,8238,-0.0232967413412575
2014-01-21,67894,68181,67136,67234,9804,-0.0070006498493531
