Date,Open,High,Low,Close,Volume,Change
2023-04-04,7400,7510,7120,7230,355320,-0.0256064690026953
2023-04-05,7230,7250,7010,7110,293796,-0.016597510373444
2023-04-06,7050,7190,6890,6890,315394,-0.0309423347398031
2023-04-07,6970,7290,6960,7180,256988,0.042089985486212
2023-04-10,7180,7270,6950,7020,231158,-0.022284122562674
2023-04-11,7050,7170,6890,7130,160302,0.0156695156695156
2023-04-12,7130,7470,7080,7350,577807,0.0308555399719494
2023-04-13,7350,7470,7120,7410,294019,0.0081632653061225
2023-04-14,7400,7490,7140,7300,293385,-0.0148448043184885
2023-04-17,7290,7400,7200,7260,142081,-0.0054794520547944
2023-04-18,7290,7300,7000,7080,217695,-0.024793388429752
2023-04-19,7080,7240,7080,7200,226284,0.0169491525423728
2023-04-20,7200,7200,6940,7030,214983,-0.0236111111111111
2023-04-21,6960,7030,6810,6880,118639,-0.0213371266002845
2023-04-24,6880,6930,6770,6790,106292,-0.0130813953488372
2023-04-25,6830,6910,6650,6720,124098,-0.0103092783505154
2023-04-26,6690,6850,6580,6750,125051,0.0044642857142858
2023-04-27,6720,6740,6560,6670,136436,-0.0118518518518518
2023-04-28,6700,6720,6410,6530,133008,-0.0209895052473763
2023-05-02,6500,6740,6500,6650,115262,0.0183767228177642
2023-05-03,6650,6740,6530,6540,87806,-0.0165413533834586
2023-05-04,6540,6620,6460,6590,78350,0.0076452599388379
2023-05-08,6730,6730,6600,6630,75433,0.0060698027314112
2023-05-09,6670,6670,6490,6600,68968,-0.004524886877828
2023-05-10,6570,6710,6530,6640,118862,0.0060606060606061
2023-05-11,6650,6750,6600,6630,76307,-0.0015060240963855
2023-05-12,6640,6670,6540,6600,60205,-0.004524886877828
2023-05-15,6550,6720,6490,6680,128565,0.0121212121212122
2023-05-16,6850,7260,6730,7140,662799,0.0688622754491017
2023-05-17,7210,7220,7030,7100,335177,-0.0056022408963585
2023-05-18,7130,7160,6930,7070,194330,-0.004225352112676
2023-05-19,7050,7190,6950,7140,218506,0.0099009900990099
2023-05-22,7110,7220,7050,7050,142361,-0.0126050420168066
2023-05-23,7050,7130,6980,6980,181118,-0.0099290780141844
2023-05-24,6980,7140,6890,7100,170724,0.0171919770773638
2023-05-25,7100,7100,6910,6980,140596,-0.0169014084507042
2023-05-26,7030,7030,6730,6730,295641,-0.0358166189111748
2023-05-30,6810,6810,6650,6750,146526,0.0029717682020802
2023-05-31,6750,6880,6620,6700,133837,-0.0074074074074074
2023-06-01,6700,6790,6640,6780,136336,0.0119402985074625
2023-06-02,6800,6830,6660,6770,171711,-0.0014749262536872
2023-06-05,6820,6960,6730,6920,210843,0.0221565731166912
2023-06-07,6970,7040,6770,6830,142006,-0.0130057803468207
2023-06-08,6830,6890,6800,6850,95180,0.0029282576866764
2023-06-09,6850,7030,6810,7010,183460,0.0233576642335766
2023-06-12,7060,7090,6910,7000,163636,-0.0014265335235378
2023-06-13,7050,7050,6870,6900,179013,-0.0142857142857142
2023-06-14,6960,6960,6670,6700,254465,-0.0289855072463768
2023-06-15,6750,6810,6630,6800,137359,0.0149253731343284
2023-06-16,6760,7100,6760,6990,284576,0.0279411764705881
2023-06-19,7020,7040,6920,7000,102577,0.0014306151645206
2023-06-20,6990,7040,6920,7020,146881,0.0028571428571428
2023-06-21,7020,7140,6810,6870,334822,-0.0213675213675214
2023-06-22,6830,6900,6750,6870,131416,0.0
2023-06-23,6880,6920,6700,6730,193461,-0.0203784570596797
2023-06-26,6750,6780,6660,6730,70175,0.0
2023-06-27,6680,6750,6570,6640,179069,-0.013372956909361
2023-06-28,6650,6720,6610,6660,83320,0.0030120481927711
2023-06-29,6660,6740,6600,6640,90215,-0.003003003003003
2023-06-30,6640,6680,6560,6580,72407,-0.0090361445783132
2023-07-03,6610,6680,6580,6650,148490,0.0106382978723404
