Date,Open,High,Low,Close,Volume,Change
2023-04-04,2565,2595,2550,2560,15616,-0.0019493177387914
2023-04-05,2560,2600,2550,2575,25982,0.005859375
2023-04-06,2600,2625,2570,2615,25694,0.0155339805825243
2023-04-07,2615,2625,2590,2625,16742,0.0038240917782026
2023-04-10,2615,2615,2555,2585,34722,-0.0152380952380952
2023-04-11,2585,2725,2555,2655,43496,0.0270793036750482
2023-04-12,2695,2740,2660,2670,24586,0.0056497175141243
2023-04-13,2690,2725,2650,2685,14156,0.0056179775280897
2023-04-14,2685,2740,2615,2630,46940,-0.0204841713221601
2023-04-17,2635,3230,2585,2825,2315246,0.0741444866920151
2023-04-18,2885,2975,2785,2810,514592,-0.0053097345132743
2023-04-19,2765,2780,2705,2740,139208,-0.0249110320284697
2023-04-20,2700,2720,2655,2660,101902,-0.0291970802919707
2023-04-21,2635,2665,2590,2620,94580,-0.0150375939849624
2023-04-24,2620,2620,2575,2585,52398,-0.0133587786259542
2023-04-25,2585,2710,2570,2675,54470,0.0348162475822051
2023-04-26,2640,2755,2635,2710,35962,0.0130841121495326
2023-04-27,2670,2730,2665,2725,38316,0.0055350553505535
2023-04-28,2735,2785,2655,2665,30032,-0.0220183486238532
2023-05-02,2665,2750,2640,2685,31250,0.0075046904315196
2023-05-03,2655,2725,2650,2655,16128,-0.0111731843575418
2023-05-04,2640,2710,2635,2700,20134,0.0169491525423728
2023-05-08,2685,2740,2675,2735,17100,0.012962962962963
2023-05-09,2745,2745,2675,2730,12764,-0.0018281535648994
2023-05-10,2720,2720,2675,2700,14202,-0.0109890109890109
2023-05-11,2700,2730,2670,2710,30762,0.0037037037037037
2023-05-12,2710,2835,2705,2805,48148,0.0350553505535056
2023-05-15,2805,2805,2725,2755,36240,-0.017825311942959
2023-05-16,2745,2755,2640,2640,40290,-0.0417422867513611
2023-05-17,2695,2700,2635,2690,9376,0.018939393939394
2023-05-18,2700,2725,2655,2685,13846,-0.0018587360594795
2023-05-19,2725,2725,2690,2720,11326,0.0130353817504655
2023-05-22,2725,2745,2690,2710,7864,-0.0036764705882352
2023-05-23,2710,2710,2690,2710,4288,0.0
2023-05-24,2705,2705,2650,2680,15446,-0.0110701107011069
2023-05-25,2660,2685,2645,2655,10352,-0.0093283582089552
2023-05-26,2660,2690,2600,2630,18032,-0.0094161958568738
2023-05-30,2630,2640,2575,2640,23472,0.0038022813688212
2023-05-31,2620,2660,2615,2650,9022,0.0037878787878788
2023-06-01,2645,2660,2625,2650,7994,0.0
2023-06-02,2650,2660,2620,2660,7908,0.0037735849056603
2023-06-05,2660,2685,2655,2680,8814,0.0075187969924812
2023-06-07,2660,2690,2660,2690,7774,0.0037313432835821
2023-06-08,2700,2700,2645,2680,20174,-0.0037174721189591
2023-06-09,2700,2700,2665,2695,8760,0.0055970149253732
2023-06-12,2695,2725,2650,2705,17494,0.0037105751391466
2023-06-13,2725,2735,2680,2695,23694,-0.0036968576709797
2023-06-14,2690,2725,2685,2700,24568,0.0018552875695732
2023-06-15,2685,2700,2655,2690,20170,-0.0037037037037036
2023-06-16,2710,2710,2605,2620,48908,-0.0260223048327137
2023-06-19,2685,2685,2620,2650,9736,0.0114503816793893
2023-06-20,2645,2645,2605,2635,8132,-0.0056603773584905
2023-06-21,2625,2625,2565,2565,37604,-0.0265654648956357
2023-06-22,2560,2590,2535,2585,23614,0.0077972709551656
2023-06-23,2580,2585,2550,2585,6340,0.0
2023-06-26,2580,2620,2565,2620,11014,0.0135396518375241
2023-06-27,2620,2625,2600,2605,19682,-0.0057251908396946
2023-06-28,2605,2625,2595,2620,13878,0.0057581573896352
2023-06-29,2615,2625,2605,2625,17008,0.0019083969465649
2023-06-30,2615,2695,2615,2690,18442,0.0247619047619047
2023-07-03,2690,2705,2655,2700,23892,0.003717472118959
2023-07-04,2710,2710,2675,2685,14434,-0.0055555555555555
2023-07-05,2690,2765,2685,2715,46790,0.0111731843575419
2023-07-06,2715,2725,2675,2680,25438,-0.012891344383057
2023-07-07,2670,2670,2645,2650,11972,-0.0111940298507462
2023-07-10,2640,2655,2640,2655,8276,0.0018867924528302
2023-07-11,2640,2655,2610,2620,12230,-0.0131826741996233
2023-07-12,2645,2645,2590,2590,8396,-0.0114503816793892
2023-07-13,2590,2605,2585,2600,7086,0.0038610038610038
2023-07-14,2600,2620,2570,2600,12898,0.0
2023-07-17,2590,2590,2565,2585,24430,-0.0057692307692307
2023-07-18,2590,2590,2540,2540,13674,-0.0174081237911025
2023-07-19,2525,2540,2525,2525,11384,-0.0059055118110236
2023-07-20,2530,2625,2505,2600,24954,0.0297029702970297
2023-07-21,2595,2680,2570,2650,33940,0.0192307692307691
2023-07-24,2650,2650,2505,2525,21298,-0.0471698113207547
2023-07-25,2520,2555,2495,2530,26238,0.0019801980198019
2023-07-26,2525,2540,2340,2425,104774,-0.0415019762845849
2023-07-27,2399,2569,2399,2472,24582,0.0193814432989691
2023-07-28,2450,2575,2445,2520,16078,0.0194174757281553
2023-07-31,2520,2550,2487,2500,11000,-0.0079365079365079
2023-08-01,2500,2525,2482,2515,7438,0.006
2023-08-02,2514,2524,2489,2492,16868,-0.009145129224652
2023-08-03,2492,2550,2405,2480,28420,-0.0048154093097912
2023-08-04,2449,2477,2447,2477,13990,-0.0012096774193548
2023-08-07,2499,2499,2429,2437,4372,-0.0161485668146952
2023-08-08,2436,2439,2402,2407,23490,-0.0123102174805088
2023-08-09,2414,2429,2402,2427,10488,0.0083090984628166
2023-08-10,2432,2445,2412,2445,7142,0.0074165636588381
2023-08-11,2445,2465,2440,2455,13112,0.0040899795501021
2023-08-14,2455,2457,2425,2425,9846,-0.0122199592668024
2023-08-16,2419,2419,2389,2392,26568,-0.0136082474226804
2023-08-17,2387,2387,2354,2387,21782,-0.0020903010033445
2023-08-18,2340,2360,2325,2360,12526,-0.0113112693757855
2023-08-21,2352,2400,2352,2385,19242,0.0105932203389831
