Date,Open,High,Low,Close,Volume,Change
2023-04-04,2735,2775,2730,2770,192853,0.012797074954296
2023-04-05,2760,2800,2740,2795,200292,0.0090252707581226
2023-04-06,2775,2790,2735,2755,151350,-0.0143112701252235
2023-04-07,2740,2780,2740,2755,72682,0.0
2023-04-10,2755,2755,2685,2720,223749,-0.012704174228675
2023-04-11,2730,2790,2720,2770,273772,0.0183823529411764
2023-04-12,2810,2815,2770,2785,150299,0.0054151624548737
2023-04-13,2755,2815,2755,2810,98087,0.0089766606822261
2023-04-14,2810,2860,2790,2845,282919,0.0124555160142347
2023-04-17,2870,2870,2825,2865,175750,0.0070298769771528
2023-04-18,2890,2890,2795,2820,171999,-0.0157068062827224
2023-04-19,2825,2840,2760,2785,480645,-0.0124113475177305
2023-04-20,2785,2795,2705,2735,214123,-0.0179533213644523
2023-04-21,2710,2730,2670,2670,162613,-0.0237659963436929
2023-04-24,2670,2700,2620,2630,144410,-0.0149812734082397
2023-04-25,2630,2640,2580,2595,168157,-0.0133079847908744
2023-04-26,2590,2640,2585,2630,86016,0.0134874759152214
2023-04-27,2625,2635,2580,2620,82812,-0.0038022813688213
2023-04-28,2645,2670,2600,2620,108183,0.0
2023-05-02,2620,2670,2610,2660,99998,0.0152671755725191
2023-05-03,2650,2695,2645,2675,86741,0.0056390977443609
2023-05-04,2665,2670,2635,2655,66034,-0.0074766355140186
2023-05-08,2675,2685,2645,2675,98170,0.0075329566854991
2023-05-09,2670,2675,2605,2630,69051,-0.016822429906542
2023-05-10,2610,2650,2610,2625,48039,-0.0019011406844106
2023-05-11,2625,2650,2600,2625,84886,0.0
2023-05-12,2625,2650,2590,2600,43867,-0.0095238095238094
2023-05-15,2605,2605,2565,2600,104438,0.0
2023-05-16,2555,2600,2545,2545,90969,-0.0211538461538461
2023-05-17,2545,2590,2530,2580,67115,0.0137524557956778
2023-05-18,2550,2705,2550,2615,59140,0.0135658914728682
2023-05-19,2615,2625,2560,2585,150784,-0.011472275334608
2023-05-22,2585,2590,2565,2580,59673,-0.0019342359767892
2023-05-23,2580,2600,2560,2580,61884,0.0
2023-05-24,2580,2585,2560,2575,53246,-0.001937984496124
2023-05-25,2575,2575,2550,2550,70264,-0.0097087378640776
2023-05-26,2550,2615,2525,2555,164710,0.0019607843137254
2023-05-30,2570,2570,2535,2545,52427,-0.0039138943248532
2023-05-31,2560,2560,2540,2540,42313,-0.0019646365422396
2023-06-01,2540,2540,2515,2535,71152,-0.0019685039370078
2023-06-02,2535,2580,2520,2535,35799,0.0
2023-06-05,2535,2565,2535,2545,48186,0.0039447731755424
2023-06-07,2515,2555,2505,2535,144900,-0.0039292730844793
2023-06-08,2530,2540,2500,2535,62821,0.0
2023-06-09,2580,2580,2520,2535,49474,0.0
2023-06-12,2570,2570,2490,2505,164491,-0.0118343195266271
2023-06-13,2510,2510,2470,2490,117794,-0.0059880239520958
2023-06-14,2530,2530,2460,2490,80369,0.0
2023-06-15,2490,2510,2465,2500,55783,0.0040160642570281
2023-06-16,2480,2510,2480,2495,35674,-0.002
2023-06-19,2480,2500,2475,2485,70999,-0.0040080160320641
2023-06-20,2475,2505,2465,2490,57474,0.0020120724346075
2023-06-21,2510,2525,2485,2485,102071,-0.002008032128514
2023-06-22,2610,2700,2505,2535,808384,0.0201207243460763
2023-06-23,2530,2535,2490,2500,73222,-0.0138067061143983
2023-06-26,2505,2510,2470,2480,89731,-0.008
2023-06-27,2455,2485,2455,2480,64411,0.0
2023-06-28,2485,2495,2465,2480,55143,0.0
2023-06-29,2470,2490,2465,2475,44501,-0.0020161290322581
2023-06-30,2500,2500,2465,2475,54225,0.0
2023-07-03,2475,2500,2470,2495,70686,0.0080808080808081
2023-07-04,2505,2515,2475,2490,70813,-0.002004008016032
2023-07-05,2480,2500,2450,2475,112547,-0.0060240963855421
2023-07-06,2455,2455,2400,2410,127258,-0.0262626262626262
2023-07-07,2405,2410,2330,2335,99505,-0.0311203319502074
2023-07-10,2325,2345,2300,2335,71406,0.0
2023-07-11,2330,2355,2325,2345,65283,0.0042826552462527
2023-07-12,2355,2355,2290,2310,110177,-0.0149253731343284
2023-07-13,2315,2400,2315,2350,126677,0.0173160173160173
2023-07-14,2440,2450,2365,2390,154202,0.0170212765957447
2023-07-17,2375,2405,2335,2335,73269,-0.0230125523012552
2023-07-18,2320,2350,2255,2290,130305,-0.019271948608137
