Date,Open,High,Low,Close,Volume,Change
2013-09-16,9291,9340,9173,9262,558086,
2013-09-17,9271,9379,9153,9301,636217,0.0042107536169293
2013-09-23,9399,9625,9389,9478,1779267,0.0190302118051821
2013-09-24,9438,9644,9369,9517,1365898,0.0041147921502426
2013-09-25,9723,10066,9674,9871,4841780,0.0371965955658295
2013-09-26,9870,9968,9654,9664,2031091,-0.0209705197041839
2013-09-27,9733,10017,9693,9871,1824302,0.021419701986755
2013-09-30,9821,9870,9566,9605,1417610,-0.0269476243541687
2013-10-01,9575,10017,9497,9684,2096702,0.0082248828735034
2013-10-02,9772,9919,9654,9704,1143652,0.0020652622883106
2013-10-04,9634,9801,9467,9576,960066,-0.0131904369332234
2013-10-07,9644,9762,9536,9537,724144,-0.0040726817042606
2013-10-08,9477,9546,9261,9340,1340011,-0.0206563908986053
2013-10-10,9379,9448,9153,9242,1276558,-0.010492505353319
2013-10-11,9320,9389,9143,9193,1419625,-0.0053018827093702
2013-10-14,9271,9320,9075,9085,1161011,-0.011748069183074
2013-10-15,9143,9300,9124,9301,1102353,0.0237754540451293
2013-10-16,9300,9379,9124,9163,1015575,-0.0148371142887862
2013-10-17,9310,9310,8672,8741,2033919,-0.0460547855505838
2013-10-18,8652,9035,8436,9026,1586858,0.032604965106967
2013-10-21,9104,9192,9025,9036,1038470,0.0011079104808331
2013-10-22,9016,9074,8839,8888,868718,-0.0163789287295262
2013-10-23,8819,9025,8691,8692,1040345,-0.022052205220522
2013-10-24,8750,8976,8701,8947,652743,0.0293373216751036
2013-10-25,9133,9163,8976,8977,1122521,0.0033530792444393
2013-10-28,8986,9055,8898,8957,446167,-0.0022279157847833
2013-10-29,8986,9065,8888,8898,584270,-0.0065870269063302
2013-10-30,8878,9133,8858,9016,1164068,0.0132614070577656
2013-10-31,8033,8240,7886,8044,6116943,-0.1078083407275953
2013-11-01,8132,8377,8033,8319,2444293,0.0341869716558926
2013-11-04,8367,8377,8210,8221,911224,-0.0117802620507272
2013-11-05,8259,8279,8092,8191,718831,-0.0036491910959737
2013-11-06,8191,8299,8151,8162,601953,-0.0035404712489317
2013-11-07,8181,8220,8083,8122,570318,-0.0049007596177407
2013-11-08,8083,8200,7916,8014,951574,-0.0132972174341294
2013-11-11,8043,8171,7955,7965,774757,-0.0061142999750436
2013-11-12,7965,8387,7965,8358,1311441,0.0493408662900187
2013-11-13,8397,8397,8210,8260,647812,-0.0117252931323282
2013-11-14,8151,8259,8004,8250,958656,-0.0012106537530266
2013-11-15,8310,8350,8080,8150,691124,-0.012121212121212
2013-11-18,8200,8230,8070,8070,360613,-0.0098159509202454
2013-11-19,8020,8140,7350,7420,2671096,-0.080545229244114
2013-11-20,7510,7640,7490,7520,868545,0.0134770889487869
2013-11-21,7670,8050,7550,8010,1522427,0.065159574468085
2013-11-22,8020,8040,7830,7890,656790,-0.0149812734082397
2013-11-25,7910,7990,7820,7860,350664,-0.0038022813688213
2013-11-26,7930,7940,7830,7890,342560,0.0038167938931297
2013-11-27,7910,7920,7810,7910,314466,0.0025348542458809
2013-11-28,7920,7960,7840,7840,387545,-0.0088495575221239
2013-11-29,7830,8000,7800,8000,499860,0.0204081632653061
2013-12-02,8060,8080,7920,7920,452962,-0.01
2013-12-03,7940,8150,7940,8040,823411,0.0151515151515151
2013-12-04,8100,8110,8010,8020,420795,-0.0024875621890547
2013-12-05,8020,8110,7800,7820,761381,-0.0249376558603491
2013-12-06,7760,7860,7670,7720,613575,-0.0127877237851662
2013-12-09,7720,7750,7380,7400,1070801,-0.0414507772020725
2013-12-10,7430,7480,7180,7450,694487,0.0067567567567567
2013-12-11,7360,7500,7330,7370,338104,-0.010738255033557
2013-12-12,7270,7480,7260,7480,366165,0.0149253731343284
2013-12-13,7500,7510,7390,7390,351748,-0.0120320855614973
2013-12-16,7350,7400,7010,7030,928969,-0.0487144790257104
2013-12-17,7040,7140,7010,7080,707051,0.0071123755334281
2013-12-18,7070,7360,7070,7300,589182,0.0310734463276836
2013-12-19,7420,7460,7210,7280,450778,-0.0027397260273972
2013-12-20,7210,7450,7210,7430,299797,0.0206043956043955
2013-12-23,7450,7560,7430,7530,429525,0.0134589502018842
2013-12-24,7570,7580,7470,7490,323254,-0.0053120849933598
2013-12-26,7500,7500,7330,7350,651150,-0.0186915887850467
2013-12-27,7310,7940,7310,7770,1455331,0.0571428571428571
2013-12-30,7300,7610,7250,7560,4157369,-0.0270270270270269
2014-01-02,7660,7670,7500,7530,1455401,-0.0039682539682539
2014-01-03,7500,7650,7460,7640,2642053,0.0146082337317396
2014-01-06,7680,8000,7650,7990,3540946,0.0458115183246072
2014-01-07,7960,8000,7890,7940,1434627,-0.0062578222778473
2014-01-08,7970,8010,7810,7950,1323946,0.0012594458438286
2014-01-09,7910,8120,7910,8080,1806824,0.0163522012578616
2014-01-10,8010,8070,7810,8000,1694585,-0.0099009900990099
2014-01-13,8090,8130,8020,8040,894173,0.0049999999999998
2014-01-14,8000,8070,7800,8070,1874842,0.0037313432835821
2014-01-15,8170,8280,8000,8000,1678888,-0.0086741016109045
2014-01-16,7990,8060,7900,7960,781012,-0.005
2014-01-17,8030,8170,7990,8140,1264473,0.0226130653266332
2014-01-20,8150,8230,8060,8130,905710,-0.0012285012285012
2014-01-21,8130,8150,8010,8070,646850,-0.007380073800738
2014-01-22,8090,8150,7970,8000,908832,-0.0086741016109045
2014-01-23,8000,8100,7930,7970,753214,-0.00375
2014-01-24,7930,7990,7670,7850,1273192,-0.0150564617314931
2014-01-27,7600,7790,7580,7600,918367,-0.0318471337579617
2014-01-28,7560,7780,7530,7700,712524,0.013157894736842
2014-01-29,7730,7810,7650,7680,778474,-0.0025974025974025
2014-02-03,7710,7880,7710,7840,808513,0.0208333333333332
2014-02-04,7750,7920,7700,7850,926385,0.0012755102040815
2014-02-05,7820,7920,7650,7650,1137352,-0.0254777070063694
2014-02-06,7650,7700,7570,7620,739200,-0.0039215686274509
2014-02-07,7670,7710,7580,7660,632189,0.0052493438320209
2014-02-10,7700,7720,7610,7630,627310,-0.0039164490861618
2014-02-11,7640,7650,7510,7650,751554,0.0026212319790301
2014-02-12,7680,7680,7550,7640,766471,-0.0013071895424836
2014-02-13,7650,7760,7580,7710,710884,0.0091623036649215
2014-02-14,7710,7810,7610,7630,927101,-0.0103761348897535
2014-02-17,7630,7660,7550,7600,749162,-0.0039318479685451
2014-02-18,7630,7720,7610,7610,401258,0.0013157894736841
2014-02-19,7610,7640,7530,7530,541948,-0.0105124835742443
2014-02-20,7510,7620,7510,7580,363370,0.0066401062416998
2014-02-21,7610,7630,7560,7580,363336,0.0
2014-02-24,7590,7670,7580,7670,391821,0.0118733509234827
2014-02-25,7710,7790,7550,7550,1191487,-0.0156453715775749
2014-02-26,7540,7590,7430,7480,903253,-0.0092715231788079
2014-02-27,7490,7520,7360,7380,745195,-0.0133689839572193
2014-02-28,7390,7500,7380,7480,486672,0.0135501355013549
2014-03-03,7480,7530,7380,7380,436217,-0.0133689839572193
