Date,Open,High,Low,Close,Volume,Change
2023-04-04,1415,1456,1415,1452,450030,0.02614840989399303
2023-04-05,1464,1493,1454,1455,566301,0.0020661157024792765
2023-04-06,1460,1484,1450,1470,465570,0.010309278350515427
2023-04-07,1457,1463,1443,1446,181752,-0.01632653061224487
2023-04-10,1447,1455,1402,1414,310042,-0.022130013831258677
2023-04-11,1403,1443,1400,1438,207540,0.016973125884016893
2023-04-12,1427,1456,1426,1453,134870,0.010431154381084884
2023-04-13,1456,1489,1440,1481,335289,0.019270474879559574
2023-04-14,1488,1495,1478,1490,231103,0.006076975016880537
2023-04-17,1483,1483,1466,1468,163673,-0.014765100671140896
2023-04-18,1471,1485,1449,1477,107695,0.006130790190735702
2023-04-19,1473,1486,1460,1483,164319,0.004062288422477911
2023-04-20,1477,1483,1449,1453,118518,-0.02022926500337152
2023-04-21,1453,1453,1420,1431,122578,-0.015141087405368236
2023-04-24,1431,1443,1414,1414,98768,-0.01187980433263447
2023-04-25,1411,1428,1390,1390,142258,-0.016973125884017004
2023-04-26,1390,1404,1375,1375,85534,-0.010791366906474864
2023-04-27,1376,1393,1365,1393,65458,0.013090909090909042
2023-04-28,1397,1415,1387,1388,53374,-0.003589375448671883
2023-05-02,1395,1400,1389,1398,43721,0.007204610951008661
2023-05-03,1393,1421,1393,1412,69914,0.010014306151645114
2023-05-04,1412,1440,1405,1420,91459,0.0056657223796034994
2023-05-08,1412,1448,1410,1432,213451,0.008450704225352101
2023-05-09,1425,1436,1413,1417,80447,-0.010474860335195513
2023-05-10,1410,1430,1410,1420,68992,0.0021171489061397875
2023-05-11,1417,1430,1416,1430,94395,0.007042253521126751
2023-05-12,1430,1430,1413,1426,61205,-0.002797202797202747
2023-05-15,1427,1427,1399,1419,53501,-0.004908835904628317
2023-05-16,1410,1425,1404,1412,57387,-0.0049330514446793705
2023-05-17,1415,1480,1402,1480,242943,0.04815864022662897
2023-05-18,1450,1484,1450,1478,169959,-0.0013513513513513375
2023-05-19,1489,1503,1475,1502,201994,0.016238159675236785
2023-05-22,1501,1569,1500,1540,489263,0.025299600532623145
2023-05-23,1540,1566,1509,1514,150370,-0.016883116883116833
2023-05-24,1514,1530,1511,1523,81610,0.005944517833553542
2023-05-25,1525,1537,1502,1508,170680,-0.009848982271831952
2023-05-26,1520,1523,1491,1517,101105,0.005968169761273234
2023-05-30,1529,1530,1510,1516,38933,-0.0006591957811470373
2023-05-31,1516,1540,1504,1506,66673,-0.006596306068601621
2023-06-01,1500,1520,1498,1509,55097,0.0019920318725099584
2023-06-02,1498,1516,1489,1510,53918,0.000662690523525411
2023-06-05,1510,1515,1488,1498,130035,-0.007947019867549643
2023-06-07,1498,1508,1490,1508,86276,0.006675567423231055
2023-06-08,1509,1509,1488,1498,107537,-0.006631299734747964
2023-06-09,1506,1506,1490,1497,61428,-0.0006675567423231055
2023-06-12,1502,1502,1477,1488,84117,-0.006012024048096198
2023-06-13,1499,1499,1465,1467,166974,-0.014112903225806495
2023-06-14,1469,1473,1460,1467,63913,0.0
2023-06-15,1467,1475,1462,1469,42485,0.0013633265167007913
2023-06-16,1480,1480,1462,1468,35678,-0.000680735194009574
2023-06-19,1468,1493,1451,1493,106088,0.017029972752043543
2023-06-20,1493,1508,1480,1491,119543,-0.0013395847287340779
2023-06-21,1490,1494,1474,1489,73531,-0.0013413816230717357
2023-06-22,1478,1485,1466,1480,47150,-0.006044325050369337
2023-06-23,1480,1481,1451,1460,58588,-0.013513513513513487
2023-06-26,1460,1470,1445,1459,50867,-0.00068493150684934
2023-06-27,1442,1462,1442,1458,55606,-0.0006854009595613775
2023-06-28,1456,1465,1446,1457,50810,-0.000685871056241405
2023-06-29,1456,1456,1439,1452,88856,-0.0034317089910775866
2023-06-30,1447,1462,1440,1450,104091,-0.0013774104683195176
2023-07-03,1451,1470,1451,1461,60716,0.0075862068965517615
2023-07-04,1452,1465,1437,1462,81391,0.000684462696783017
2023-07-05,1457,1468,1437,1450,56291,-0.008207934336525335
2023-07-06,1443,1443,1390,1406,159227,-0.030344827586206935
2023-07-07,1401,1407,1381,1394,89826,-0.008534850640113834
2023-07-10,1382,1412,1382,1404,39083,0.007173601147776099
2023-07-11,1391,1407,1391,1407,30888,0.002136752136752129
2023-07-12,1415,1425,1407,1425,70373,0.01279317697228155
2023-07-13,1425,1426,1406,1408,41130,-0.011929824561403457
2023-07-14,1415,1415,1396,1409,39405,0.0007102272727272929
2023-07-17,1415,1415,1393,1400,69835,-0.0063875088715400485
2023-07-18,1400,1402,1383,1393,70069,-0.0050000000000000044
2023-07-19,1399,1399,1367,1371,50284,-0.015793251974156486
2023-07-20,1371,1381,1370,1373,30895,0.0014587892049597873
2023-07-21,1368,1423,1365,1380,36587,0.005098324836125379
2023-07-24,1373,1382,1337,1350,105227,-0.021739130434782594
2023-07-25,1337,1350,1318,1326,148267,-0.01777777777777778
2023-07-26,1315,1325,1235,1263,267089,-0.04751131221719462
2023-07-27,1240,1284,1240,1278,98497,0.01187648456057011
