Date,Open,High,Low,Close,Volume,Change
2013-09-16,3449,3449,3232,3289,34905,
2013-09-17,3365,3365,3238,3362,7209,0.0221951961082396
2013-09-23,3322,3403,3206,3264,8024,-0.0291493158834027
2013-09-24,3398,3398,3198,3213,10017,-0.015625
2013-09-25,2730,3390,2730,3191,55147,-0.0068471833177715
2013-09-26,3306,3306,3118,3196,522,0.0015669069257286
2013-09-27,3232,3232,3109,3213,7224,0.0053191489361701
2013-09-30,3305,3305,3057,3200,17499,-0.0040460628695923
2013-10-01,3287,3287,3113,3166,6818,-0.0106249999999999
2013-10-02,3237,3280,3130,3213,1453,0.0148452305748578
2013-10-04,3229,3229,3147,3183,4036,-0.0093370681605975
2013-10-07,3240,3240,3152,3187,4858,0.0012566760917374
2013-10-08,3237,3237,3151,3174,3845,-0.0040790712268591
2013-10-10,3246,3246,3143,3187,213,0.0040957781978576
2013-10-11,3241,3241,3118,3153,1906,-0.0106683401317854
2013-10-14,3164,3224,3084,3144,592,-0.0028544243577545
2013-10-15,3223,3223,3067,3132,3689,-0.0038167938931297
2013-10-16,3245,3245,3087,3132,1280,0.0
2013-10-17,3238,3310,3109,3144,72,0.0038314176245211
2013-10-18,3232,3232,3075,3144,1380,0.0
2013-10-21,3118,3152,3101,3153,603,0.0028625954198473
2013-10-22,3152,3220,3096,3153,5995,0.0
2013-10-23,3164,3322,3096,3247,12524,0.0298128766254361
2013-10-24,3352,3352,3138,3238,1314,-0.0027717893440099
2013-10-25,3237,3237,3152,3221,13849,-0.0052501544163063
2013-10-28,3310,3310,3130,3153,3066,-0.0211114560695435
2013-10-29,3229,3229,3125,3183,2375,0.0095147478591817
2013-10-30,3224,3224,3109,3149,1792,-0.0106817467797675
2013-10-31,3160,3160,3062,3153,3628,0.0012702445220704
2013-11-01,3079,3160,3024,3153,6094,0.0
2013-11-04,3151,3151,3070,3132,1458,-0.0066603235014272
2013-11-05,3109,3147,3067,3140,7800,0.0025542784163474
2013-11-06,3135,3488,3109,3157,4812,0.0054140127388535
2013-11-07,3156,3224,3096,3153,1431,-0.0012670256572695
2013-11-08,3198,3198,3122,3153,554,0.0
2013-11-11,3238,3238,2939,3110,37210,-0.0136378052648271
2013-11-12,3122,3122,3024,3068,1919,-0.0135048231511254
2013-11-13,3207,3207,3007,3068,6744,0.0
2013-11-14,3250,3250,3067,3196,152,0.0417209908735332
2013-11-15,3266,3266,3061,3106,11459,-0.0281602002503128
2013-11-18,3237,3237,3002,3098,20252,-0.0025756600128783
2013-11-19,3096,3126,3024,3076,408,-0.0071013557133634
