Date,Open,High,Low,Close,Volume,Change
2023-04-04,9930,10120,9930,10060,17973,0.0130916414904329
2023-04-05,10060,10090,9910,10020,16147,-0.0039761431411531
2023-04-06,10020,10020,9770,10000,14768,-0.0019960079840319
2023-04-07,10000,10050,9840,9840,14391,-0.016
2023-04-10,9830,9830,9600,9640,16123,-0.0203252032520325
2023-04-11,9640,9900,9600,9870,7659,0.0238589211618256
2023-04-12,9870,9920,9800,9890,11462,0.0020263424518742
2023-04-13,9880,9910,9790,9910,9698,0.0020222446916076
2023-04-14,9910,10010,9850,10010,11414,0.0100908173562057
2023-04-17,10010,10010,9870,9980,20640,-0.002997002997003
2023-04-18,9980,9980,9890,9920,17172,-0.0060120240480961
2023-04-19,9950,10060,9920,10010,13998,0.0090725806451612
2023-04-20,10040,10040,9870,9990,11794,-0.001998001998002
2023-04-21,9970,9970,9860,9950,14212,-0.004004004004004
2023-04-24,9950,9960,9780,9960,24982,0.0010050251256281
2023-04-25,9960,10050,9850,10040,25606,0.0080321285140563
2023-04-26,10040,10040,9900,10000,9394,-0.0039840637450199
2023-04-27,9940,10060,9880,10060,19566,0.006
2023-04-28,10060,10060,9940,10040,8194,-0.0019880715705765
2023-05-02,10040,10070,9960,10020,11363,-0.0019920318725099
2023-05-03,10010,10040,9930,10030,21117,0.0009980039920158
2023-05-04,10030,10030,9910,10030,9381,0.0
2023-05-08,10030,10040,9970,10020,7980,-0.0009970089730807
2023-05-09,10020,10040,9960,10020,13514,0.0
2023-05-10,10020,10200,9980,10090,25982,0.0069860279441118
2023-05-11,10090,10110,9950,10090,8036,0.0
2023-05-12,10090,10090,9870,9900,21276,-0.018830525272547
2023-05-15,9960,9960,9880,9940,11709,0.004040404040404
2023-05-16,9940,9960,9770,9940,32156,0.0
2023-05-17,9860,9930,9790,9890,15894,-0.005030181086519
2023-05-18,9900,9970,9750,9860,18349,-0.0030333670374115
2023-05-19,9860,9900,9800,9900,14830,0.0040567951318457
2023-05-22,9900,9950,9890,9930,19321,0.0030303030303029
2023-05-23,9930,10020,9930,9990,12396,0.0060422960725075
2023-05-24,9960,9990,9950,9990,5461,0.0
2023-05-25,9990,9990,9800,9910,10389,-0.008008008008008
2023-05-26,9910,9930,9780,9780,14889,-0.0131180625630675
2023-05-30,9790,9810,9750,9810,19771,0.0030674846625766
2023-05-31,9810,9920,9790,9790,9121,-0.00203873598369
2023-06-01,9790,9820,9720,9820,9000,0.0030643513789581
2023-06-02,9820,9850,9720,9830,19224,0.0010183299389001
2023-06-05,9840,9860,9790,9860,11699,0.0030518819938962
2023-06-07,9860,9940,9760,9940,39429,0.0081135902636917
2023-06-08,9930,9980,9880,9950,7212,0.0010060362173038
2023-06-09,9990,9990,9900,9950,7842,0.0
2023-06-12,9950,9960,9860,9920,12585,-0.0030150753768843
2023-06-13,9930,9930,9810,9860,12780,-0.0060483870967742
2023-06-14,9820,9850,9720,9730,15576,-0.0131845841784989
2023-06-15,9730,9770,9570,9740,17726,0.0010277492291881
2023-06-16,9670,9670,9540,9600,23471,-0.0143737166324435
2023-06-19,9600,9610,9470,9590,29232,-0.0010416666666667
2023-06-20,9560,9650,9480,9630,19270,0.0041710114702815
2023-06-21,9550,9590,9460,9530,13186,-0.0103842159916925
2023-06-22,9510,9550,9450,9520,9160,-0.0010493179433368
2023-06-23,9520,9520,9370,9500,11838,-0.0021008403361344
2023-06-26,9430,9450,9400,9440,11379,-0.0063157894736841
2023-06-27,9440,9560,9350,9520,16290,0.0084745762711864
2023-06-28,9520,9550,9390,9540,19615,0.0021008403361344
2023-06-29,9540,9540,9350,9420,22464,-0.0125786163522012
2023-06-30,9350,9560,9350,9510,12836,0.0095541401273886
2023-07-03,9500,9520,8900,9380,57524,-0.0136698212407991
2023-07-04,9380,9440,9310,9380,10639,0.0
2023-07-05,9380,9380,9250,9310,13424,-0.0074626865671642
2023-07-06,9330,9390,8950,9030,60106,-0.0300751879699248
2023-07-07,9030,9100,8950,9020,22477,-0.0011074197120708
2023-07-10,8950,9080,8950,9080,21108,0.0066518847006651
2023-07-11,9080,9140,9010,9090,9752,0.001101321585903
2023-07-12,9090,9120,9040,9100,41849,0.001100110011001
2023-07-13,9130,9380,9130,9360,43476,0.0285714285714284
2023-07-14,9360,9370,9160,9370,33688,0.001068376068376
2023-07-17,9240,9370,9110,9130,23753,-0.0256136606189968
2023-07-18,9100,9190,9030,9130,20015,0.0
2023-07-19,9170,9170,8980,9000,21607,-0.0142387732749178
2023-07-20,9090,9090,8900,9010,23086,0.001111111111111
2023-07-21,9010,9030,8900,9030,16354,0.002219755826859
2023-07-24,8950,9060,8940,9030,16210,0.0
2023-07-25,9010,9010,8900,8990,30721,-0.0044296788482834
2023-07-26,8990,9700,8760,9060,69893,0.0077864293659621
2023-07-27,9050,9270,9050,9250,26814,0.020971302428256
2023-07-28,9260,9500,9260,9490,36790,0.0259459459459459
2023-07-31,9490,9540,9440,9530,24442,0.0042149631190726
2023-08-01,9500,9630,9480,9630,26524,0.0104931794333682
2023-08-02,9660,9660,9520,9580,26227,-0.0051921079958463
2023-08-03,9560,9560,9390,9550,18836,-0.0031315240083507
2023-08-04,9470,9580,9460,9550,28804,0.0
2023-08-07,9550,9560,9500,9520,24525,-0.0031413612565445
2023-08-08,9480,9550,9440,9490,20654,-0.0031512605042016
2023-08-09,9440,9550,9410,9500,30241,0.0010537407797681
2023-08-10,9450,9500,9360,9380,23940,-0.0126315789473684
2023-08-11,9410,9430,9300,9400,15873,0.0021321961620468
2023-08-14,9390,9390,9280,9390,12483,-0.001063829787234
2023-08-16,9310,9320,9150,9180,20817,-0.0223642172523961
2023-08-17,9060,9270,9060,9270,15216,0.0098039215686274
2023-08-18,9100,9260,9100,9260,24316,-0.0010787486515642
2023-08-21,9260,9260,9120,9180,30331,-0.0086393088552916
2023-08-22,9160,9190,9060,9130,43688,-0.0054466230936819
2023-08-23,9130,9160,9070,9130,32372,0.0
2023-08-24,9120,9250,9060,9130,23267,0.0
2023-08-25,9130,9250,9060,9200,13274,0.0076670317634173
2023-08-28,9200,9320,9150,9270,63596,0.0076086956521739
2023-08-29,9310,9310,9250,9290,15425,0.0021574973031284
2023-08-30,9300,9330,9250,9310,19305,0.0021528525296017
2023-08-31,9310,9320,9250,9280,15592,-0.0032223415682062
2023-09-01,9280,9280,9190,9250,23059,-0.0032327586206896
2023-09-04,9250,9250,9110,9230,24841,-0.0021621621621621
2023-09-05,9230,9230,9030,9060,17169,-0.018418201516793
2023-09-06,9060,9140,9000,9060,56596,0.0
2023-09-07,9020,9200,8930,9000,24719,-0.0066225165562914
2023-09-08,9000,9020,8940,9000,12975,0.0
2023-09-11,9000,9160,8940,9020,15436,0.0022222222222221
2023-09-12,9100,9100,8910,9020,16969,0.0
2023-09-13,9000,9010,8900,8980,8857,-0.0044345898004434
2023-09-14,8980,9020,8930,9010,7006,0.0033407572383072
2023-09-15,9010,9110,9000,9080,17776,0.0077691453940067
2023-09-18,9050,9080,9010,9050,7228,-0.0033039647577092
2023-09-19,9050,9050,8990,9050,15013,0.0
2023-09-20,9050,9100,9010,9070,8300,0.0022099447513812
2023-09-21,9010,9070,8950,9050,8286,-0.002205071664829
2023-09-22,9020,9020,8860,8890,21914,-0.0176795580110497
2023-09-25,8890,9000,8820,8850,24057,-0.0044994375703036
2023-09-26,8850,8940,8810,8880,11147,0.0033898305084745
2023-09-27,8840,8900,8800,8890,5497,0.0011261261261261
2023-10-04,8840,8890,8750,8800,11590,-0.0101237345331833
2023-10-05,8800,8820,8710,8710,9025,-0.0102272727272727
2023-10-06,8710,8780,8710,8720,10386,0.0011481056257176
2023-10-10,8750,8810,8660,8740,28012,0.0022935779816513
